,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
315,911,ARM,NGDP_R,Armenia,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: Armenian dram Data last updated: 09/2021,,,,,,,,,,,,,1005.09,863.837,910.484,983.622,1034.47,1069.51,1136.58,1172.61,1241.24,1358.76,1559.95,1779.16,1965.49,2242.88,2538.9,2887.97,3088.62,2651.58,2709.92,2837.27,3039.69,3143.41,3256.78,3362.75,3369.31,3622.61,3811.88,4102.78,3801.09,4046.67,4230.51,4416.65,4597.73,4781.64,4972.91,2020.0
316,911,ARM,NGDP_RPCH,Armenia,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",,,,,,,,,,,,,,-14.054,5.4,8.033,5.169,3.387,6.271,3.17,5.853,9.468,14.807,14.052,10.473,14.113,13.198,13.749,6.948,-14.15,2.2,4.7,7.134,3.412,3.607,3.254,0.195,7.518,5.225,7.631,-7.353,6.461,4.543,4.4,4.1,4.0,4.0,2020.0
317,911,ARM,NGDP,Armenia,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: Armenian dram Data last updated: 09/2021,,,,,,,,,,,,,0.295,3.897,187.065,522.256,661.209,804.336,955.385,987.444,1031.34,1175.88,1362.47,1624.64,1907.95,2242.88,2656.19,3149.28,3568.23,3141.65,3460.2,3777.95,4266.46,4555.64,4828.63,5043.63,5067.29,5564.49,6017.04,6543.32,6181.66,7031.18,7769.42,8476.28,9198.1,9957.84,10772.78,2020.0
318,911,ARM,NGDPD,Armenia,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,0.108,0.835,0.648,1.287,1.597,1.639,1.892,1.845,1.912,2.118,2.376,2.807,3.577,4.9,6.384,9.206,11.662,8.648,9.26,10.142,10.619,11.121,11.61,10.553,10.546,11.527,12.458,13.619,12.641,13.612,15.06,16.157,17.369,18.684,20.084,2020.0
319,911,ARM,PPPGDP,Armenia,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,5.605,4.932,5.309,5.856,6.271,6.595,7.088,7.416,8.027,8.985,10.477,12.185,13.822,16.268,18.983,22.176,24.172,20.884,21.6,23.086,27.009,28.5,29.231,29.167,31.429,35.677,38.437,42.111,39.484,43.55,46.782,50.002,53.239,56.571,60.053,2020.0
320,911,ARM,NGDP_D,Armenia,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",,,,,,,,,,,,,0.029,0.451,20.546,53.095,63.918,75.206,84.058,84.209,83.089,86.54,87.341,91.315,97.073,100.0,104.62,109.048,115.528,118.482,127.687,133.154,140.358,144.927,148.264,149.985,150.396,153.605,157.849,159.485,162.629,173.752,183.652,191.916,200.057,208.252,216.629,2020.0
321,911,ARM,NGDPRPC,Armenia,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,,291331.4,256331.43,276742.9,305472.66,326330.64,340607.97,365459.56,379485.69,402999.79,444039.34,511459.83,585249.78,648674.89,745143.16,846298.8,965877.53,1036449.93,892789.23,913552.5,955959.77,1023466.16,1054834.4,1090968.79,1124499.85,1125856.34,1215847.92,1283881.82,1384794.29,1283190.87,1365986.19,1427929.0,1490638.62,1551630.68,1613566.82,1677975.25,2020.0
322,911,ARM,NGDPRPPPPC,Armenia,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,,2869.12,2524.43,2725.45,3008.39,3213.8,3354.41,3599.15,3737.29,3968.86,4373.03,5037.01,5763.71,6388.34,7338.39,8334.6,9512.25,10207.27,8792.45,8996.94,9414.58,10079.4,10388.32,10744.19,11074.41,11087.77,11974.03,12644.05,13637.87,12637.25,13452.64,14062.67,14680.25,15280.92,15890.89,16525.2,2020.0
323,911,ARM,NGDPPC,Armenia,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,85.507,1156.38,56858.57,162191.4,208583.28,256157.83,307197.69,319561.07,334850.1,384273.46,446712.03,534421.94,629684.96,745143.16,885396.6,1053272.04,1197391.81,1057794.95,1166485.13,1272899.58,1436518.69,1528737.65,1617513.75,1686586.15,1693240.34,1867598.1,2026599.62,2208539.41,2086839.12,2373433.95,2622421.43,2860780.47,3104150.61,3360277.84,3634988.5,2020.0
324,911,ARM,NGDPDPC,Armenia,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,31.321,247.884,196.98,399.576,503.774,521.869,608.415,597.241,620.638,692.287,779.122,923.387,1180.4,1628.06,2128.15,3079.03,3913.44,2911.76,3121.78,3417.17,3575.53,3732.04,3889.0,3529.03,3524.0,3868.91,4195.96,4596.86,4267.49,4594.91,5083.22,5453.16,5861.56,6304.91,6776.74,2020.0
