,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
360,314,ABW,NGDP_R,Aruba,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020. The Central Bureau of Statistics (CBS) has compiled GDP at current prices by the production and expenditure approaches up to 2009 and has recently done so for the period 2013-17. GDP at constant prices by the expenditure approach has been estimated and disseminated by the Central Bank of Aruba up to 2017. In 2021, the CBS is still working on their update and revision of Aruba's National Account Statistics. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2013 Chain-weighted: Yes, from 2000 Primary domestic currency: Aruban Florin Data last updated: 09/2021",,,,,,,1.674,1.943,2.305,2.583,2.686,2.9,3.071,3.295,3.566,3.655,3.701,3.96,4.039,4.095,4.409,4.594,4.55,4.601,4.936,4.917,4.973,5.127,5.221,4.611,4.485,4.636,4.588,4.883,4.882,5.055,5.162,5.445,5.514,5.399,4.194,4.729,5.083,5.399,5.534,5.621,5.699,2020.0
361,314,ABW,NGDP_RPCH,Aruba,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",,,,,,,,16.079,18.64,12.095,3.977,7.975,5.875,7.304,8.207,2.503,1.257,7.018,1.989,1.371,7.685,4.182,-0.945,1.111,7.294,-0.383,1.127,3.09,1.836,-11.678,-2.733,3.369,-1.041,6.431,-0.015,3.551,2.11,5.474,1.279,-2.1,-22.32,12.781,7.484,6.2,2.514,1.558,1.4,2020.0
362,314,ABW,NGDP,Aruba,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020. The Central Bureau of Statistics (CBS) has compiled GDP at current prices by the production and expenditure approaches up to 2009 and has recently done so for the period 2013-17. GDP at constant prices by the expenditure approach has been estimated and disseminated by the Central Bank of Aruba up to 2017. In 2021, the CBS is still working on their update and revision of Aruba's National Account Statistics. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2013 Chain-weighted: Yes, from 2000 Primary domestic currency: Aruban Florin Data last updated: 09/2021",,,,,,,0.726,0.873,1.068,1.245,1.369,1.561,1.716,1.939,2.23,2.364,2.47,2.742,2.981,3.084,3.353,3.395,3.512,3.659,4.036,4.224,4.421,4.793,5.089,4.571,4.392,4.722,4.681,4.883,4.996,5.304,5.341,5.535,5.732,5.925,4.469,5.128,5.598,6.031,6.265,6.447,6.624,2020.0
363,314,ABW,NGDPD,Aruba,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,,,,1.321,1.38,1.532,1.665,1.723,1.873,1.896,1.962,2.044,2.255,2.36,2.47,2.678,2.843,2.554,2.454,2.638,2.615,2.728,2.791,2.963,2.984,3.092,3.202,3.31,2.497,2.865,3.127,3.369,3.5,3.602,3.701,2020.0
364,314,ABW,PPPGDP,Aruba,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,0.741,0.882,1.083,1.262,1.361,1.519,1.645,1.807,1.997,2.09,2.155,2.346,2.42,2.488,2.74,2.918,2.936,3.027,3.335,3.426,3.572,3.782,3.925,3.489,3.434,3.624,3.552,3.799,3.817,3.893,3.941,4.098,4.25,4.235,3.329,3.89,4.296,4.671,4.898,5.082,5.26,2020.0
365,314,ABW,NGDP_D,Aruba,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",,,,,,,43.369,44.93,46.323,48.176,50.97,53.824,55.869,58.83,62.543,64.682,66.744,69.237,73.79,75.314,76.055,73.899,77.176,79.529,81.764,85.907,88.901,93.494,97.479,99.139,97.927,101.849,102.037,100.0,102.325,104.909,103.46,101.667,103.946,109.758,106.575,108.419,110.122,111.718,113.202,114.705,116.229,2020.0
366,314,ABW,NGDPRPC,Aruba,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,27497.34,32280.96,38081.63,41823.14,41829.36,43510.47,44501.14,44718.71,45950.24,45796.53,44575.48,45890.82,45665.95,45668.47,48673.77,50237.37,49419.45,49402.73,51886.16,50365.99,50026.38,51188.84,51732.35,45381.79,44024.74,45091.96,43868.7,45898.79,45278.87,46284.72,46777.81,49117.6,49470.82,48119.3,37762.58,42432.29,45440.32,48080.2,49107.71,49689.56,50248.03,2019.0
367,314,ABW,NGDPRPPPPC,Aruba,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,20697.36,24298.02,28664.21,31480.46,31485.14,32750.51,33496.2,33659.97,34586.94,34471.24,33552.15,34542.22,34372.96,34374.85,36636.95,37813.88,37198.23,37185.65,39054.94,37910.69,37655.07,38530.06,38939.16,34159.06,33137.61,33940.92,33020.16,34548.22,34081.6,34838.71,35209.86,36971.03,37236.9,36219.6,28424.05,31938.97,34203.12,36190.17,36963.58,37401.54,37821.91,2019.0
368,314,ABW,NGDPPC,Aruba,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,11925.2,14503.78,17640.42,20148.53,21320.31,23419.09,24862.5,26308.21,28738.6,29622.2,29751.33,31773.38,33696.77,34394.87,37019.03,37124.84,38139.97,39289.58,42424.13,43268.03,44473.73,47858.47,50428.22,44991.24,43111.93,45925.82,44762.11,45898.79,46331.67,48556.65,48396.1,49936.38,51423.01,52814.57,40245.44,46004.55,50039.87,53714.46,55590.96,56996.62,58402.66,2019.0
369,314,ABW,NGDPDPC,Aruba,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,,,,16548.72,16620.85,17750.49,18825.01,19215.01,20681.02,20740.13,21307.25,21949.49,23700.63,24172.09,24845.66,26736.58,28172.19,25134.77,24084.88,25656.88,25006.76,25641.78,25883.62,27126.62,27036.93,27897.42,28727.94,29505.34,22483.49,25700.87,27955.24,30008.08,31056.4,31841.69,32627.18,2019.0
