,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
405,193,AUS,NGDP_R,Australia,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office. Australian Bureau of Statistics (via Haver Analytics) Latest actual data: 2020. Data refer to calendar years National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2018. The base period is 2018Q3-2019Q2 Chain-weighted: Yes, from before 1980. Annually-reweighted Primary domestic currency: Australian dollar Data last updated: 09/2021",597.803,622.475,622.866,619.916,659.256,695.228,712.247,747.095,778.871,814.889,827.133,818.854,839.825,872.58,915.333,941.31,980.48,1025.26,1073.55,1121.39,1155.31,1185.5,1234.54,1268.86,1321.17,1361.16,1397.99,1459.88,1498.84,1526.98,1563.03,1607.52,1668.54,1704.14,1747.96,1788.61,1837.42,1881.86,1935.45,1972.45,1926.08,1994.33,2076.85,2130.15,2185.72,2243.49,2301.78,2020.0
406,193,AUS,NGDP_RPCH,Australia,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.894,4.127,0.063,-0.474,6.346,5.456,2.448,4.893,4.253,4.624,1.503,-1.001,2.561,3.9,4.9,2.838,4.161,4.567,4.709,4.457,3.024,2.613,4.136,2.78,4.123,3.027,2.706,4.427,2.669,1.878,2.361,2.847,3.796,2.134,2.572,2.325,2.729,2.419,2.848,1.912,-2.351,3.544,4.138,2.566,2.608,2.643,2.598,2020.0
407,193,AUS,NGDP,Australia,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office. Australian Bureau of Statistics (via Haver Analytics) Latest actual data: 2020. Data refer to calendar years National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2018. The base period is 2018Q3-2019Q2 Chain-weighted: Yes, from before 1980. Annually-reweighted Primary domestic currency: Australian dollar Data last updated: 09/2021",142.717,163.634,183.517,198.531,223.718,248.383,270.016,303.502,345.105,388.38,414.002,415.601,431.778,453.773,481.866,509.962,540.969,571.911,604.727,636.976,685.406,727.786,780.366,827.742,891.602,961.0,1037.09,1130.38,1234.13,1262.38,1361.45,1466.45,1515.07,1567.93,1614.48,1640.74,1702.13,1806.53,1899.64,2002.13,1968.9,2134.73,2244.29,2348.77,2460.35,2580.28,2706.18,2020.0
408,193,AUS,NGDPD,Australia,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",162.628,188.067,186.709,179.151,196.777,174.067,181.147,212.712,270.594,307.72,323.397,323.783,317.475,308.756,352.564,378.135,423.544,425.536,380.614,411.059,399.101,376.714,424.425,539.562,656.735,734.053,781.294,947.89,1055.51,998.925,1251.86,1513.68,1569.31,1518.43,1457.38,1234.84,1266.2,1385.2,1421.19,1392.33,1359.37,1610.56,1677.45,1772.05,1864.88,1957.35,2051.56,2020.0
409,193,AUS,PPPGDP,Australia,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",155.319,177.03,188.086,194.526,214.337,233.179,243.698,261.944,282.715,307.388,323.682,331.28,347.507,369.618,396.01,415.788,441.02,469.115,496.736,526.187,554.381,581.686,615.188,644.771,689.375,732.515,775.548,831.767,870.34,892.363,924.413,970.48,983.739,1083.48,1111.52,1113.06,1174.0,1232.44,1297.81,1346.28,1330.47,1427.26,1527.23,1603.7,1683.04,1765.05,1848.43,2020.0
410,193,AUS,NGDP_D,Australia,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",23.874,26.288,29.463,32.026,33.935,35.727,37.91,40.624,44.308,47.66,50.053,50.754,51.413,52.004,52.644,54.176,55.174,55.782,56.33,56.802,59.327,61.391,63.211,65.235,67.486,70.601,74.184,77.43,82.339,82.672,87.103,91.224,90.802,92.007,92.363,91.733,92.637,95.997,98.149,101.505,102.223,107.04,108.062,110.263,112.565,115.011,117.569,2020.0
411,193,AUS,NGDPRPC,Australia,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",40387.34,41390.27,40739.78,40037.24,42051.68,43723.45,44132.7,45569.47,46675.09,48113.74,48173.8,47117.49,47833.84,49245.19,51154.69,51949.78,53490.22,55389.67,57391.68,59272.77,60357.6,61150.92,62969.15,63996.07,65907.05,67014.26,67773.01,69464.63,69792.43,69834.6,70494.22,71375.05,72772.87,73145.91,73939.91,74573.16,75335.87,75963.08,76891.21,77174.97,74960.91,77539.79,80346.45,81552.24,82605.64,83742.45,84899.11,2020.0
412,193,AUS,NGDPRPPPPC,Australia,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",26449.79,27106.61,26680.61,26220.51,27539.77,28634.62,28902.64,29843.59,30567.66,31509.83,31549.17,30857.39,31326.53,32250.83,33501.36,34022.07,35030.91,36274.87,37585.99,38817.92,39528.38,40047.93,41238.69,41911.22,43162.73,43887.85,44384.76,45492.6,45707.28,45734.89,46166.89,46743.74,47659.18,47903.48,48423.48,48838.19,49337.69,49748.46,50356.29,50542.12,49092.13,50781.05,52619.14,53408.81,54098.69,54843.19,55600.69,2020.0
413,193,AUS,NGDPPC,Australia,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",9641.88,10880.54,12003.27,12822.14,14270.23,15621.04,16730.89,18512.28,20680.97,22931.24,24112.27,23914.0,24592.74,25609.27,26929.77,28144.2,29512.64,30897.4,32328.63,33668.21,35808.2,37540.94,39803.54,41747.9,44477.79,47313.0,50277.04,53786.19,57466.69,57733.5,61402.91,65111.1,66079.49,67299.6,68293.33,68407.91,69788.97,72922.48,75468.32,78336.24,76627.57,82998.54,86824.31,89921.74,92984.99,96313.42,99815.14,2020.0
414,193,AUS,NGDPDPC,Australia,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",10987.05,12505.14,12212.05,11570.45,12551.72,10947.21,11224.32,12974.46,16215.8,18168.82,18835.27,18630.75,18082.41,17425.03,19703.54,20868.82,23106.51,22989.52,20347.56,21727.09,20850.53,19431.83,21648.34,27213.27,32761.41,36139.69,37876.24,45102.98,49149.23,45684.73,56459.92,67208.49,68445.12,65174.72,61648.08,51484.64,51915.24,55915.0,56460.9,54476.91,52905.4,62618.59,64895.02,67842.29,70479.93,73061.7,75670.28,2020.0
