,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
450,122,AUT,NGDP_R,Austria,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995 Primary domestic currency: Euro Data last updated: 09/2021",177.286,177.11,180.489,185.55,186.166,190.342,194.797,198.071,199.974,207.747,216.775,224.235,228.93,230.136,235.664,241.952,247.754,252.941,262.0,271.318,280.477,284.031,288.722,291.44,299.411,306.13,316.704,328.509,333.307,320.759,326.651,336.199,338.486,338.573,340.812,344.269,351.118,359.544,368.82,374.053,350.94,364.691,381.102,389.105,396.887,404.825,412.112,2019.0
451,122,AUT,NGDP_RPCH,Austria,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.314,-0.099,1.908,2.804,0.332,2.243,2.341,1.681,0.961,3.887,4.346,3.442,2.094,0.527,2.402,2.668,2.398,2.094,3.581,3.556,3.376,1.267,1.652,0.941,2.735,2.244,3.454,3.727,1.46,-3.765,1.837,2.923,0.68,0.026,0.661,1.015,1.989,2.4,2.58,1.419,-6.179,3.918,4.5,2.1,2.0,2.0,1.8,2019.0
452,122,AUT,NGDP,Austria,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995 Primary domestic currency: Euro Data last updated: 09/2021",75.98,80.885,86.824,92.523,97.131,102.372,107.602,111.721,119.625,127.959,137.525,147.439,155.762,160.9,168.925,176.578,182.541,188.724,196.347,203.851,213.606,220.525,226.735,231.863,242.348,254.075,267.824,283.978,293.762,288.044,295.897,310.129,318.653,323.91,333.146,344.269,357.608,369.341,385.362,397.575,378.981,402.907,430.899,445.457,463.577,489.852,514.066,2019.0
453,122,AUT,NGDPD,Austria,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",80.923,70.121,70.111,71.032,67.007,68.624,97.375,121.771,133.591,133.263,166.866,174.435,195.506,190.383,203.97,241.234,237.343,213.045,218.557,217.475,197.377,197.51,214.243,262.208,301.321,316.267,336.298,389.231,432.005,401.323,392.595,431.609,409.661,430.197,442.699,382.01,395.728,417.091,455.301,445.125,432.524,481.209,520.343,545.757,574.923,614.113,649.508,2019.0
454,122,AUT,PPPGDP,Austria,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",84.657,92.574,100.169,107.011,111.241,117.332,122.496,127.636,133.406,144.027,155.91,166.73,174.1,179.165,187.387,196.421,204.814,212.708,222.806,233.981,247.359,256.137,264.425,272.183,287.133,302.783,322.907,343.995,355.712,344.515,355.061,373.031,391.635,406.37,417.06,431.092,460.236,479.433,503.552,519.832,493.588,531.413,570.611,596.457,622.253,648.485,673.838,2019.0
455,122,AUT,NGDP_D,Austria,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",42.858,45.67,48.105,49.864,52.175,53.783,55.238,56.405,59.82,61.594,63.441,65.752,68.039,69.915,71.68,72.981,73.678,74.612,74.941,75.134,76.158,77.641,78.531,79.558,80.942,82.996,84.566,86.445,88.136,89.801,90.585,92.246,94.141,95.669,97.751,100.0,101.848,102.725,104.485,106.289,107.99,110.479,113.067,114.482,116.803,121.003,124.739,2019.0
456,122,AUT,NGDPRPC,Austria,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",23511.45,23440.87,23858.11,24599.63,24678.58,25215.19,25778.41,26176.68,26394.65,27355.64,28355.86,29080.32,29354.12,29195.8,29722.91,30440.75,31128.75,31744.45,32845.3,33947.29,35008.96,35317.14,35723.49,35899.37,36650.12,37218.18,38305.02,39602.32,40053.46,38453.44,39068.14,40078.37,40170.18,39939.1,39889.33,39894.38,40174.61,40789.35,41512.34,42223.89,39427.02,40768.08,42390.69,43065.57,43708.34,44360.7,44934.52,2019.0
457,122,AUT,NGDPRPPPPC,Austria,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",31351.34,31257.22,31813.6,32802.37,32907.66,33623.19,34374.22,34905.29,35195.95,36477.37,37811.12,38777.15,39142.25,38931.14,39634.01,40591.21,41508.62,42329.64,43797.56,45267.01,46682.69,47093.64,47635.49,47870.01,48871.1,49628.58,51077.82,52807.7,53409.28,51275.73,52095.4,53442.5,53564.92,53256.78,53190.42,53197.15,53570.83,54390.55,55354.63,56303.44,52573.95,54362.19,56525.86,57425.78,58282.88,59152.77,59917.93,2019.0
458,122,AUT,NGDPPC,Austria,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",10076.42,10705.33,11476.97,12266.4,12875.97,13561.52,14239.51,14764.84,15789.32,16849.34,17989.32,19120.81,19972.34,20412.3,21305.53,22215.88,22935.1,23685.09,24614.74,25505.8,26662.25,27420.66,28053.94,28560.67,29665.22,30889.53,32393.09,34234.06,35301.38,34531.52,35389.81,36970.54,37816.44,38209.44,38992.13,39894.38,40917.16,41900.86,43374.17,44879.15,42577.31,45040.12,47929.67,49302.44,51052.67,53677.96,56051.09,2019.0
459,122,AUT,NGDPDPC,Austria,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",10731.96,9280.73,9267.66,9417.24,8882.63,9090.8,12886.1,16093.01,17632.82,17547.81,21827.44,22621.88,25068.4,24152.66,25725.56,30350.53,29820.6,26737.48,27399.09,27210.47,24636.47,24558.92,26508.32,32298.61,36883.89,38450.61,40674.88,46922.56,51914.01,48111.66,46955.17,51452.28,48616.9,50747.38,51814.42,44267.81,45278.83,47317.91,51246.15,50246.61,48592.71,53793.37,57878.72,60403.54,63314.96,67294.42,70818.95,2019.0
