,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
495,912,AZE,NGDP_R,Azerbaijan,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 Notes: Data prior to 2001 cannot be confirmed at this time. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: Yes, from 1994 Primary domestic currency: Azerbaijan manat Data last updated: 08/2021",,,,,,,,,,,,,9.27,7.129,5.726,4.98,5.106,5.56,5.894,6.566,6.974,7.427,8.128,8.957,9.786,12.523,16.839,21.127,23.364,25.553,26.777,26.356,26.936,28.51,29.308,29.616,28.708,28.752,29.184,29.907,28.624,29.471,30.164,30.681,31.211,31.753,32.309,2020.0
496,912,AZE,NGDP_RPCH,Azerbaijan,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",,,,,,,,,,,,,,-23.098,-19.673,-13.027,2.531,8.884,6.007,11.396,6.227,6.486,9.439,10.208,9.254,27.962,34.466,25.463,10.591,9.37,4.789,-1.573,2.203,5.843,2.798,1.05,-3.064,0.154,1.5,2.48,-4.29,2.959,2.349,1.715,1.726,1.738,1.75,2020.0
497,912,AZE,NGDP,Azerbaijan,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 Notes: Data prior to 2001 cannot be confirmed at this time. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: Yes, from 1994 Primary domestic currency: Azerbaijan manat Data last updated: 08/2021",,,,,,,,,,,,,0.005,0.031,0.709,2.134,2.732,3.158,3.312,3.775,4.718,5.316,6.063,7.147,8.53,12.523,18.746,28.361,40.137,35.602,42.465,52.082,54.744,58.182,59.014,54.38,60.425,70.338,80.092,81.896,72.432,89.496,93.032,95.158,97.927,101.246,105.055,2020.0
498,912,AZE,NGDPD,Azerbaijan,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,1.193,1.309,2.258,2.417,3.177,3.963,4.28,4.581,5.273,5.475,6.232,7.276,8.682,13.273,21.027,33.09,48.979,44.289,52.913,65.99,69.687,74.16,75.24,50.844,37.83,41.375,47.113,48.174,42.607,52.645,54.725,55.975,57.604,59.556,61.797,2020.0
499,912,AZE,PPPGDP,Azerbaijan,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,32.738,25.773,21.145,18.776,19.603,21.713,23.276,26.294,28.564,31.102,34.568,38.849,43.583,57.519,79.73,102.735,115.795,127.456,135.166,135.804,148.34,161.865,166.329,144.146,140.23,139.153,144.615,150.852,146.12,155.866,163.918,170.696,177.601,184.613,191.735,2020.0
500,912,AZE,NGDP_D,Azerbaijan,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",,,,,,,,,,,,,0.052,0.441,12.379,42.846,53.512,56.804,56.188,57.498,67.649,71.574,74.591,79.783,87.165,99.998,111.327,134.241,171.79,139.323,158.588,197.612,203.234,204.074,201.359,183.62,210.481,244.634,274.441,273.833,253.044,303.671,308.423,310.153,313.761,318.853,325.16,2020.0
501,912,AZE,NGDPRPC,Azerbaijan,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,,1242.79,952.125,753.74,651.561,660.9,712.823,748.267,825.5,868.237,915.261,992.224,1083.22,1172.14,1482.43,1968.74,2437.83,2661.09,2863.94,2976.01,2892.7,2916.73,3047.11,3092.5,3087.2,2957.9,2930.92,2948.41,2996.28,2843.35,2892.78,2925.63,2940.51,2955.81,2971.53,2987.66,2020.0
502,912,AZE,NGDPRPPPPC,Azerbaijan,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,,6014.74,4608.01,3647.88,3153.36,3198.56,3449.86,3621.4,3995.18,4202.02,4429.6,4802.08,5242.49,5672.81,7174.54,9528.12,11798.4,12878.9,13860.63,14403.0,13999.84,14116.13,14747.14,14966.79,14941.15,14315.38,14184.79,14269.47,14501.14,13761.01,14000.22,14159.2,14231.23,14305.26,14381.32,14459.42,2020.0
503,912,AZE,NGDPPC,Azerbaijan,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,0.646,4.197,93.309,279.165,353.662,404.91,420.439,474.647,587.354,655.09,740.105,864.231,1021.69,1482.41,2191.74,3272.58,4571.49,3990.13,4719.59,5716.32,5927.79,6218.35,6227.02,5668.72,6225.81,7170.01,8091.65,8204.8,7194.94,8784.54,9023.32,9120.08,9274.19,9474.8,9714.68,2020.0
504,912,AZE,NGDPDPC,Azerbaijan,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,159.971,174.875,297.162,316.227,411.14,508.043,543.344,576.005,656.386,674.783,760.812,879.863,1039.82,1571.29,2458.42,3818.27,5578.56,4963.77,5880.81,7242.81,7545.87,7926.09,7939.17,5300.14,3897.71,4217.65,4759.8,4826.35,4232.32,5167.38,5307.83,5364.76,5455.4,5573.41,5714.52,2020.0
