,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
585,419,BHR,NGDP_R,Bahrain,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office. Prior to 1990 data are IMF staff estimates Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No Primary domestic currency: Bahrain dinar Data last updated: 09/2021,2.772,2.849,3.031,3.243,3.379,3.348,3.364,3.323,3.52,3.556,3.681,3.765,4.033,4.34,4.479,4.565,4.714,4.824,5.058,5.36,5.736,5.879,6.076,6.459,6.91,7.377,7.854,8.506,9.037,9.266,9.668,9.86,10.228,10.782,11.251,11.53,11.941,12.453,12.667,12.991,12.33,12.631,13.022,13.425,13.838,14.265,14.707,2020.0
586,419,BHR,NGDP_RPCH,Bahrain,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.494,2.777,6.406,6.994,4.186,-0.93,0.484,-1.222,5.952,1.013,3.503,2.286,7.123,7.604,3.212,1.923,3.25,2.348,4.849,5.972,7.018,2.491,3.349,6.296,6.981,6.769,6.467,8.294,6.242,2.541,4.337,1.984,3.728,5.416,4.351,2.485,3.558,4.292,1.72,2.559,-5.088,2.441,3.097,3.091,3.074,3.09,3.099,2020.0
587,419,BHR,NGDP,Bahrain,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office. Prior to 1990 data are IMF staff estimates Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No Primary domestic currency: Bahrain dinar Data last updated: 09/2021,1.354,1.525,1.603,1.642,1.705,1.609,1.259,1.363,1.685,1.758,1.867,1.958,2.046,2.251,2.411,2.552,2.653,2.752,2.63,2.851,3.408,3.455,3.607,4.164,4.944,6.004,6.958,8.17,9.667,8.625,9.668,10.82,11.562,12.235,12.554,11.675,12.12,13.338,14.157,14.464,13.058,14.703,15.437,16.118,16.884,17.714,18.59,2020.0
588,419,BHR,NGDPD,Bahrain,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",3.593,4.056,4.264,4.368,4.534,4.278,3.347,3.626,4.481,4.675,4.965,5.209,5.442,5.986,6.411,6.787,7.057,7.318,6.996,7.582,9.063,9.189,9.594,11.075,13.15,15.969,18.505,21.73,25.711,22.938,25.713,28.777,30.749,32.539,33.388,31.051,32.235,35.474,37.652,38.467,34.729,39.104,41.057,42.867,44.905,47.11,49.44,2020.0
589,419,BHR,PPPGDP,Bahrain,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",7.326,8.242,9.312,10.353,11.176,11.422,11.708,11.851,13.0,13.646,14.653,15.495,16.977,18.7,19.713,20.514,21.568,22.455,23.809,25.587,28.003,29.347,30.802,33.388,36.677,40.388,44.327,49.301,53.382,55.089,58.169,60.556,65.875,67.717,68.276,62.523,63.831,71.282,74.24,77.502,74.445,79.01,83.699,88.339,93.13,98.094,103.23,2020.0
590,419,BHR,NGDP_D,Bahrain,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",48.865,53.53,52.889,50.643,50.453,48.051,37.417,41.034,47.865,49.426,50.718,52.019,50.735,51.868,53.818,55.896,56.293,57.038,52.003,53.188,59.405,58.764,59.366,64.473,71.56,81.388,88.586,96.057,106.978,93.076,100.0,109.737,113.045,113.48,111.583,101.256,101.506,107.108,111.762,111.332,105.904,116.402,118.546,120.061,122.017,124.173,126.397,2020.0
591,419,BHR,NGDPRPC,Bahrain,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",7861.48,7769.61,7977.82,8254.36,8319.58,7967.72,7733.43,7375.77,7543.48,7354.82,7546.72,7410.5,7808.91,8184.5,8227.99,8168.41,8214.66,8188.83,8362.67,8631.68,8997.07,8890.23,8551.27,8448.06,8388.03,8300.07,8178.04,8184.22,8166.9,7863.38,7831.21,8250.87,8459.77,8603.26,8558.47,8414.26,8386.8,8295.8,8427.41,8755.67,8375.35,8493.41,8580.6,8668.2,8755.29,8844.6,8935.63,2020.0
592,419,BHR,NGDPRPPPPC,Bahrain,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",44999.95,44474.09,45665.91,47248.85,47622.14,45608.11,44267.01,42219.68,43179.68,42099.8,43198.22,42418.5,44699.05,46848.98,47097.89,46756.83,47021.61,46873.72,47868.8,49408.69,51500.17,50888.65,48948.39,48357.61,48013.99,47510.52,46811.96,46847.33,46748.23,45010.86,44826.72,47228.9,48424.65,49246.0,48989.61,48164.15,48006.93,47486.02,48239.39,50118.41,47941.39,48617.21,49116.26,49617.71,50116.2,50627.42,51148.5,2020.0
593,419,BHR,NGDPPC,Bahrain,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",3841.49,4159.08,4219.36,4180.24,4197.45,3828.57,2893.62,3026.56,3610.65,3635.18,3827.54,3854.89,3961.85,4245.14,4428.18,4565.8,4624.29,4670.72,4348.81,4591.04,5344.68,5224.27,5076.58,5446.76,6002.46,6755.3,7244.61,7861.54,8736.76,7318.95,7831.22,9054.24,9563.35,9762.96,9549.77,8519.93,8513.12,8885.48,9418.67,9747.9,8869.82,9886.52,10171.92,10407.11,10682.96,10982.6,11294.36,2020.0
594,419,BHR,NGDPDPC,Bahrain,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",10189.61,11061.39,11221.7,11117.66,11163.44,10182.37,7695.81,8049.36,9602.79,9668.04,10179.63,10252.37,10536.82,11290.27,11777.07,12143.09,12298.65,12422.12,11565.97,12210.22,14214.58,13894.34,13501.55,14486.06,15963.98,17966.22,19267.57,20908.34,23236.06,19465.29,20827.72,24080.43,25434.45,25965.31,25398.32,22659.37,22641.28,23631.59,25049.64,25925.28,23589.96,26293.95,27052.97,27678.48,28412.12,29209.05,30038.18,2020.0
