,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
630,513,BGD,NGDP_R,Bangladesh,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office. Bangladesh Bureau of Statistics Latest actual data: FY2019/20. Fiscal year data are mapped to calendar year as follows: FY(t/t+1) = CY(t+1) National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: July/June. Authorities report July/June Base year: FY2005/06. The base year is in fiscal year Chain-weighted: No Primary domestic currency: Bangladesh taka Data last updated: 09/2021,1499.68,1564.91,1602.09,1666.44,1752.77,1809.27,1886.13,1956.53,1998.77,2050.99,2172.84,2245.4,2358.56,2466.44,2567.19,2693.62,2818.12,2969.95,3125.14,3277.38,3472.21,3655.33,3816.72,4017.33,4269.24,4523.49,4823.37,5163.83,5474.37,5750.56,6070.97,6463.42,6884.93,7298.96,7741.36,8248.62,8835.39,9478.99,10224.38,11057.94,11445.97,11972.35,12755.78,13674.2,14658.74,15714.17,16829.87,2020.0
631,513,BGD,NGDP_RPCH,Bangladesh,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.05,4.349,2.376,4.016,5.181,3.223,4.249,3.732,2.159,2.612,5.941,3.339,5.04,4.574,4.085,4.925,4.622,5.387,5.225,4.872,5.945,5.274,4.415,5.256,6.27,5.956,6.629,7.059,6.014,5.045,5.572,6.464,6.521,6.014,6.061,6.553,7.114,7.284,7.864,8.153,3.509,4.599,6.544,7.2,7.2,7.2,7.1,2020.0
632,513,BGD,NGDP,Bangladesh,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office. Bangladesh Bureau of Statistics Latest actual data: FY2019/20. Fiscal year data are mapped to calendar year as follows: FY(t/t+1) = CY(t+1) National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: July/June. Authorities report July/June Base year: FY2005/06. The base year is in fiscal year Chain-weighted: No Primary domestic currency: Bangladesh taka Data last updated: 09/2021,349.757,373.749,419.699,473.728,568.262,651.98,734.062,844.307,928.096,1033.29,1164.04,1282.26,1386.96,1454.57,1571.08,1769.55,1929.73,2096.54,2322.49,2548.98,2750.72,2941.7,3169.74,3487.4,3863.23,4301.03,4823.37,5498.0,6286.82,7050.72,7975.39,9158.29,10552.04,11989.23,13436.74,15158.02,17328.64,19758.15,22504.81,25424.84,27393.32,30164.64,33915.37,38483.8,43584.95,49314.92,55746.19,2020.0
633,513,BGD,NGDPD,Bangladesh,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",22.561,22.353,20.93,20.274,22.744,24.442,25.138,27.521,29.612,32.289,34.831,36.036,36.718,37.05,39.386,43.969,47.025,48.935,51.158,53.109,54.348,54.502,55.759,60.108,65.666,69.461,71.815,79.617,91.63,102.478,115.279,128.605,133.304,150.026,172.887,195.147,221.398,249.695,273.3,302.397,323.057,355.689,390.608,429.417,470.832,516.242,565.502,2020.0
634,513,BGD,PPPGDP,Bangladesh,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",40.711,47.053,51.562,56.051,60.5,64.75,68.686,72.448,76.794,83.235,90.325,97.305,104.301,111.389,118.903,127.187,136.009,145.693,154.764,165.452,178.675,191.532,203.941,219.978,239.681,262.776,289.442,316.641,340.512,360.908,387.271,420.989,473.808,509.208,553.757,595.349,650.672,710.584,785.863,868.972,870.79,953.385,1070.27,1174.63,1287.91,1409.95,1539.86,2020.0
635,513,BGD,NGDP_D,Bangladesh,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",23.322,23.883,26.197,28.428,32.421,36.036,38.919,43.153,46.433,50.38,53.572,57.106,58.805,58.974,61.199,65.694,68.476,70.592,74.317,77.775,79.221,80.477,83.049,86.809,90.49,95.082,100.0,106.471,114.841,122.609,131.369,141.694,153.263,164.259,173.571,183.764,196.128,208.442,220.109,229.924,239.327,251.953,265.882,281.434,297.331,313.825,331.234,2020.0
636,513,BGD,NGDPRPC,Bangladesh,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",18830.87,19138.47,19087.97,19345.11,19823.99,19933.69,20240.17,20450.55,20356.94,20368.23,21060.41,21263.39,21841.83,22350.95,22771.34,23388.23,23953.45,24716.5,25473.29,26179.32,27199.31,28098.72,28810.23,29804.01,31165.4,32534.8,34227.43,36196.67,37936.33,39407.7,41138.08,43299.1,45593.21,47779.11,50099.35,52789.05,55930.51,59365.91,63365.34,67820.92,69500.38,71990.96,75978.97,80706.2,85754.99,91149.96,96827.05,2020.0
637,513,BGD,NGDPRPPPPC,Bangladesh,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",1358.24,1396.83,1404.43,1431.47,1452.91,1468.33,1487.13,1490.99,1487.49,1512.77,1544.41,1572.34,1611.44,1645.06,1682.9,1725.94,1774.26,1829.33,1882.1,1944.39,2013.57,2071.46,2132.64,2217.11,2314.84,2424.46,2555.89,2689.31,2805.31,2921.6,3063.12,3224.92,3387.44,3550.66,3731.97,3943.01,4181.1,4450.31,4756.74,5113.78,5012.94,5246.1,5677.52,6030.76,6408.03,6807.88,7224.91,2020.0
638,513,BGD,NGDPPC,Bangladesh,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",4391.75,4570.88,5000.46,5499.35,6427.1,7183.23,7877.25,8825.09,9452.39,10261.55,11282.5,12142.67,12844.14,13181.3,13935.75,15364.65,16402.29,17447.8,18930.88,20360.92,21547.6,22613.05,23926.52,25872.51,28201.54,30934.73,34227.42,38539.07,43566.47,48317.48,54042.78,61352.29,69877.45,78481.7,86957.87,97007.44,109695.16,123743.22,139473.0,155936.45,166333.27,181383.06,202014.66,227134.48,254976.01,286050.95,320723.68,2020.0
639,513,BGD,NGDPDPC,Bangladesh,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",283.284,273.372,249.371,235.351,257.242,269.294,269.762,287.665,301.593,320.657,337.603,341.254,340.031,335.752,349.359,381.778,399.703,407.248,416.99,424.225,425.728,418.961,420.891,445.932,479.362,499.591,509.61,558.087,634.979,702.264,781.154,861.541,882.763,982.072,1118.86,1248.89,1401.51,1563.81,1693.77,1854.67,1961.61,2138.79,2326.63,2534.45,2754.41,2994.46,3253.5,2020.0
