,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
675,316,BRB,NGDP_R,Barbados,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office. The National Statistics Office is the primary source of National Accounts Data. Partial data is published on the central bank website. Expenditure side not available. Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 2010. Constant price GDP is based on 1974 as base year, compiled by the Central bank of Barbados (CBB). Currently, the Barbados Statistical Services (BSS) ,with the assistance of CARTAC, began compiling constant price GDP by industry using 2010 as base year. Chain-weighted: No Primary domestic currency: Barbados dollar Data last updated: 08/2021",6.858,6.728,6.398,6.43,6.661,6.735,7.078,7.262,7.516,7.787,7.53,7.236,6.824,6.878,7.016,7.158,7.442,7.795,8.086,8.112,8.474,8.273,8.339,8.52,8.639,8.982,9.491,9.7,9.768,9.272,9.06,8.999,8.958,8.832,8.821,9.037,9.261,9.305,9.251,9.132,7.488,7.735,8.393,8.796,9.042,9.208,9.378,2019.0
676,316,BRB,NGDP_RPCH,Barbados,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.371,-1.9,-4.9,0.5,3.6,1.1,5.1,2.6,3.5,3.6,-3.3,-3.9,-5.7,0.8,2.0,2.023,3.966,4.74,3.74,0.326,4.453,-2.367,0.791,2.171,1.407,3.965,5.669,2.202,0.698,-5.076,-2.288,-0.673,-0.45,-1.411,-0.126,2.446,2.485,0.478,-0.583,-1.287,-18.0,3.3,8.5,4.8,2.8,1.84,1.84,2019.0
677,316,BRB,NGDP,Barbados,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office. The National Statistics Office is the primary source of National Accounts Data. Partial data is published on the central bank website. Expenditure side not available. Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 2010. Constant price GDP is based on 1974 as base year, compiled by the Central bank of Barbados (CBB). Currently, the Barbados Statistical Services (BSS) ,with the assistance of CARTAC, began compiling constant price GDP by industry using 2010 as base year. Chain-weighted: No Primary domestic currency: Barbados dollar Data last updated: 08/2021",2.036,2.241,2.341,2.486,2.709,2.835,3.113,3.428,3.646,4.035,4.047,4.064,3.914,4.15,4.327,4.459,4.754,5.025,5.666,5.937,6.119,6.109,6.213,6.419,6.889,7.639,8.435,9.348,9.57,8.931,9.06,9.315,9.22,9.354,9.393,9.43,9.66,9.956,10.173,10.596,8.836,9.297,10.284,10.993,11.538,12.022,12.524,2019.0
678,316,BRB,NGDPD,Barbados,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.018,1.12,1.171,1.243,1.355,1.418,1.557,1.714,1.823,2.018,2.024,2.032,1.957,2.075,2.163,2.229,2.377,2.513,2.833,2.969,3.059,3.055,3.106,3.21,3.444,3.82,4.217,4.674,4.785,4.466,4.53,4.658,4.61,4.677,4.696,4.715,4.83,4.978,5.087,5.298,4.418,4.648,5.142,5.496,5.769,6.011,6.262,2019.0
679,316,BRB,PPPGDP,Barbados,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.513,1.625,1.641,1.714,1.839,1.918,2.057,2.163,2.317,2.495,2.503,2.486,2.398,2.475,2.578,2.685,2.843,3.029,3.178,3.233,3.453,3.448,3.529,3.677,3.829,4.105,4.472,4.694,4.817,4.602,4.551,4.614,4.344,4.36,4.322,4.426,4.559,4.519,4.6,4.622,3.836,4.105,4.577,4.911,5.163,5.373,5.585,2019.0
680,316,BRB,NGDP_D,Barbados,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",29.688,33.308,36.595,38.656,40.672,42.102,43.982,47.206,48.512,51.824,53.75,56.166,57.363,60.332,61.672,62.292,63.887,64.471,70.073,73.188,72.206,73.842,74.507,75.346,79.734,85.05,88.872,96.37,97.974,96.326,100.0,103.517,102.922,105.916,106.483,104.353,104.306,106.994,109.968,116.029,118.002,120.185,122.528,124.979,127.604,130.553,133.549,2019.0
681,316,BRB,NGDPRPC,Barbados,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",27192.56,26582.52,25204.18,25262.83,26103.06,26314.82,27569.4,28190.13,29073.41,30011.97,28919.48,27695.78,26026.57,26144.53,26573.89,27014.96,27982.63,29198.92,30177.49,30166.39,31401.71,30563.41,30715.22,31292.22,31635.64,32779.79,34508.23,35126.18,35222.14,33296.13,32406.52,32070.1,31814.33,31262.71,31126.68,31794.84,32495.98,32568.53,32296.72,31800.3,26010.26,26800.61,29005.08,30320.41,31090.51,31582.45,32082.18,2019.0
682,316,BRB,NGDPRPPPPC,Barbados,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",13206.74,12910.46,12241.03,12269.52,12677.6,12780.44,13389.76,13691.23,14120.22,14576.06,14045.46,13451.14,12640.45,12697.74,12906.27,13120.48,13590.46,14181.18,14656.44,14651.06,15251.02,14843.88,14917.61,15197.84,15364.63,15920.32,16759.77,17059.9,17106.5,16171.09,15739.03,15575.63,15451.41,15183.51,15117.44,15441.95,15782.48,15817.71,15685.7,15444.6,12632.53,13016.38,14087.03,14725.85,15099.87,15338.8,15581.5,2019.0
683,316,BRB,NGDPPC,Barbados,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",8073.02,8854.11,9223.39,9765.58,10616.63,11079.12,12125.57,13307.44,14104.01,15553.43,15544.35,15555.73,14929.73,15773.56,16388.76,16828.23,17877.13,18824.73,21146.22,22078.19,22674.06,22568.74,22885.12,23577.31,25224.41,27879.34,30668.02,33851.22,34508.46,32072.81,32406.51,33198.03,32743.9,33112.21,33144.62,33178.9,33895.26,34846.5,35516.17,36897.65,30692.57,32210.26,35539.46,37894.13,39672.58,41231.74,42845.45,2019.0
684,316,BRB,NGDPDPC,Barbados,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",4036.51,4427.06,4611.69,4882.79,5308.31,5539.56,6062.78,6653.72,7052.01,7776.71,7772.17,7777.87,7464.87,7886.78,8194.38,8414.12,8938.57,9412.37,10573.11,11039.1,11337.03,11284.37,11442.56,11788.65,12612.21,13939.67,15334.01,16925.61,17254.23,16036.4,16203.26,16599.01,16371.95,16556.1,16572.31,16589.45,16947.63,17423.25,17758.08,18448.83,15346.28,16105.13,17769.73,18947.06,19836.29,20615.87,21422.72,2019.0
