,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
720,913,BLR,NGDP_R,Belarus,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office. Formally, the National Statistical Committee of the Republic of Belarus Latest actual data: 2020 Notes: The national accounts have been updated from 2014 onwards. Prior to 2014 the data are adjusted to produce smooth series with the use of a splicing technique. These estimates continue to serve as proxies for historical series when complete information is unavailable. Statistical discrepancies between GDP and components are a consequence of statistical discrepancies reported by the authorities and chain-weighting. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2018 Chain-weighted: Yes, from 2005 Primary domestic currency: Belarusian ruble Data last updated: 09/2021",,,,,,,,,,,,,55.83,51.587,45.551,40.502,41.626,46.385,50.301,51.988,54.983,57.576,60.483,64.737,72.143,78.961,86.858,94.359,104.017,104.191,112.324,118.266,120.192,121.348,123.394,118.669,115.66,118.598,122.32,124.089,122.912,125.457,126.099,127.402,128.906,130.557,132.279,2020.0
721,913,BLR,NGDP_RPCH,Belarus,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",,,,,,,,,,,,,,-7.6,-11.7,-11.084,2.776,11.434,8.442,3.354,5.76,4.717,5.048,7.033,11.439,9.452,10.001,8.637,10.235,0.168,7.805,5.29,1.629,0.962,1.686,-3.83,-2.536,2.541,3.138,1.446,-0.949,2.071,0.512,1.033,1.18,1.281,1.319,2020.0
722,913,BLR,NGDP,Belarus,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office. Formally, the National Statistical Committee of the Republic of Belarus Latest actual data: 2020 Notes: The national accounts have been updated from 2014 onwards. Prior to 2014 the data are adjusted to produce smooth series with the use of a splicing technique. These estimates continue to serve as proxies for historical series when complete information is unavailable. Statistical discrepancies between GDP and components are a consequence of statistical discrepancies reported by the authorities and chain-weighting. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2018 Chain-weighted: Yes, from 2005 Primary domestic currency: Belarusian ruble Data last updated: 09/2021",,,,,,,,,,,,,,,0.006,0.012,0.019,0.037,0.07,0.302,0.946,1.776,2.703,3.781,5.169,6.728,8.196,10.047,13.417,14.209,17.047,30.725,54.762,67.069,80.579,89.91,94.949,105.748,122.32,134.732,147.006,167.542,188.245,202.047,216.21,230.579,244.971,2020.0
723,913,BLR,NGDPD,Belarus,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,12.8,11.408,15.687,10.532,14.494,14.091,15.215,12.133,10.785,12.778,15.092,18.42,23.928,31.239,38.219,46.815,62.798,50.855,57.22,61.368,65.669,75.496,78.736,56.329,47.703,54.723,60.011,64.414,60.201,65.754,70.632,73.236,76.771,79.944,82.863,2020.0
724,913,BLR,PPPGDP,Belarus,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,50.706,47.963,43.256,39.268,41.097,46.585,51.086,53.544,57.911,62.009,66.154,72.205,82.625,93.27,105.763,118.003,132.574,133.648,145.811,156.715,171.038,179.366,179.598,171.204,168.422,173.63,183.356,189.336,189.8,200.712,207.292,214.417,221.893,229.617,237.465,2020.0
725,913,BLR,NGDP_D,Belarus,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",,,,,,,,,,,,,,0.001,0.012,0.03,0.046,0.079,0.14,0.582,1.72,3.085,4.469,5.841,7.165,8.521,9.436,10.648,12.899,13.638,15.176,25.979,45.562,55.27,65.302,75.765,82.093,89.165,100.0,108.577,119.603,133.546,149.283,158.589,167.727,176.611,185.194,2020.0
726,913,BLR,NGDPRPC,Belarus,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,,5464.39,5037.75,4453.55,3979.75,4104.33,4595.8,5007.59,5188.95,5503.79,5782.51,6109.41,6585.0,7389.38,8142.85,9019.51,9850.65,10900.93,10951.37,11828.52,12485.85,12717.42,12851.94,13065.88,12553.55,12214.57,12523.56,12946.62,13160.36,13061.81,13417.88,13554.31,13763.21,13995.63,14246.13,14506.5,2020.0
727,913,BLR,NGDPRPPPPC,Belarus,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,8980.75,8868.63,7999.97,7375.37,6520.1,5826.44,6008.82,6728.35,7331.22,7596.74,8057.66,8465.72,8944.3,9640.58,10818.21,11921.31,13204.75,14421.56,15959.19,16033.04,17317.2,18279.55,18618.57,18815.51,19128.72,18378.65,17882.39,18334.76,18954.13,19267.04,19122.76,19644.05,19843.8,20149.63,20489.89,20856.63,21237.82,2020.0
728,913,BLR,NGDPPC,Belarus,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,0.003,0.03,0.541,1.192,1.891,3.633,6.987,30.189,94.655,178.375,273.023,384.622,529.471,693.821,851.103,1048.87,1406.14,1493.5,1795.13,3243.72,5794.27,7103.25,8532.32,9511.25,10027.35,11166.65,12946.62,14289.12,15622.32,17918.98,20234.35,21827.0,23474.41,25160.26,26865.1,2020.0
729,913,BLR,NGDPDPC,Belarus,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,1252.79,1114.1,1533.72,1034.93,1429.06,1396.11,1514.67,1210.97,1079.61,1283.27,1524.49,1873.67,2450.9,3221.46,3968.75,4887.28,6581.18,5345.33,6025.69,6478.89,6948.35,7995.73,8337.15,5958.84,5037.85,5778.56,6351.76,6831.52,6397.51,7032.48,7592.19,7911.69,8335.22,8723.33,9087.23,2020.0
730,913,BLR,PPPPC,Belarus,"Gross domestic product per capita, current prices","Expressed in GDP in PPP dollars per person. Data are derived by dividing GDP in PPP dollars by total population. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,4962.93,4683.89,4229.17,3858.48,4052.13,4615.59,5085.75,5344.21,5796.88,6227.66,6682.27,7344.62,8463.03,9618.44,10982.7,12318.9,13893.77,14047.51,15355.01,16545.09,18097.31,18996.63,19017.15,18111.13,17786.66,18334.76,19406.91,20080.2,20170.0,21466.51,22281.63,23163.39,24091.42,25055.33,26041.93,2020.0
731,913,BLR,NGAP_NPGDP,Belarus,Output gap in percent of potential GDP,"Output gaps for advanced economies are calculated as actual GDP less potential GDP as a percent of potential GDP. Estimates of output gaps are subject to a significant margin of uncertainty. For a discussion of approaches to calculating potential output, see Paula R. De Masi, IMF Estimates of Potential Output: Theory and Practice, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1997), pp. 40-46.",Percent of potential GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
732,913,BLR,PPPSH,Belarus,Gross domestic product based on purchasing-power-parity (PPP) share of world total,"Expressed in percent of world GDP in PPP dollars. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Percent,,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,0.153,0.139,0.119,0.102,0.101,0.108,0.114,0.114,0.115,0.118,0.12,0.124,0.131,0.137,0.143,0.147,0.158,0.159,0.162,0.164,0.17,0.17,0.165,0.154,0.146,0.143,0.142,0.14,0.144,0.139,0.133,0.13,0.127,0.125,0.122,2020.0
