,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
765,124,BEL,NGDP_R,Belgium,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: Central Bank. Data before 1995 were spliced with older series. Data from 1995 reflect current official series, following benchmark national account revision 1995-2018 released in Sept 2019. Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995. Data before 1995 are spliced with older series. Primary domestic currency: Euro Data last updated: 09/2021",216.762,216.156,217.442,218.121,223.5,227.192,231.333,236.669,247.848,256.446,264.492,269.34,273.463,270.832,279.572,286.239,290.021,301.023,306.928,317.802,329.614,333.239,338.927,342.445,354.674,362.91,372.17,385.855,387.581,379.748,390.626,397.245,400.181,402.019,408.365,416.701,421.98,428.823,436.489,444.279,416.361,439.825,453.492,461.541,467.875,473.944,480.328,2020.0
766,124,BEL,NGDP_RPCH,Belgium,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.444,-0.279,0.595,0.312,2.466,1.652,1.823,2.307,4.723,3.469,3.137,1.833,1.531,-0.962,3.227,2.385,1.321,3.794,1.962,3.543,3.717,1.1,1.707,1.038,3.571,2.322,2.552,3.677,0.447,-2.021,2.865,1.694,0.739,0.459,1.579,2.041,1.267,1.622,1.788,1.785,-6.284,5.636,3.107,1.775,1.372,1.297,1.347,2020.0
767,124,BEL,NGDP,Belgium,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: Central Bank. Data before 1995 were spliced with older series. Data from 1995 reflect current official series, following benchmark national account revision 1995-2018 released in Sept 2019. Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995. Data before 1995 are spliced with older series. Primary domestic currency: Euro Data last updated: 09/2021",89.375,93.706,101.399,107.425,116.061,123.436,129.202,134.409,143.81,155.938,165.353,173.228,181.903,187.346,197.442,210.489,214.288,224.101,232.624,242.306,256.376,264.335,273.255,281.201,296.82,310.037,325.151,343.619,351.742,346.473,363.14,375.968,386.175,392.88,403.004,416.702,430.085,445.05,460.37,476.343,451.177,487.169,512.73,531.224,548.342,565.303,583.035,2020.0
768,124,BEL,NGDPD,Belgium,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",123.478,102.245,89.958,85.037,81.237,84.467,117.063,145.411,158.097,159.816,200.149,205.369,228.732,218.72,238.622,288.301,279.292,253.022,258.876,258.5,236.897,236.748,258.2,318.004,369.047,385.927,408.281,470.978,517.27,482.73,481.814,523.239,496.467,521.799,535.529,462.383,475.931,502.587,543.923,533.313,514.92,581.848,619.16,650.836,680.048,708.703,736.648,2020.0
769,124,BEL,PPPGDP,Belgium,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",106.129,115.845,123.735,128.982,136.933,143.596,149.157,156.372,169.533,182.293,195.048,205.341,213.235,216.189,227.933,238.262,245.83,259.555,267.626,281.012,298.059,308.126,318.27,327.921,348.748,368.037,389.074,414.282,424.115,418.207,435.357,451.933,469.721,487.344,503.621,521.018,550.622,575.834,600.13,621.768,589.718,645.401,683.771,712.467,738.707,764.544,790.897,2020.0
770,124,BEL,NGDP_D,Belgium,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",41.232,43.351,46.633,49.25,51.929,54.331,55.851,56.792,58.024,60.807,62.517,64.316,66.518,69.174,70.623,73.536,73.887,74.446,75.791,76.244,77.781,79.323,80.624,82.116,83.688,85.431,87.366,89.054,90.753,91.238,92.964,94.644,96.5,97.727,98.687,100.0,101.921,103.784,105.471,107.217,108.362,110.764,113.063,115.098,117.198,119.276,121.383,2020.0
771,124,BEL,NGDPRPC,Belgium,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",21994.86,21915.05,22065.1,22126.21,22683.42,23047.11,23464.41,23991.4,25096.67,25831.57,26588.0,26969.12,27286.24,26899.45,27678.66,28254.96,28593.09,29598.46,30113.82,31115.11,32191.74,32468.63,32874.5,33067.8,34115.01,34742.02,35406.38,36454.6,36335.04,35315.28,36035.93,36111.09,36130.82,36094.45,36523.64,37082.04,37306.66,37776.01,38293.25,38782.97,36134.79,38107.54,39150.22,39669.08,40046.16,40407.2,40798.74,2020.0
772,124,BEL,NGDPRPPPPC,Belgium,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",29535.23,29428.07,29629.55,29711.61,30459.84,30948.22,31508.58,32216.24,33700.42,34687.27,35703.01,36214.79,36640.62,36121.23,37167.57,37941.46,38395.49,39745.53,40437.57,41782.13,43227.86,43599.67,44144.67,44404.25,45810.47,46652.43,47544.55,48952.13,48791.58,47422.22,48389.92,48490.85,48517.35,48468.5,49044.84,49794.66,50096.29,50726.55,51421.11,52078.71,48522.68,51171.73,52571.87,53268.6,53774.96,54259.77,54785.54,2020.0
773,124,BEL,NGDPPC,Belgium,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",9068.88,9500.36,10289.54,10897.18,11779.19,12521.8,13105.08,13625.18,14562.02,15707.51,16622.06,17345.44,18150.38,18607.51,19547.51,20777.6,21126.59,22035.01,22823.59,23723.51,25038.96,25755.08,26504.59,27153.85,28550.21,29680.39,30933.23,32464.25,32975.2,32220.82,33500.29,34176.93,34866.28,35273.92,36044.16,37082.13,38023.21,39205.49,40388.33,41581.97,39156.38,42209.57,44264.27,45658.22,46933.42,48196.19,49522.62,2020.0
774,124,BEL,NGDPDPC,Belgium,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",12529.35,10366.11,9128.58,8626.16,8244.85,8568.65,11873.81,14740.46,16008.64,16098.16,20119.94,20563.73,22823.03,21723.62,23624.47,28458.47,27535.29,24878.75,25399.22,25309.06,23136.51,23067.16,25044.33,30707.67,35497.55,36945.5,38841.79,44496.79,48493.14,44892.23,44448.17,47564.38,44824.16,46848.61,47897.04,41147.26,42076.4,44274.07,47718.41,46555.09,44688.46,50412.71,53452.46,55938.77,58206.32,60422.1,62570.41,2020.0
