,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
810,339,BLZ,NGDP_R,Belize,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2020. National accounts data in real and nominal terms from the production and expenditure sides are available at annual frequency and are published once a year. Data up to 2019 was released on April 2021. Real GDP from the supply side is also published at quarterly frequency. The latest data published in August 2021 goes to the second quarter of 2021. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No Primary domestic currency: Belize dollar Data last updated: 09/2021,0.462,0.463,0.428,0.454,0.506,0.498,0.535,0.652,0.723,0.835,0.928,1.035,1.16,1.232,1.234,1.242,1.26,1.305,1.354,1.472,1.664,1.748,1.837,2.008,2.09,2.131,2.234,2.245,2.323,2.329,2.398,2.445,2.504,2.536,2.639,2.708,2.707,2.756,2.836,2.886,2.481,2.692,2.837,2.917,2.975,3.035,3.095,2020.0
811,339,BLZ,NGDP_RPCH,Belize,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.013,0.214,-7.551,6.076,11.332,-1.419,7.275,21.997,10.861,15.474,11.209,11.464,12.059,6.276,0.158,0.644,1.428,3.545,3.741,8.779,13.02,5.016,5.12,9.328,4.077,1.941,4.825,0.511,3.49,0.217,3.004,1.921,2.416,1.301,4.037,2.634,-0.032,1.813,2.909,1.761,-14.038,8.5,5.4,2.8,2.0,2.0,2.0,2020.0
812,339,BLZ,NGDP,Belize,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2020. National accounts data in real and nominal terms from the production and expenditure sides are available at annual frequency and are published once a year. Data up to 2019 was released on April 2021. Real GDP from the supply side is also published at quarterly frequency. The latest data published in August 2021 goes to the second quarter of 2021. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No Primary domestic currency: Belize dollar Data last updated: 09/2021,0.344,0.359,0.359,0.378,0.422,0.418,0.456,0.533,0.63,0.726,0.824,0.889,1.036,1.12,1.162,1.24,1.283,1.309,1.378,1.465,1.664,1.744,1.865,1.963,2.102,2.205,2.421,2.543,2.703,2.599,2.754,2.922,3.046,3.159,3.335,3.443,3.579,3.717,3.832,3.965,3.413,3.817,4.124,4.324,4.499,4.681,4.87,2020.0
813,339,BLZ,NGDPD,Belize,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.172,0.179,0.179,0.189,0.211,0.209,0.228,0.267,0.315,0.363,0.412,0.445,0.518,0.56,0.581,0.62,0.641,0.654,0.689,0.733,0.832,0.872,0.933,0.981,1.051,1.103,1.211,1.272,1.351,1.299,1.377,1.461,1.523,1.579,1.667,1.722,1.789,1.859,1.916,1.983,1.706,1.909,2.062,2.162,2.25,2.34,2.435,2020.0
814,339,BLZ,PPPGDP,Belize,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.206,0.226,0.222,0.245,0.283,0.287,0.315,0.393,0.451,0.542,0.625,0.72,0.825,0.898,0.918,0.944,0.975,1.027,1.077,1.188,1.373,1.475,1.574,1.755,1.876,1.972,2.131,2.2,2.32,2.34,2.439,2.538,2.458,2.498,2.541,2.612,2.666,2.703,2.848,2.95,2.567,2.885,3.125,3.289,3.431,3.575,3.723,2020.0
815,339,BLZ,NGDP_D,Belize,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",74.565,77.511,83.769,83.26,83.457,83.972,85.269,81.748,87.125,87.011,88.768,85.945,89.374,90.85,94.11,99.83,101.796,100.294,101.801,99.526,100.0,99.777,101.525,97.731,100.545,103.483,108.393,113.275,116.319,111.612,114.837,119.514,121.655,124.55,126.381,127.153,132.188,134.857,135.091,137.369,137.538,141.801,145.346,148.253,151.218,154.243,157.327,2020.0
816,339,BLZ,NGDPRPC,Belize,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",3080.07,3080.52,2795.83,2884.67,3126.16,2998.37,3126.21,3716.09,4039.13,4544.8,4912.49,5334.54,5827.65,6012.11,5850.4,5738.51,5676.27,5673.04,5675.5,6058.05,6662.84,6824.24,6995.15,7455.85,7563.24,7513.75,7674.21,7514.08,7573.11,7390.31,7438.27,7361.28,7346.51,7251.91,7351.89,7352.72,7162.54,7106.06,7125.89,7066.09,5928.23,6287.51,6497.1,6548.06,6548.06,6548.06,6548.06,2020.0
817,339,BLZ,NGDPRPPPPC,Belize,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",3020.73,3021.16,2741.96,2829.09,3065.93,2940.6,3065.98,3644.49,3961.31,4457.24,4817.85,5231.76,5715.38,5896.28,5737.68,5627.95,5566.9,5563.74,5566.15,5941.33,6534.47,6692.76,6860.38,7312.2,7417.52,7368.99,7526.36,7369.31,7427.21,7247.92,7294.96,7219.45,7204.97,7112.19,7210.25,7211.06,7024.55,6969.15,6988.6,6929.95,5814.01,6166.38,6371.92,6421.9,6421.9,6421.9,6421.9,2020.0
818,339,BLZ,NGDPPC,Belize,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2296.65,2387.73,2342.04,2401.78,2609.02,2517.79,2665.7,3037.82,3519.08,3954.46,4360.7,4584.75,5208.43,5462.03,5505.82,5728.78,5778.23,5689.69,5777.72,6029.35,6662.84,6809.04,7101.83,7286.65,7604.45,7775.47,8318.3,8511.59,8808.99,8248.43,8541.88,8797.76,8937.4,9032.23,9291.39,9349.2,9468.02,9583.04,9626.43,9706.64,8153.54,8915.77,9443.29,9707.7,9901.86,10099.89,10301.89,2020.0
819,339,BLZ,NGDPDPC,Belize,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1148.32,1193.87,1171.02,1200.89,1304.51,1258.9,1332.85,1518.91,1759.54,1977.23,2180.35,2292.38,2604.22,2731.02,2752.91,2864.39,2889.12,2844.85,2888.86,3014.68,3331.42,3404.52,3550.92,3643.32,3802.23,3887.73,4159.15,4255.8,4404.5,4124.22,4270.94,4398.88,4468.7,4516.11,4645.69,4674.6,4734.01,4791.52,4813.21,4853.32,4076.77,4457.89,4721.64,4853.85,4950.93,5049.95,5150.95,2020.0
