,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
900,514,BTN,NGDP_R,Bhutan,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: FY2019/20. Fiscal year data are mapped to calendar year as follows: FY(t/t+1) = CY(t+1) National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Factor costs Start/end months of reporting year: July/June Base year: FY2000/01. Nominal and real GDP are not measured in the same way and as a result, the GDP deflator is not equal to 100. Chain-weighted: No Primary domestic currency: Bhutanese ngultrum Data last updated: 09/2021",4.462,5.069,5.484,5.886,6.335,6.61,7.136,8.579,9.873,10.485,11.438,11.999,12.248,12.639,12.922,13.699,14.517,15.322,16.243,17.394,18.6,19.909,21.804,23.836,25.475,27.173,29.113,32.857,36.459,38.574,42.232,46.399,49.413,51.183,53.214,56.524,60.712,64.55,67.025,69.893,69.322,67.994,70.848,74.877,80.551,85.185,90.086,2020.0
901,514,BTN,NGDP_RPCH,Bhutan,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.995,13.589,8.195,7.337,7.616,4.349,7.954,20.229,15.079,6.194,9.098,4.896,2.083,3.192,2.232,6.019,5.971,5.544,6.009,7.087,6.934,7.04,9.516,9.32,6.876,6.666,7.137,12.861,10.964,5.801,9.484,9.866,6.495,3.582,3.968,6.221,7.408,6.322,3.835,4.279,-0.817,-1.916,4.198,5.686,7.578,5.753,5.753,2020.0
902,514,BTN,NGDP,Bhutan,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: FY2019/20. Fiscal year data are mapped to calendar year as follows: FY(t/t+1) = CY(t+1) National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Factor costs Start/end months of reporting year: July/June Base year: FY2000/01. Nominal and real GDP are not measured in the same way and as a result, the GDP deflator is not equal to 100. Chain-weighted: No Primary domestic currency: Bhutanese ngultrum Data last updated: 09/2021",0.969,1.152,1.324,1.525,1.776,2.002,2.307,2.872,3.533,4.112,4.774,5.369,5.988,6.717,7.7,9.005,10.336,12.067,14.226,16.557,18.453,20.46,23.547,26.727,29.534,33.038,37.819,44.401,50.862,56.574,65.258,76.86,89.062,99.048,109.649,122.5,136.911,152.39,163.456,172.759,178.37,183.551,202.583,225.954,255.148,282.121,311.034,2020.0
903,514,BTN,NGDPD,Bhutan,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.123,0.133,0.14,0.151,0.156,0.162,0.183,0.222,0.254,0.253,0.273,0.236,0.231,0.242,0.245,0.287,0.301,0.337,0.371,0.389,0.423,0.441,0.481,0.572,0.649,0.758,0.821,1.005,1.26,1.184,1.399,1.696,1.772,1.805,1.784,1.922,2.025,2.365,2.411,2.488,2.503,2.48,2.74,3.0,3.33,3.619,3.922,2020.0
904,514,BTN,PPPGDP,Bhutan,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.194,0.241,0.277,0.309,0.345,0.371,0.409,0.503,0.6,0.662,0.749,0.812,0.848,0.896,0.936,1.013,1.093,1.173,1.258,1.366,1.494,1.635,1.818,2.027,2.224,2.447,2.703,3.133,3.543,3.772,4.18,4.688,5.194,5.462,5.871,6.591,7.27,7.934,8.435,8.953,8.987,9.132,9.777,10.579,11.64,12.577,13.577,2020.0
905,514,BTN,NGDP_D,Bhutan,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",21.724,22.729,24.135,25.904,28.038,30.285,32.327,33.473,35.779,39.22,41.738,44.744,48.884,53.14,59.591,65.735,71.197,78.757,87.584,95.19,99.211,102.764,107.994,112.13,115.933,121.585,129.906,135.134,139.505,146.665,154.521,165.651,180.241,193.518,206.054,216.722,225.509,236.082,243.873,247.176,257.306,269.952,285.939,301.769,316.753,331.185,345.263,2020.0
906,514,BTN,NGDPRPC,Bhutan,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",10927.8,12090.76,12750.82,13378.74,14050.37,14255.03,14911.95,17320.11,19314.98,20008.21,21584.15,22683.24,23462.71,24631.58,25525.64,27221.5,28622.02,29745.07,30764.71,32044.74,33355.4,34658.87,36877.81,39601.92,41576.66,43563.96,45847.93,51114.15,56027.47,58555.54,63328.49,68729.38,72302.2,73980.41,75979.09,79234.67,84068.41,88294.42,91195.01,94703.01,93012.02,90353.87,93242.29,97597.54,103985.26,108911.41,114070.94,2015.0
907,514,BTN,NGDPRPPPPC,Bhutan,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",1343.09,1486.03,1567.15,1644.33,1726.87,1752.03,1832.77,2128.74,2373.93,2459.13,2652.82,2787.9,2883.71,3027.37,3137.25,3345.68,3517.82,3655.84,3781.16,3938.49,4099.58,4259.78,4532.5,4867.31,5110.02,5354.27,5634.98,6282.23,6886.11,7196.82,7783.44,8447.25,8886.37,9092.63,9338.28,9738.41,10332.5,10851.9,11208.4,11639.56,11431.73,11105.02,11460.03,11995.31,12780.4,13385.85,14019.99,2015.0
908,514,BTN,NGDPPC,Bhutan,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2373.92,2748.07,3077.45,3465.63,3939.46,4317.17,4820.61,5797.47,6910.74,7847.3,9008.69,10149.35,11469.5,13089.34,15210.97,17894.17,20378.1,23426.18,26945.0,30503.44,33092.32,35616.7,39825.92,44405.67,48201.25,52967.12,59559.34,69072.58,78160.87,85880.76,97855.83,113850.8,130318.57,143165.38,156558.23,171718.99,189581.85,208447.05,222400.16,234083.49,239325.96,243911.87,266616.12,294519.11,329376.46,360698.17,393844.69,2015.0
909,514,BTN,NGDPDPC,Bhutan,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",301.912,317.384,325.479,343.169,346.705,349.039,382.259,447.284,496.565,483.64,514.626,446.274,442.838,470.84,484.426,569.737,594.213,654.919,701.797,716.174,758.308,767.831,813.421,950.504,1059.21,1215.29,1293.19,1563.08,1936.11,1797.42,2097.66,2511.6,2592.37,2609.65,2546.91,2693.63,2803.64,3234.75,3280.72,3371.02,3358.96,3296.11,3605.55,3910.25,4298.46,4626.95,4965.99,2015.0
