,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
945,218,BOL,NGDP_R,Bolivia,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1990 Chain-weighted: No Primary domestic currency: Bolivian boliviano Data last updated: 08/2021,15.258,15.303,14.701,14.106,14.078,13.842,13.486,13.818,14.22,14.759,15.443,16.256,16.524,17.23,18.034,18.877,19.701,20.677,21.717,21.809,22.356,22.733,23.298,23.929,24.928,26.03,27.279,28.524,30.278,31.294,32.586,34.281,36.037,38.487,40.588,42.56,44.374,46.236,48.189,49.257,44.908,47.131,49.016,50.83,52.659,54.502,56.356,2020.0
946,218,BOL,NGDP_RPCH,Bolivia,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",0.61,0.3,-3.939,-4.042,-0.201,-1.676,-2.574,2.463,2.91,3.79,4.636,5.267,1.646,4.269,4.667,4.678,4.361,4.954,5.029,0.427,2.508,1.684,2.486,2.711,4.173,4.421,4.797,4.564,6.148,3.357,4.127,5.204,5.122,6.796,5.461,4.857,4.264,4.195,4.224,2.217,-8.829,4.95,4.0,3.7,3.6,3.5,3.4,2020.0
948,218,BOL,NGDPD,Bolivia,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",3.589,3.44,3.813,3.609,3.752,4.059,3.97,4.323,4.598,4.716,4.868,5.335,5.635,5.724,5.974,6.707,7.385,7.919,8.49,8.269,8.385,8.155,7.917,8.092,8.785,9.573,11.52,13.216,16.792,17.464,19.786,24.135,27.282,30.883,33.237,33.241,34.189,37.782,40.581,41.193,36.839,38.547,40.895,43.867,47.039,50.391,53.928,2020.0
949,218,BOL,PPPGDP,Bolivia,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",10.681,11.727,11.961,11.927,12.333,12.509,12.433,13.054,13.908,15.001,16.284,17.721,18.423,19.665,21.023,22.468,23.877,25.492,27.075,27.574,28.906,30.055,31.282,32.764,35.048,37.745,40.776,43.79,47.373,49.278,51.928,55.765,61.453,69.841,75.554,77.543,82.736,94.285,100.615,104.685,96.592,105.026,112.234,119.156,126.259,133.517,140.917,2020.0
950,218,BOL,NGDP_D,Bolivia,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",0.001,0.001,0.002,0.009,0.137,17.094,56.413,64.296,75.988,86.008,100.0,117.689,133.224,141.959,153.248,170.76,190.535,201.405,215.606,220.805,232.277,236.621,243.295,258.696,279.308,295.901,336.332,361.131,398.621,388.975,423.117,484.902,519.331,550.467,561.749,535.793,528.534,560.57,577.703,573.699,562.748,561.061,572.346,592.037,612.778,634.245,656.444,2020.0
951,218,BOL,NGDPRPC,Bolivia,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",2956.54,2739.18,2577.49,2422.73,2368.43,2281.11,2176.95,2184.97,2202.56,2239.3,2295.2,2366.67,2356.45,2388.78,2430.79,2494.79,2552.75,2627.0,2705.7,2665.29,2651.99,2646.41,2662.6,2685.68,2748.41,2820.18,2905.1,2986.81,3118.21,3170.64,3248.82,3364.23,3481.88,3661.9,3803.95,3929.79,4037.7,4146.72,4260.72,4294.41,3861.38,3994.13,4098.32,4190.4,4284.74,4377.71,4460.15,2017.0
952,218,BOL,NGDPRPPPPC,Bolivia,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",6029.03,5585.8,5256.07,4940.48,4829.75,4651.68,4439.28,4455.63,4491.51,4566.42,4680.41,4826.16,4805.31,4871.24,4956.93,5087.44,5205.62,5357.03,5517.51,5435.12,5407.99,5396.62,5429.63,5476.7,5604.61,5750.97,5924.15,6090.76,6358.72,6465.64,6625.06,6860.4,7100.32,7467.42,7757.1,8013.7,8233.76,8456.07,8688.55,8757.26,7874.2,8144.91,8357.39,8545.15,8737.52,8927.12,9095.23,2017.0
953,218,BOL,NGDPPC,Bolivia,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",0.022,0.026,0.063,0.216,3.255,389.933,1228.09,1404.85,1673.69,1925.98,2295.2,2785.32,3139.34,3391.09,3725.15,4260.11,4863.87,5290.89,5833.64,5885.11,6159.96,6261.97,6477.98,6947.75,7676.53,8344.94,9770.8,10786.3,12429.84,12333.0,13746.32,16313.21,18082.5,20157.57,21368.67,21055.53,21340.6,23245.27,24614.29,24637.03,21729.82,22409.5,23456.6,24808.7,26255.91,27765.42,29278.38,2017.0
954,218,BOL,NGDPDPC,Bolivia,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",695.535,615.66,668.55,619.896,631.152,668.921,640.94,683.625,712.146,715.525,723.431,776.711,803.547,793.646,805.183,886.368,956.965,1006.1,1057.72,1010.58,994.617,949.383,904.851,908.203,968.545,1037.18,1226.85,1383.89,1729.37,1769.44,1972.68,2368.52,2635.93,2938.42,3114.97,3069.32,3110.87,3388.52,3588.09,3591.4,3167.61,3266.69,3419.33,3616.43,3827.39,4047.44,4267.99,2017.0
955,218,BOL,PPPPC,Bolivia,"Gross domestic product per capita, current prices","Expressed in GDP in PPP dollars per person. Data are derived by dividing GDP in PPP dollars by total population. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2069.78,2099.04,2097.18,2048.45,2074.82,2061.51,2006.99,2064.21,2154.2,2276.02,2420.13,2579.9,2627.29,2726.46,2833.68,2969.27,3093.88,3238.76,3373.34,3369.79,3428.93,3498.81,3575.07,3677.24,3864.14,4089.39,4342.52,4585.31,4878.83,4992.66,5177.26,5472.56,5937.48,6645.21,7080.98,7160.05,7528.31,8456.07,8896.1,9126.86,8305.42,8900.55,9384.1,9823.24,10273.33,10724.26,11152.63,2017.0
