,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
1035,616,BWA,NGDP_R,Botswana,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008. The authority just updated and rebased national accounts using 2008 SNA from 2014 onwards. Before that, data are still based on 1993 SNA GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2016. From 2014 onwards, the base year was just updated to 2016. Before 2014, data are back-cast: GDP series uses the growth rates of the previous data (a ratio-splice); GDP components uses the share of GDP. Chain-weighted: No Primary domestic currency: Botswana pula Data last updated: 08/2021",20.162,21.807,25.268,27.995,29.82,32.115,34.881,40.075,49.461,51.768,56.317,59.83,59.705,62.109,61.621,65.953,69.798,75.401,75.945,83.287,84.942,85.155,90.324,94.501,97.059,101.481,109.969,119.075,126.508,116.827,126.832,134.503,140.496,156.434,162.924,153.609,164.418,171.0,177.807,183.128,167.576,182.929,191.489,199.976,207.909,216.147,224.781,2020.0
1036,616,BWA,NGDP_RPCH,Botswana,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",12.02,8.154,15.874,10.793,6.517,7.695,8.616,14.89,23.42,4.665,8.787,6.237,-0.208,4.027,-0.786,7.03,5.83,8.027,0.721,9.667,1.987,0.25,6.07,4.625,2.706,4.556,8.364,8.28,6.242,-7.652,8.564,6.048,4.456,11.344,4.149,-5.718,7.037,4.003,3.981,2.993,-8.493,9.162,4.68,4.432,3.967,3.962,3.994,2020.0
1037,616,BWA,NGDP,Botswana,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008. The authority just updated and rebased national accounts using 2008 SNA from 2014 onwards. Before that, data are still based on 1993 SNA GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2016. From 2014 onwards, the base year was just updated to 2016. Before 2014, data are back-cast: GDP series uses the growth rates of the previous data (a ratio-splice); GDP components uses the share of GDP. Chain-weighted: No Primary domestic currency: Botswana pula Data last updated: 08/2021",0.847,0.884,1.13,1.348,1.756,2.33,2.712,3.645,5.671,6.3,6.794,7.678,8.427,9.711,11.015,12.633,15.524,17.656,19.501,24.431,28.448,30.89,33.154,35.817,40.495,48.891,56.939,64.689,71.98,70.768,83.681,101.129,105.84,120.567,140.518,137.539,164.418,166.473,172.525,178.48,172.552,194.452,216.257,237.731,259.294,280.093,305.296,2020.0
1038,616,BWA,NGDPD,Botswana,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.132,1.0,1.055,1.165,1.157,1.077,1.461,2.289,2.971,3.317,3.663,3.666,3.788,3.815,4.105,4.558,4.702,4.84,4.642,5.284,5.59,5.312,5.256,7.263,8.637,9.646,9.802,10.54,10.623,9.895,12.325,14.829,15.519,14.368,15.663,13.602,15.094,16.068,16.914,16.592,15.064,17.605,19.002,20.614,22.22,23.793,26.094,2020.0
1039,616,BWA,PPPGDP,Botswana,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.785,2.113,2.6,2.994,3.304,3.671,4.067,4.788,6.118,6.655,7.51,8.248,8.419,8.965,9.085,9.928,10.699,11.757,11.975,13.318,13.89,14.239,15.338,16.364,17.258,18.611,20.789,23.119,25.033,23.266,25.562,27.671,26.702,29.222,32.797,31.046,35.938,35.167,37.44,39.25,36.35,41.11,44.218,47.277,50.272,53.4,56.684,2020.0
1040,616,BWA,NGDP_D,Botswana,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",4.201,4.053,4.47,4.815,5.889,7.256,7.774,9.096,11.467,12.169,12.063,12.834,14.114,15.635,17.875,19.155,22.241,23.416,25.678,29.334,33.491,36.275,36.705,37.901,41.722,48.177,51.777,54.327,56.898,60.575,65.978,75.187,75.333,77.073,86.247,89.538,100.0,97.353,97.029,97.462,102.97,106.299,112.934,118.88,124.715,129.584,135.819,2020.0
1041,616,BWA,NGDPRPC,Botswana,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",22004.07,23366.55,26111.4,27898.97,28658.29,29765.36,31181.9,34556.85,41146.53,41555.49,43580.2,44958.53,43598.35,44115.76,42626.32,44494.45,45984.55,48573.86,47913.02,51554.05,51688.98,50848.62,52986.98,54486.89,54974.34,56407.41,59898.94,63491.08,66039.6,59804.06,63827.31,66737.33,68885.88,75844.7,78005.8,72432.61,76122.13,77548.53,78984.37,79682.39,71422.09,76369.41,78306.25,80102.39,81574.83,83070.63,84619.98,2019.0
1042,616,BWA,NGDPRPPPPC,Botswana,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",4525.19,4805.39,5369.87,5737.49,5893.64,6121.32,6412.63,7106.7,8461.88,8545.98,8962.37,9245.82,8966.1,9072.51,8766.2,9150.39,9456.83,9989.33,9853.42,10602.21,10629.96,10457.14,10896.89,11205.35,11305.6,11600.31,12318.35,13057.09,13581.19,12298.84,13126.23,13724.68,14166.54,15597.63,16042.07,14895.93,15654.69,15948.03,16243.31,16386.87,14688.12,15705.54,16103.86,16473.24,16776.05,17083.66,17402.29,2019.0
1043,616,BWA,NGDPPC,Botswana,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",924.487,947.137,1167.2,1343.27,1687.65,2159.85,2423.95,3143.43,4718.13,5057.03,5257.21,5769.87,6153.63,6897.35,7619.54,8522.81,10227.47,11373.89,12303.29,15122.7,17310.97,18445.2,19449.12,20651.31,22936.28,27175.36,31013.87,34492.63,37575.03,36226.22,42111.99,50177.99,51893.76,58455.51,67277.86,64855.07,76122.19,75495.58,76638.01,77659.97,73543.23,81180.03,88434.41,95225.42,101735.81,107646.42,114930.07,2019.0
1044,616,BWA,NGDPDPC,Botswana,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1235.79,1071.13,1089.76,1161.23,1112.15,998.497,1305.78,1973.51,2471.83,2663.03,2834.69,2755.11,2766.06,2709.97,2839.75,3075.19,3097.82,3117.96,2928.59,3270.46,3401.88,3172.04,3083.47,4187.36,4892.27,5361.37,5339.07,5619.89,5545.42,5065.33,6202.47,7357.59,7609.17,6966.08,7499.16,6413.79,6988.16,7286.77,7513.63,7219.46,6420.23,7349.88,7770.51,8257.27,8718.33,9144.08,9823.11,2019.0
