,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
1170,918,BGR,NGDP_R,Bulgaria,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1996 Primary domestic currency: Bulgarian lev Data last updated: 09/2021",79.492,83.706,87.221,89.838,93.97,95.662,100.732,105.466,107.998,107.458,97.679,87.173,79.828,70.548,67.962,66.874,61.495,52.767,55.029,50.472,52.885,54.904,58.173,61.169,65.11,69.768,74.513,79.399,84.231,81.388,81.844,83.771,84.07,84.343,85.934,89.362,92.776,96.026,98.996,102.653,98.389,102.856,107.381,111.677,115.719,119.353,122.743,2020.0
1171,918,BGR,NGDP_RPCH,Bulgaria,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.7,5.3,4.2,3.0,4.6,1.8,5.3,4.7,2.4,-0.5,-9.1,-10.755,-8.426,-11.625,-3.665,-1.601,-8.043,-14.193,4.285,-8.281,4.782,3.817,5.953,5.152,6.442,7.154,6.802,6.557,6.086,-3.375,0.559,2.355,0.357,0.326,1.885,3.99,3.82,3.503,3.092,3.694,-4.154,4.54,4.4,4.0,3.62,3.14,2.84,2020.0
1172,918,BGR,NGDP,Bulgaria,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1996 Primary domestic currency: Bulgarian lev Data last updated: 09/2021",0.032,0.035,0.036,0.037,0.039,0.04,0.043,0.045,0.048,0.049,0.056,0.169,0.249,0.371,0.653,1.093,2.187,19.032,26.46,25.043,28.125,30.987,34.069,36.638,41.201,47.017,53.608,63.455,72.79,73.181,74.434,80.714,82.239,81.955,83.885,89.362,95.131,102.345,109.743,119.772,118.605,127.579,136.549,145.465,154.499,163.334,172.172,2020.0
1173,918,BGR,NGDPD,Bulgaria,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",32.353,34.895,36.394,37.4,39.728,34.016,30.106,34.897,57.029,58.082,25.608,2.509,10.183,5.527,9.717,16.276,12.295,11.317,15.031,13.628,13.246,14.183,16.403,21.146,26.158,29.868,34.38,44.404,54.434,52.024,50.383,57.388,54.031,55.617,56.902,50.647,53.802,59.093,66.294,68.563,69.209,77.907,84.308,91.121,97.967,104.696,111.223,2020.0
1174,918,BGR,PPPGDP,Bulgaria,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",47.017,54.193,59.958,64.175,69.55,73.041,78.46,84.18,89.24,92.276,87.018,80.285,75.196,68.029,66.935,67.245,62.969,54.963,57.964,53.913,57.771,61.327,65.991,70.76,77.34,85.472,94.102,102.983,111.345,108.277,110.191,115.129,118.702,120.521,126.862,131.703,142.682,151.814,160.247,169.14,164.068,177.697,190.622,202.964,215.105,226.679,237.947,2020.0
1175,918,BGR,NGDP_D,Bulgaria,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",0.04,0.041,0.041,0.041,0.042,0.042,0.042,0.043,0.044,0.046,0.058,0.193,0.312,0.526,0.96,1.635,3.557,36.068,48.084,49.618,53.181,56.438,58.565,59.896,63.28,67.391,71.945,79.919,86.417,89.916,90.947,96.351,97.822,97.168,97.616,100.0,102.538,106.58,110.857,116.677,120.547,124.037,127.162,130.255,133.512,136.849,140.271,2020.0
1176,918,BGR,NGDPRPC,Bulgaria,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",9025.42,9475.7,9845.38,10115.36,10562.05,10744.46,11317.47,11865.26,12182.54,12174.91,11137.18,10023.8,9275.08,8292.74,8084.23,8045.43,7476.25,6464.76,6789.21,6256.57,6489.39,6957.72,7414.48,7840.96,8389.32,9038.72,9703.15,10392.24,11073.5,10760.39,10905.43,11432.82,11540.8,11640.52,11931.6,12491.62,13063.68,13620.66,14142.16,14767.05,14225.16,14960.74,15713.29,16440.47,17138.45,17783.29,18398.73,2020.0
1177,918,BGR,NGDPRPPPPC,Bulgaria,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",14268.84,14980.72,15565.16,15992.0,16698.2,16986.58,17892.49,18758.52,19260.13,19248.07,17607.46,15847.24,14663.55,13110.5,12780.85,12719.52,11819.67,10220.53,10733.48,9891.39,10259.48,10999.89,11722.01,12396.26,13263.2,14289.87,15340.31,16429.73,17506.78,17011.77,17241.07,18074.86,18245.57,18403.22,18863.4,19748.77,20653.17,21533.74,22358.21,23346.14,22489.43,23652.36,24842.12,25991.75,27095.23,28114.7,29087.69,2020.0
1178,918,BGR,NGDPPC,Bulgaria,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",3.637,3.911,4.067,4.169,4.421,4.546,4.803,5.104,5.372,5.569,6.427,19.379,28.978,43.637,77.636,131.525,265.9,2331.73,3264.53,3104.37,3451.12,3926.79,4342.29,4696.4,5308.73,6091.3,6980.91,8305.35,9569.43,9675.34,9918.11,11015.59,11289.45,11310.86,11647.13,12491.62,13395.17,14516.96,15677.54,17229.74,17148.02,18556.82,19981.37,21414.56,22881.8,24336.32,25808.0,2020.0
1179,918,BGR,NGDPDPC,Bulgaria,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",3673.24,3950.23,4108.12,4211.11,4465.39,3820.54,3382.44,3926.06,6433.12,6580.67,2919.83,288.506,1183.16,649.649,1155.8,1958.07,1494.79,1386.47,1854.47,1689.29,1625.32,1797.39,2090.68,2710.58,3370.38,3869.59,4477.03,5811.85,7156.18,6878.06,6713.33,7832.19,7417.27,7675.91,7900.7,7079.78,7575.77,8381.99,9470.58,9863.02,10006.35,11331.87,12336.97,13414.42,14509.32,15599.36,16672.04,2020.0
