,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
1305,624,CPV,NGDP_R,Cabo Verde,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2019 Notes: The national accounts data have been revised from 2002 onward. The new data are obtained through a new computation methodology that uses an updated input-output table. The base year for the constant prices data is 2007. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: Yes, from 2011 Primary domestic currency: Cabo Verdean escudo Data last updated: 09/2021",23.91,25.93,26.662,29.201,30.305,32.924,33.87,35.329,37.448,39.582,39.856,40.415,41.646,44.69,47.787,51.367,54.805,58.992,63.955,71.54,76.739,81.449,85.752,92.185,96.727,102.347,111.679,121.974,130.086,128.433,130.317,135.489,136.955,138.054,138.898,140.297,146.899,152.337,159.24,168.265,143.39,149.118,158.817,168.499,178.779,189.866,201.626,2019.0
1306,624,CPV,NGDP_RPCH,Cabo Verde,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.263,8.45,2.822,9.523,3.78,8.643,2.872,4.308,5.997,5.698,0.692,1.403,3.045,7.31,6.93,7.492,6.694,7.639,8.413,11.86,7.267,6.138,5.283,7.502,4.927,5.81,9.118,9.218,6.651,-1.27,1.467,3.969,1.082,0.803,0.611,1.007,4.706,3.702,4.531,5.668,-14.783,3.995,6.504,6.096,6.101,6.201,6.194,2019.0
1307,624,CPV,NGDP,Cabo Verde,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2019 Notes: The national accounts data have been revised from 2002 onward. The new data are obtained through a new computation methodology that uses an updated input-output table. The base year for the constant prices data is 2007. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: Yes, from 2011 Primary domestic currency: Cabo Verdean escudo Data last updated: 09/2021",6.291,7.477,9.026,10.931,12.34,13.898,16.827,18.839,21.052,23.037,23.749,25.243,26.84,32.011,36.653,41.215,45.641,50.292,56.397,67.501,70.536,75.848,79.6,87.09,90.811,96.69,108.722,121.974,134.698,135.879,138.569,147.924,150.351,153.723,154.436,158.699,165.782,173.097,183.698,195.202,164.911,174.084,188.38,203.462,219.982,238.279,258.09,2019.0
1308,624,CPV,NGDPD,Cabo Verde,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.157,0.154,0.155,0.152,0.145,0.152,0.21,0.26,0.292,0.295,0.339,0.353,0.395,0.398,0.448,0.536,0.553,0.54,0.575,0.657,0.609,0.616,0.679,0.891,1.023,1.091,1.237,1.513,1.788,1.698,1.664,1.866,1.742,1.85,1.86,1.597,1.663,1.77,1.967,1.982,1.707,1.886,2.063,2.261,2.474,2.709,2.934,2019.0
1309,624,CPV,PPPGDP,Cabo Verde,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.226,0.268,0.293,0.333,0.359,0.402,0.422,0.451,0.495,0.543,0.568,0.595,0.627,0.689,0.752,0.826,0.897,0.982,1.077,1.222,1.34,1.454,1.555,1.705,1.837,2.004,2.255,2.529,2.749,2.731,2.805,2.977,2.94,2.964,2.979,3.146,3.358,3.571,3.822,4.111,3.545,3.82,4.18,4.54,4.927,5.346,5.795,2019.0
1310,624,CPV,NGDP_D,Cabo Verde,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",26.313,28.835,33.854,37.433,40.718,42.211,49.683,53.325,56.217,58.202,59.587,62.458,64.447,71.628,76.702,80.236,83.278,85.251,88.181,94.353,91.916,93.123,92.826,94.473,93.885,94.473,97.353,100.0,103.546,105.798,106.332,109.178,109.782,111.35,111.186,113.117,112.855,113.628,115.359,116.009,115.009,116.742,118.614,120.75,123.046,125.498,128.004,2019.0
1311,624,CPV,NGDPRPC,Cabo Verde,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",82667.28,88287.41,89136.53,95663.67,97204.99,103400.44,104179.11,106438.86,110485.61,114286.03,112516.73,111456.56,112132.77,117478.69,126035.21,132005.82,137435.0,144526.69,153251.05,167822.89,176379.89,183561.4,189671.65,200338.07,206829.35,215663.24,232279.63,250748.76,264550.6,258435.68,259396.82,266675.34,266459.95,265434.91,263845.62,263263.63,272256.42,278807.22,292845.2,305797.61,257520.48,264653.9,278547.3,292046.68,306214.45,321373.01,337257.53,2018.0
1312,624,CPV,NGDPRPPPPC,Cabo Verde,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",1937.68,2069.41,2089.32,2242.31,2278.44,2423.66,2441.91,2494.87,2589.73,2678.81,2637.34,2612.49,2628.34,2753.64,2954.2,3094.15,3221.41,3387.64,3592.13,3933.69,4134.26,4302.59,4445.81,4695.83,4847.98,5055.04,5444.52,5877.43,6200.94,6057.61,6080.13,6250.74,6245.69,6221.66,6184.41,6170.77,6381.56,6535.1,6864.15,7167.75,6036.15,6203.36,6529.01,6845.43,7177.52,7532.83,7905.15,2018.0
1313,624,CPV,NGDPPC,Cabo Verde,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",21752.1,25458.08,30176.47,35809.65,39579.55,43646.83,51758.92,56758.11,62112.24,66516.39,67045.81,69614.04,72266.66,84147.52,96671.02,105916.26,114452.84,123210.91,135139.04,158346.09,162121.54,170937.55,176064.91,189265.78,194180.75,203743.99,226130.4,250748.76,273931.38,273418.91,275821.92,291150.91,292524.17,295561.24,293360.35,297795.54,307254.39,316803.08,337824.75,354752.59,296171.34,308962.84,330397.05,352645.33,376785.91,403317.98,431704.46,2018.0
1314,624,CPV,NGDPDPC,Cabo Verde,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",541.435,522.81,517.666,499.536,466.312,476.329,645.817,783.24,861.862,853.014,957.369,974.873,1062.47,1046.27,1180.49,1378.16,1385.77,1322.34,1376.76,1541.83,1399.09,1387.33,1501.55,1935.48,2188.0,2298.4,2571.82,3110.45,3636.13,3416.22,3312.04,3672.58,3388.88,3557.87,3532.99,2996.36,3082.16,3239.07,3616.44,3601.73,3065.48,3346.55,3618.37,3918.27,4237.84,4585.57,4908.31,2018.0
