,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
1350,522,KHM,NGDP_R,Cambodia,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000. The GDP deflator data from the authorities do not equal 100 in the base period Chain-weighted: No Primary domestic currency: Cambodian riel Data last updated: 08/2021,,,,,,,,6260.58,6862.6,7090.92,7170.19,7714.55,8259.91,8593.78,9296.87,9852.69,10433.75,10851.79,11359.84,12803.15,14029.08,15230.15,16232.13,17612.82,19434.07,22009.11,24379.73,26869.52,28667.52,28692.37,30403.32,32552.7,34933.4,37503.33,40182.03,43009.27,45961.04,49176.89,52849.99,56578.09,54800.95,55859.79,59022.45,62812.11,66905.08,71251.85,75933.13,2020.0
1351,522,KHM,NGDP_RPCH,Cambodia,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",,,,,,,,,9.616,3.327,1.118,7.592,7.069,4.042,8.181,5.979,5.898,4.007,4.682,12.705,9.575,8.561,6.579,8.506,10.341,13.25,10.771,10.213,6.692,0.087,5.963,7.07,7.313,7.357,7.143,7.036,6.863,6.997,7.469,7.054,-3.141,1.932,5.662,6.421,6.516,6.497,6.57,2020.0
1352,522,KHM,NGDP,Cambodia,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000. The GDP deflator data from the authorities do not equal 100 in the base period Chain-weighted: No Primary domestic currency: Cambodian riel Data last updated: 08/2021,,,,,,,183.155,125.581,241.312,296.715,737.478,1644.86,3089.04,6665.62,7105.04,8433.71,9201.92,10145.33,11720.32,13376.07,14082.64,15633.22,16780.54,18535.16,21438.34,25754.29,29849.49,35042.18,41968.39,43056.73,47047.99,52068.69,56681.57,61326.93,67436.79,73422.7,81241.87,89830.53,99544.28,110014.05,103511.61,108341.66,117532.95,128458.71,140551.55,153866.99,168591.19,2020.0
1353,522,KHM,NGDPD,Cambodia,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,0.205,0.141,0.276,0.346,0.899,2.011,2.439,2.427,2.765,3.441,3.507,3.443,3.13,3.513,3.667,3.992,4.289,4.665,5.334,6.287,7.268,8.63,10.342,10.391,11.232,12.818,14.057,15.228,16.702,18.083,20.043,22.208,24.599,27.088,25.192,26.08,27.985,30.254,32.741,35.453,38.423,2020.0
1354,522,KHM,PPPGDP,Cambodia,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,4.241,4.813,5.168,5.422,6.03,6.604,7.034,7.772,8.409,9.068,9.594,10.156,11.608,13.007,14.439,15.629,17.293,19.593,22.885,26.133,29.58,32.164,32.398,34.743,37.972,42.401,45.764,48.654,52.598,57.942,62.891,69.203,75.41,73.921,78.065,84.755,92.343,100.603,109.466,119.075,2020.0
1355,522,KHM,NGDP_D,Cambodia,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",,,,,,,,2.006,3.516,4.184,10.285,21.322,37.398,77.563,76.424,85.598,88.194,93.49,103.173,104.475,100.382,102.647,103.379,105.237,110.313,117.017,122.436,130.416,146.397,150.063,154.746,159.952,162.256,163.524,167.828,170.714,176.762,182.668,188.352,194.446,188.887,193.953,199.133,204.513,210.076,215.948,222.026,2020.0
1356,522,KHM,NGDPRPC,Cambodia,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,760862.28,810500.55,812847.78,795904.08,827421.41,855130.62,858768.83,891335.98,914895.45,940773.53,952249.4,972144.84,1070455.33,1147772.8,1221089.67,1277181.44,1361706.62,1477945.38,1647829.24,1798570.86,1954532.6,2056416.95,2035567.01,2133488.77,2259738.53,2399186.33,2548556.48,2702127.16,2862415.35,3027633.14,3206731.53,3411764.16,3626800.59,3495404.5,3527664.43,3690488.15,3888557.97,4100935.45,4324128.91,4562600.19,2019.0
1357,522,KHM,NGDPRPPPPC,Cambodia,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,973.046,1036.53,1039.53,1017.86,1058.17,1093.6,1098.26,1139.91,1170.03,1203.13,1217.81,1243.25,1368.98,1467.86,1561.62,1633.35,1741.45,1890.1,2107.36,2300.14,2499.6,2629.9,2603.23,2728.46,2889.92,3068.25,3259.28,3455.68,3660.66,3871.96,4101.0,4363.21,4638.22,4470.18,4511.43,4719.66,4972.97,5244.57,5530.01,5834.98,2019.0
1358,522,KHM,NGDPPC,Cambodia,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,22922.65,15262.1,28499.91,34013.11,81861.5,176418.85,319801.35,666089.91,681194.4,783132.31,829703.67,890256.78,1002994.03,1118357.1,1152154.7,1253406.31,1320331.73,1433016.52,1630368.12,1928232.54,2202092.65,2549025.0,3010532.71,3054639.9,3301492.99,3614496.38,3892826.44,4167500.48,4534932.23,4886533.8,5351718.96,5857677.9,6426142.42,7052182.58,6602347.81,6842006.09,7348965.64,7952593.38,8615083.59,9337872.26,10130152.35,2019.0
1359,522,KHM,NGDPDPC,Cambodia,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,25.707,17.116,32.608,39.704,99.833,215.671,252.491,242.479,265.056,319.537,316.188,302.166,267.864,293.699,299.982,320.046,337.501,360.659,405.629,470.683,536.151,627.78,741.855,737.194,788.19,889.788,965.413,1034.82,1123.18,1203.48,1320.33,1448.11,1588.0,1736.42,1606.81,1647.02,1749.81,1872.93,2006.88,2151.59,2308.74,2019.0
