,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
1395,622,CMR,NGDP_R,Cameroon,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 09/2021,4844.74,5670.8,6099.7,6517.18,7003.86,7571.68,8085.88,7911.82,7289.58,7160.57,6719.4,6466.48,6269.24,6071.25,5919.78,6115.39,6415.77,6756.72,7087.48,7375.4,7637.47,7971.08,8308.83,8688.32,9277.47,9464.93,9792.2,10272.23,10630.61,10864.34,11236.17,11700.15,12231.72,12892.75,13651.37,14422.87,15093.31,15628.99,16263.91,16869.05,16609.03,17211.05,17995.74,18877.95,19871.17,20943.58,22107.42,2020.0
1396,622,CMR,NGDP_RPCH,Cameroon,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",9.9,17.051,7.563,6.844,7.468,8.107,6.791,-2.153,-7.865,-1.77,-6.161,-3.764,-3.05,-3.158,-2.495,3.304,4.912,5.314,4.895,4.062,3.553,4.368,4.237,4.567,6.781,2.021,3.458,4.902,3.489,2.199,3.423,4.129,4.543,5.404,5.884,5.651,4.648,3.549,4.062,3.721,-1.541,3.625,4.559,4.902,5.261,5.397,5.557,2020.0
1397,622,CMR,NGDP,Cameroon,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 09/2021,1713.95,2183.34,2640.74,3181.87,3883.09,4665.65,4990.52,4766.57,4429.41,4269.6,4074.89,4059.57,3883.4,3834.78,4276.69,4836.82,5215.39,5686.26,6191.55,6589.53,7179.53,7602.58,8070.66,8455.79,9208.5,9464.93,10121.09,10718.93,11826.44,12285.31,12948.43,13843.14,14858.6,15981.28,17276.47,18285.38,19344.84,20328.36,21492.53,22854.84,22954.71,24608.29,26231.1,27880.0,29771.49,31972.55,34377.93,2020.0
1398,622,CMR,NGDPD,Cameroon,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",8.193,9.281,8.901,8.972,9.482,9.903,12.909,14.952,15.184,13.539,13.553,15.112,13.851,14.451,9.833,9.326,10.393,10.509,10.495,10.695,9.802,10.377,11.588,14.558,17.44,17.974,19.374,22.397,26.514,26.094,26.191,29.37,29.121,32.358,34.999,30.932,32.635,34.997,38.712,39.009,39.938,44.806,48.29,52.073,56.288,61.106,66.217,2020.0
1399,622,CMR,PPPGDP,Cameroon,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",10.334,13.241,15.122,16.79,18.695,20.85,22.714,22.775,21.724,22.176,21.589,21.479,21.298,21.114,21.027,22.177,23.693,25.382,26.924,28.413,30.089,32.111,33.993,36.247,39.744,41.819,44.6,48.051,50.681,52.127,54.559,57.992,61.35,66.29,72.25,75.965,81.471,87.321,93.039,98.227,97.878,105.081,112.896,121.248,130.537,140.57,151.456,2020.0
1400,622,CMR,NGDP_D,Cameroon,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",35.377,38.502,43.293,48.823,55.442,61.62,61.719,60.246,60.764,59.627,60.644,62.779,61.944,63.163,72.244,79.093,81.29,84.157,87.359,89.345,94.004,95.377,97.134,97.324,99.257,100.0,103.359,104.349,111.249,113.079,115.239,118.316,121.476,123.956,126.555,126.78,128.168,130.068,132.149,135.484,138.206,142.98,145.763,147.685,149.823,152.66,155.504,2020.0
1401,622,CMR,NGDPRPC,Cameroon,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",550063.93,625660.84,654560.12,680725.94,712427.59,750180.17,779623.54,741702.88,663902.7,632955.43,576022.06,537774.05,505952.73,475636.35,450341.19,452550.91,461848.19,473143.52,482787.54,488715.68,492297.25,500416.11,507949.32,517134.85,537533.62,533734.52,537333.82,548429.05,552162.73,548983.49,552384.0,559644.44,569307.08,583982.15,601862.91,619050.36,630818.61,636202.18,644977.17,651908.86,625673.13,632195.32,644741.68,659880.7,677857.15,697383.02,718727.91,2019.0
1402,622,CMR,NGDPRPPPPC,Cameroon,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",3073.26,3495.63,3657.09,3803.28,3980.4,4191.33,4355.83,4143.96,3709.29,3536.38,3218.29,3004.59,2826.81,2657.43,2516.1,2528.45,2580.39,2643.5,2697.38,2730.5,2750.51,2795.87,2837.96,2889.28,3003.25,2982.03,3002.14,3064.13,3084.99,3067.22,3086.22,3126.79,3180.77,3262.76,3362.67,3458.69,3524.44,3554.52,3603.55,3642.28,3495.7,3532.14,3602.23,3686.82,3787.25,3896.35,4015.6,2019.0
1403,622,CMR,NGDPPC,Cameroon,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",194598.59,240888.9,283377.8,332349.11,394985.24,462258.86,481175.42,446847.53,403411.56,377409.44,349320.78,337607.32,313405.9,300425.63,325344.94,357934.11,375436.87,398184.06,421757.79,436641.87,462778.82,477282.06,493389.12,503294.96,533537.59,533734.52,555381.06,572278.01,614275.19,620786.08,636560.73,662148.64,691571.76,723878.37,761686.84,784835.05,808509.33,827497.56,852328.35,883231.42,864718.97,903910.12,939793.91,974548.03,1015582.73,1064627.63,1117650.79,2019.0
1404,622,CMR,NGDPDPC,Cameroon,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",930.182,1024.0,955.191,937.11,964.514,981.176,1244.63,1401.71,1382.9,1196.77,1161.86,1256.8,1117.82,1132.11,748.0,690.153,748.158,735.872,714.919,708.662,631.788,651.44,708.445,866.493,1010.49,1013.55,1063.14,1195.79,1377.15,1318.56,1287.57,1404.85,1355.4,1465.66,1543.03,1327.64,1363.95,1424.6,1535.19,1507.51,1504.5,1645.81,1730.1,1820.21,1920.12,2034.72,2152.76,2019.0
1405,622,CMR,PPPPC,Cameroon,"Gross domestic product per capita, current prices","Expressed in GDP in PPP dollars per person. Data are derived by dividing GDP in PPP dollars by total population. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1173.35,1460.87,1622.79,1753.75,1901.66,2065.75,2190.05,2135.06,1978.5,1960.24,1850.68,1786.23,1718.83,1654.14,1599.62,1641.18,1705.56,1777.4,1834.04,1882.72,1939.49,2015.89,2078.13,2157.47,2302.77,2358.2,2447.36,2565.4,2632.39,2634.01,2682.18,2773.9,2855.45,3002.61,3185.38,3260.52,3405.06,3554.52,3689.63,3796.0,3687.13,3859.83,4044.77,4238.25,4452.94,4680.73,4923.95,2019.0
