,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
1440,156,CAN,NGDP_R,Canada,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2012 Chain-weighted: Yes, from 1980 Primary domestic currency: Canadian dollar Data last updated: 09/2021",841.875,871.367,843.594,865.539,916.679,960.106,980.7,1020.64,1065.66,1090.35,1092.14,1069.36,1078.99,1107.7,1157.48,1188.66,1207.91,1259.61,1308.69,1376.25,1447.51,1473.42,1517.89,1545.23,1592.93,1643.97,1687.28,1722.24,1739.53,1688.64,1740.81,1795.58,1827.2,1869.76,1923.42,1936.1,1955.49,2014.93,2063.89,2102.3,1990.61,2103.83,2206.7,2264.83,2299.78,2332.58,2368.73,2020.0
1441,156,CAN,NGDP_RPCH,Canada,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.163,3.503,-3.187,2.601,5.908,4.737,2.145,4.073,4.41,2.317,0.165,-2.086,0.9,2.661,4.494,2.694,1.619,4.28,3.896,5.163,5.178,1.79,3.018,1.802,3.087,3.204,2.634,2.072,1.004,-2.926,3.09,3.146,1.761,2.329,2.87,0.659,1.001,3.04,2.43,1.861,-5.313,5.688,4.889,2.634,1.543,1.426,1.55,2020.0
1442,156,CAN,NGDP,Canada,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2012 Chain-weighted: Yes, from 1980 Primary domestic currency: Canadian dollar Data last updated: 09/2021",322.747,368.358,388.181,421.316,461.986,500.027,526.63,574.336,626.894,671.579,695.501,701.773,718.436,747.037,791.972,831.621,859.834,906.926,940.548,1007.93,1106.07,1144.54,1193.69,1254.75,1335.73,1421.59,1496.6,1577.66,1657.04,1571.33,1666.05,1774.06,1827.2,1902.25,1994.9,1990.44,2025.54,2140.64,2231.17,2310.71,2204.91,2521.93,2721.24,2833.68,2933.31,3033.77,3143.26,2020.0
1443,156,CAN,NGDPD,Canada,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",276.035,307.246,314.639,341.863,356.728,366.184,379.015,433.14,509.38,567.225,596.089,612.514,594.376,579.059,579.913,605.941,630.598,655.01,634.004,678.417,744.631,738.968,760.149,895.599,1026.47,1173.51,1319.36,1468.9,1552.86,1376.51,1617.35,1793.33,1828.36,1846.6,1805.75,1556.51,1528.0,1649.27,1721.82,1741.58,1644.04,2015.98,2189.79,2306.07,2413.39,2520.11,2630.94,2020.0
1444,156,CAN,PPPGDP,Canada,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",288.709,327.094,336.235,358.492,393.376,425.039,442.898,472.338,510.559,542.874,564.117,571.03,589.301,619.32,660.978,693.018,717.134,760.722,799.257,852.366,916.809,954.244,998.365,1036.41,1097.08,1167.74,1235.49,1295.17,1333.26,1302.54,1358.93,1430.81,1468.1,1554.12,1621.4,1594.9,1678.39,1776.86,1863.5,1932.15,1851.54,2027.37,2185.03,2295.94,2384.52,2471.07,2561.36,2020.0
1445,156,CAN,NGDP_D,Canada,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",38.337,42.274,46.015,48.677,50.398,52.08,53.699,56.272,58.827,61.593,63.682,65.626,66.584,67.441,68.422,69.963,71.184,72.001,71.87,73.237,76.412,77.679,78.642,81.201,83.854,86.473,88.699,91.605,95.258,93.053,95.705,98.802,100.0,101.738,103.716,102.807,103.582,106.239,108.105,109.913,110.765,119.873,123.317,125.117,127.548,130.061,132.698,2020.0
1446,156,CAN,NGDPRPC,Canada,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",34403.39,35157.66,33632.19,34162.48,35840.35,37194.37,37621.57,38663.85,39835.37,40064.29,39524.0,38208.95,38094.17,38661.05,39968.16,40619.98,40849.32,42173.11,43443.43,45320.53,47231.02,47573.56,48481.37,48894.57,49933.24,51048.58,51869.44,52429.38,52396.53,50285.36,51263.23,52351.68,52710.5,53369.78,54345.59,54265.84,54240.15,55211.7,55776.44,56010.35,52421.59,55091.74,57178.09,58068.17,58354.31,58583.53,58894.91,2020.0
1447,156,CAN,NGDPRPPPPC,Canada,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",30338.4,31003.55,29658.32,30125.96,31605.57,32799.61,33176.33,34095.46,35128.55,35330.43,34853.97,33694.31,33593.09,34092.99,35245.66,35820.46,36022.7,37190.07,38310.3,39965.61,41650.36,41952.43,42752.97,43117.35,44033.29,45016.85,45740.72,46234.5,46205.53,44343.81,45206.13,46165.98,46482.4,47063.78,47924.29,47853.97,47831.31,48688.07,49186.08,49392.36,46227.63,48582.28,50422.12,51207.03,51459.36,51661.5,51936.08,2020.0
1448,156,CAN,NGDPPC,Canada,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",13189.11,14862.4,15475.89,16629.18,18062.74,19370.98,20202.56,21756.91,23434.0,24676.89,25169.8,25074.86,25364.78,26073.26,27347.04,28418.85,29078.04,30364.91,31222.68,33191.47,36090.21,36954.88,38126.65,39702.99,41870.81,44143.14,46007.77,48028.08,49911.75,46792.25,49061.54,51724.29,52710.5,54297.11,56365.13,55788.93,56183.06,58656.27,60297.21,61562.83,58064.93,66040.15,70510.29,72653.16,74429.48,76194.14,78152.35,2020.0
1449,156,CAN,NGDPDPC,Canada,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",11280.2,12396.67,12543.94,13493.2,13947.36,14185.92,14539.75,16408.14,19041.18,20842.46,21572.14,21885.57,20984.78,20210.45,20024.58,20706.73,21325.69,21930.49,21046.56,22340.55,24296.72,23859.71,24279.19,28338.75,32176.59,36439.62,40558.9,44716.99,46773.84,40990.63,47627.35,52285.94,52744.0,52708.61,51020.84,43626.47,42382.64,45191.96,46532.17,46399.71,43294.8,52791.23,56739.82,59125.56,61237.17,63293.42,65414.36,2020.0
