,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
1485,626,CAF,NGDP_R,Central African Republic,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2017 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 08/2021,487.744,550.928,531.25,499.232,548.715,569.198,610.14,610.14,620.62,644.139,652.926,647.71,615.823,608.447,684.942,706.63,663.119,690.339,713.398,733.994,707.712,726.177,741.364,724.689,723.99,745.21,780.637,812.103,833.326,856.758,896.435,934.038,981.241,624.148,624.65,651.75,682.705,713.615,740.874,762.88,770.276,762.59,793.333,832.825,874.357,917.738,962.547,2017.0
1486,626,CAF,NGDP_RPCH,Central African Republic,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-2.995,12.954,-3.572,-6.027,9.912,3.733,7.193,0.0,1.718,3.79,1.364,-0.799,-4.923,-1.198,12.572,3.166,-6.157,4.105,3.34,2.887,-3.581,2.609,2.091,-2.249,-0.096,2.931,4.754,4.031,2.613,2.812,4.631,4.195,5.054,-36.392,0.08,4.338,4.75,4.528,3.82,2.97,0.97,-0.998,4.031,4.978,4.987,4.962,4.883,2017.0
1487,626,CAF,NGDP,Central African Republic,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2017 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 08/2021,168.4,218.1,240.4,253.9,278.7,379.9,386.042,362.243,380.169,402.884,404.996,396.168,377.857,366.245,473.619,560.037,516.647,566.036,606.4,638.667,616.016,659.237,684.959,690.665,691.968,745.21,803.945,841.079,910.457,972.276,1060.14,1148.9,1281.56,835.454,935.578,1002.59,1081.52,1203.32,1265.64,1333.99,1371.89,1393.0,1485.99,1598.7,1720.57,1851.64,1991.28,2017.0
1488,626,CAF,NGDPD,Central African Republic,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.714,0.743,0.719,0.69,0.67,0.883,1.158,1.275,1.372,1.354,1.572,1.498,1.494,1.309,0.858,1.117,1.0,0.979,1.036,1.039,0.868,0.899,0.983,1.188,1.31,1.413,1.538,1.755,2.033,2.059,2.141,2.435,2.512,1.692,1.896,1.696,1.825,2.072,2.28,2.277,2.387,2.587,2.797,3.016,3.25,3.498,3.76,2017.0
1489,626,CAF,PPPGDP,Central African Republic,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.006,1.243,1.273,1.243,1.416,1.515,1.657,1.698,1.788,1.928,2.028,2.079,2.022,2.045,2.351,2.477,2.367,2.506,2.619,2.733,2.695,2.827,2.932,2.922,2.998,3.182,3.436,3.672,3.84,3.973,4.207,4.475,4.889,3.285,3.216,3.536,3.862,4.195,4.46,4.674,4.776,4.899,5.237,5.628,6.044,6.481,6.939,2017.0
1490,626,CAF,NGDP_D,Central African Republic,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",34.526,39.588,45.252,50.858,50.791,66.743,63.271,59.37,61.256,62.546,62.028,61.164,61.358,60.193,69.147,79.255,77.912,81.994,85.002,87.013,87.043,90.782,92.392,95.305,95.577,100.0,102.986,103.568,109.256,113.483,118.262,123.003,130.606,133.855,149.776,153.831,158.416,168.624,170.831,174.862,178.104,182.667,187.309,191.961,196.781,201.761,206.876,2017.0
1491,626,CAF,NGDPRPC,Central African Republic,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",214002.89,234615.93,220672.83,202395.86,217243.23,219354.96,227306.62,222621.16,222032.56,225886.45,224155.78,217382.24,201856.94,194693.92,214001.89,215718.97,197928.36,201574.51,203936.32,205628.09,194516.32,196049.68,196791.85,189231.7,185943.71,188141.73,193605.47,197741.26,199117.06,200822.41,206080.75,211385.9,221199.5,140321.04,139930.56,145058.98,150441.83,155268.71,158781.31,160775.48,159477.46,154998.03,158128.89,162692.85,167276.96,171925.43,176484.68,2004.0
1492,626,CAF,NGDPRPPPPC,Central African Republic,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",1258.1,1379.28,1297.31,1189.86,1277.15,1289.56,1336.31,1308.77,1305.31,1327.96,1317.79,1277.97,1186.7,1144.58,1258.09,1268.19,1163.6,1185.03,1198.92,1208.87,1143.54,1152.55,1156.92,1112.47,1093.14,1106.06,1138.19,1162.5,1170.59,1180.61,1211.53,1242.71,1300.41,824.932,822.636,852.786,884.431,912.808,933.458,945.181,937.55,911.216,929.622,956.453,983.403,1010.73,1037.53,2004.0
1493,626,CAF,NGDPPC,Central African Republic,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",73887.28,92879.16,99858.31,102934.81,110340.91,146404.06,143819.47,132171.26,136008.92,141283.14,139038.85,132960.66,123855.53,117192.94,147976.67,170967.48,154209.13,165278.83,173349.39,178922.19,169313.5,177977.57,181819.51,180347.39,177719.62,188141.73,199386.08,204796.71,217546.94,227899.62,243715.15,260011.28,288900.14,187826.81,209582.78,223145.37,238324.47,261819.84,271247.41,281134.91,284035.73,283130.17,296190.02,312306.85,329169.74,346878.79,365104.53,2004.0
1494,626,CAF,NGDPDPC,Central African Republic,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",313.369,316.495,298.747,279.719,265.441,340.227,431.342,465.181,490.939,474.879,539.656,502.896,489.786,418.922,268.106,340.988,298.443,285.804,296.103,290.99,238.505,242.794,260.865,310.302,336.409,356.688,381.315,427.313,485.807,482.648,492.078,551.028,566.199,380.304,424.67,377.476,402.053,450.744,488.563,479.846,494.186,525.914,557.442,589.141,621.772,655.224,689.439,2004.0
1495,626,CAF,PPPPC,Central African Republic,"Gross domestic product per capita, current prices","Expressed in GDP in PPP dollars per person. Data are derived by dividing GDP in PPP dollars by total population. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",441.208,529.467,528.773,503.97,560.464,583.805,617.149,619.378,639.524,676.138,696.067,697.863,662.79,654.421,734.686,756.109,706.455,731.875,748.784,765.634,740.669,763.326,778.158,763.032,769.901,803.431,852.274,894.005,917.488,931.276,967.148,1012.66,1102.13,738.466,720.351,787.043,851.014,912.808,955.757,985.073,988.895,995.753,1043.83,1099.51,1156.26,1214.2,1272.23,2004.0
1497,626,CAF,PPPSH,Central African Republic,Gross domestic product based on purchasing-power-parity (PPP) share of world total,"Expressed in percent of world GDP in PPP dollars. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.008,0.008,0.008,0.007,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.003,0.004,0.004,2017.0
1498,626,CAF,PPPEX,Central African Republic,Implied PPP conversion rate,"Expressed in national currency per current international dollar. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",167.466,175.42,188.849,204.248,196.874,250.776,233.038,213.393,212.672,208.956,199.749,190.525,186.87,179.079,201.415,226.115,218.286,225.829,231.508,233.691,228.595,233.161,233.654,236.356,230.834,234.173,233.946,229.078,237.112,244.717,251.994,256.761,262.129,254.347,290.945,283.524,280.048,286.829,283.804,285.395,287.225,284.338,283.754,284.042,284.686,285.684,286.98,2017.0
1499,626,CAF,NID_NGDP,Central African Republic,Total investment,Expressed as a ratio of total investment in current local currency and GDP in current local currency. Investment or gross capital formation is measured by the total value of the gross fixed capital formation and changes in inventories and acquisitions less disposals of valuables for a unit or sector. [SNA 1993],Percent of GDP,,Source: National Statistics Office Latest actual data: 2017 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 08/2021,9.762,9.762,5.687,9.762,8.323,11.098,11.107,13.127,10.579,11.71,14.489,12.506,11.815,10.823,12.192,15.07,5.887,7.318,11.125,11.733,10.555,8.997,9.676,6.463,6.605,9.338,9.722,10.338,12.429,12.786,13.636,11.599,14.491,8.519,16.537,13.616,13.586,13.521,16.405,14.668,18.895,16.173,16.204,16.796,17.507,18.166,18.379,2017.0
1500,626,CAF,NGSD_NGDP,Central African Republic,Gross national savings,"Expressed as a ratio of gross national savings in current local currency and GDP in current local currency. Gross national saving is gross disposable income less final consumption expenditure after taking account of an adjustment for pension funds. [SNA 1993] For many countries, the estimates of national saving are built up from national accounts data on gross domestic investment and from balance of payments-based data on net foreign investment.",Percent of GDP,,Source: National Statistics Office Latest actual data: 2017 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 08/2021,-2.84,5.182,-7.392,-1.012,0.547,9.777,12.69,6.667,7.257,9.265,8.427,7.808,-0.208,4.437,9.435,6.764,2.55,4.796,5.036,10.013,9.097,7.141,8.016,4.334,4.899,3.103,6.85,4.313,2.72,4.072,4.218,4.781,8.906,5.584,3.202,4.508,8.245,5.698,8.443,9.74,10.307,9.028,10.039,10.872,11.678,12.45,12.739,2017.0
1501,626,CAF,PCPI,Central African Republic,"Inflation, average consumer prices","Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]",Index,,Source: National Statistics Office Latest actual data: 2020 Harmonized prices: No Frequency of source data: Monthly Base year: 2000 Primary domestic currency: CFA franc Data last updated: 08/2021,44.138,50.609,57.311,65.654,67.364,74.408,76.202,70.878,68.09,68.529,68.39,66.442,65.939,64.021,79.738,95.048,98.7,100.302,98.271,96.745,100.0,104.083,106.441,111.109,108.228,111.343,118.932,120.074,131.191,135.811,137.836,139.482,147.123,157.405,180.857,183.394,192.464,200.51,203.743,209.214,214.034,221.854,227.343,233.027,238.853,244.824,250.944,2020.0
1502,626,CAF,PCPIPCH,Central African Republic,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, average consumer prices (Index).",13.3,14.66,13.243,14.558,2.604,10.457,2.411,-6.986,-3.934,0.645,-0.203,-2.848,-0.757,-2.909,24.55,19.2,3.842,1.623,-2.024,-1.554,3.365,4.083,2.266,4.386,-2.593,2.879,6.815,0.96,9.259,3.521,1.491,1.194,5.478,6.989,14.899,1.403,4.945,4.181,1.612,2.685,2.304,3.654,2.474,2.5,2.5,2.5,2.5,2020.0
1503,626,CAF,PCPIE,Central African Republic,"Inflation, end of period consumer prices","Expressed in end of the period, not annual average data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.",Index,,Source: National Statistics Office Latest actual data: 2020 Harmonized prices: No Frequency of source data: Monthly Base year: 2000 Primary domestic currency: CFA franc Data last updated: 08/2021,43.286,49.631,56.204,64.387,66.064,72.972,74.731,69.51,66.775,67.206,66.496,65.988,65.988,62.841,90.962,95.53,99.933,100.291,97.298,93.2,100.702,103.279,113.055,111.09,110.829,112.524,120.531,120.279,137.749,136.152,139.231,145.275,150.034,163.828,179.961,199.145,190.253,203.896,213.285,207.306,217.208,224.317,229.925,235.673,241.565,247.604,253.794,2020.0
1506,626,CAF,TM_RPCH,Central African Republic,Volume of imports of goods and services,"Percent change of volume of imports refers to the aggregate change in the quantities of total imports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,,"Source: Central Bank Latest actual data: 2017 Base year: 2000 Methodology used to derive volumes: Deflation by unit value indexes (from customs data) Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Excluded items in trade: Re-exports; Re-imports; Oil coverage: Other; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: CFA franc Data last updated: 08/2021",40.979,0.744,9.786,-1.229,-5.491,21.665,-6.475,282.627,-5.05,6.425,3.124,-14.986,-1.649,-3.173,33.991,7.789,-20.024,26.927,5.817,-7.772,2.039,-5.424,-15.176,-23.707,7.472,1.645,0.154,8.507,-1.474,8.534,14.009,-14.626,9.402,-29.323,84.766,23.595,11.279,-2.392,0.969,8.668,-0.925,-7.3,18.619,-2.485,5.243,9.334,4.09,2017.0
