,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
1530,628,TCD,NGDP_R,Chad,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: Central Bank Latest actual data: 2017 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 09/2021,866.068,772.487,814.019,941.486,990.973,1069.23,1133.02,1174.34,1262.94,1287.59,1328.82,1467.05,1502.14,1470.98,1551.8,1539.77,1572.35,1661.24,1776.72,1764.59,1749.06,1952.97,2118.8,2430.73,3248.16,3518.12,3540.93,3656.77,3768.78,3924.76,4458.43,4463.76,4856.9,5136.33,5490.38,5587.53,5277.0,5151.42,5270.04,5426.04,5381.49,5432.04,5560.84,5702.1,5951.97,6214.45,6450.77,2017.0
1531,628,TCD,NGDP_RPCH,Chad,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-6.008,-10.805,5.376,15.659,5.256,7.897,5.966,3.647,7.544,1.952,3.202,10.402,2.392,-2.074,5.494,-0.775,2.115,5.653,6.952,-0.683,-0.88,11.658,8.491,14.722,33.629,8.311,0.648,3.272,3.063,4.139,13.598,0.12,8.807,5.753,6.893,1.77,-5.558,-2.38,2.303,2.96,-0.821,0.939,2.371,2.54,4.382,4.41,3.803,2017.0
1532,628,TCD,NGDP,Chad,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: Central Bank Latest actual data: 2017 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 09/2021,166.13,251.026,283.845,352.322,435.069,441.746,419.241,412.379,477.903,483.335,497.141,510.382,499.179,466.681,741.3,816.756,930.503,1020.3,1164.88,1069.31,1115.97,1418.0,1567.75,1799.59,2639.32,3518.12,3892.34,4157.43,4652.39,4385.56,5290.61,5742.4,6332.45,6417.74,6912.49,6474.07,6047.15,5854.57,6127.32,6406.37,6227.93,6780.29,7036.22,7347.08,7824.62,8354.46,8886.79,2017.0
1533,628,TCD,NGDPD,Chad,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.738,0.873,0.844,0.844,0.907,0.983,1.211,1.372,1.604,1.515,1.826,1.809,1.886,1.648,1.335,1.636,1.819,1.748,1.975,1.739,1.572,1.936,2.257,3.102,5.003,6.676,7.451,8.687,10.43,9.315,10.701,12.183,12.411,12.994,14.003,10.952,10.202,10.079,11.036,10.934,10.836,12.345,12.953,13.722,14.794,15.967,17.117,2017.0
1534,628,TCD,PPPGDP,Chad,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.858,1.814,2.029,2.439,2.66,2.96,3.2,3.399,3.784,4.009,4.293,4.9,5.131,5.144,5.542,5.615,5.838,6.275,6.787,6.835,6.929,7.911,8.716,10.196,13.991,15.629,16.216,17.199,18.066,18.934,21.767,22.246,22.192,20.808,23.012,25.683,24.494,24.028,25.169,26.377,26.476,27.688,29.124,30.575,32.642,34.822,36.895,2017.0
1535,628,TCD,NGDP_D,Chad,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",19.182,32.496,34.87,37.422,43.903,41.315,37.002,35.116,37.841,37.538,37.412,34.79,33.231,31.726,47.77,53.044,59.179,61.418,65.563,60.598,63.804,72.607,73.992,74.035,81.256,100.0,109.924,113.691,123.445,111.741,118.665,128.645,130.381,124.948,125.902,115.866,114.594,113.65,116.267,118.067,115.729,124.82,126.532,128.849,131.463,134.436,137.763,2017.0
1536,628,TCD,NGDPRPC,Chad,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",191844.52,167463.95,172528.95,194831.23,199891.18,209841.37,215925.14,216954.23,225943.18,223000.62,222834.65,238269.69,236306.39,224101.23,228843.38,219648.94,216846.09,221395.02,228662.33,219107.1,209326.92,225047.31,234920.65,259307.46,333666.45,348432.41,338617.77,338026.46,336979.77,339511.83,373027.77,361116.69,379890.19,388527.23,401813.25,395969.71,362381.51,343039.42,340485.84,340254.31,327620.43,321137.71,319331.74,318179.49,322827.32,327749.23,330961.57,2004.0
1537,628,TCD,NGDPRPPPPC,Chad,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",894.835,781.115,804.74,908.766,932.367,978.779,1007.16,1011.96,1053.88,1040.16,1039.38,1111.38,1102.22,1045.29,1067.41,1024.53,1011.45,1032.67,1066.57,1022.0,976.379,1049.71,1095.76,1209.51,1556.35,1625.22,1579.44,1576.68,1571.8,1583.61,1739.94,1684.38,1771.95,1812.24,1874.21,1846.95,1690.28,1600.06,1588.15,1587.07,1528.14,1497.91,1489.48,1484.11,1505.79,1528.75,1543.73,2004.0
1538,628,TCD,NGDPPC,Chad,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",36799.75,54418.82,60160.06,72909.5,87758.72,86695.07,79896.73,76185.33,85498.2,83709.85,83367.48,82893.39,78527.56,71097.91,109319.24,116510.36,128328.02,135976.25,149918.53,132775.1,133558.52,163400.58,173823.5,191978.68,271123.04,348432.41,372223.44,384306.34,415985.85,379373.34,442654.6,464558.23,495302.88,485456.72,505890.67,458796.19,415268.91,389862.98,395872.73,401728.68,379150.45,400844.89,404055.43,409970.12,424397.54,440612.93,455943.09,2004.0
1539,628,TCD,NGDPDPC,Chad,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",163.554,189.349,178.888,174.759,182.983,192.956,230.715,253.529,287.003,262.413,306.217,293.844,296.666,251.096,196.901,233.418,250.861,232.968,254.121,215.939,188.139,223.102,250.264,330.959,513.888,661.203,712.529,803.018,932.601,805.798,895.354,985.629,970.738,982.92,1024.84,776.105,700.558,671.18,713.034,685.677,659.674,729.844,743.841,765.721,802.39,842.102,878.215,2004.0
