,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
1620,924,CHN,NGDP_R,China,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office. Data retrieved from CEIC Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices. Authorities publish production-based measure; staff estimates expenditure-based measures. Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No Primary domestic currency: Chinese yuan Data last updated: 09/2021,2653.62,2788.95,3039.96,3368.28,3880.25,4404.13,4782.74,5342.33,5940.67,6190.17,6430.86,7028.93,8032.48,9147.34,10339.11,11473.2,12611.46,13777.67,14860.05,16001.37,17357.02,18800.95,20514.56,22570.42,24853.26,27683.9,31202.53,35647.9,39067.36,42757.5,47294.46,51811.5,55877.49,60219.52,64670.54,69209.37,73950.57,79087.7,84426.81,89451.01,91545.99,98883.74,104422.86,109933.25,115701.94,121617.54,127618.01,2020.0
1621,924,CHN,NGDP_RPCH,China,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.91,5.1,9.0,10.8,15.2,13.501,8.597,11.7,11.2,4.2,3.888,9.3,14.277,13.879,13.029,10.969,9.921,9.247,7.856,7.68,8.472,8.319,9.115,10.021,10.114,11.389,12.71,14.247,9.592,9.446,10.611,9.551,7.848,7.771,7.391,7.018,6.851,6.947,6.751,5.951,2.342,8.015,5.602,5.277,5.247,5.113,4.934,2020.0
1622,924,CHN,NGDP,China,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office. Data retrieved from CEIC Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices. Authorities publish production-based measure; staff estimates expenditure-based measures. Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No Primary domestic currency: Chinese yuan Data last updated: 09/2021,454.052,492.16,538.632,603.423,729.014,910.808,1039.03,1219.8,1521.05,1725.05,1896.93,2199.72,2714.03,3557.6,4841.03,6105.04,7154.15,7941.58,8479.08,9009.51,9979.9,11038.84,12132.67,13714.67,16135.56,18765.75,21959.75,27049.94,31806.76,34765.03,40850.54,48410.93,53903.99,59634.45,64654.8,69209.37,74598.05,82898.28,91577.43,99070.84,102591.66,112979.96,121805.77,130762.15,140209.44,150112.18,160504.52,2020.0
1623,924,CHN,NGDPD,China,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",303.004,288.699,284.601,305.428,314.23,310.133,300.92,327.728,408.663,458.18,396.59,413.209,492.148,617.433,561.686,730.996,860.468,957.991,1024.17,1088.35,1205.53,1333.65,1465.83,1656.96,1949.45,2290.02,2754.15,3555.66,4577.28,5088.99,6033.83,7492.21,8539.58,9624.93,10524.24,11113.51,11226.9,12265.33,13841.81,14340.6,14866.74,16862.98,18463.13,19993.5,21594.81,23266.93,24996.04,2020.0
1624,924,CHN,PPPGDP,China,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",302.76,348.305,403.112,464.138,553.986,648.661,718.609,822.54,946.918,1025.38,1105.12,1248.74,1459.55,1701.52,1964.29,2225.45,2491.03,2768.31,3019.39,3297.11,3657.47,4050.99,4489.11,5036.46,5694.74,6542.26,7601.32,8918.95,9961.92,10972.76,12282.96,13735.67,15137.46,16277.36,17200.69,17880.34,18701.7,19814.06,21656.96,23356.24,24191.3,27071.96,29375.3,31661.29,34082.22,36602.99,39204.85,2020.0
1625,924,CHN,NGDP_D,China,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",17.111,17.647,17.718,17.915,18.788,20.681,21.725,22.833,25.604,27.868,29.497,31.295,33.788,38.892,46.823,53.211,56.727,57.641,57.06,56.305,57.498,58.714,59.142,60.764,64.923,67.786,70.378,75.881,81.415,81.307,86.375,93.437,96.468,99.028,99.976,100.0,100.876,104.818,108.47,110.754,112.066,114.255,116.647,118.947,121.182,123.43,125.769,2020.0
1626,924,CHN,NGDPRPC,China,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",2688.43,2786.95,2990.5,3269.92,3718.25,4160.69,4448.77,4887.76,5350.7,5492.42,5624.68,6068.68,6855.35,7718.17,8626.71,9472.51,10304.4,11144.64,11910.82,12721.11,13694.66,14731.17,15970.48,17465.71,19119.66,21172.18,23737.55,26979.62,29417.75,32040.09,35270.42,38402.78,41109.97,44043.94,46983.23,50033.52,53113.2,56486.78,60072.72,63436.83,64726.39,69729.46,73468.28,77198.67,81126.26,85176.7,89310.83,2020.0
1627,924,CHN,NGDPRPPPPC,China,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",673.541,698.221,749.217,819.221,931.543,1042.39,1114.56,1224.55,1340.53,1376.03,1409.17,1520.4,1717.49,1933.65,2161.27,2373.17,2581.59,2792.1,2984.05,3187.05,3430.96,3690.64,4001.13,4375.73,4790.1,5304.32,5947.03,6759.28,7370.11,8027.09,8836.4,9621.15,10299.39,11034.45,11770.84,12535.04,13306.59,14151.79,15050.18,15893.0,16216.08,17469.51,18406.21,19340.79,20324.78,21339.55,22375.29,2020.0
1628,924,CHN,NGDPPC,China,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",460.009,491.805,529.868,585.802,698.577,860.462,966.474,1116.01,1369.99,1530.6,1659.12,1899.21,2316.3,3001.76,4039.24,5040.44,5845.42,6423.88,6796.26,7162.57,7874.12,8649.3,9445.22,10612.85,12413.12,14351.74,16706.04,20472.37,23950.51,26050.98,30464.79,35882.28,39658.03,43616.03,46971.79,50033.52,53578.24,59208.4,65160.65,70259.02,72536.09,79669.64,85698.29,91825.39,98310.08,105133.36,112325.78,2020.0
1629,924,CHN,NGDPDPC,China,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",306.98,288.491,279.971,296.509,301.111,292.99,279.908,299.842,368.079,406.534,346.873,356.759,420.025,520.966,468.658,603.526,703.06,774.91,820.903,865.236,951.163,1044.96,1141.14,1282.21,1499.71,1751.37,2095.24,2691.05,3446.7,3813.41,4499.8,5553.24,6282.71,7039.57,7645.88,8034.29,8063.45,8760.26,9848.95,10170.06,10511.34,11891.2,12990.01,14040.08,15141.55,16295.35,17492.96,2020.0
