,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
1665,233,COL,NGDP_R,Colombia,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015. DANE (Colombia Institute of Statistics) has done a rebasing of the national accounts (now base year is 2015 and before 2005). Data with the new base is ONLY AVAILABLE FROM 2005. The change also includes methodological changes (for example, direct estimation of private consumption based on a survey) and most important, change in the index formulae (historically a Laspeyres fixed-base index and now a Laspeyres chain index). The main implications are that the 2005 and 2015 series are not comparable and the chain index is associated with non-additivity of the components. Chain-weighted: Yes, from 2005 Primary domestic currency: Colombian peso Data last updated: 09/2021",235715.66,241082.6,243369.08,247199.6,255482.48,263420.59,278762.41,293728.97,305666.62,316102.38,329637.87,337456.63,352146.98,372255.14,391416.4,411779.6,420245.19,434660.83,437137.46,418760.13,431008.29,438240.17,449213.62,466815.03,491710.38,514853.0,549434.0,586456.0,605713.0,612615.0,640151.0,684628.0,711415.0,747939.0,781588.0,804693.0,821490.0,832656.0,854008.0,882029.0,822088.0,884633.42,918549.14,948455.92,980798.27,1014586.77,1050097.31,2020.0
1666,233,COL,NGDP_RPCH,Colombia,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.429,2.277,0.948,1.574,3.351,3.107,5.824,5.369,4.064,3.414,4.282,2.372,4.353,5.71,5.147,5.202,2.056,3.43,0.57,-4.204,2.925,1.678,2.504,3.918,5.333,4.707,6.717,6.738,3.284,1.139,4.495,6.948,3.913,5.134,4.499,2.956,2.087,1.359,2.564,3.281,-6.796,7.608,3.834,3.256,3.41,3.445,3.5,2020.0
1667,233,COL,NGDP,Colombia,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015. DANE (Colombia Institute of Statistics) has done a rebasing of the national accounts (now base year is 2015 and before 2005). Data with the new base is ONLY AVAILABLE FROM 2005. The change also includes methodological changes (for example, direct estimation of private consumption based on a survey) and most important, change in the index formulae (historically a Laspeyres fixed-base index and now a Laspeyres chain index). The main implications are that the 2005 and 2015 series are not comparable and the chain index is associated with non-additivity of the components. Chain-weighted: Yes, from 2005 Primary domestic currency: Colombian peso Data last updated: 09/2021",2197.61,2759.34,3475.38,4250.31,5367.04,6910.8,9446.5,12280.55,16326.01,21051.2,28150.6,36331.56,46641.44,61091.18,80691.44,100892.12,120334.73,145422.64,167857.79,181097.72,207184.14,224392.27,243738.51,270585.98,305774.23,337959.0,381604.0,428507.0,476554.0,501574.0,544059.0,619023.0,666507.0,714092.0,762903.0,804693.0,863782.0,920472.0,987791.0,1061119.0,1002923.0,1114236.09,1192226.8,1267344.5,1350476.31,1439548.32,1534549.48,2020.0
1668,233,COL,NGDPD,Colombia,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",46.482,50.64,54.23,53.899,53.235,48.561,48.628,50.619,54.57,55.026,56.048,57.931,68.551,77.69,97.626,110.519,116.083,127.439,117.677,103.091,99.23,97.566,97.313,94.034,116.336,145.601,161.793,206.23,242.504,232.469,286.498,334.966,370.691,382.093,381.241,293.493,282.72,311.89,334.124,323.375,271.554,300.791,319.29,336.247,354.264,373.374,393.684,2020.0
1669,233,COL,PPPGDP,Colombia,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",78.513,87.898,94.215,99.445,106.487,113.267,122.277,132.029,142.24,152.864,165.375,175.024,186.805,202.152,217.098,233.181,242.333,254.967,259.306,251.905,265.147,275.67,286.976,304.107,328.924,355.205,390.76,428.361,450.911,458.972,485.367,529.875,553.768,591.783,625.019,630.4,672.094,700.092,735.198,772.904,729.06,812.799,867.19,916.731,969.599,1024.79,1082.64,2020.0
1670,233,COL,NGDP_D,Colombia,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",0.932,1.145,1.428,1.719,2.101,2.623,3.389,4.181,5.341,6.66,8.54,10.766,13.245,16.411,20.615,24.501,28.634,33.457,38.399,43.246,48.07,51.203,54.259,57.964,62.186,65.642,69.454,73.067,78.677,81.874,84.989,90.417,93.688,95.475,97.609,100.0,105.148,110.546,115.665,120.304,121.997,125.955,129.795,133.622,137.692,141.885,146.134,2020.0
1671,233,COL,NGDPRPC,Colombia,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",8528269.97,8532408.3,8428371.24,8380076.6,8480907.26,8804008.75,9127395.13,9420124.03,9601884.59,9727898.75,9941987.44,9970641.37,10200687.38,10581228.41,10928375.24,11304623.43,11352215.32,11589536.0,11477169.73,10856195.88,11008459.04,11051109.17,11186670.92,11480547.27,11944672.78,12354926.75,13028986.44,13747652.0,14042582.68,14048022.15,14520409.2,15366453.61,15808670.32,16461757.56,17040680.02,17374762.97,17541916.83,17559469.58,17696532.35,17856400.31,16320199.32,17328934.72,17798072.16,18184893.5,18613996.34,19065233.86,19543087.89,2020.0
1672,233,COL,NGDPRPPPPC,Colombia,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",7170.52,7174.0,7086.52,7045.92,7130.7,7402.36,7674.26,7920.38,8073.21,8179.16,8359.16,8383.26,8576.68,8896.63,9188.51,9504.86,9544.88,9744.41,9649.94,9127.82,9255.85,9291.71,9405.69,9652.78,10043.01,10387.95,10954.69,11558.94,11806.92,11811.49,12208.67,12920.02,13291.84,13840.95,14327.7,14608.6,14749.14,14763.9,14879.14,15013.55,13721.93,14570.07,14964.51,15289.75,15650.54,16029.93,16431.71,2020.0
1673,233,COL,NGDPPC,Colombia,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",79510.14,97658.69,120359.6,144085.69,178162.42,230972.01,309302.75,393846.99,512847.8,647840.52,849031.46,1073468.22,1351068.63,1736496.35,2252911.1,2769800.77,3250639.87,3877462.1,4407154.61,4694888.99,5291726.82,5658503.46,6069768.08,6654616.76,7427895.07,8110001.67,9049154.85,10045024.89,11048217.47,11501714.23,12340774.77,13893951.48,14810749.61,15716802.28,16633297.73,17374762.97,18445010.9,19411377.67,20468748.98,21482021.16,19910159.58,21826582.75,23100929.01,24298993.92,25629899.43,27050742.31,28559101.16,2020.0
1674,233,COL,NGDPDPC,Colombia,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1681.75,1792.26,1878.1,1827.17,1767.18,1623.0,1592.2,1623.4,1714.22,1693.41,1690.42,1711.65,1985.74,2208.31,2725.71,3034.09,3135.8,3397.95,3089.65,2672.58,2534.45,2460.33,2423.37,2312.6,2826.05,3493.99,3836.67,4834.43,5622.11,5330.8,6498.57,7518.3,8237.29,8409.68,8312.06,6337.04,6037.13,6577.3,6923.64,6546.63,5390.92,5892.14,6186.66,6446.91,6723.38,7016.12,7326.74,2020.0
