,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
1845,238,CRI,NGDP_R,Costa Rica,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: Central Bank Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2017. As of January 2021, national accounts data reflect an updated series (including for all historical years) with 2017 as the benchmark year. Chain-weighted: No Primary domestic currency: Costa Rican colÛn Data last updated: 09/2021",8321.49,8133.46,7540.91,7756.54,8379.27,8439.74,8906.98,9331.36,9651.63,10198.48,10565.63,10804.74,11798.89,12636.28,13207.32,13755.94,13941.71,14705.18,15757.39,16421.53,17056.83,17652.32,18255.47,19043.59,19886.2,20677.01,22191.95,24015.04,25152.92,24933.22,26269.73,27426.42,28765.54,29483.18,30527.5,31642.39,32972.74,34343.65,35242.04,36037.22,34572.78,35921.12,37178.16,38330.69,39518.94,40783.54,42129.4,2020.0
1846,238,CRI,NGDP_RPCH,Costa Rica,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",0.752,-2.26,-7.285,2.859,8.028,0.722,5.536,4.765,3.432,5.666,3.6,2.263,9.201,7.097,4.519,4.154,1.35,5.476,7.155,4.215,3.869,3.491,3.417,4.317,4.425,3.977,7.327,8.215,4.738,-0.873,5.36,4.403,4.883,2.495,3.542,3.652,4.204,4.158,2.616,2.256,-4.064,3.9,3.499,3.1,3.1,3.2,3.3,2020.0
1847,238,CRI,NGDP,Costa Rica,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: Central Bank Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2017. As of January 2021, national accounts data reflect an updated series (including for all historical years) with 2017 as the benchmark year. Chain-weighted: No Primary domestic currency: Costa Rican colÛn Data last updated: 09/2021",41.6,57.372,97.964,129.923,163.779,198.852,247.74,285.873,351.39,427.916,525.31,881.04,1151.92,1362.41,1647.13,2079.86,2425.73,2934.16,3519.45,4072.33,4627.05,5254.08,5965.39,6885.56,8150.14,9577.02,11613.32,13889.05,16208.98,17626.15,19802.01,21623.53,23752.87,25462.96,28001.33,30171.92,32056.29,34343.65,36014.72,37629.64,36174.31,37867.66,39725.6,41678.08,43936.93,46408.78,49258.63,2020.0
1848,238,CRI,NGDPD,Costa Rica,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",4.854,2.636,2.619,3.162,3.678,3.941,4.425,4.554,4.636,5.25,5.737,7.197,8.566,9.586,10.489,11.578,11.683,12.618,13.688,14.259,15.016,15.979,16.584,17.277,18.615,20.049,22.717,26.885,30.802,30.746,37.656,42.762,47.231,50.949,52.017,56.442,58.847,60.517,62.422,64.067,61.833,61.46,64.374,68.167,72.222,76.386,81.076,2020.0
1849,238,CRI,PPPGDP,Costa Rica,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",8.195,8.768,8.631,9.226,10.326,10.729,11.551,12.401,13.279,14.582,15.672,16.569,18.505,20.288,21.658,23.031,23.769,25.503,27.636,29.206,31.023,32.83,34.481,36.679,39.33,42.177,46.664,51.862,55.361,55.229,58.889,62.759,67.139,71.16,77.049,82.853,90.838,97.896,102.857,107.059,103.946,111.892,118.995,125.603,132.449,139.656,147.254,2020.0
1850,238,CRI,NGDP_D,Costa Rica,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",0.5,0.705,1.299,1.675,1.955,2.356,2.781,3.064,3.641,4.196,4.972,8.154,9.763,10.782,12.471,15.12,17.399,19.953,22.335,24.799,27.127,29.764,32.677,36.157,40.984,46.317,52.331,57.835,64.442,70.693,75.38,78.842,82.574,86.364,91.725,95.353,97.221,100.0,102.192,104.419,104.632,105.419,106.852,108.733,111.179,113.793,116.922,2020.0
1851,238,CRI,NGDPRPC,Costa Rica,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",3615044.36,3428880.06,3086552.67,3084752.15,3237965.83,3165710.88,3243357.43,3304327.8,3327112.83,3425771.35,3463509.29,3461208.33,3697264.41,3858440.66,3916059.64,3964492.4,3911123.66,4021634.77,4205326.93,4279031.85,4476639.06,4465105.02,4538417.86,4660231.74,4789750.69,4905287.85,5186662.81,5532922.99,5711263.48,5578728.73,5768604.91,5945878.45,6155776.43,6229208.96,6369693.78,6522949.67,6716387.34,6915180.15,7017097.21,7100408.81,6741426.86,6931907.67,7100292.58,7244698.31,7392040.98,7549695.89,7718184.83,2020.0
1852,238,CRI,NGDPRPPPPC,Costa Rica,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",10304.65,9773.99,8798.19,8793.06,9229.79,9023.83,9245.16,9418.95,9483.9,9765.13,9872.7,9866.14,10539.02,10998.45,11162.69,11300.75,11148.62,11463.63,11987.24,12197.34,12760.62,12727.74,12936.72,13283.94,13653.14,13982.47,14784.53,15771.54,16279.9,15902.11,16443.35,16948.67,17546.98,17756.3,18156.75,18593.6,19145.0,19711.65,20002.17,20239.65,19216.37,19759.33,20239.31,20650.94,21070.94,21520.33,22000.61,2020.0
1853,238,CRI,NGDPPC,Costa Rica,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",18071.99,24186.69,40097.51,51669.95,63288.23,74588.51,90211.35,101230.61,121131.26,143741.34,172201.42,282233.94,360961.45,416007.47,488383.66,599420.91,680498.36,802445.31,939270.93,1061145.43,1214389.35,1329006.37,1483031.35,1684992.08,1963026.31,2271994.96,2714244.85,3199955.05,3680436.76,3943794.74,4348350.66,4687846.1,5083072.75,5379816.08,5842596.57,6219817.69,6529710.51,6915180.15,7170945.55,7414164.22,7053711.73,7307542.59,7586803.04,7877373.33,8218429.23,8591017.66,9024271.81,2020.0
1854,238,CRI,NGDPDPC,Costa Rica,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2108.75,1111.35,1071.94,1257.36,1421.16,1478.37,1611.32,1612.56,1598.04,1763.48,1880.75,2305.41,2684.09,2926.91,3110.15,3336.71,3277.61,3450.91,3653.15,3715.41,3941.14,4041.94,4122.83,4227.82,4483.59,4756.34,5309.27,6194.05,6993.9,6879.27,8268.86,9270.57,10107.45,10764.53,10853.64,11635.2,11986.92,12185.26,12428.92,12623.19,12056.96,11860.22,12294.13,12883.88,13509.16,14140.21,14853.31,2020.0
