,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
1935,960,HRV,NGDP_R,Croatia,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office. By the former Central Bureau of Statistics of the Republic of Croatia (CroStat), now the Croatian Bureau of Statistics (CBS, www.dzs.hr). Latest actual data: 2020 Notes: The authorities produce data from 1995 only; Earlier data for the GDP and its components result from splicing. The GDP estimates include all economic activities within the ESA 2010 production boundary, covering both registered and unregistered activities. In addition to the unregistered activities covered since the implementation of ESA 1995 in 2009, since September 2014 CBS is also covering data on illegal activities within ESA 2010. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices. Gross domestic product (GDP) by expenditure approach is valued at market prices and gross value added (GVA) by production approach is valued at basic prices. Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No Primary domestic currency: Croatian kuna Data last updated: 09/2021",,,,,,,,,,,,,217.646,200.235,212.049,226.116,239.397,255.306,260.06,257.627,267.286,275.192,290.817,307.207,319.971,333.757,350.421,368.181,375.151,347.677,343.1,342.419,334.229,332.736,331.599,339.662,351.543,363.635,373.845,384.528,353.655,375.935,397.74,413.649,427.3,440.973,454.643,2020.0
1936,960,HRV,NGDP_RPCH,Croatia,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",,,,,,,,,,,,,,-8.0,5.9,6.634,5.874,6.645,1.862,-0.936,3.749,2.958,5.678,5.636,4.155,4.309,4.993,5.068,1.893,-7.323,-1.316,-0.198,-2.392,-0.447,-0.342,2.432,3.498,3.44,2.808,2.858,-8.029,6.3,5.8,4.0,3.3,3.2,3.1,2020.0
1937,960,HRV,NGDP,Croatia,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office. By the former Central Bureau of Statistics of the Republic of Croatia (CroStat), now the Croatian Bureau of Statistics (CBS, www.dzs.hr). Latest actual data: 2020 Notes: The authorities produce data from 1995 only; Earlier data for the GDP and its components result from splicing. The GDP estimates include all economic activities within the ESA 2010 production boundary, covering both registered and unregistered activities. In addition to the unregistered activities covered since the implementation of ESA 1995 in 2009, since September 2014 CBS is also covering data on illegal activities within ESA 2010. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices. Gross domestic product (GDP) by expenditure approach is valued at market prices and gross value added (GVA) by production approach is valued at basic prices. Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No Primary domestic currency: Croatian kuna Data last updated: 09/2021",,,,,,,,,,,,,3.2,46.116,103.388,116.349,127.841,145.811,160.788,165.248,179.078,192.313,211.073,232.545,250.952,269.957,294.357,322.265,346.609,330.776,329.434,334.193,331.015,331.989,331.325,339.662,351.199,367.501,385.373,402.334,371.516,397.612,427.454,454.851,479.183,501.9,526.202,2020.0
1938,960,HRV,NGDPD,Croatia,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,12.168,12.885,17.237,22.243,23.449,23.819,25.182,23.223,21.634,23.055,26.814,34.682,41.587,45.377,50.423,60.073,70.234,62.6,59.919,62.538,56.581,58.194,57.64,49.526,51.601,55.482,61.375,60.752,56.171,63.399,68.525,73.979,78.892,83.531,88.26,2020.0
1939,960,HRV,PPPGDP,Croatia,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,38.797,36.539,39.522,43.027,46.389,50.325,51.839,52.077,55.254,58.17,62.431,67.251,71.925,77.377,83.747,90.369,93.846,87.531,87.417,89.056,90.339,92.861,93.503,96.73,103.833,110.45,116.263,121.725,113.301,124.779,135.65,144.433,152.6,160.904,169.33,2020.0
1940,960,HRV,NGDP_D,Croatia,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",,,,,,,,,,,,,1.47,23.031,48.757,51.456,53.401,57.112,61.827,64.142,66.999,69.883,72.579,75.697,78.43,80.884,84.001,87.529,92.392,95.139,96.017,97.598,99.038,99.775,99.917,100.0,99.902,101.063,103.084,104.631,105.05,105.766,107.471,109.961,112.142,113.816,115.739,2020.0
1941,960,HRV,NGDPRPC,Croatia,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,,46015.8,43301.77,46869.12,50780.16,53270.43,55841.3,57778.25,56571.59,61010.27,63923.81,67553.31,71343.94,72081.78,75136.65,78923.65,82998.42,84607.8,78500.11,77659.57,79985.75,78310.45,78180.45,78244.22,80794.96,84222.09,88153.94,91449.36,94594.83,87489.94,93734.27,99965.58,104717.33,108935.55,112085.23,115214.23,2020.0
1942,960,HRV,NGDPRPPPPC,Croatia,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,,13976.75,13152.39,14235.93,15423.87,16180.25,16961.12,17549.45,17182.94,18531.14,19416.09,20518.51,21669.87,21893.98,22821.86,23972.11,25209.78,25698.61,23843.47,23588.16,24294.71,23785.86,23746.37,23765.74,24540.5,25581.45,26775.7,27776.65,28732.05,26574.02,28470.66,30363.35,31806.63,33087.87,34044.55,34994.94,2020.0
1943,960,HRV,NGDPPC,Croatia,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,676.599,9972.83,22851.76,26129.25,28447.02,31892.26,35722.79,36286.3,40876.06,44672.01,49029.73,54004.88,56533.45,60773.75,66296.62,72647.66,78170.73,74684.13,74566.32,78064.24,77557.4,78004.93,78179.57,80794.96,84139.67,89091.15,94269.33,98975.15,91908.54,99139.06,107433.9,115147.72,122162.64,127571.41,133348.3,2020.0
1944,960,HRV,NGDPDPC,Croatia,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,2572.62,2786.37,3809.89,4995.31,5217.74,5209.72,5594.8,5099.54,4938.11,5355.37,6228.62,8054.46,9368.62,10215.39,11356.45,13542.21,15839.94,14134.16,13562.42,14608.2,13257.02,13673.37,13600.79,11780.6,12362.59,13450.09,15013.37,14945.18,13895.94,15807.7,17222.7,18728.15,20112.76,21231.56,22366.51,2020.0
1945,960,HRV,PPPPC,Croatia,"Gross domestic product per capita, current prices","Expressed in GDP in PPP dollars per person. Data are derived by dividing GDP in PPP dollars by total population. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,8202.7,7901.84,8735.52,9662.91,10322.39,11007.13,11517.13,11435.5,12612.14,13512.15,14501.9,15617.93,16203.03,17419.39,18861.94,20371.82,21165.08,19763.07,19786.46,20802.56,21166.62,21818.89,22062.9,23009.13,24876.12,26775.7,28440.18,29944.68,28029.33,31112.0,34093.52,36563.92,38903.76,40898.13,42911.0,2020.0
1946,960,HRV,NGAP_NPGDP,Croatia,Output gap in percent of potential GDP,"Output gaps for advanced economies are calculated as actual GDP less potential GDP as a percent of potential GDP. Estimates of output gaps are subject to a significant margin of uncertainty. For a discussion of approaches to calculating potential output, see Paula R. De Masi, IMF Estimates of Potential Output: Theory and Practice, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1997), pp. 40-46.",Percent of potential GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,960,HRV,PPPSH,Croatia,Gross domestic product based on purchasing-power-parity (PPP) share of world total,"Expressed in percent of world GDP in PPP dollars. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Percent,,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,0.117,0.106,0.109,0.112,0.114,0.117,0.116,0.111,0.11,0.11,0.113,0.115,0.114,0.113,0.113,0.113,0.112,0.104,0.097,0.093,0.09,0.088,0.086,0.087,0.09,0.091,0.09,0.09,0.086,0.086,0.087,0.087,0.087,0.087,0.087,2020.0
1948,960,HRV,PPPEX,Croatia,Implied PPP conversion rate,"Expressed in national currency per current international dollar. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,0.082,1.262,2.616,2.704,2.756,2.897,3.102,3.173,3.241,3.306,3.381,3.458,3.489,3.489,3.515,3.566,3.693,3.779,3.769,3.753,3.664,3.575,3.543,3.511,3.382,3.327,3.315,3.305,3.279,3.187,3.151,3.149,3.14,3.119,3.108,2020.0
1949,960,HRV,NID_NGDP,Croatia,Total investment,Expressed as a ratio of total investment in current local currency and GDP in current local currency. Investment or gross capital formation is measured by the total value of the gross fixed capital formation and changes in inventories and acquisitions less disposals of valuables for a unit or sector. [SNA 1993],Percent of GDP,,"Source: National Statistics Office. By the former Central Bureau of Statistics of the Republic of Croatia (CroStat), now the Croatian Bureau of Statistics (CBS, www.dzs.hr). Latest actual data: 2020 Notes: The authorities produce data from 1995 only; Earlier data for the GDP and its components result from splicing. The GDP estimates include all economic activities within the ESA 2010 production boundary, covering both registered and unregistered activities. In addition to the unregistered activities covered since the implementation of ESA 1995 in 2009, since September 2014 CBS is also covering data on illegal activities within ESA 2010. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices. Gross domestic product (GDP) by expenditure approach is valued at market prices and gross value added (GVA) by production approach is valued at basic prices. Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No Primary domestic currency: Croatian kuna Data last updated: 09/2021",,,,,,,,,,,,,16.428,-1.51,13.243,16.948,20.238,25.796,21.747,20.024,20.211,21.438,24.723,28.129,26.9,26.996,29.189,29.062,30.734,25.155,21.11,19.94,18.809,19.391,18.946,20.607,21.022,21.996,23.44,22.648,25.639,25.706,26.968,28.172,28.547,27.796,27.193,2020.0
