,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
1980,423,CYP,NGDP_R,Cyprus,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: Eurostat Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1995 Primary domestic currency: Euro Data last updated: 09/2021",4.805,4.952,5.263,5.542,6.032,6.318,6.545,7.012,7.595,8.209,8.817,8.882,9.714,9.782,10.359,11.387,11.529,11.833,12.557,13.184,13.971,14.523,15.063,15.459,16.236,17.024,17.826,18.735,19.418,19.027,19.41,19.488,18.816,17.583,17.262,17.817,18.964,19.942,20.987,21.632,20.528,21.507,22.271,22.984,23.623,24.255,24.884,2020.0
1981,423,CYP,NGDP_RPCH,Cyprus,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.92,3.051,6.279,5.307,8.837,4.746,3.583,7.139,8.317,8.088,7.402,0.74,9.365,0.701,5.899,9.924,1.246,2.641,6.113,4.997,5.965,3.952,3.722,2.624,5.025,4.854,4.714,5.097,3.648,-2.016,2.015,0.402,-3.448,-6.553,-1.829,3.218,6.438,5.156,5.24,3.076,-5.104,4.766,3.552,3.205,2.778,2.675,2.593,2020.0
1982,423,CYP,NGDP,Cyprus,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: Eurostat Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1995 Primary domestic currency: Euro Data last updated: 09/2021",1.395,1.607,1.88,2.086,2.454,2.719,2.935,3.268,3.656,4.14,4.689,4.907,5.693,6.028,6.721,7.678,7.98,8.374,9.06,9.732,10.595,11.417,11.877,12.845,13.856,14.822,16.0,17.511,19.01,18.676,19.41,19.803,19.441,17.995,17.43,17.884,18.929,20.12,21.433,22.287,20.841,22.226,23.428,24.83,26.094,27.468,29.026,2020.0
1983,423,CYP,NGDPD,Cyprus,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2.314,2.242,2.319,2.321,2.447,2.611,3.317,3.979,4.589,4.901,6.003,6.195,7.424,7.098,8.004,9.937,10.016,9.544,10.251,10.502,9.988,10.397,11.422,14.552,17.328,18.713,20.422,24.082,27.956,26.02,25.753,27.56,24.993,23.9,23.162,19.844,20.947,22.721,25.322,24.953,23.785,26.546,28.291,30.421,32.361,34.436,36.674,2020.0
1984,423,CYP,PPPGDP,Cyprus,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",3.008,3.393,3.829,4.19,4.725,5.106,5.395,5.923,6.642,7.461,8.313,8.658,9.684,9.983,10.798,12.118,12.494,13.045,13.998,14.905,16.152,17.168,18.085,18.926,20.411,22.073,23.826,25.717,27.167,26.79,27.658,28.346,27.503,26.182,25.644,26.976,30.414,32.72,35.257,36.991,35.526,38.561,41.029,43.352,45.572,47.807,50.063,2020.0
1985,423,CYP,NGDP_D,Cyprus,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",29.033,32.457,35.73,37.631,40.68,43.042,44.847,46.606,48.132,50.426,53.184,55.251,58.608,61.624,64.883,67.432,69.214,70.762,72.15,73.813,75.837,78.614,78.847,83.094,85.346,87.069,89.757,93.47,97.897,98.155,100.001,101.617,103.319,102.343,100.977,100.375,99.817,100.893,102.124,103.026,101.522,103.346,105.195,108.03,110.459,113.248,116.649,2020.0
1986,423,CYP,NGDPRPC,Cyprus,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",9448.23,9615.51,10105.43,10504.6,11278.97,11676.71,11953.65,12668.15,13579.41,14465.6,15217.19,14930.32,15908.63,15631.01,16211.09,17643.19,17565.47,17759.37,18596.6,19307.27,20232.82,20819.76,21350.2,21659.33,22459.06,23222.43,23959.39,24718.7,25012.59,23874.87,23695.46,23206.88,21828.14,20306.67,20118.3,21035.22,22354.8,23329.15,24283.65,24697.37,23117.33,23888.91,24400.14,24838.97,25180.92,25501.97,25806.49,2020.0
1987,423,CYP,NGDPRPPPPC,Cyprus,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",15502.22,15776.67,16580.51,17235.46,18506.0,19158.6,19612.98,20785.3,22280.46,23734.48,24967.66,24496.96,26102.13,25646.63,26598.4,28948.12,28820.6,29138.74,30512.42,31678.46,33197.06,34160.08,35030.41,35537.62,36849.78,38102.28,39311.45,40557.29,41039.48,39172.76,38878.4,38076.76,35814.59,33318.23,33009.16,34513.6,36678.7,38277.37,39843.46,40522.28,37929.82,39195.8,40034.6,40754.62,41315.66,41842.44,42342.07,2020.0
1988,423,CYP,NGDPPC,Cyprus,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2743.13,3120.89,3610.7,3952.96,4588.29,5025.86,5360.87,5904.08,6536.01,7294.46,8093.06,8249.21,9323.78,9632.39,10518.19,11897.14,12157.7,12566.92,13417.5,14251.2,15344.02,16367.17,16834.08,17997.67,19167.98,20219.57,21505.14,23104.67,24486.53,23434.43,23695.58,23582.11,22552.61,20782.37,20314.92,21114.09,22313.89,23537.5,24799.48,25444.83,23469.13,24688.28,25667.77,26833.59,27814.67,28880.44,30102.9,2020.0
1989,423,CYP,NGDPDPC,Cyprus,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",4549.65,4352.56,4452.72,4399.28,4575.71,4824.74,6057.98,7188.31,8204.41,8635.88,10360.13,10413.86,12158.76,11342.56,12525.48,15397.12,15260.55,14324.09,15181.64,15379.99,14464.82,14905.02,16188.53,20389.34,23969.82,25527.08,27448.57,31774.25,36009.75,32650.44,31439.29,32819.47,28993.69,27601.85,26995.34,23428.72,24692.5,26580.49,29300.33,28487.98,26784.89,29486.28,30995.78,32875.53,34495.44,36206.53,38034.16,2020.0
