,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
2025,935,CZE,NGDP_R,Czech Republic,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995 Primary domestic currency: Czech koruna Data last updated: 09/2021",,,,,,,,,,,,,,,,2843.01,2971.65,2956.25,2945.71,2986.48,3105.97,3200.49,3250.73,3367.23,3529.33,3762.33,4016.92,4240.68,4354.6,4151.79,4252.88,4327.75,4293.77,4291.8,4388.89,4625.38,4742.74,4987.88,5147.42,5303.36,4996.11,5185.29,5418.04,5641.66,5842.95,6027.6,6178.29,2019.0
2026,935,CZE,NGDP_RPCH,Czech Republic,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",,,,,,,,,,,,,,,,,4.525,-0.518,-0.357,1.384,4.001,3.043,1.57,3.584,4.814,6.602,6.767,5.57,2.686,-4.657,2.435,1.76,-0.785,-0.046,2.262,5.388,2.537,5.169,3.199,3.029,-5.794,3.787,4.489,4.127,3.568,3.16,2.5,2019.0
2027,935,CZE,NGDP,Czech Republic,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995 Primary domestic currency: Czech koruna Data last updated: 09/2021",,,,,,,,,,,,,,,,1596.31,1829.26,1971.02,2156.62,2252.98,2386.29,2579.13,2690.98,2823.45,3079.21,3285.6,3530.88,3859.53,4042.86,3954.32,3992.87,4062.32,4088.91,4142.81,4345.77,4625.38,4796.87,5110.74,5409.67,5790.35,5694.62,5952.19,6366.35,6742.36,7099.54,7467.95,7804.4,2019.0
2028,935,CZE,NGDPD,Czech Republic,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,,,,60.139,67.388,62.171,66.782,65.173,61.823,67.809,82.184,100.125,119.815,137.143,156.264,189.988,237.131,207.558,209.07,229.563,208.858,211.686,209.359,188.033,196.272,218.629,248.95,252.498,245.349,276.914,302.061,324.563,345.949,367.858,387.437,2019.0
2029,935,CZE,PPPGDP,Czech Republic,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,,,,146.309,155.73,157.594,158.8,163.266,173.645,182.961,188.729,199.351,214.557,235.894,259.628,281.498,294.603,282.683,293.046,304.401,307.49,324.03,342.1,357.6,381.382,412.903,436.289,457.548,436.234,469.067,503.613,536.876,568.706,599.422,627.139,2019.0
2030,935,CZE,NGDP_D,Czech Republic,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",,,,,,,,,,,,,,,,56.149,61.557,66.673,73.212,75.439,76.829,80.585,82.781,83.851,87.246,87.329,87.9,91.012,92.841,95.244,93.886,93.867,95.229,96.528,99.017,100.0,101.141,102.463,105.095,109.183,113.981,114.79,117.503,119.51,121.506,123.896,126.32,2019.0
2031,935,CZE,NGDPRPC,Czech Republic,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,,,,,275134.26,287913.38,286760.18,286015.46,290242.18,302193.27,312791.0,318661.99,330358.18,346170.86,368896.8,392907.39,413553.6,421001.58,398223.23,406504.04,412687.9,408718.91,408116.39,417495.54,438912.25,449384.84,471496.44,485145.55,497977.52,467190.53,483230.82,503607.96,523456.38,541612.21,558634.29,572636.98,2019.0
2032,935,CZE,NGDPRPPPPC,Czech Republic,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,,,,,22775.97,23833.84,23738.38,23676.73,24026.62,25015.95,25893.25,26379.25,27347.48,28656.47,30537.76,32525.38,34234.5,34851.06,32965.44,33650.93,34162.84,33834.28,33784.4,34560.82,36333.73,37200.66,39031.09,40160.98,41223.23,38674.64,40002.47,41689.32,43332.4,44835.36,46244.47,47403.63,2019.0
2033,935,CZE,NGDPPC,Czech Republic,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,,,,154483.8,177230.31,191191.95,209398.76,218956.85,232172.24,252064.03,263791.2,277008.66,302020.81,322153.91,345366.5,376384.37,390862.91,379282.78,381651.35,387377.44,389218.35,393948.44,413393.53,438912.25,454514.34,483110.88,509862.11,543704.86,532509.4,554700.99,591753.38,625583.99,658091.53,692124.69,723353.28,2019.0
2034,935,CZE,NGDPDPC,Czech Republic,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,,,,5820.04,6529.04,6030.63,6484.2,6333.86,6015.07,6627.1,8056.32,9823.29,11751.9,13446.94,15284.67,18527.74,22925.75,19908.15,19983.58,21890.78,19880.9,20129.62,19915.38,17842.87,18597.21,20666.67,23463.6,23709.18,22942.86,25806.38,28076.59,30114.28,32067.7,34092.84,35909.72,2019.0
