,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
1890,662,CIV,NGDP_R,CÙte d'Ivoire,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2017 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015. The authorities' rebasing exercise to 2015 is ongoing Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 09/2021,12828.11,13276.78,13303.34,12970.75,12711.34,13168.95,13801.05,13732.05,13888.59,14298.31,14142.46,14148.11,14112.74,14087.34,14111.49,14897.74,16109.77,17031.68,17871.45,18160.53,17784.9,17806.48,17509.54,17271.49,17484.23,17785.18,18054.77,18373.45,18840.66,19453.25,19845.75,18881.77,20933.09,22874.0,24885.55,27086.15,29032.9,31169.62,33317.29,35393.53,36099.56,38249.72,40724.47,43341.13,46070.06,48878.92,51811.65,2017.0
1891,662,CIV,NGDP_RPCH,CÙte d'Ivoire,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.196,3.498,0.2,-2.5,-2.0,3.6,4.8,-0.5,1.14,2.95,-1.09,0.04,-0.25,-0.18,0.171,5.572,8.136,5.723,4.931,1.618,-2.068,0.121,-1.668,-1.36,1.232,1.721,1.516,1.765,2.543,3.251,2.018,-4.857,10.864,9.272,8.794,8.843,7.187,7.36,6.89,6.232,1.995,5.956,6.47,6.425,6.296,6.097,6.0,2017.0
1892,662,CIV,NGDP,CÙte d'Ivoire,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2017 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015. The authorities' rebasing exercise to 2015 is ongoing Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 09/2021,2932.0,3125.3,3391.1,3548.54,4056.8,4254.47,4389.51,4190.6,4197.24,4302.57,4063.02,4091.63,4080.58,4323.37,6380.14,7589.6,8583.65,9457.31,10284.79,10533.31,10547.1,11340.96,11895.36,12296.97,12088.61,12456.7,12866.06,13477.19,14994.94,15845.68,17036.12,16743.03,18905.78,21350.24,24135.86,27086.15,28423.87,29955.01,32222.27,34298.89,35192.99,37811.2,40780.93,43965.43,47387.94,51081.58,55012.81,2017.0
1893,662,CIV,NGDPD,CÙte d'Ivoire,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",13.877,11.501,10.32,9.312,9.284,9.47,12.675,13.944,14.092,13.487,14.923,14.504,15.416,15.268,11.492,15.205,16.78,16.203,17.433,17.114,14.851,15.485,17.147,21.205,22.924,23.625,24.628,28.158,33.621,33.693,34.431,35.529,37.03,43.228,48.882,45.815,47.964,51.588,58.011,58.539,61.231,68.845,75.075,82.116,89.594,97.627,105.963,2017.0
1894,662,CIV,PPPGDP,CÙte d'Ivoire,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",20.664,23.41,24.906,25.234,25.622,27.384,29.276,29.85,31.255,33.439,34.312,35.487,36.205,36.996,37.851,40.798,44.925,48.315,51.268,52.831,52.91,54.168,54.095,54.413,56.561,59.339,62.097,64.901,67.828,70.482,72.768,70.672,78.215,86.354,97.907,108.069,112.61,118.051,129.2,139.706,144.21,158.306,173.188,188.701,205.154,222.391,240.619,2017.0
1895,662,CIV,NGDP_D,CÙte d'Ivoire,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",22.856,23.54,25.491,27.358,31.915,32.307,31.806,30.517,30.221,30.091,28.729,28.92,28.914,30.69,45.212,50.945,53.282,55.528,57.549,58.001,59.304,63.69,67.936,71.198,69.14,70.04,71.261,73.351,79.588,81.455,85.843,88.673,90.315,93.338,96.987,100.0,97.902,96.103,96.713,96.907,97.489,98.854,100.139,101.44,102.861,104.506,106.178,2017.0
1896,662,CIV,NGDPRPC,CÙte d'Ivoire,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",1604945.97,1624037.58,1566607.21,1453533.55,1385722.25,1382116.3,1393719.65,1335006.61,1337746.71,1323393.85,1257592.95,1209588.59,1160854.2,1054588.7,1025663.38,1052240.33,1106475.74,1140151.59,1166051.47,1154885.65,1102337.22,1075706.78,1030962.8,991175.92,977958.05,969581.99,959336.58,951529.45,950999.36,957037.68,951605.5,882439.38,953516.41,1015522.32,1076830.55,1142352.07,1193426.76,1248790.09,1301009.07,1347060.6,1339114.78,1382919.24,1435081.74,1488586.45,1542216.18,1594779.56,1647628.01,2015.0
1897,662,CIV,NGDPRPPPPC,CÙte d'Ivoire,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",6078.55,6150.86,5933.35,5505.09,5248.26,5234.61,5278.55,5056.18,5066.56,5012.2,4762.99,4581.18,4396.6,3994.13,3884.58,3985.24,4190.65,4318.19,4416.29,4374.0,4174.98,4074.12,3904.65,3753.97,3703.9,3672.18,3633.38,3603.81,3601.8,3624.67,3604.1,3342.14,3611.33,3846.17,4078.37,4326.53,4519.97,4729.65,4927.42,5101.84,5071.74,5237.65,5435.21,5637.85,5840.97,6040.04,6240.2,2015.0
1898,662,CIV,NGDPPC,CÙte d'Ivoire,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",366827.91,382291.16,399338.04,397658.29,442250.88,446517.56,443281.27,407403.47,404277.26,398228.34,361297.01,349813.02,335650.84,323650.31,463727.2,536059.84,589555.14,633100.54,671047.17,669846.52,653726.89,685118.29,700399.75,705698.55,676160.64,679092.99,683635.47,697960.84,756883.55,779556.62,816883.7,782485.32,861170.72,947873.18,1044390.25,1142352.07,1168392.07,1200127.65,1258249.28,1305399.24,1305485.36,1367064.4,1437071.05,1510028.37,1586332.63,1666646.02,1749426.03,2015.0
1899,662,CIV,NGDPDPC,CÙte d'Ivoire,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1736.22,1406.87,1215.25,1043.54,1012.12,993.889,1280.03,1355.59,1357.33,1248.33,1327.01,1240.0,1268.08,1142.98,835.236,1073.95,1152.48,1084.69,1137.46,1088.34,920.472,935.446,1009.64,1216.94,1282.22,1287.97,1308.58,1458.24,1697.05,1657.6,1650.96,1660.45,1686.73,1919.16,2115.19,1932.22,1971.62,2066.85,2265.29,2227.98,2271.38,2489.1,2645.56,2820.36,2999.21,3185.31,3369.66,2015.0
1900,662,CIV,PPPPC,CÙte d'Ivoire,"Gross domestic product per capita, current prices","Expressed in GDP in PPP dollars per person. Data are derived by dividing GDP in PPP dollars by total population. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2585.26,2863.51,2932.92,2827.8,2793.17,2873.99,2956.47,2901.97,3010.47,3094.96,3051.14,3033.92,2978.04,2769.55,2751.12,2881.59,3085.59,3234.33,3345.03,3359.68,3279.47,3272.34,3185.11,3122.63,3163.69,3234.96,3299.54,3361.13,3423.67,3467.5,3489.26,3302.87,3562.75,3833.79,4236.55,4557.77,4628.93,4729.65,5045.13,5317.16,5349.49,5723.57,6102.93,6481.1,6867.64,7255.98,7651.77,2015.0
1902,662,CIV,PPPSH,CÙte d'Ivoire,Gross domestic product based on purchasing-power-parity (PPP) share of world total,"Expressed in percent of world GDP in PPP dollars. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.154,0.157,0.157,0.149,0.14,0.14,0.142,0.136,0.132,0.131,0.125,0.122,0.109,0.107,0.104,0.106,0.11,0.112,0.115,0.113,0.105,0.103,0.098,0.093,0.09,0.087,0.084,0.081,0.081,0.084,0.081,0.074,0.078,0.082,0.09,0.097,0.097,0.097,0.1,0.104,0.109,0.109,0.111,0.114,0.117,0.121,0.124,2017.0
1903,662,CIV,PPPEX,CÙte d'Ivoire,Implied PPP conversion rate,"Expressed in national currency per current international dollar. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",141.892,133.505,136.157,140.625,158.333,155.365,149.936,140.389,134.29,128.67,118.414,115.301,112.709,116.86,168.56,186.03,191.067,195.744,200.61,199.378,199.339,209.366,219.898,225.995,213.725,209.923,207.191,207.657,221.073,224.818,234.114,236.911,241.715,247.242,246.519,250.638,252.411,253.746,249.399,245.507,244.039,238.848,235.472,232.99,230.987,229.693,228.63,2017.0
1904,662,CIV,NID_NGDP,CÙte d'Ivoire,Total investment,Expressed as a ratio of total investment in current local currency and GDP in current local currency. Investment or gross capital formation is measured by the total value of the gross fixed capital formation and changes in inventories and acquisitions less disposals of valuables for a unit or sector. [SNA 1993],Percent of GDP,,Source: National Statistics Office Latest actual data: 2017 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015. The authorities' rebasing exercise to 2015 is ongoing Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 09/2021,19.124,23.194,23.19,19.121,12.918,15.174,13.341,13.522,13.733,10.486,8.17,8.682,7.429,5.284,8.792,16.647,14.564,16.781,17.472,14.461,12.205,11.537,9.029,11.6,11.03,12.668,10.267,12.838,14.069,11.596,15.731,7.241,17.889,23.276,23.493,23.485,21.743,20.122,21.212,20.059,22.169,22.922,24.618,24.881,25.016,25.956,26.944,2017.0
