,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
2070,128,DNK,NGDP_R,Denmark,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1980 Primary domestic currency: Danish krone Data last updated: 09/2021",1048.1,1041.2,1079.5,1107.5,1153.7,1199.9,1258.7,1261.9,1261.8,1269.9,1288.6,1306.6,1332.2,1332.3,1403.3,1445.8,1487.8,1536.3,1570.3,1616.6,1677.2,1691.0,1698.9,1705.5,1751.0,1792.0,1862.1,1879.0,1869.4,1777.7,1810.9,1835.1,1839.3,1856.5,1886.5,1930.7,1993.4,2049.6,2090.4,2134.6,2090.6,2170.04,2235.14,2277.61,2318.61,2360.34,2402.83,2020.0
2071,128,DNK,NGDP_RPCH,Denmark,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-0.484,-0.658,3.678,2.594,4.172,4.005,4.9,0.254,-0.008,0.642,1.473,1.397,1.959,0.008,5.329,3.029,2.905,3.26,2.213,2.948,3.749,0.823,0.467,0.388,2.668,2.342,3.912,0.908,-0.511,-4.905,1.868,1.336,0.229,0.935,1.616,2.343,3.248,2.819,1.991,2.114,-2.061,3.8,3.0,1.9,1.8,1.8,1.8,2020.0
2072,128,DNK,NGDP,Denmark,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1980 Primary domestic currency: Danish krone Data last updated: 09/2021",400.867,440.781,503.384,554.597,612.129,663.954,712.645,748.427,777.844,821.734,855.557,890.551,923.015,928.466,993.287,1036.48,1088.02,1146.13,1185.99,1241.52,1326.91,1371.53,1410.27,1436.75,1506.0,1585.98,1682.26,1738.85,1801.47,1722.14,1810.93,1846.85,1895.0,1929.68,1981.17,2036.36,2107.81,2192.96,2253.32,2318.04,2329.56,2471.58,2581.83,2684.21,2793.05,2907.21,3025.26,2020.0
2073,128,DNK,NGDPD,Denmark,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",71.127,61.878,60.413,60.645,59.105,62.658,88.079,109.414,115.552,112.41,138.248,139.226,152.915,143.195,156.164,185.008,187.633,173.539,176.991,177.964,164.158,164.791,178.635,218.097,251.375,264.467,282.886,319.424,353.359,321.243,321.995,344.003,327.149,343.584,352.994,302.673,313.116,332.121,356.841,347.561,356.085,396.666,414.55,436.621,460.117,484.377,508.764,2020.0
2074,128,DNK,PPPGDP,Denmark,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",60.799,66.113,72.78,77.592,83.746,89.854,96.155,98.783,102.259,106.951,112.587,118.021,123.075,126.002,135.551,142.585,149.414,156.945,162.224,169.36,179.69,185.25,189.016,193.495,203.99,215.313,230.64,239.023,242.362,231.95,239.122,247.352,250.525,262.368,270.331,278.823,297.689,320.054,334.223,347.395,344.334,370.299,391.906,408.854,425.701,442.777,460.087,2020.0
2075,128,DNK,NGDP_D,Denmark,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",38.247,42.334,46.631,50.076,53.058,55.334,56.618,59.31,61.646,64.709,66.394,68.158,69.285,69.689,70.782,71.689,73.13,74.603,75.526,76.798,79.115,81.107,83.011,84.242,86.008,88.504,90.342,92.541,96.366,96.875,100.001,100.641,103.028,103.942,105.018,105.472,105.739,106.995,107.793,108.594,111.43,113.895,115.511,117.852,120.462,123.169,125.904,2020.0
2076,128,DNK,NGDPRPC,Denmark,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",204624.5,203201.06,210874.65,216458.09,225678.92,234763.19,246018.93,246234.29,246000.69,247554.57,250924.51,253882.81,258071.97,257170.29,270039.77,277200.57,283335.05,291235.03,296570.64,304239.5,314670.49,316121.33,316465.72,316800.93,324401.04,331152.45,343088.73,344955.21,341393.6,322546.64,327188.03,330016.68,329593.18,331362.35,335244.57,341130.25,349274.98,356528.5,361586.46,367649.02,359039.17,371567.96,381570.28,387657.15,393454.61,399338.78,405310.94,2019.0
2077,128,DNK,NGDPRPPPPC,Denmark,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",31953.0,31730.72,32928.98,33800.86,35240.73,36659.28,38416.91,38450.54,38414.06,38656.71,39182.94,39644.89,40299.05,40158.25,42167.87,43286.06,44243.99,45477.6,46310.78,47508.3,49137.15,49363.7,49417.48,49469.83,50656.61,51710.88,53574.78,53866.24,53310.08,50367.04,51091.82,51533.52,51467.39,51743.65,52349.88,53268.95,54540.79,55673.46,56463.28,57409.97,56065.51,58021.93,59583.84,60534.33,61439.63,62358.47,63291.04,2019.0
2078,128,DNK,NGDPPC,Denmark,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",78262.77,86023.02,98333.42,108394.59,119740.5,129904.12,139289.87,146040.41,151648.56,160189.0,166599.58,173041.17,178805.21,179219.3,191140.16,198722.98,207202.13,217270.66,223988.36,233650.7,248950.47,256397.77,262701.01,266880.12,279011.2,293081.56,309953.52,319225.11,328988.09,312466.35,327192.72,332130.47,339574.69,344423.55,352067.22,359798.33,369321.24,381466.02,389766.64,399243.83,400078.28,423199.1,440754.12,456861.8,473965.21,491860.37,510302.31,2019.0
2079,128,DNK,NGDPDPC,Denmark,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",13886.37,12076.17,11801.27,11852.89,11561.77,12259.28,17215.43,21349.95,22528.11,21913.16,26920.58,27052.65,29622.47,27640.5,30050.88,35471.26,35732.69,32897.57,33426.97,33492.35,30798.72,30806.61,33275.56,40512.05,46571.28,48872.1,52121.25,58641.19,64531.12,58286.54,58177.16,61864.09,58623.41,61325.58,62729.5,53478.5,54862.85,57772.55,61724.49,59861.61,61153.92,67919.59,70769.47,74314.29,78079.21,81950.18,85818.7,2019.0
