,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
2115,611,DJI,NGDP_R,Djibouti,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2018. 2019 actual data delayed; annual data only National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2013 Chain-weighted: No Primary domestic currency: Djibouti franc Data last updated: 09/2021,,,,,,,,,,,,246.3,247.684,230.963,227.821,219.891,211.684,209.111,209.349,215.46,216.997,220.888,228.032,235.298,241.836,249.36,261.392,274.504,290.441,295.136,307.376,329.792,345.761,363.052,388.689,418.521,447.476,470.194,510.137,548.397,553.881,581.575,613.562,650.375,689.398,730.762,774.608,2018.0
2116,611,DJI,NGDP_RPCH,Djibouti,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",,,,,,,,,,,,,0.562,-6.751,-1.36,-3.481,-3.732,-1.216,0.114,2.919,0.713,1.793,3.234,3.186,2.779,3.111,4.825,5.017,5.806,1.616,4.147,7.293,4.842,5.001,7.062,7.675,6.918,5.077,8.495,7.5,1.0,5.0,5.5,6.0,6.0,6.0,6.0,2018.0
2117,611,DJI,NGDP,Djibouti,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2018. 2019 actual data delayed; annual data only National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2013 Chain-weighted: No Primary domestic currency: Djibouti franc Data last updated: 09/2021,,,,,,,,,,,,115.35,119.251,116.255,122.651,124.156,123.229,125.392,128.283,134.857,138.669,144.055,148.715,156.543,166.185,176.812,191.819,211.462,245.35,253.191,274.115,309.035,337.662,363.052,393.865,434.611,465.375,491.727,535.438,594.702,611.325,649.305,698.717,755.453,816.796,883.12,954.829,2018.0
2118,611,DJI,NGDPD,Djibouti,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,0.649,0.671,0.654,0.69,0.699,0.693,0.706,0.722,0.759,0.78,0.811,0.837,0.881,0.935,0.995,1.079,1.19,1.381,1.425,1.542,1.739,1.9,2.043,2.216,2.445,2.619,2.767,3.013,3.346,3.44,3.654,3.932,4.251,4.596,4.969,5.373,2018.0
2119,611,DJI,PPPGDP,Djibouti,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,1.653,1.7,1.623,1.635,1.611,1.579,1.587,1.607,1.677,1.727,1.798,1.885,1.983,2.093,2.226,2.405,2.594,2.798,2.861,3.016,3.303,3.436,3.625,3.857,4.207,4.385,4.638,5.152,5.638,5.763,6.269,6.796,7.375,7.995,8.659,9.369,2018.0
2120,611,DJI,NGDP_D,Djibouti,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",,,,,,,,,,,,46.833,48.146,50.335,53.836,56.463,58.213,59.964,61.277,62.59,63.903,65.217,65.217,66.53,68.718,70.907,73.384,77.034,84.475,85.788,89.179,93.706,97.657,100.0,101.332,103.845,104.0,104.58,104.96,108.444,110.371,111.646,113.879,116.156,118.48,120.849,123.266,2018.0
2121,611,DJI,NGDPRPC,Djibouti,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,405870.5,402704.87,373421.96,366058.28,348820.57,328881.48,316423.08,307655.41,307812.35,302402.79,301340.12,305285.7,309750.16,313421.98,318366.42,328978.94,340806.18,355775.25,356521.39,365839.53,386322.2,398280.02,411019.08,432497.52,457901.06,481613.84,498034.22,531989.36,563292.23,560607.23,580300.2,603841.12,631615.83,660965.87,691971.33,724743.75,2018.0
2122,611,DJI,NGDPRPPPPC,Djibouti,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,4306.95,4003.46,3972.24,3683.39,3610.76,3440.73,3244.05,3121.16,3034.68,3036.23,2982.87,2972.39,3011.31,3055.34,3091.56,3140.33,3245.01,3361.68,3509.33,3516.69,3608.6,3810.64,3928.59,4054.25,4266.11,4516.69,4750.59,4912.56,5247.49,5556.25,5529.77,5724.02,5956.22,6230.19,6519.7,6825.53,7148.79,2018.0
2123,611,DJI,NGDPPC,Djibouti,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,190082.7,193887.99,187961.56,197072.8,196953.24,191453.1,189740.51,188522.82,192660.82,193245.76,196523.53,199096.7,206075.55,215377.55,225742.64,241417.58,262537.57,300541.45,305853.18,326251.83,362007.35,388950.21,411019.08,438257.39,475505.82,500878.29,520842.36,558374.81,610854.66,618748.57,647881.85,687647.62,733662.71,783109.78,836241.82,893363.97,2018.0
2124,611,DJI,NGDPDPC,Djibouti,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,1069.56,1090.97,1057.62,1108.89,1108.22,1077.27,1067.63,1060.78,1084.06,1087.36,1105.8,1120.28,1159.55,1211.89,1270.21,1358.41,1477.25,1691.09,1720.97,1835.75,2036.94,2188.54,2312.72,2465.99,2675.58,2818.34,2930.67,3141.86,3437.16,3481.57,3645.5,3869.25,4128.17,4406.4,4705.36,5026.78,2018.0
