,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
2205,243,DOM,NGDP_R,Dominican Republic,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: Central Bank Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: Yes, from 2007 Primary domestic currency: Dominican peso Data last updated: 09/2021",465.025,484.922,493.165,515.988,522.453,511.363,529.374,582.932,595.5,621.705,587.796,593.35,659.929,708.529,726.954,768.284,814.211,886.556,946.083,1002.28,1049.01,1074.81,1123.12,1108.01,1136.48,1243.63,1357.73,1458.42,1505.22,1519.47,1646.18,1697.77,1743.9,1828.92,1957.87,2093.49,2232.9,2337.1,2500.29,2626.61,2450.09,2683.36,2830.99,2973.29,3121.53,3276.8,3439.0,2020.0
2206,243,DOM,NGDP_RPCH,Dominican Republic,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.969,4.279,1.7,4.628,1.253,-2.123,3.522,10.117,2.156,4.401,-5.454,0.945,11.221,7.365,2.6,5.685,5.978,8.885,6.714,5.94,4.662,2.46,4.495,-1.346,2.57,9.428,9.174,7.416,3.21,0.946,8.34,3.133,2.717,4.875,7.05,6.927,6.659,4.667,6.983,5.052,-6.72,9.521,5.502,5.027,4.986,4.974,4.95,2020.0
2207,243,DOM,NGDP,Dominican Republic,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: Central Bank Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: Yes, from 2007 Primary domestic currency: Dominican peso Data last updated: 09/2021",8.672,9.698,10.603,11.826,14.87,20.138,22.805,28.734,42.132,54.371,77.344,123.552,145.067,163.513,184.769,214.123,235.25,280.363,318.649,350.52,393.303,427.319,477.43,628.611,935.985,1083.45,1261.4,1458.42,1661.64,1736.04,1983.2,2210.21,2386.02,2619.77,2925.67,3205.66,3487.29,3802.66,4235.85,4562.24,4456.66,5132.33,5656.37,6176.24,6740.35,7357.7,8027.45,2020.0
2208,243,DOM,NGDPD,Dominican Republic,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",8.672,9.698,9.141,9.461,14.87,6.496,7.891,8.305,7.605,8.589,7.995,9.887,11.605,13.081,14.645,16.637,18.242,20.017,21.672,22.137,24.306,25.602,27.249,21.518,22.506,35.948,37.998,44.067,48.206,48.319,53.921,58.088,60.747,62.758,67.264,71.254,75.777,80.082,85.63,89.032,78.923,89.502,97.371,104.389,111.854,119.881,128.418,2020.0
2209,243,DOM,PPPGDP,Dominican Republic,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",13.73,15.672,16.923,18.4,19.303,19.49,20.583,23.226,24.563,26.65,26.139,27.279,31.031,34.106,35.74,38.564,41.618,46.097,49.746,53.443,57.202,59.929,63.599,63.982,67.388,76.054,85.593,94.426,99.325,100.907,110.637,116.474,118.183,125.424,136.976,151.56,167.506,175.941,192.722,206.081,194.548,220.748,239.304,257.313,276.299,296.343,317.457,2020.0
2210,243,DOM,NGDP_D,Dominican Republic,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",1.865,2.0,2.15,2.292,2.846,3.938,4.308,4.929,7.075,8.745,13.158,20.823,21.982,23.078,25.417,27.87,28.893,31.624,33.681,34.972,37.493,39.758,42.509,56.734,82.358,87.119,92.905,100.0,110.392,114.253,120.473,130.184,136.821,143.241,149.431,153.125,156.178,162.708,169.414,173.693,181.897,191.265,199.802,207.724,215.931,224.539,233.424,2020.0
2211,243,DOM,NGDPRPC,Dominican Republic,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",82278.53,83879.51,83360.99,85198.73,84239.5,80496.67,81332.91,87411.07,87216.01,89081.52,82580.95,81932.6,89486.14,94336.8,95130.61,98870.41,103102.61,110502.85,116056.57,121108.56,124914.25,126254.68,130178.85,126700.36,128305.22,138672.26,149670.32,158971.8,162207.87,161987.38,173673.57,177217.3,180137.13,186916.65,198094.78,209763.3,221626.64,229822.17,243547.01,253587.51,234492.47,254588.14,266263.43,277219.88,288514.52,300237.17,312363.67,2019.0
2212,243,DOM,NGDPRPPPPC,Dominican Republic,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",6194.06,6314.59,6275.55,6413.9,6341.69,6059.92,6122.87,6580.45,6565.76,6706.2,6216.83,6168.02,6736.66,7101.83,7161.59,7443.12,7761.73,8318.83,8736.93,9117.25,9403.75,9504.66,9800.07,9538.21,9659.02,10439.47,11267.42,11967.65,12211.27,12194.67,13074.43,13341.2,13561.01,14071.39,14912.89,15791.32,16684.41,17301.38,18334.61,19090.48,17652.97,19165.81,20044.74,20869.56,21719.84,22602.34,23515.24,2019.0
2213,243,DOM,NGDPPC,Dominican Republic,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1534.32,1677.45,1792.32,1952.66,2397.6,3170.09,3503.7,4308.64,6170.65,7790.61,10866.33,17060.65,19671.07,21770.86,24179.29,27555.46,29789.49,34945.23,39088.85,42354.37,46834.04,50196.08,55338.13,71881.65,105669.67,120810.39,139051.48,158971.8,179064.0,185076.01,209229.12,230707.92,246464.76,267741.99,296015.51,321200.11,346131.71,373939.57,412603.28,440463.72,426535.66,486938.25,531999.74,575852.7,622992.27,674149.43,729130.7,2019.0
2214,243,DOM,NGDPDPC,Dominican Republic,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1534.32,1677.45,1545.1,1562.13,2397.6,1022.61,1212.35,1245.27,1113.84,1230.74,1123.24,1365.23,1573.69,1741.67,1916.44,2141.06,2309.92,2495.03,2658.54,2674.83,2894.3,3007.38,3158.39,2460.55,2540.85,4008.36,4188.72,4803.47,5194.8,5151.17,5688.75,6063.35,6274.87,6413.93,6805.66,7139.51,7521.27,7874.94,8340.96,8595.61,7553.51,8491.62,9158.02,9732.88,10338.38,10984.13,11664.19,2019.0
