,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
2250,248,ECU,NGDP_R,Ecuador,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: Central Bank Latest actual data: 2020 Notes: The national accounts have been updated from 2002 onwards. Prior to 2002 the data are adjusted to produce smooth series with the use of splicing technique. These estimates continue to serve as proxies for historical series when complete information is unavailable. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: No Primary domestic currency: US dollar Data last updated: 09/2021,24.536,25.493,25.799,25.077,26.13,27.28,28.124,26.444,29.217,29.3,30.181,31.725,32.871,33.529,34.956,35.744,36.363,37.936,39.176,37.319,37.726,39.241,40.849,41.961,45.407,47.809,49.915,51.008,54.25,54.558,56.481,60.925,64.362,67.546,70.105,70.175,69.314,70.956,71.871,71.879,66.308,68.162,70.552,72.334,74.211,76.254,78.353,2020.0
2251,248,ECU,NGDP_RPCH,Ecuador,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.9,3.9,1.2,-2.8,4.2,4.4,3.094,-5.972,10.486,0.285,3.008,5.113,3.614,2.0,4.258,2.253,1.732,4.328,3.267,-4.739,1.092,4.016,4.097,2.723,8.211,5.291,4.404,2.19,6.357,0.566,3.525,7.868,5.642,4.947,3.789,0.099,-1.226,2.368,1.289,0.012,-7.75,2.796,3.506,2.526,2.595,2.752,2.753,2020.0
2252,248,ECU,NGDP,Ecuador,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: Central Bank Latest actual data: 2020 Notes: The national accounts have been updated from 2002 onwards. Prior to 2002 the data are adjusted to produce smooth series with the use of splicing technique. These estimates continue to serve as proxies for historical series when complete information is unavailable. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: No Primary domestic currency: US dollar Data last updated: 09/2021,16.84,17.243,17.214,15.129,16.101,18.83,13.816,12.91,12.277,12.049,12.236,13.73,15.012,17.537,21.147,22.968,24.035,27.009,27.474,19.74,18.319,24.468,28.549,32.433,36.592,41.507,46.802,51.008,61.763,62.52,69.555,79.277,87.925,95.13,101.726,99.29,99.938,104.296,107.562,108.108,98.808,104.483,109.975,114.076,118.502,123.202,128.089,2020.0
2253,248,ECU,NGDPD,Ecuador,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",16.84,17.243,17.214,15.129,16.101,18.83,13.816,12.91,12.277,12.049,12.236,13.73,15.012,17.537,21.147,22.968,24.035,27.009,27.474,19.74,18.319,24.468,28.549,32.433,36.592,41.507,46.802,51.008,61.763,62.52,69.555,79.277,87.925,95.13,101.726,99.29,99.938,104.296,107.562,108.108,98.808,104.483,109.975,114.076,118.502,123.202,128.089,2020.0
2254,248,ECU,PPPGDP,Ecuador,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",26.044,29.62,31.828,32.148,34.707,37.38,39.312,37.879,43.327,45.154,48.253,52.435,55.568,58.023,61.786,64.503,66.821,70.915,74.056,71.54,73.96,78.663,83.162,87.112,96.795,105.113,113.128,118.73,128.699,130.258,136.471,150.267,159.56,175.196,186.847,179.31,181.967,195.011,202.244,205.887,192.219,204.713,217.724,228.534,239.808,251.761,264.052,2020.0
2255,248,ECU,NGDP_D,Ecuador,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",68.634,67.638,66.724,60.332,61.619,69.024,49.127,48.82,42.021,41.123,40.541,43.279,45.671,52.305,60.497,64.258,66.098,71.195,70.129,52.895,48.556,62.353,69.889,77.292,80.586,86.818,93.764,100.0,113.847,114.594,123.148,130.122,136.608,140.837,145.105,141.49,144.181,146.987,149.661,150.402,149.013,153.286,155.877,157.706,159.681,161.568,163.477,2020.0
2256,248,ECU,NGDPRPC,Ecuador,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",3055.52,3086.11,3036.95,2871.62,2912.64,2961.73,2975.8,2728.7,2938.24,2875.59,2893.66,2972.88,3012.25,3007.05,3071.77,3081.91,3081.98,3164.89,3219.57,3022.51,3010.6,3062.26,3119.79,3150.35,3350.59,3484.32,3574.37,3588.31,3748.42,3701.72,3762.34,3990.79,4146.8,4281.92,4374.08,4310.79,4193.55,4229.35,4221.86,4162.57,3786.75,3838.68,3918.22,3961.51,4007.99,4061.23,4115.19,2020.0
2257,248,ECU,NGDPRPPPPC,Ecuador,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",8397.63,8481.71,8346.59,7892.21,8004.93,8139.87,8178.53,7499.4,8075.31,7903.12,7952.79,8170.49,8278.71,8264.42,8442.29,8470.16,8470.36,8698.2,8848.5,8306.91,8274.16,8416.16,8574.25,8658.24,9208.57,9576.1,9823.6,9861.92,10301.95,10173.61,10340.2,10968.06,11396.85,11768.18,12021.48,11847.54,11525.33,11623.72,11603.14,11440.19,10407.31,10550.02,10768.63,10887.6,11015.33,11161.67,11309.97,2020.0
2258,248,ECU,NGDPPC,Ecuador,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2097.14,2087.38,2026.38,1732.5,1794.73,2044.31,1461.92,1332.15,1234.67,1182.53,1173.13,1286.62,1375.71,1572.84,1858.32,1980.37,2037.13,2253.23,2257.86,1598.77,1461.84,1909.42,2180.39,2434.98,2700.12,3025.01,3351.48,3588.31,4267.47,4241.94,4633.25,5192.88,5664.89,6030.5,6347.0,6099.35,6046.3,6216.61,6318.48,6260.6,5642.74,5884.15,6107.6,6247.54,6400.01,6561.66,6727.38,2020.0
2259,248,ECU,NGDPDPC,Ecuador,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2097.14,2087.38,2026.38,1732.5,1794.73,2044.31,1461.92,1332.15,1234.67,1182.53,1173.13,1286.62,1375.71,1572.84,1858.32,1980.37,2037.13,2253.23,2257.86,1598.77,1461.84,1909.42,2180.39,2434.98,2700.12,3025.01,3351.48,3588.31,4267.47,4241.94,4633.25,5192.88,5664.89,6030.5,6347.0,6099.35,6046.3,6216.61,6318.48,6260.6,5642.74,5884.15,6107.6,6247.54,6400.01,6561.66,6727.38,2020.0
