,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
2295,469,EGY,NGDP_R,Egypt,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: Ministry of Economy and/or Planning. Ministry of Planning Latest actual data: FY2019/20. Fiscal Year data can be derived from the calendar year basis by summing the quarterly observations as follows: FY(t) = CY(t-1):Q3 + CY(t-1):Q4 + CY(t):Q1 + CY(t):Q2 Notes: Data prior to 1987 cannot be confirmed by national sources at this time. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices. Data refer to fiscal years Start/end months of reporting year: July/June Base year: FY2016/17 Chain-weighted: No Primary domestic currency: Egyptian pound Data last updated: 09/2021,673.094,687.888,738.079,803.592,868.049,932.505,976.885,1018.62,1059.31,1091.01,1116.64,1140.09,1143.51,1176.67,1225.95,1280.92,1343.41,1422.93,1530.26,1623.75,1711.16,1771.47,1827.9,1886.27,1963.46,2051.26,2191.64,2346.98,2514.94,2632.48,2767.98,2816.82,2879.53,2974.61,3061.35,3195.19,3334.07,3470.0,3654.4,3857.5,3995.2,4128.36,4343.79,4588.21,4850.83,5130.68,5427.03,2020.0
2296,469,EGY,NGDP_RPCH,Egypt,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.409,2.198,7.296,8.876,8.021,7.425,4.759,4.273,3.994,2.993,2.35,2.1,0.3,2.9,4.188,4.484,4.879,5.919,7.543,6.11,5.383,3.524,3.186,3.193,4.092,4.472,6.844,7.088,7.156,4.674,5.147,1.765,2.226,3.302,2.916,4.372,4.347,4.077,5.314,5.558,3.57,3.333,5.218,5.627,5.724,5.769,5.776,2020.0
2297,469,EGY,NGDP,Egypt,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: Ministry of Economy and/or Planning. Ministry of Planning Latest actual data: FY2019/20. Fiscal Year data can be derived from the calendar year basis by summing the quarterly observations as follows: FY(t) = CY(t-1):Q3 + CY(t-1):Q4 + CY(t):Q1 + CY(t):Q2 Notes: Data prior to 1987 cannot be confirmed by national sources at this time. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices. Data refer to fiscal years Start/end months of reporting year: July/June Base year: FY2016/17 Chain-weighted: No Primary domestic currency: Egyptian pound Data last updated: 09/2021,16.466,18.032,21.335,26.078,29.322,34.189,37.853,54.151,64.771,80.753,101.047,116.924,146.26,165.169,184.008,214.501,241.209,270.44,302.194,323.434,357.607,377.164,398.404,438.991,510.281,566.22,649.497,783.139,941.597,1095.85,1268.71,1441.68,1674.7,1860.4,2130.0,2443.9,2709.4,3470.0,4437.4,5322.1,5842.5,6256.75,7017.26,7969.19,9049.63,10280.63,11669.38,2020.0
2298,469,EGY,NGDPD,Egypt,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",23.523,25.76,30.479,37.254,41.888,48.841,54.076,77.359,92.53,115.362,96.087,48.431,44.168,49.526,54.55,63.25,71.118,79.777,89.189,95.039,104.752,102.273,90.261,85.163,82.855,94.127,112.902,137.055,170.797,198.316,230.024,247.726,278.769,288.007,305.567,332.075,332.484,236.528,250.253,302.335,363.245,396.328,438.348,476.362,515.187,557.397,605.478,2020.0
2299,469,EGY,PPPGDP,Egypt,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",88.533,99.039,112.832,127.657,142.874,158.336,169.211,180.805,194.656,208.343,221.218,233.503,239.541,252.329,268.511,286.433,305.909,329.603,358.454,385.714,415.688,440.032,461.126,485.244,518.659,558.844,615.515,676.955,739.31,778.822,828.753,860.9,958.66,992.022,985.262,1064.24,1057.09,1062.27,1145.44,1230.73,1290.02,1381.06,1493.12,1614.66,1745.99,1886.84,2037.18,2020.0
2300,469,EGY,NGDP_D,Egypt,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",2.446,2.621,2.891,3.245,3.378,3.666,3.875,5.316,6.114,7.402,9.049,10.256,12.79,14.037,15.01,16.746,17.955,19.006,19.748,19.919,20.898,21.291,21.796,23.273,25.989,27.604,29.635,33.368,37.44,41.628,45.835,51.181,58.159,62.543,69.577,76.487,81.264,100.0,121.426,137.968,146.238,151.555,161.547,173.688,186.558,200.376,215.023,2020.0
2301,469,EGY,NGDPRPC,Egypt,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",16597.49,16493.74,17226.33,18257.24,19188.91,20034.49,20457.9,20873.43,21271.18,21434.28,21741.27,21747.89,21370.67,21316.51,21775.22,22238.11,22847.07,23675.99,24963.37,25938.53,26736.93,27128.12,27445.89,27739.26,28332.71,29013.55,30355.16,31888.35,33443.34,34232.48,35171.25,34991.55,34903.37,35160.86,35268.96,35900.99,36638.15,36449.58,37635.43,39004.04,39604.27,40121.87,41387.79,42859.4,44424.17,46065.69,47771.08,2020.0
2302,469,EGY,NGDPRPPPPC,Egypt,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",5080.96,5049.2,5273.47,5589.06,5874.27,6133.13,6262.74,6389.95,6511.71,6561.64,6655.62,6657.65,6542.17,6525.59,6666.01,6807.72,6994.14,7247.89,7642.0,7940.52,8184.93,8304.69,8401.97,8491.78,8673.45,8881.87,9292.58,9761.93,10237.96,10479.53,10766.92,10711.91,10684.91,10763.74,10796.83,10990.31,11215.98,11158.25,11521.27,11940.25,12123.99,12282.44,12669.98,13120.48,13599.5,14102.02,14624.09,2020.0
2303,469,EGY,NGDPPC,Egypt,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",406.029,432.362,497.945,592.472,648.179,734.531,792.719,1109.65,1300.62,1586.51,1967.41,2230.4,2733.41,2992.19,3268.35,3723.98,4102.19,4499.83,4929.76,5166.68,5587.61,5775.87,5982.04,6455.75,7363.37,8008.77,8995.8,10640.48,12521.23,14250.3,16120.85,17909.05,20299.39,21990.54,24539.17,27459.55,29773.63,36449.58,45699.28,53812.94,57916.49,60806.79,66860.67,74441.83,82876.94,92304.38,102718.84,2020.0
2304,469,EGY,NGDPDPC,Egypt,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",580.042,617.659,711.351,846.388,925.97,1049.33,1132.46,1585.22,1858.03,2266.44,1870.85,923.843,825.448,897.202,968.914,1098.09,1209.49,1327.41,1454.96,1518.2,1636.75,1566.2,1355.28,1252.4,1195.6,1331.36,1563.74,1862.16,2271.23,2578.88,2922.8,3077.34,3379.01,3404.34,3520.36,3731.18,3653.67,2484.54,2577.27,3056.98,3600.84,3851.75,4176.6,4449.8,4718.11,5004.58,5329.68,2020.0
