,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
2340,253,SLV,NGDP_R,El Salvador,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: Central Bank Latest actual data: 2020 Notes: The output gap does not close by 2026 because desk assumes a much deeper hit to the potential in 2020 due to long and strict lockdown, and political uncertainty impacting both the actual and potential GDP medium-term growth. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: No Primary domestic currency: US dollar Data last updated: 09/2021",12.358,11.651,10.916,11.084,11.232,11.301,11.323,11.607,11.825,11.939,12.516,12.703,13.595,14.386,15.061,15.774,15.902,16.401,16.836,17.2,17.394,17.547,17.823,18.102,18.263,18.758,19.573,19.937,20.361,19.936,20.356,21.133,21.728,22.213,22.593,23.135,23.723,24.257,24.843,25.497,23.472,25.59,26.496,27.116,27.725,28.292,28.801,2020.0
2341,253,SLV,NGDP_RPCH,El Salvador,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-8.625,-5.725,-6.306,1.535,1.337,0.616,0.19,2.513,1.878,0.962,4.831,1.498,7.021,5.817,4.692,4.733,0.816,3.136,2.652,2.164,1.126,0.877,1.577,1.566,0.889,2.709,4.342,1.861,2.128,-2.086,2.105,3.815,2.814,2.236,1.711,2.397,2.542,2.252,2.412,2.635,-7.944,9.025,3.54,2.34,2.245,2.045,1.8,2020.0
2342,253,SLV,NGDP,El Salvador,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: Central Bank Latest actual data: 2020 Notes: The output gap does not close by 2026 because desk assumes a much deeper hit to the potential in 2020 due to long and strict lockdown, and political uncertainty impacting both the actual and potential GDP medium-term growth. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: No Primary domestic currency: US dollar Data last updated: 09/2021",3.912,3.449,3.406,3.261,2.385,2.319,2.335,2.374,2.771,3.167,4.818,5.252,5.813,6.68,7.679,8.922,9.586,10.222,10.937,11.284,11.785,12.283,12.664,13.244,13.725,14.698,16.0,17.012,17.987,17.602,18.448,20.284,21.386,21.991,22.593,23.438,24.191,24.979,26.021,26.897,24.639,27.665,29.316,30.458,31.544,32.542,33.487,2020.0
2343,253,SLV,NGDPD,El Salvador,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",3.912,3.449,3.406,3.261,2.385,2.319,2.335,2.374,2.771,3.167,4.818,5.252,5.813,6.68,7.679,8.922,9.586,10.222,10.937,11.284,11.785,12.283,12.664,13.244,13.725,14.698,16.0,17.012,17.987,17.602,18.448,20.284,21.386,21.991,22.593,23.438,24.191,24.979,26.021,26.897,24.639,27.665,29.316,30.458,31.544,32.542,33.487,2020.0
2344,253,SLV,PPPGDP,El Salvador,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",10.106,10.429,10.375,10.947,11.494,11.93,12.194,12.809,13.51,14.175,15.416,16.176,17.706,19.18,20.509,21.93,22.514,23.62,24.52,25.403,26.271,27.099,27.955,28.953,29.995,31.774,34.176,35.753,37.214,36.671,37.893,40.156,40.804,43.093,45.534,48.056,51.095,54.006,56.63,59.162,55.118,62.258,66.236,69.399,72.574,75.667,78.626,2020.0
2345,253,SLV,NGDP_D,El Salvador,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",31.655,29.604,31.199,29.424,21.234,20.52,20.622,20.455,23.436,26.531,38.492,41.347,42.761,46.436,50.989,56.562,60.282,62.323,64.96,65.604,67.752,69.999,71.054,73.161,75.149,78.355,81.746,85.327,88.339,88.289,90.626,95.983,98.429,98.999,100.0,101.31,101.974,102.975,104.743,105.488,104.972,108.109,110.642,112.324,113.777,115.024,116.27,2020.0
2346,253,SLV,NGDPRPC,El Salvador,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",2613.04,2435.83,2264.45,2285.6,2301.91,2297.73,2278.86,2308.17,2318.91,2304.76,2374.85,2377.89,2510.01,2620.14,2707.84,2802.41,2794.83,2854.22,2903.89,2942.83,2954.2,2960.46,2989.43,3020.06,3031.88,3099.45,3219.51,3265.26,3320.61,3237.66,3291.81,3402.72,3483.14,3545.02,3589.04,3657.66,3732.32,3797.27,3869.12,3950.62,3618.91,3925.94,4044.75,4118.85,4190.42,4254.89,4309.99,2019.0
2347,253,SLV,NGDPRPPPPC,El Salvador,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",5817.53,5423.0,5041.45,5088.53,5124.84,5115.55,5073.53,5138.79,5162.7,5131.2,5287.24,5294.02,5588.16,5833.35,6028.6,6239.13,6222.26,6354.49,6465.08,6551.77,6577.07,6591.01,6655.52,6723.69,6750.02,6900.44,7167.76,7269.6,7392.84,7208.15,7328.72,7575.63,7754.69,7892.45,7990.45,8143.22,8309.43,8454.05,8614.01,8795.45,8056.96,8740.51,9005.01,9170.0,9329.34,9472.88,9595.53,2019.0
2348,253,SLV,NGDPPC,El Salvador,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",827.158,721.104,706.494,672.516,488.784,471.502,469.937,472.147,543.469,611.47,914.131,983.18,1073.31,1216.7,1380.71,1585.11,1684.79,1778.84,1886.36,1930.62,2001.54,2072.3,2124.11,2209.5,2278.43,2428.57,2631.82,2786.16,2933.4,2858.48,2983.23,3266.01,3428.41,3509.53,3589.04,3705.58,3805.99,3910.26,4052.62,4167.44,3798.83,4244.3,4475.18,4626.44,4767.74,4894.17,5011.22,2019.0
2349,253,SLV,NGDPDPC,El Salvador,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",827.158,721.104,706.494,672.516,488.784,471.502,469.937,472.147,543.469,611.47,914.131,983.18,1073.31,1216.7,1380.71,1585.11,1684.79,1778.84,1886.36,1930.62,2001.54,2072.3,2124.11,2209.5,2278.43,2428.57,2631.82,2786.16,2933.4,2858.48,2983.23,3266.01,3428.41,3509.53,3589.04,3705.58,3805.99,3910.26,4052.62,4167.44,3798.83,4244.3,4475.18,4626.44,4767.74,4894.17,5011.22,2019.0
