,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
2385,642,GNQ,NGDP_R,Equatorial Guinea,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: Ministry of Economy and/or Planning. Ministry of Economy, Planning, and Public Investment, and Banque des Etats de l'Afrique Centrale (Central Bank) Latest actual data: 2020 Notes: Since 2006, IMF staff have estimated real GDP growth from hydrocarbon production and investment data and the government expenditure. The national authorities are considering the adoption of the IMF staff estimates. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 08/2021",43.29,45.787,46.795,49.137,49.634,56.04,54.734,57.162,58.68,57.958,59.429,58.689,78.057,86.222,100.714,127.414,194.533,482.388,602.092,761.013,1601.97,2563.53,3066.52,3509.79,4576.46,4952.2,5274.15,6080.15,7162.36,7258.58,6610.81,7042.09,7627.49,7312.23,7342.58,6673.67,6085.29,5740.41,5382.4,5060.59,4812.96,5012.51,4730.52,4659.48,4611.61,4481.92,4385.56,2020.0
2386,642,GNQ,NGDP_RPCH,Equatorial Guinea,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.839,5.769,2.202,5.004,1.011,12.905,-2.331,4.437,2.655,-1.229,2.537,-1.245,33.002,10.461,16.808,26.51,52.678,147.973,24.815,26.395,110.505,60.023,19.621,14.455,30.391,8.21,6.501,15.282,17.799,1.343,-8.924,6.524,8.313,-4.133,0.415,-9.11,-8.816,-5.668,-6.237,-5.979,-4.893,4.146,-5.626,-1.502,-1.027,-2.812,-2.15,2020.0
2387,642,GNQ,NGDP,Equatorial Guinea,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: Ministry of Economy and/or Planning. Ministry of Economy, Planning, and Public Investment, and Banque des Etats de l'Afrique Centrale (Central Bank) Latest actual data: 2020 Notes: Since 2006, IMF staff have estimated real GDP growth from hydrocarbon production and investment data and the government expenditure. The national authorities are considering the adoption of the IMF staff estimates. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 08/2021",6.657,8.058,11.564,15.148,19.224,33.16,31.44,33.333,35.579,33.457,36.271,37.175,42.366,45.774,66.501,84.131,141.296,306.767,259.843,454.391,822.85,1225.98,1436.75,2184.86,3139.61,4316.63,5274.15,6264.84,8844.11,7095.92,8072.29,10064.62,11430.51,10840.52,10746.85,7795.42,6661.37,7084.54,7274.69,6689.51,5768.44,6744.35,6415.39,6456.13,6605.94,6691.22,6854.41,2020.0
2388,642,GNQ,NGDPD,Equatorial Guinea,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.032,0.03,0.035,0.04,0.044,0.074,0.091,0.111,0.119,0.105,0.133,0.132,0.16,0.162,0.12,0.169,0.276,0.526,0.44,0.738,1.159,1.674,2.071,3.768,5.954,8.187,10.095,13.089,19.83,15.088,16.314,21.357,22.388,21.949,21.765,13.185,11.241,12.201,13.097,11.417,10.036,12.528,12.074,12.179,12.478,12.639,12.943,2020.0
2389,642,GNQ,PPPGDP,Equatorial Guinea,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.089,0.104,0.112,0.123,0.128,0.15,0.149,0.159,0.169,0.174,0.185,0.189,0.257,0.291,0.347,0.448,0.696,1.756,2.217,2.841,6.117,10.009,12.159,14.192,19.002,21.207,23.282,27.565,33.095,33.754,31.111,33.83,38.743,37.423,37.816,28.095,24.861,28.459,27.322,26.148,25.168,27.156,26.334,26.556,26.882,26.693,26.661,2020.0
2390,642,GNQ,NGDP_D,Equatorial Guinea,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",15.378,17.599,24.712,30.828,38.731,59.172,57.442,58.314,60.633,57.725,61.033,63.344,54.276,53.088,66.03,66.03,72.634,63.593,43.157,59.709,51.365,47.824,46.853,62.25,68.603,87.166,100.0,103.038,123.48,97.759,122.108,142.921,149.859,148.252,146.363,116.809,109.467,123.415,135.157,132.188,119.852,134.55,135.617,138.559,143.246,149.294,156.295,2020.0
2391,642,GNQ,NGDPRPC,Equatorial Guinea,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",169547.71,169543.17,161020.95,156251.69,146809.44,156144.4,145558.7,146504.11,145851.25,139949.66,139227.27,133194.27,171498.53,183214.14,206746.3,252369.31,371246.3,885706.52,1062502.74,1289987.78,2607702.56,4006998.65,4601566.3,5052891.12,6313956.41,6539132.75,6657451.18,7331422.78,8247593.9,7984256.05,6950667.86,7082533.27,7344060.67,6747182.62,6501174.4,5677839.44,4981859.37,4528245.76,4096528.26,3720740.01,3422476.68,3451307.03,3157282.81,3017397.81,2899873.69,2738518.46,2605337.8,2015.0
2392,642,GNQ,NGDPRPPPPC,Equatorial Guinea,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",840.575,840.552,798.301,774.656,727.844,774.124,721.643,726.33,723.094,693.835,690.254,660.344,850.246,908.329,1025.0,1251.18,1840.55,4391.11,5267.62,6395.43,12928.33,19865.69,22813.4,25050.96,31303.0,32419.37,33005.96,36347.34,40889.49,39583.93,34459.66,35113.41,36410.0,33450.83,32231.18,28149.29,24698.8,22449.9,20309.55,18446.49,16967.78,17110.71,15653.01,14959.5,14376.84,13576.88,12916.61,2015.0
2393,642,GNQ,NGDPPC,Equatorial Guinea,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",26072.65,29837.48,39791.2,48169.17,56861.27,92393.35,83611.68,85432.36,88434.14,80786.25,84974.44,84369.98,93082.03,97264.38,136514.03,166638.81,269650.24,563250.94,458542.22,770235.31,1339441.73,1916309.0,2155959.47,3145439.09,4331593.15,5699897.56,6657451.18,7554126.42,10184159.01,7805338.4,8487287.41,10122418.01,11005765.49,10002824.46,9515338.79,6632203.96,5453476.03,5588549.72,5536739.67,4918380.47,4101914.62,4643747.76,4281813.34,4180879.73,4153950.74,4088433.93,4072011.05,2015.0
2394,642,GNQ,NGDPDPC,Equatorial Guinea,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",123.403,109.806,121.292,126.408,130.117,205.657,241.443,284.263,296.908,253.241,312.102,299.071,351.662,343.493,245.881,333.846,527.121,965.017,777.254,1250.99,1885.99,2616.49,3107.85,5424.13,8214.07,10810.45,12743.35,15782.69,22834.44,16596.74,17153.17,21480.0,21556.42,20252.75,19271.29,11217.99,9202.54,9624.53,9968.09,8394.42,7136.81,8625.76,8058.55,7886.88,7846.44,7722.7,7689.31,2015.0
