,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
2520,734,SWZ,NGDP_R,Eswatini,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office. Updated methodology has been applied to the series. Prior to 2000, the data are adjusted using previous historical data as proxies to produce smooth series with the use of splicing technique. Historical data are updated on a continual basis as more information becomes available. Prior to 1990, trade data are calculated from external sector statistics. Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2011 Chain-weighted: No Primary domestic currency: Swazi lilangeni Data last updated: 08/2021",9.509,10.166,10.312,10.256,10.51,10.712,12.703,13.975,15.033,16.448,18.069,18.387,18.981,19.57,20.04,21.007,21.814,22.491,23.077,23.758,24.176,24.431,25.501,26.491,27.451,29.097,30.841,32.209,32.473,32.982,34.233,35.002,36.889,38.314,38.664,39.516,39.951,40.76,41.727,42.663,41.631,42.268,42.974,43.731,44.588,45.534,46.521,2019.0
2521,734,SWZ,NGDP_RPCH,Eswatini,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-3.811,6.902,1.439,-0.547,2.481,1.924,18.584,10.016,7.571,9.408,9.859,1.76,3.227,3.106,2.401,4.826,3.842,3.103,2.604,2.951,1.76,1.055,4.38,3.88,3.624,5.999,5.992,4.435,0.822,1.565,3.794,2.247,5.391,3.862,0.913,2.203,1.101,2.027,2.372,2.244,-2.419,1.529,1.669,1.761,1.961,2.122,2.167,2019.0
2522,734,SWZ,NGDP,Eswatini,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office. Updated methodology has been applied to the series. Prior to 2000, the data are adjusted using previous historical data as proxies to produce smooth series with the use of splicing technique. Historical data are updated on a continual basis as more information becomes available. Prior to 1990, trade data are calculated from external sector statistics. Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2011 Chain-weighted: No Primary domestic currency: Swazi lilangeni Data last updated: 08/2021",0.588,0.7,0.775,0.818,0.927,1.106,1.451,1.692,2.242,2.638,3.2,3.546,4.064,4.89,5.755,7.008,7.861,9.017,9.939,10.782,12.062,13.279,15.097,16.624,17.894,20.211,22.287,24.443,27.213,30.339,32.497,35.002,40.119,44.391,47.994,51.784,56.132,58.689,61.771,64.615,65.541,68.651,73.16,77.48,82.727,88.427,94.468,2019.0
2523,734,SWZ,NGDPD,Eswatini,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.754,0.798,0.714,0.734,0.628,0.497,0.635,0.831,0.986,1.006,1.237,1.285,1.425,1.497,1.621,1.932,1.83,1.957,1.797,1.764,1.739,1.544,1.436,2.198,2.774,3.177,3.293,3.465,3.298,3.596,4.438,4.826,4.887,4.6,4.426,4.061,3.815,4.407,4.666,4.471,3.981,4.517,4.794,4.985,5.216,5.463,5.965,2019.0
2524,734,SWZ,PPPGDP,Eswatini,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.01,1.182,1.273,1.316,1.397,1.469,1.777,2.003,2.231,2.536,2.89,3.041,3.211,3.389,3.544,3.793,4.011,4.207,4.365,4.557,4.742,4.9,5.195,5.503,5.855,6.401,6.994,7.501,7.708,7.879,8.276,8.638,8.922,9.465,9.633,9.728,9.698,9.457,9.913,10.317,10.189,10.717,11.196,11.664,12.164,12.692,13.236,2019.0
2525,734,SWZ,NGDP_D,Eswatini,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",6.178,6.888,7.517,7.979,8.817,10.327,11.421,12.104,14.912,16.041,17.71,19.287,21.413,24.989,28.719,33.361,36.037,40.093,43.069,45.382,49.893,54.355,59.2,62.755,65.185,69.459,72.266,75.89,83.801,91.989,94.93,100.0,108.757,115.862,124.131,131.046,140.503,143.986,148.035,151.452,157.432,162.419,170.243,177.175,185.537,194.201,203.067,2019.0
2526,734,SWZ,NGDPRPC,Eswatini,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",17066.4,17717.48,17465.98,16864.91,16730.53,16442.43,18720.66,19720.01,20314.76,21361.31,22679.99,22441.4,22637.41,22879.89,22982.57,23611.43,23993.67,24191.25,24586.62,25075.13,25279.76,25311.55,26179.56,26949.89,27676.69,29076.83,30548.3,31625.27,31652.69,31915.41,32888.19,33387.37,34938.14,36032.31,36107.4,36647.0,36795.17,37284.04,37794.11,38263.37,36942.59,37110.53,37330.47,37585.81,37917.11,38311.72,38727.37,2017.0
2527,734,SWZ,NGDPRPPPPC,Eswatini,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",3959.84,4110.91,4052.55,3913.09,3881.91,3815.06,4343.67,4575.54,4713.54,4956.37,5262.34,5206.98,5252.46,5308.72,5332.54,5478.45,5567.14,5612.99,5704.72,5818.07,5865.55,5872.93,6074.32,6253.06,6421.7,6746.57,7087.98,7337.87,7344.23,7405.19,7630.9,7746.72,8106.54,8360.42,8377.84,8503.04,8537.42,8650.85,8769.2,8878.08,8571.62,8610.59,8661.62,8720.87,8797.74,8889.29,8985.74,2017.0
2528,734,SWZ,NGDPPC,Eswatini,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1054.44,1220.4,1312.86,1345.64,1475.13,1697.97,2138.08,2386.86,3029.3,3426.52,4016.74,4328.33,4847.45,5717.48,6600.36,7877.01,8646.67,9699.04,10589.27,11379.64,12612.78,13757.98,15498.35,16912.53,18041.03,20196.47,22076.01,24000.28,26525.42,29358.6,31220.7,33387.37,37997.55,41747.72,44820.59,48024.53,51698.49,53683.63,55948.61,57950.77,58159.53,60274.48,63552.64,66592.84,70350.28,74401.58,78642.62,2017.0
2529,734,SWZ,NGDPDPC,Eswatini,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1353.87,1390.76,1208.99,1207.84,999.523,762.131,936.249,1172.28,1332.88,1306.67,1552.21,1567.76,1699.81,1750.16,1859.52,2171.72,2012.45,2105.17,1914.24,1861.5,1818.67,1599.21,1473.72,2235.68,2797.02,3174.59,3262.22,3402.16,3214.49,3479.71,4263.91,4603.2,4628.25,4326.0,4133.03,3765.92,3513.8,4031.06,4225.91,4009.99,3532.55,3965.43,4164.29,4284.71,4435.94,4596.44,4965.45,2017.0
