,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
2565,644,ETH,NGDP_R,Ethiopia,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: FY2019/20 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Factor costs. Data refer to fiscal years (July/June). Data for 2011 represent fiscal year 2010/11. Start/end months of reporting year: July/June Base year: FY2015/16 Chain-weighted: No Primary domestic currency: Ethiopian birr Data last updated: 09/2021,219.962,219.962,222.076,239.499,233.979,207.275,227.365,258.901,260.388,259.198,265.941,246.746,224.767,254.803,263.686,279.827,317.695,326.719,313.045,332.747,365.481,392.527,398.807,390.432,436.113,491.063,547.536,612.145,680.705,748.775,828.146,922.554,1002.82,1102.1,1215.61,1342.04,1449.4,1597.38,1720.42,1875.89,1989.52,2029.08,,,,,,2020.0
2567,644,ETH,NGDP,Ethiopia,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: FY2019/20 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Factor costs. Data refer to fiscal years (July/June). Data for 2011 represent fiscal year 2010/11. Start/end months of reporting year: July/June Base year: FY2015/16 Chain-weighted: No Primary domestic currency: Ethiopian birr Data last updated: 09/2021,15.287,15.686,16.505,18.347,17.336,20.302,21.089,22.543,23.36,24.575,26.071,28.831,30.42,39.022,41.447,49.576,55.87,57.874,55.655,59.8,67.128,68.554,67.067,73.992,87.416,107.349,132.669,173.297,250.133,337.609,385.943,515.079,747.326,866.921,1060.83,1297.96,1568.1,1832.79,2200.12,2690.75,3374.35,4078.4,,,,,,2020.0
2568,644,ETH,NGDPD,Ethiopia,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",7.385,7.578,7.973,8.863,8.375,9.808,10.188,10.89,11.285,11.872,12.595,13.928,14.696,9.143,8.135,8.431,8.826,8.909,8.078,7.927,8.235,8.223,7.851,8.623,10.142,12.408,15.283,19.701,26.839,32.464,29.917,31.958,42.221,46.544,54.165,63.081,72.12,76.841,80.207,92.608,96.611,92.757,,,,,,2020.0
2569,644,ETH,PPPGDP,Ethiopia,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",10.496,11.489,12.316,13.803,13.971,12.768,14.287,16.672,17.359,17.957,19.113,18.334,17.081,19.823,20.952,22.701,26.245,27.455,26.602,28.675,32.21,35.373,36.499,36.437,41.793,48.535,55.786,64.054,72.594,80.366,89.953,102.289,112.533,122.434,148.487,167.119,194.652,215.094,237.196,263.259,282.569,298.574,,,,,,2020.0
2570,644,ETH,NGDP_D,Ethiopia,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",6.95,7.131,7.432,7.661,7.409,9.795,9.276,8.707,8.971,9.481,9.803,11.684,13.534,15.315,15.718,17.717,17.586,17.714,17.779,17.972,18.367,17.465,16.817,18.951,20.044,21.861,24.23,28.31,36.746,45.088,46.603,55.832,74.523,78.661,87.267,96.716,108.19,114.737,127.883,143.438,169.606,200.997,,,,,,2020.0
2571,644,ETH,NGDPRPC,Ethiopia,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",6409.17,6258.23,6143.05,6422.0,6074.27,5209.68,5534.12,6102.74,5942.95,5725.17,5681.69,5095.99,4486.7,4917.85,4925.83,5066.54,5583.54,5580.71,5201.86,5381.98,5755.61,6001.48,5932.87,5472.69,5958.08,6538.79,7106.0,7743.18,8474.82,9175.5,9988.29,10951.72,11717.05,12674.25,13759.54,14951.32,15893.13,17239.93,18275.47,19613.22,20473.65,20551.97,,,,,,2016.0
2572,644,ETH,NGDPRPPPPC,Ethiopia,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",863.024,842.7,827.19,864.751,817.929,701.508,745.194,821.762,800.245,770.92,765.065,686.199,604.155,662.211,663.286,682.232,751.849,751.469,700.455,724.709,775.02,808.127,798.888,736.923,802.283,880.479,956.855,1042.66,1141.17,1235.52,1344.97,1474.7,1577.76,1706.65,1852.79,2013.26,2140.08,2321.44,2460.88,2641.01,2756.87,2767.42,,,,,,2016.0
2573,644,ETH,NGDPPC,Ethiopia,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",445.418,446.289,456.552,491.959,450.065,510.271,513.321,531.366,533.149,542.821,557.0,595.438,607.234,753.151,774.261,897.629,981.918,988.546,924.818,967.236,1057.14,1048.15,997.728,1037.15,1194.26,1429.42,1721.8,2192.08,3114.17,4137.06,4654.87,6114.54,8731.87,9969.71,12007.52,14460.31,17194.72,19780.63,23371.2,28132.89,34724.59,41308.89,,,,,,2016.0
2574,644,ETH,NGDPDPC,Ethiopia,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",215.178,215.599,220.557,237.661,217.423,246.507,247.981,256.699,257.56,262.233,269.082,287.651,293.35,176.465,151.965,152.658,155.121,152.171,134.226,128.213,129.678,125.722,116.789,120.873,138.553,165.218,198.344,249.209,334.145,397.808,360.829,379.381,493.321,535.264,613.101,702.767,790.82,829.313,852.011,968.253,994.197,939.511,,,,,,2016.0
2575,644,ETH,PPPPC,Ethiopia,"Gross domestic product per capita, current prices","Expressed in GDP in PPP dollars per person. Data are derived by dividing GDP in PPP dollars by total population. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",305.828,326.878,340.688,370.105,362.7,320.91,347.759,392.976,396.181,396.63,408.348,378.641,340.966,382.589,391.396,411.017,461.252,468.968,442.052,463.803,507.238,540.823,542.972,510.742,570.968,646.269,724.001,810.241,903.805,984.8,1084.92,1214.29,1314.85,1408.01,1680.73,1861.84,2134.42,2321.44,2519.66,2752.47,2907.85,3024.16,,,,,,2016.0
