,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
2610,819,FJI,NGDP_R,Fiji,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office. Fiji Islands Bureau of Statistics Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: No Primary domestic currency: Fijian dollar Data last updated: 09/2021,4.198,4.45,4.402,4.216,4.643,4.467,4.762,4.419,4.572,5.207,5.51,5.361,5.688,5.836,6.133,6.293,6.595,6.437,6.52,7.088,6.967,7.099,7.327,7.385,7.784,7.683,7.829,7.758,7.836,7.726,7.958,8.173,8.288,8.681,9.167,9.58,9.814,10.339,10.734,10.686,9.005,8.645,9.181,9.939,10.578,11.053,11.424,2020.0
2611,819,FJI,NGDP_RPCH,Fiji,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-1.694,6.004,-1.092,-4.212,10.107,-3.774,6.596,-7.194,3.462,13.888,5.802,-2.7,6.1,2.6,5.1,2.6,4.8,-2.4,1.3,8.7,-1.7,1.9,3.2,0.8,5.4,-1.3,1.9,-0.9,1.0,-1.4,3.0,2.7,1.411,4.734,5.604,4.502,2.445,5.354,3.813,-0.445,-15.725,-3.997,6.195,8.259,6.427,4.49,3.36,2020.0
2612,819,FJI,NGDP,Fiji,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office. Fiji Islands Bureau of Statistics Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: No Primary domestic currency: Fijian dollar Data last updated: 09/2021,1.066,1.144,1.206,1.237,1.381,1.426,1.583,1.587,1.72,1.9,2.145,2.212,2.494,2.731,2.895,3.002,3.237,3.275,3.566,4.144,3.883,4.094,4.365,4.756,5.12,5.508,5.819,5.94,6.082,6.082,6.526,7.332,7.701,8.358,9.167,9.822,10.327,11.065,11.651,11.874,9.747,9.46,10.217,11.293,12.283,13.117,13.856,2020.0
2613,819,FJI,NGDPD,Fiji,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.303,1.339,1.293,1.217,1.276,1.236,1.398,1.276,1.202,1.281,1.448,1.5,1.659,1.772,1.977,2.134,2.307,2.268,1.795,2.104,1.824,1.798,1.996,2.509,2.954,3.257,3.361,3.688,3.816,3.106,3.402,4.094,4.303,4.539,4.857,4.682,4.93,5.353,5.581,5.496,4.494,4.639,5.01,5.537,6.023,6.432,6.794,2020.0
2614,819,FJI,PPPGDP,Fiji,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.709,1.983,2.082,2.073,2.364,2.347,2.552,2.427,2.6,3.077,3.377,3.397,3.687,3.872,4.157,4.354,4.647,4.613,4.726,5.209,5.237,5.457,5.719,5.878,6.362,6.476,6.803,6.924,7.127,7.073,7.372,7.729,8.283,8.942,9.832,10.782,11.02,11.784,12.525,12.692,10.826,10.767,11.749,13.022,14.175,15.133,15.966,2020.0
2615,819,FJI,NGDP_D,Fiji,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",25.384,25.706,27.4,29.345,29.757,31.923,33.251,35.914,37.612,36.493,38.93,41.263,43.848,46.806,47.2,47.699,49.081,50.878,54.688,58.466,55.738,57.668,59.582,64.401,65.78,71.689,74.325,76.559,77.623,78.713,82.007,89.713,92.921,96.286,100.0,102.53,105.231,107.018,108.544,111.121,108.233,109.423,111.283,113.62,116.12,118.675,121.285,2020.0
2616,819,FJI,NGDPRPC,Fiji,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",6625.38,6855.87,6608.01,6172.82,6653.67,6303.48,6657.69,6154.22,6359.94,7101.5,7452.88,7193.55,7571.7,7707.31,8037.01,8181.97,8508.65,8244.3,8291.43,8948.45,8733.98,8837.29,9056.34,9065.43,9489.11,9301.64,9413.93,9266.2,9313.83,9139.46,9368.77,9576.09,9665.38,10075.4,10590.21,11018.01,11188.11,11684.32,12062.89,11942.93,10009.43,9556.31,10092.39,10865.66,11500.24,11950.31,12284.38,2017.0
2617,819,FJI,NGDPRPPPPC,Fiji,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",7550.93,7813.62,7531.13,7035.15,7583.18,7184.06,7587.75,7013.95,7248.41,8093.56,8494.02,8198.47,8629.45,8784.0,9159.76,9324.97,9697.29,9396.01,9449.73,10198.53,9954.09,10071.83,10321.49,10331.85,10814.71,10601.05,10729.03,10560.67,10614.95,10416.21,10677.56,10913.84,11015.61,11482.9,12069.63,12557.2,12751.06,13316.59,13748.05,13611.33,11407.73,10891.31,11502.28,12383.56,13106.79,13619.74,14000.48,2017.0
2618,819,FJI,NGDPPC,Fiji,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1681.8,1762.38,1810.6,1811.4,1979.91,2012.25,2213.72,2210.21,2392.1,2591.56,2901.39,2968.27,3320.04,3607.47,3793.45,3902.74,4176.1,4194.56,4534.4,5231.84,4868.15,5096.28,5395.95,5838.22,6241.98,6668.25,6996.88,7094.14,7229.64,7193.96,7683.0,8590.96,8981.18,9701.2,10590.25,11296.82,11773.4,12504.37,13093.58,13271.15,10833.47,10456.82,11231.15,12345.59,13354.07,14181.98,14899.17,2017.0
2619,819,FJI,NGDPDPC,Fiji,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2056.07,2062.16,1941.77,1781.08,1828.86,1744.39,1954.09,1776.9,1672.49,1747.12,1959.19,2012.45,2208.96,2339.82,2590.93,2775.12,2975.91,2905.47,2282.25,2656.26,2286.99,2238.55,2467.53,3079.61,3601.62,3943.27,4041.49,4405.16,4535.43,3673.96,4004.67,4797.05,5017.72,5268.16,5611.19,5385.52,5620.58,6049.89,6272.73,6142.93,4995.16,5127.44,5507.13,6053.59,6548.09,6954.05,7305.72,2017.0
