,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
2655,172,FIN,NGDP_R,Finland,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office. Downloaded through Haver Analytics Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 09/2021",103.647,104.988,108.229,111.608,115.195,119.269,122.52,126.881,133.493,140.283,140.58,132.305,127.946,127.099,132.137,137.709,142.759,151.802,160.086,167.097,176.744,181.356,184.452,188.148,195.659,201.098,209.197,220.283,222.01,204.084,210.586,215.95,212.933,211.012,210.242,211.385,217.328,224.266,226.827,229.874,223.266,229.905,236.716,240.382,243.484,246.605,249.773,2020.0
2656,172,FIN,NGDP_RPCH,Finland,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.673,1.294,3.087,3.122,3.213,3.537,2.726,3.559,5.211,5.087,0.211,-5.886,-3.295,-0.662,3.964,4.217,3.667,6.334,5.457,4.38,5.773,2.609,1.707,2.004,3.992,2.78,4.027,5.299,0.784,-8.074,3.186,2.547,-1.397,-0.902,-0.365,0.544,2.811,3.192,1.142,1.343,-2.875,2.973,2.963,1.548,1.291,1.282,1.285,2020.0
2657,172,FIN,NGDP,Finland,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office. Downloaded through Haver Analytics Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 09/2021",33.682,38.094,42.831,47.79,53.498,58.285,62.74,67.751,76.754,85.929,90.959,86.899,84.782,85.708,90.749,98.549,102.083,110.807,120.474,126.916,136.442,144.628,148.486,151.749,158.758,164.687,172.897,187.072,194.265,181.747,188.143,197.998,201.037,204.321,206.897,211.385,217.518,226.301,233.468,240.097,236.188,247.848,260.471,269.09,278.738,289.991,299.516,2020.0
2658,172,FIN,NGDPD,Finland,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",53.714,52.62,53.111,51.056,53.032,56.223,73.652,91.775,109.255,119.106,141.718,128.194,113.134,89.279,103.739,134.339,132.183,127.076,134.212,135.398,126.075,129.534,140.305,171.609,197.39,204.999,217.101,256.408,285.685,253.222,249.628,275.556,258.454,271.366,274.934,234.558,240.705,255.558,275.84,268.812,269.557,296.016,314.538,329.679,345.687,363.553,378.43,2020.0
2659,172,FIN,PPPGDP,Finland,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",45.54,50.493,55.268,59.226,63.335,67.649,70.892,75.231,81.943,89.488,93.033,90.518,89.531,91.046,96.676,102.866,108.591,117.46,125.264,132.593,143.425,150.483,155.438,161.682,172.649,183.014,196.259,212.244,218.01,201.691,210.619,220.471,221.286,225.68,228.059,232.93,246.904,262.075,271.4,279.966,275.195,293.59,310.608,322.923,334.546,346.195,357.908,2020.0
2660,172,FIN,NGDP_D,Finland,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",32.497,36.284,39.574,42.819,46.441,48.869,51.208,53.397,57.497,61.254,64.703,65.681,66.264,67.434,68.678,71.563,71.507,72.994,75.256,75.953,77.198,79.748,80.501,80.654,81.14,81.894,82.648,84.923,87.503,89.055,89.343,91.687,94.413,96.829,98.409,100.0,100.087,100.907,102.928,104.447,105.788,107.805,110.035,111.943,114.479,117.593,119.915,2020.0
2661,172,FIN,NGDPRPC,Finland,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",21723.04,21928.3,22490.84,23051.42,23654.61,24371.67,24949.85,25759.29,27030.46,28315.14,28260.79,26469.06,25441.63,25143.31,26021.92,27008.36,27899.91,29577.66,31100.67,32385.36,34177.85,35003.28,35506.36,36138.56,37484.49,38402.32,39804.74,41744.34,41884.85,38316.18,39351.37,40174.68,39422.79,38884.22,38567.53,38632.04,39605.58,40751.21,41143.05,41659.55,40408.0,41569.04,42771.31,43416.81,43974.08,44549.48,45138.66,2020.0
2662,172,FIN,NGDPRPPPPC,Finland,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",25385.35,25625.23,26282.6,26937.69,27642.58,28480.52,29156.18,30102.08,31587.56,33088.83,33025.32,30931.51,29730.87,29382.26,30408.99,31561.74,32603.6,34564.19,36343.97,37845.25,39939.94,40904.53,41492.42,42231.21,43804.05,44876.62,46515.48,48782.07,48946.28,44775.96,45985.68,46947.79,46069.13,45439.77,45069.68,45145.07,46282.74,47621.51,48079.42,48682.99,47220.44,48577.22,49982.19,50736.51,51387.73,52060.14,52748.65,2020.0
2663,172,FIN,NGDPPC,Finland,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",7059.3,7956.51,8900.6,9870.47,10985.54,11910.09,12776.28,13754.75,15541.65,17344.12,18285.48,17385.09,16858.61,16955.15,17871.32,19328.06,19950.45,21590.04,23405.06,24597.81,26384.46,27914.46,28583.03,29147.22,30414.97,31449.16,32897.8,35450.75,36650.43,34122.47,35157.54,36834.95,37220.34,37651.24,37953.91,38632.04,39640.2,41120.99,42347.63,43512.24,42746.7,44813.39,47063.37,48601.98,50341.04,52387.13,54128.08,2020.0
2664,172,FIN,NGDPDPC,Finland,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",11257.8,10990.45,11036.94,10545.06,10889.93,11488.75,14998.34,18632.08,22122.56,24040.64,28489.57,25646.58,22496.24,17661.59,20429.39,26347.51,25833.03,24759.98,26074.07,26241.8,24379.78,25001.18,27008.26,32961.92,37816.08,39147.22,41308.62,48590.2,53897.91,47541.75,46647.0,51263.57,47850.56,50006.02,50434.79,42867.09,43865.76,46437.21,50033.31,48716.22,48786.03,53522.57,56832.6,59545.36,62432.4,65676.15,68389.28,2020.0
