,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
2835,915,GEO,NGDP_R,Georgia,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 Notes: Data prior to 1996 cannot be confirmed by national sources. Data prior to 2010 are based on staff estimates. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1996 Primary domestic currency: Georgian lari Data last updated: 09/2021",,,,,,,,,,,,,,,10.714,10.992,12.146,13.424,13.841,14.238,14.5,15.197,16.028,17.801,18.832,20.638,22.582,25.423,26.038,25.087,26.641,28.602,30.437,31.537,32.938,33.935,34.921,36.612,38.386,40.298,37.816,40.724,43.071,45.438,47.823,50.31,52.927,2020.0
2836,915,GEO,NGDP_RPCH,Georgia,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",,,,,,,,,,,,,,,,2.6,10.5,10.519,3.105,2.869,1.838,4.805,5.474,11.058,5.794,9.59,9.42,12.579,2.419,-3.651,6.191,7.361,6.417,3.616,4.442,3.027,2.906,4.843,4.843,4.982,-6.16,7.69,5.764,5.494,5.249,5.201,5.201,2020.0
2837,915,GEO,NGDP,Georgia,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 Notes: Data prior to 1996 cannot be confirmed by national sources. Data prior to 2010 are based on staff estimates. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1996 Primary domestic currency: Georgian lari Data last updated: 09/2021",,,,,,,,,,,,,,,0.937,2.526,3.977,4.683,5.163,5.828,6.213,6.861,7.665,8.805,10.1,11.947,14.177,17.471,19.61,18.491,21.822,25.479,27.227,28.593,31.124,33.935,35.836,40.762,44.599,49.253,49.407,57.549,64.52,70.156,76.031,82.405,89.281,2020.0
2838,915,GEO,NGDPD,Georgia,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,,,0.85,1.961,3.149,3.609,3.708,2.884,3.143,3.309,3.491,4.103,5.27,6.591,7.963,10.459,13.154,11.069,12.243,15.107,16.489,17.19,17.627,14.953,15.141,16.242,17.599,17.477,15.891,17.846,19.688,21.58,23.589,25.789,27.941,2020.0
2839,915,GEO,PPPGDP,Georgia,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,,,8.43,8.831,9.937,11.171,11.648,12.151,12.655,13.562,14.527,16.452,17.872,20.2,22.785,26.345,27.499,26.665,28.656,31.405,36.64,39.451,43.054,45.036,47.93,50.663,54.385,58.116,55.193,61.58,66.922,72.279,77.807,83.632,89.804,2020.0
2840,915,GEO,NGDP_D,Georgia,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",,,,,,,,,,,,,,,8.747,22.981,32.742,34.882,37.303,40.931,42.846,45.151,47.824,49.461,53.632,57.889,62.779,68.721,75.315,73.706,81.911,89.081,89.455,90.664,94.493,100.0,102.62,111.333,116.188,122.221,130.652,141.314,149.798,154.399,158.984,163.794,168.687,2020.0
2841,915,GEO,NGDPRPC,Georgia,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,,,,2173.22,2317.93,2656.02,3043.89,3226.64,3391.97,3522.12,3763.88,4015.86,4488.61,4782.59,5268.92,5808.24,6564.69,6767.32,6551.96,7011.07,7579.39,8139.73,8481.43,8861.71,9117.66,9365.74,9825.16,10292.13,10822.62,10174.01,10971.33,11589.08,12220.77,12868.86,13549.18,14264.86,2020.0
2842,915,GEO,NGDPRPPPPC,Georgia,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,7788.63,4280.47,3095.13,3007.19,3207.43,3675.27,4211.99,4464.87,4693.64,4873.74,5208.27,5556.95,6211.13,6617.92,7290.88,8037.17,9083.9,9364.3,9066.28,9701.58,10488.0,11263.37,11736.2,12262.41,12616.58,12959.86,13595.58,14241.75,14975.81,14078.31,15181.6,16036.41,16910.51,17807.3,18748.7,19739.02,2020.0
2843,915,GEO,NGDPPC,Georgia,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,,,190.097,532.673,869.635,1061.79,1203.63,1388.36,1509.1,1699.42,1920.54,2220.12,2564.98,3050.11,3646.37,4511.31,5096.81,4829.17,5742.82,6751.84,7281.4,7689.61,8373.67,9117.66,9611.12,10938.62,11958.21,13227.52,13292.6,15504.04,17360.16,18868.78,20459.4,22192.71,24063.01,2020.0
2844,915,GEO,NGDPDPC,Georgia,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,,,172.502,413.487,688.642,818.402,864.471,687.028,763.51,819.495,874.692,1034.71,1338.26,1682.66,2048.02,2700.59,3418.86,2890.88,3222.07,4003.47,4409.61,4622.97,4742.5,4017.62,4060.89,4358.59,4718.79,4693.66,4275.29,4807.95,5297.52,5804.01,6347.65,6945.4,7530.72,2020.0
