,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
2880,134,DEU,NGDP_R,Germany,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 Notes: Data until 1990 refers to German federation only (West Germany). National accounts data until 1990 do not include FISIM. Data from 1991 refer to United Germany and include FISIM. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1991 Primary domestic currency: Euro Data last updated: 09/2021",1683.16,1685.02,1671.74,1697.72,1745.7,1783.97,1827.1,1853.95,1923.2,1998.46,2112.84,2218.72,2261.31,2239.22,2292.94,2328.27,2347.26,2389.17,2437.44,2483.43,2555.54,2598.65,2593.43,2575.2,2605.69,2624.61,2724.7,2805.95,2832.87,2671.51,2783.32,2892.27,2904.61,2917.17,2981.84,3026.19,3093.67,3176.58,3211.09,3244.81,3096.84,3191.32,3336.86,3389.9,3436.34,3475.84,3514.85,2020.0
2881,134,DEU,NGDP_RPCH,Germany,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.272,0.11,-0.788,1.555,2.826,2.192,2.417,1.469,3.736,3.913,5.723,5.011,1.92,-0.977,2.399,1.541,0.816,1.785,2.02,1.887,2.904,1.687,-0.201,-0.703,1.184,0.726,3.814,2.982,0.959,-5.696,4.185,3.914,0.427,0.432,2.217,1.487,2.23,2.68,1.086,1.05,-4.56,3.051,4.56,1.59,1.37,1.15,1.122,2020.0
2882,134,DEU,NGDP,Germany,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 Notes: Data until 1990 refers to German federation only (West Germany). National accounts data until 1990 do not include FISIM. Data from 1991 refer to United Germany and include FISIM. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1991 Primary domestic currency: Euro Data last updated: 09/2021",792.177,826.898,859.552,901.3,945.528,987.172,1043.9,1078.11,1135.15,1207.28,1317.44,1585.8,1702.06,1750.89,1829.55,1894.61,1921.38,1961.15,2014.42,2059.48,2109.09,2172.54,2198.12,2211.57,2262.52,2288.31,2385.08,2499.55,2546.49,2445.73,2564.4,2693.56,2745.31,2811.35,2927.43,3026.18,3134.74,3267.16,3367.86,3473.35,3367.56,3541.84,3773.97,3896.69,4020.35,4143.68,4278.8,2020.0
2883,134,DEU,NGDPD,Germany,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",853.705,718.264,693.547,691.912,651.9,661.037,944.124,1174.86,1266.62,1257.39,1598.64,1875.62,2136.31,2072.46,2209.93,2588.0,2498.11,2214.69,2242.07,2197.13,1948.84,1945.8,2077.02,2501.01,2813.08,2848.44,2994.86,3425.98,3744.85,3407.56,3402.44,3748.66,3529.38,3733.86,3890.1,3357.93,3468.9,3689.55,3979.09,3888.76,3843.34,4230.17,4557.35,4774.08,4985.99,5194.8,5406.14,2020.0
2884,134,DEU,PPPGDP,Germany,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",855.295,937.245,987.315,1041.93,1110.04,1170.25,1222.67,1271.32,1365.31,1474.37,1617.09,1755.56,1830.04,1855.11,1940.19,2011.4,2064.93,2138.04,2205.79,2279.08,2398.39,2493.79,2527.57,2559.34,2659.16,2762.46,2956.3,3126.73,3217.26,3053.45,3219.49,3415.02,3487.23,3628.56,3807.12,3890.13,4164.75,4411.73,4566.19,4696.68,4536.52,4843.39,5203.66,5412.17,5611.36,5799.16,5985.76,2020.0
2885,134,DEU,NGDP_D,Germany,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",47.065,49.074,51.417,53.089,54.163,55.336,57.135,58.152,59.024,60.411,62.354,71.474,75.269,78.192,79.791,81.374,81.856,82.085,82.645,82.929,82.53,83.603,84.757,85.88,86.83,87.187,87.536,89.08,89.891,91.549,92.135,93.13,94.516,96.373,98.175,100.0,101.328,102.851,104.882,107.043,108.742,110.984,113.099,114.95,116.995,119.214,121.735,2020.0
2886,134,DEU,NGDPRPC,Germany,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",21903.88,21886.81,21729.81,22144.87,22863.03,23422.05,23971.74,24319.59,25075.36,25798.77,26762.21,27743.28,28090.81,27663.13,28256.53,28635.19,28812.67,29311.28,29926.98,30500.54,31372.97,31878.43,31790.61,31578.56,31988.83,32268.34,33566.27,34644.46,35075.9,33193.47,34668.1,36029.3,36115.2,36172.53,36820.45,37046.16,37567.91,38430.75,38731.81,39050.46,37239.09,38315.28,40016.5,40621.97,41164.65,41641.83,42130.84,2020.0
2887,134,DEU,NGDPRPPPPC,Germany,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",30420.76,30397.04,30179.0,30755.45,31752.84,32529.23,33292.66,33775.76,34825.39,35830.09,37168.15,38530.68,39013.34,38419.38,39243.51,39769.4,40015.88,40708.37,41563.47,42360.05,43571.7,44273.71,44151.73,43857.24,44427.03,44815.22,46617.83,48115.25,48714.44,46100.07,48148.08,50038.55,50157.85,50237.48,51137.33,51450.81,52175.41,53373.76,53791.88,54234.43,51718.75,53213.39,55576.09,56416.99,57170.68,57833.4,58512.56,2020.0
2888,134,DEU,NGDPPC,Germany,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",10309.04,10740.65,11172.77,11756.43,12383.33,12960.73,13696.14,14142.36,14800.47,15585.18,16687.27,19829.13,21143.6,21630.35,22546.05,23301.64,23584.98,24060.16,24733.12,25293.75,25892.15,26651.21,26944.85,27119.52,27775.89,28133.69,29382.41,30861.4,31530.01,30388.16,31941.31,33553.95,34134.5,34860.38,36148.59,37046.04,38066.64,39526.6,40622.76,41800.88,40494.46,42523.67,45258.44,46694.91,48160.56,49642.71,51287.96,2020.0
2889,134,DEU,NGDPDPC,Germany,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",11109.74,9329.59,9014.98,9025.21,8537.77,8678.85,12387.01,15411.53,16514.65,16232.12,20249.14,23453.06,26538.04,25602.96,27233.63,31829.61,30664.39,27170.75,27528.16,26984.24,23924.88,23869.77,25460.33,30668.85,34534.81,35020.2,36894.47,42299.86,46367.86,42338.84,42379.71,46697.38,43883.39,46299.37,48035.8,41107.22,42124.45,44636.7,47995.38,46800.18,46215.6,50787.86,54653.0,57208.89,59728.2,62235.56,64800.87,2020.0
