,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
3015,328,GRD,NGDP_R,Grenada,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2019 Notes: Historical values for expenditure based GDP components are not reported by authorities and are estimated by IMF staff using data from balance of payments and fiscal accounts. GDP expenditure component estimates prior 2014 have been removed due to internal inconsistencies arising from methodological changes to international trade estimates from the balance of payments applicable to data reported after 2014. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: Eastern Caribbean dollar Data last updated: 09/2021,0.712,0.721,0.751,0.776,0.806,0.855,0.918,1.001,1.03,1.069,1.114,1.13,1.121,1.099,1.119,1.144,1.194,1.252,1.4,1.498,1.574,1.542,1.595,1.746,1.735,1.965,1.886,2.002,2.021,1.887,1.878,1.892,1.87,1.914,2.055,2.187,2.269,2.37,2.473,2.49,2.165,2.223,2.36,2.496,2.611,2.691,2.766,2019.0
3016,328,GRD,NGDP_RPCH,Grenada,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",15.067,1.375,4.107,3.295,3.963,5.988,7.358,9.073,2.916,3.758,4.241,1.423,-0.813,-1.956,1.838,2.196,4.386,4.916,11.808,6.981,5.063,-2.024,3.438,9.464,-0.647,13.273,-3.993,6.124,0.948,-6.613,-0.511,0.765,-1.155,2.351,7.342,6.445,3.74,4.439,4.361,0.677,-13.058,2.679,6.169,5.771,4.632,3.055,2.784,2019.0
3017,328,GRD,NGDP,Grenada,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2019 Notes: Historical values for expenditure based GDP components are not reported by authorities and are estimated by IMF staff using data from balance of payments and fiscal accounts. GDP expenditure component estimates prior 2014 have been removed due to internal inconsistencies arising from methodological changes to international trade estimates from the balance of payments applicable to data reported after 2014. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: Eastern Caribbean dollar Data last updated: 09/2021,0.299,0.312,0.339,0.356,0.393,0.453,0.506,0.581,0.638,0.722,0.751,0.812,0.837,0.836,0.878,0.924,0.991,1.059,1.204,1.301,1.404,1.405,1.459,1.596,1.618,1.878,1.886,2.048,2.23,2.082,2.082,2.102,2.16,2.275,2.461,2.692,2.866,3.039,3.15,3.208,2.774,2.925,3.132,3.36,3.594,3.785,3.976,2019.0
3018,328,GRD,NGDPD,Grenada,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.111,0.116,0.125,0.132,0.146,0.168,0.188,0.215,0.236,0.267,0.278,0.301,0.31,0.31,0.325,0.342,0.367,0.392,0.446,0.482,0.52,0.52,0.54,0.591,0.599,0.695,0.699,0.759,0.826,0.771,0.771,0.779,0.8,0.843,0.911,0.997,1.062,1.126,1.167,1.188,1.027,1.083,1.16,1.245,1.331,1.402,1.472,2019.0
3019,328,GRD,PPPGDP,Grenada,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.192,0.213,0.236,0.253,0.272,0.298,0.326,0.365,0.389,0.419,0.453,0.475,0.482,0.484,0.503,0.525,0.558,0.596,0.673,0.731,0.785,0.786,0.826,0.922,0.941,1.099,1.088,1.185,1.22,1.146,1.154,1.187,1.2,1.286,1.42,1.551,1.657,1.798,1.921,1.969,1.732,1.843,2.011,2.177,2.33,2.453,2.574,2019.0
3020,328,GRD,NGDP_D,Grenada,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",42.083,43.291,45.102,45.879,48.727,52.986,55.199,58.005,61.957,67.536,67.4,71.868,74.722,76.127,78.445,80.788,82.989,84.55,85.977,86.875,89.213,91.126,91.465,91.395,93.251,95.55,100.0,102.32,110.349,110.338,110.868,111.117,115.479,118.855,119.776,123.08,126.335,128.263,127.36,128.852,128.145,131.621,132.715,134.636,137.605,140.631,143.723,2019.0
3021,328,GRD,NGDPRPC,Grenada,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",7991.68,7960.46,8062.99,8078.19,8189.17,8550.92,9159.03,10066.21,10496.94,11025.62,11565.26,11713.55,11534.77,11185.62,11263.79,11403.13,11818.76,12330.88,13725.32,14625.31,15304.8,14936.17,15390.89,16787.98,16624.5,18774.96,17977.19,19033.59,19164.02,17840.85,17676.11,17718.05,17404.89,17695.52,18867.77,19955.02,20577.35,21372.28,22189.34,22229.16,19237.62,19642.29,20739.09,21815.09,22699.75,23264.21,23780.13,2019.0
3022,328,GRD,NGDPRPPPPC,Grenada,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",6064.16,6040.48,6118.28,6129.81,6214.02,6488.53,6949.96,7638.34,7965.18,8366.35,8775.84,8888.36,8752.7,8487.76,8547.08,8652.81,8968.2,9356.8,10414.91,11097.83,11613.44,11333.72,11678.76,12738.89,12614.84,14246.63,13641.27,14442.88,14541.85,13537.82,13412.81,13444.64,13207.0,13427.54,14317.05,15142.07,15614.3,16217.5,16837.5,16867.71,14597.7,14904.77,15737.03,16553.51,17224.8,17653.12,18044.6,2019.0
3023,328,GRD,NGDPPC,Grenada,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",3363.17,3446.2,3636.56,3706.21,3990.37,4530.83,5055.65,5838.87,6503.58,7446.25,7794.93,8418.34,8618.99,8515.28,8835.88,9212.35,9808.22,10425.73,11800.67,12705.68,13653.84,13610.74,14077.25,15343.31,15502.46,17939.38,17977.19,19475.11,21147.39,19685.22,19597.09,19687.69,20099.02,21031.97,22599.08,24560.64,25996.3,27412.65,28260.37,28642.63,24652.0,25853.43,27523.82,29370.96,31235.97,32716.6,34177.47,2019.0
3024,328,GRD,NGDPDPC,Grenada,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1245.62,1276.37,1346.87,1372.67,1477.92,1678.09,1872.46,2162.55,2408.73,2757.87,2887.01,3117.9,3192.22,3153.81,3272.55,3411.98,3632.68,3861.38,4370.62,4705.81,5056.98,5041.02,5213.8,5682.71,5741.65,6644.22,6658.22,7213.0,7832.37,7290.82,7258.18,7291.74,7444.08,7789.62,8370.03,9096.54,9628.26,10152.83,10466.81,10608.38,9130.37,9575.34,10194.01,10878.13,11568.88,12117.26,12658.32,2019.0
