,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
3060,258,GTM,NGDP_R,Guatemala,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: Central Bank. Also use data from Haver. Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2013 Chain-weighted: Yes, from 2001 Primary domestic currency: Guatemalan quetzal Data last updated: 08/2021",171.19,172.292,166.191,161.99,162.817,161.84,162.002,167.799,174.33,181.204,186.824,192.428,201.28,208.123,215.408,224.886,231.183,240.661,251.731,261.045,267.572,273.99,285.622,293.096,301.797,311.047,328.388,348.251,361.006,363.288,373.481,390.082,402.359,416.383,434.887,452.684,464.805,479.121,495.038,514.18,506.368,534.218,558.263,579.198,599.47,620.452,642.167,2020.0
3061,258,GTM,NGDP_RPCH,Guatemala,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.7,0.644,-3.542,-2.528,0.51,-0.6,0.1,3.579,3.892,3.943,3.101,3.0,4.6,3.4,3.5,4.4,2.8,4.1,4.6,3.7,2.5,2.399,4.245,2.617,2.969,3.065,5.575,6.049,3.662,0.632,2.806,4.445,3.147,3.485,4.444,4.092,2.678,3.08,3.322,3.867,-1.519,5.5,4.501,3.75,3.5,3.5,3.5,2020.0
3062,258,GTM,NGDP,Guatemala,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: Central Bank. Also use data from Haver. Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2013 Chain-weighted: Yes, from 2001 Primary domestic currency: Guatemalan quetzal Data last updated: 08/2021",7.718,8.431,8.539,8.864,9.276,10.951,15.513,17.348,20.124,23.199,33.613,46.069,52.48,62.169,71.898,81.579,91.325,102.966,117.92,128.437,140.702,154.989,171.446,183.286,198.552,215.183,238.023,268.824,304.329,309.986,334.434,369.35,390.926,416.383,447.326,476.023,502.002,526.507,550.47,592.8,599.236,650.894,704.73,755.456,807.674,864.547,926.342,2020.0
3063,258,GTM,NGDPD,Guatemala,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",7.718,8.431,8.539,8.864,9.276,10.951,5.921,6.857,7.426,8.561,7.493,9.161,10.15,11.032,12.501,14.04,14.993,16.981,18.441,17.391,18.124,19.735,21.924,23.092,24.977,28.179,31.308,35.028,40.242,37.997,41.493,47.419,49.902,52.989,57.835,62.18,66.034,71.624,73.212,77.004,77.603,83.305,89.214,94.084,100.587,107.67,115.366,2020.0
3064,258,GTM,PPPGDP,Guatemala,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",19.183,21.133,21.644,21.923,22.83,23.411,23.906,25.374,27.291,29.48,31.531,33.576,35.92,38.022,40.193,42.842,44.848,47.491,50.235,52.828,55.375,57.981,61.385,64.234,67.917,72.193,78.57,85.574,90.41,91.564,95.265,101.567,107.165,112.026,118.754,127.566,130.131,133.883,141.635,149.744,149.246,163.128,175.163,186.056,196.957,208.278,220.035,2020.0
3065,258,GTM,NGDP_D,Guatemala,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",4.508,4.894,5.138,5.472,5.697,6.766,9.576,10.338,11.543,12.803,17.992,23.941,26.073,29.871,33.378,36.276,39.504,42.785,46.843,49.201,52.585,56.567,60.026,62.535,65.79,69.18,72.482,77.192,84.3,85.328,89.545,94.685,97.158,100.0,102.86,105.156,108.003,109.89,111.198,115.29,118.34,121.841,126.236,130.431,134.731,139.342,144.252,2020.0
3066,258,GTM,NGDPRPC,Guatemala,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",23740.09,23300.48,21917.89,20831.84,20415.04,19784.83,19309.65,19502.95,19761.84,20040.41,20167.01,20291.33,20732.23,20940.71,21175.91,21606.0,21714.06,22104.06,22610.26,22924.45,22966.05,22976.25,23394.64,23446.75,23583.54,23751.28,24512.0,25419.21,25774.32,25375.91,25527.68,26094.57,26348.32,26698.38,27311.48,27853.29,28028.9,28316.06,28673.39,29188.32,28171.7,29128.53,29832.66,30334.24,30769.93,31211.87,31660.16,2020.0
3067,258,GTM,NGDPRPPPPC,Guatemala,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",6633.8,6510.96,6124.62,5821.14,5704.67,5528.57,5395.79,5449.8,5522.14,5599.99,5635.36,5670.1,5793.3,5851.56,5917.28,6037.47,6067.66,6176.64,6318.09,6405.89,6417.51,6420.36,6537.27,6551.83,6590.06,6636.93,6849.5,7103.01,7202.24,7090.91,7133.32,7291.73,7362.64,7460.46,7631.78,7783.18,7832.25,7912.49,8012.34,8156.23,7872.15,8139.52,8336.28,8476.44,8598.19,8721.68,8846.95,2020.0
3068,258,GTM,NGDPPC,Guatemala,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1070.28,1140.22,1126.19,1139.96,1163.06,1338.72,1849.08,2016.3,2281.19,2565.71,3628.44,4857.91,5405.54,6255.25,7068.04,7837.78,8577.82,9457.18,10591.44,11279.05,12076.67,12997.01,14042.8,14662.34,15515.6,16431.17,17766.85,19621.71,21727.84,21652.71,22858.83,24707.69,25599.62,26698.38,28092.67,29289.34,30271.92,31116.61,31884.12,33651.31,33338.39,35490.36,37659.57,39565.36,41456.71,43491.12,45670.56,2020.0
3069,258,GTM,NGDPDPC,Guatemala,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1070.28,1140.22,1126.19,1139.96,1163.06,1338.72,705.755,796.957,841.769,946.757,808.879,966.003,1045.43,1110.0,1228.97,1348.88,1408.23,1559.64,1656.36,1527.24,1555.64,1654.95,1795.77,1847.29,1951.8,2151.74,2336.96,2556.76,2873.09,2654.1,2836.06,3172.12,3267.79,3397.63,3632.1,3825.88,3982.02,4233.01,4240.55,4371.27,4317.45,4542.25,4767.44,4927.43,5162.97,5416.34,5687.76,2020.0
