,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
3150,654,GNB,NGDP_R,Guinea-Bissau,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2017 Notes: Data prior to 1997 cannot be confirmed by national sources at this time. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 08/2021,270.144,268.8,280.09,270.567,285.448,297.722,294.745,311.251,317.346,326.63,341.589,366.542,377.887,386.488,397.939,413.919,429.427,455.166,353.001,412.358,416.895,436.847,452.809,451.515,456.806,486.771,499.751,512.544,535.734,548.849,579.614,626.476,615.746,635.794,641.927,681.303,717.457,751.816,777.062,812.03,800.662,827.083,860.167,903.175,948.334,995.751,1045.54,2017.0
3152,654,GNB,NGDP,Guinea-Bissau,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2017 Notes: Data prior to 1997 cannot be confirmed by national sources at this time. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 08/2021,61.15,100.58,138.345,180.961,144.305,217.964,164.062,120.481,111.138,143.211,148.581,217.42,218.464,182.619,200.291,384.622,376.03,407.464,348.682,356.715,277.937,302.195,323.807,321.04,307.0,337.327,331.626,360.489,424.89,418.64,465.162,545.27,535.784,548.072,560.538,681.303,737.838,853.553,836.013,843.475,824.054,874.239,934.667,1008.88,1088.98,1175.45,1268.78,2017.0
3153,654,GNB,NGDPD,Guinea-Bissau,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.289,0.37,0.421,0.475,0.33,0.485,0.474,0.401,0.374,0.449,0.548,0.772,0.846,0.653,0.361,0.778,0.741,0.704,0.592,0.58,0.392,0.413,0.466,0.553,0.582,0.64,0.635,0.753,0.953,0.889,0.941,1.157,1.05,1.11,1.136,1.153,1.245,1.469,1.506,1.44,1.434,1.592,1.721,1.884,2.059,2.247,2.444,2017.0
3154,654,GNB,PPPGDP,Guinea-Bissau,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.439,0.478,0.529,0.531,0.581,0.625,0.631,0.683,0.721,0.771,0.836,0.928,0.978,1.024,1.077,1.144,1.209,1.303,1.022,1.211,1.252,1.341,1.412,1.436,1.492,1.639,1.735,1.827,1.947,2.007,2.145,2.367,2.307,2.386,2.51,3.05,3.288,3.832,4.055,4.313,4.304,4.607,4.923,5.292,5.683,6.097,6.534,2017.0
3155,654,GNB,NGDP_D,Guinea-Bissau,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",22.636,37.418,49.393,66.882,50.554,73.211,55.662,38.709,35.021,43.845,43.497,59.316,57.812,47.251,50.332,92.922,87.565,89.52,98.776,86.506,66.668,69.176,71.511,71.103,67.206,69.299,66.358,70.333,79.31,76.276,80.254,87.038,87.014,86.203,87.321,100.0,102.841,113.532,107.586,103.872,102.922,105.701,108.661,111.704,114.831,118.047,121.352,2017.0
3156,654,GNB,NGDPRPC,Guinea-Bissau,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",345522.88,336732.47,343658.41,325145.95,335973.54,343212.92,332792.16,344706.99,344580.32,347642.95,356349.54,373890.97,376909.51,376957.98,379590.07,386218.34,392014.42,406579.75,308589.4,352835.73,349198.78,358234.15,363552.71,354922.93,351533.52,366662.96,368425.91,369757.51,378083.12,378717.83,396937.33,419794.4,403722.26,407893.8,402962.86,418474.52,431194.98,442118.27,447127.97,457190.53,441085.97,445833.47,453582.44,466334.95,479441.57,493130.97,507422.94,2017.0
3157,654,GNB,NGDPRPPPPC,Guinea-Bissau,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",1761.09,1716.28,1751.58,1657.23,1712.42,1749.31,1696.2,1756.93,1756.28,1771.89,1816.27,1905.68,1921.06,1921.31,1934.72,1968.51,1998.05,2072.29,1572.84,1798.36,1779.82,1825.88,1852.98,1809.0,1791.72,1868.84,1877.82,1884.61,1927.04,1930.28,2023.14,2139.64,2057.72,2078.98,2053.85,2132.91,2197.75,2253.42,2278.96,2330.24,2248.16,2272.36,2311.85,2376.85,2443.65,2513.43,2586.27,2017.0
3158,654,GNB,NGDPPC,Guinea-Bissau,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",78212.7,125998.99,169743.08,217464.27,169847.19,251268.12,185239.99,133430.92,120675.26,152424.1,155001.04,221778.97,217898.96,178115.93,191056.11,358882.11,343269.15,363969.55,304813.8,305224.77,232804.95,247813.51,259979.02,252360.31,236251.08,254093.44,244481.14,260062.77,299856.91,288870.89,318557.4,365379.06,351294.09,351615.55,351872.2,418474.52,443444.06,501946.49,481048.75,474894.53,453973.15,471252.56,492867.73,520913.05,550549.12,582124.37,615767.44,2017.0
3159,654,GNB,NGDPDPC,Guinea-Bissau,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",370.185,463.692,516.549,570.682,388.702,559.368,534.912,444.504,406.033,478.384,571.817,787.213,843.597,636.881,344.118,725.815,676.103,628.438,517.661,496.411,327.943,338.362,374.5,435.072,447.804,482.181,467.998,543.408,672.251,613.569,644.344,775.206,688.497,711.927,712.826,707.897,748.089,864.141,866.451,810.558,789.856,858.04,907.339,972.935,1040.9,1112.56,1186.06,2017.0
3160,654,GNB,PPPPC,Guinea-Bissau,"Gross domestic product per capita, current prices","Expressed in GDP in PPP dollars per person. Data are derived by dividing GDP in PPP dollars by total population. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",561.764,599.267,649.383,638.461,683.534,720.34,712.533,756.298,782.679,820.601,872.631,946.553,975.94,999.198,1027.67,1067.54,1103.4,1164.13,893.504,1036.01,1048.56,1099.93,1133.66,1128.59,1147.82,1234.76,1278.99,1318.3,1373.83,1384.96,1469.03,1585.9,1512.94,1530.47,1575.76,1873.62,1976.07,2253.42,2333.4,2428.59,2371.28,2483.17,2595.87,2732.35,2873.18,3019.41,3171.3,2017.0
