,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
3195,336,GUY,NGDP_R,Guyana,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 Notes: Components of GDP by expenditure after 2007 (private and public consumption, private and public investment) are estimates because authorities stopped producing the data. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 2012. Projected real GDP growth in 2020 is potentially overstated and subject to large subsequent revisions because of the very high growth rate of oil GDP, which in turn is elevated on account of the very high oil price in the base year, 2012. A rebasing exercise is expected in 2021 that will resolve this problem, once the data becomes available Chain-weighted: No Primary domestic currency: Guyanese dollar Data last updated: 09/2021",511.366,514.242,468.559,414.69,423.539,425.088,424.092,423.539,398.209,378.519,367.126,389.249,419.446,453.847,492.341,517.229,558.377,592.91,582.789,600.189,592.114,605.498,612.458,608.465,617.995,605.993,637.061,681.785,695.262,718.335,749.732,790.496,830.327,860.661,875.176,881.192,914.743,948.904,991.044,1044.09,1498.06,1803.79,2682.41,3542.97,3669.61,3807.11,3949.55,2020.0
3196,336,GUY,NGDP_RPCH,Guyana,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-2.076,0.562,-8.884,-11.497,2.134,0.366,-0.234,-0.13,-5.981,-4.944,-3.01,6.026,7.758,8.201,8.482,5.055,7.956,6.185,-1.707,2.986,-1.345,2.26,1.149,-0.652,1.566,-1.942,5.127,7.02,1.977,3.319,4.371,5.437,5.039,3.653,1.686,0.687,3.807,3.734,4.441,5.353,43.48,20.409,48.709,32.081,3.574,3.747,3.741,2020.0
3197,336,GUY,NGDP,Guyana,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 Notes: Components of GDP by expenditure after 2007 (private and public consumption, private and public investment) are estimates because authorities stopped producing the data. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 2012. Projected real GDP growth in 2020 is potentially overstated and subject to large subsequent revisions because of the very high growth rate of oil GDP, which in turn is elevated on account of the very high oil price in the base year, 2012. A rebasing exercise is expected in 2021 that will resolve this problem, once the data becomes available Chain-weighted: No Primary domestic currency: Guyanese dollar Data last updated: 09/2021",2.146,2.273,2.076,2.108,2.504,2.964,3.369,7.107,8.275,22.601,34.523,84.991,102.781,127.104,162.664,189.151,209.92,225.94,225.843,264.851,273.054,281.708,296.54,308.67,328.503,342.157,380.061,449.982,507.163,529.553,588.404,679.072,830.326,856.042,852.153,883.787,925.677,980.498,994.472,1078.73,1140.76,1532.42,2027.67,2491.81,2624.24,2792.83,2991.04,2020.0
3198,336,GUY,NGDPD,Guyana,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.842,0.808,0.692,0.703,0.654,0.697,0.789,0.728,0.828,0.832,0.685,0.744,0.823,1.003,1.176,1.332,1.495,1.587,1.5,1.488,1.497,1.504,1.555,1.592,1.657,1.712,1.899,2.225,2.491,2.596,2.889,3.328,4.063,4.168,4.128,4.28,4.483,4.748,4.788,5.174,5.471,7.395,9.837,12.032,12.557,13.231,14.028,2020.0
3199,336,GUY,PPPGDP,Guyana,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.885,2.075,2.008,1.847,1.954,2.023,2.059,2.107,2.051,2.026,2.039,2.235,2.463,2.728,3.023,3.242,3.564,3.85,3.827,3.997,4.032,4.216,4.331,4.388,4.576,4.628,5.015,5.513,5.729,5.957,6.292,6.772,7.916,8.37,8.36,8.594,8.714,9.307,9.952,10.673,15.498,19.333,29.541,39.947,42.318,44.857,47.5,2020.0
3200,336,GUY,NGDP_D,Guyana,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",0.42,0.442,0.443,0.508,0.591,0.697,0.794,1.678,2.078,5.971,9.403,21.835,24.504,28.006,33.039,36.57,37.595,38.107,38.752,44.128,46.115,46.525,48.418,50.729,53.156,56.462,59.658,66.001,72.946,73.719,78.482,85.905,100.0,99.463,97.369,100.295,101.195,103.33,100.346,103.317,76.149,84.955,75.591,70.331,71.513,73.358,75.731,2020.0
3201,336,GUY,NGDPRPC,Guyana,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",669497.96,671903.34,612594.78,543766.09,558041.0,563559.18,566634.56,571089.84,541780.41,521376.58,509897.51,542129.4,584024.5,630343.32,680969.14,711456.3,764899.93,807779.95,790758.95,811066.02,797997.4,814758.41,824186.07,819440.59,832696.02,816157.34,856265.44,913921.18,929494.24,956504.41,995660.41,1045629.86,1095418.27,1130961.06,1145517.75,1148880.71,1182903.37,1219891.7,1266955.64,1330781.28,1903688.74,2285348.24,3388361.79,4462010.32,4607681.37,4766029.48,4929560.86,2019.0
3202,336,GUY,NGDPRPPPPC,Guyana,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",6566.41,6590.0,6008.3,5333.23,5473.24,5527.36,5557.53,5601.22,5313.76,5113.64,5001.05,5317.18,5728.09,6182.38,6678.92,6977.93,7502.11,7922.67,7755.73,7954.9,7826.72,7991.12,8083.58,8037.04,8167.05,8004.84,8398.21,8963.7,9116.44,9381.35,9765.39,10255.49,10743.81,11092.42,11235.19,11268.17,11601.86,11964.64,12426.25,13052.24,18671.3,22414.6,33232.9,43763.2,45191.94,46745.01,48348.92,2019.0
3203,336,GUY,NGDPPC,Guyana,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2809.73,2969.55,2714.59,2764.62,3299.2,3930.01,4501.86,9582.75,11258.71,31130.5,47948.12,118371.73,143108.48,176533.44,224984.15,260180.81,287561.95,307820.28,306435.33,357906.9,367997.8,379065.61,399054.44,415696.19,442629.99,460820.1,510834.17,603193.16,678025.01,705129.9,781412.48,898243.17,1095417.11,1124891.35,1115383.51,1152264.71,1197043.07,1260508.65,1271337.42,1374927.11,1449638.32,1941527.43,2561313.07,3138181.46,3295083.2,3496282.87,3733214.43,2019.0
3204,336,GUY,NGDPDPC,Guyana,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1101.86,1055.84,904.864,921.541,861.055,924.305,1053.7,982.258,1125.87,1146.24,950.968,1036.88,1145.78,1392.98,1626.9,1832.4,2048.53,2161.65,2035.86,2010.77,2017.2,2023.62,2092.96,2144.11,2233.0,2305.91,2551.77,2982.22,3329.64,3457.37,3837.3,4402.78,5360.28,5476.74,5402.7,5579.97,5796.82,6104.16,6120.54,6594.38,6952.7,9369.01,12426.39,15152.58,15767.57,16563.39,17509.34,2019.0
