,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
3240,263,HTI,NGDP_R,Haiti,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: FY2019/20. Fiscal year data are mapped to calendar year as follows: FY(t/t+1) = CY(t+1) National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: October/September Base year: FY2011/12. Fiscal year 2011-2012 Chain-weighted: No Primary domestic currency: Haitian gourde Data last updated: 09/2021,466.15,471.073,457.896,451.029,451.935,455.354,456.597,454.623,457.164,451.994,450.007,455.685,445.427,423.505,374.367,411.398,428.442,440.03,449.631,461.817,465.835,464.238,469.121,485.45,479.053,493.77,502.504,526.154,540.139,571.956,539.631,567.143,569.992,594.643,604.887,620.387,631.631,647.487,658.286,647.196,625.558,621.179,629.254,637.435,645.721,654.762,663.928,2020.0
3241,263,HTI,NGDP_RPCH,Haiti,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.345,1.056,-2.797,-1.5,0.201,0.757,0.273,-0.432,0.559,-1.131,-0.44,1.262,-2.251,-4.922,-11.603,9.892,4.143,2.705,2.182,2.71,0.87,-0.343,1.052,3.481,-1.318,3.072,1.769,4.707,2.658,5.89,-5.652,5.098,0.502,4.325,1.723,2.563,1.812,2.51,1.668,-1.685,-3.343,-0.7,1.3,1.3,1.3,1.4,1.4,2020.0
3242,263,HTI,NGDP,Haiti,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: FY2019/20. Fiscal year data are mapped to calendar year as follows: FY(t/t+1) = CY(t+1) National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: October/September Base year: FY2011/12. Fiscal year 2011-2012 Chain-weighted: No Primary domestic currency: Haitian gourde Data last updated: 09/2021,13.316,14.659,15.246,16.364,18.133,20.135,22.372,11.022,7.248,6.7,8.528,9.193,8.976,13.574,45.088,70.187,80.386,93.067,108.561,119.344,133.692,150.885,164.056,195.267,239.564,280.064,311.615,356.149,401.234,471.796,478.044,524.124,569.992,642.674,675.572,720.255,844.479,986.919,1076.41,1244.01,1449.89,1672.49,1957.55,2297.32,2617.27,2985.17,3378.15,2020.0
3243,263,HTI,NGDPD,Haiti,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2.664,2.932,3.05,3.273,3.627,4.028,4.475,2.205,1.45,1.34,1.706,1.53,0.918,1.107,3.054,4.846,5.0,5.748,6.408,7.148,6.81,6.285,6.064,4.866,6.037,7.186,7.507,9.522,10.488,11.598,11.852,13.009,13.709,14.904,15.137,14.831,13.996,15.036,16.454,14.787,14.508,20.143,18.825,19.796,20.449,21.302,22.213,2020.0
3244,263,HTI,PPPGDP,Haiti,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",10.024,11.088,11.444,11.714,12.161,12.641,12.93,13.193,13.735,14.112,14.575,15.259,15.255,14.848,13.405,15.04,15.95,16.664,17.219,17.935,18.501,18.853,19.348,20.417,20.689,21.993,23.073,24.812,25.96,27.665,26.415,28.339,28.318,30.706,31.283,31.002,33.431,34.631,36.049,36.076,35.29,36.306,37.79,39.192,40.607,42.07,43.543,2020.0
3245,263,HTI,NGDP_D,Haiti,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",2.857,3.112,3.33,3.628,4.012,4.422,4.9,2.424,1.585,1.482,1.895,2.017,2.015,3.205,12.044,17.061,18.762,21.15,24.145,25.842,28.699,32.502,34.971,40.224,50.008,56.719,62.013,67.689,74.283,82.488,88.587,92.415,100.0,108.077,111.686,116.098,133.698,152.423,163.518,192.216,231.775,269.244,311.09,360.401,405.325,455.917,508.813,2020.0
3246,263,HTI,NGDPRPC,Haiti,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",78385.6,77806.88,74297.66,71890.97,70760.88,70033.23,68979.11,67462.23,67043.19,64961.73,63372.91,63004.49,60403.87,56271.49,48688.75,52499.83,53663.88,54107.73,54294.38,54785.47,54317.07,53239.96,52944.16,53930.09,52386.78,53137.64,53200.82,54794.56,55331.22,57637.97,53507.19,55340.17,54737.44,56208.58,56291.22,56854.58,57016.54,57581.13,57686.03,55899.86,53270.64,52174.07,52153.48,52132.89,52112.32,52143.17,52174.04,2003.0
3247,263,HTI,NGDPRPPPPC,Haiti,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",4192.44,4161.48,3973.79,3845.07,3784.63,3745.71,3689.33,3608.2,3585.79,3474.46,3389.49,3369.78,3230.69,3009.67,2604.11,2807.94,2870.2,2893.94,2903.92,2930.19,2905.14,2847.53,2831.71,2884.44,2801.9,2842.06,2845.43,2930.68,2959.38,3082.75,2861.82,2959.86,2927.62,3006.3,3010.72,3040.86,3049.52,3079.71,3085.33,2989.79,2849.17,2790.52,2789.42,2788.32,2787.22,2788.87,2790.52,2003.0
3248,263,HTI,NGDPPC,Haiti,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2239.13,2421.22,2473.84,2608.35,2839.07,3096.75,3379.78,1635.61,1062.86,962.898,1200.94,1271.07,1217.17,1803.62,5864.02,8956.81,10068.61,11443.91,13109.14,14157.81,15588.69,17303.85,18515.08,21692.83,26197.52,30139.38,32991.16,37090.0,41101.92,47544.49,47400.51,51142.5,54737.44,60748.62,62869.22,66006.91,76230.05,87766.92,94326.79,107448.41,123468.09,140475.5,162244.4,187887.64,211224.32,237729.8,265468.43,2003.0
3249,263,HTI,NGDPDPC,Haiti,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",447.907,484.33,494.856,521.763,567.915,619.461,676.077,327.179,212.61,192.614,240.23,211.528,124.533,147.025,397.214,618.383,626.299,706.797,773.837,847.945,794.059,720.822,684.333,540.556,660.218,773.35,794.79,991.684,1074.36,1168.75,1175.2,1269.35,1316.5,1408.81,1408.67,1359.21,1263.43,1337.16,1441.86,1277.21,1235.48,1691.83,1560.23,1619.04,1650.35,1696.4,1745.55,2003.0
