,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
3285,268,HND,NGDP_R,Honduras,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: Central Bank Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No Primary domestic currency: Honduran lempira Data last updated: 09/2021,59.183,60.683,59.838,59.285,61.862,64.452,64.918,68.834,72.007,75.122,75.195,77.64,82.007,87.116,85.98,89.488,92.69,97.319,100.143,99.406,106.654,109.559,113.672,118.841,126.247,133.886,142.678,151.508,157.919,154.079,159.828,165.958,172.81,177.634,183.067,190.096,197.497,207.061,215.023,220.728,200.94,210.786,219.955,227.741,236.031,244.859,254.506,2019.0
3286,268,HND,NGDP_RPCH,Honduras,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",0.668,2.533,-1.391,-0.924,4.346,4.188,0.723,6.031,4.61,4.326,0.097,3.252,5.624,6.23,-1.303,4.08,3.578,4.994,2.902,-0.736,7.291,2.723,3.754,4.547,6.232,6.051,6.567,6.188,4.232,-2.432,3.731,3.836,4.129,2.792,3.058,3.84,3.893,4.843,3.845,2.653,-8.965,4.9,4.35,3.54,3.64,3.74,3.94,2019.0
3287,268,HND,NGDP,Honduras,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: Central Bank Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No Primary domestic currency: Honduran lempira Data last updated: 09/2021,7.017,7.71,7.94,8.414,9.076,9.952,10.414,11.355,12.649,14.129,17.141,22.306,25.705,31.022,39.462,51.282,61.746,75.443,86.2,92.048,106.654,118.416,129.167,142.818,161.508,183.747,206.288,233.567,262.417,275.632,299.286,335.028,361.349,376.539,414.634,460.405,495.922,543.403,575.285,614.918,585.734,642.497,695.079,748.472,806.745,870.394,940.876,2019.0
3288,268,HND,NGDPD,Honduras,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",3.508,3.855,3.97,4.207,4.538,4.976,5.207,5.678,6.324,7.065,4.169,4.195,4.675,4.794,4.693,5.415,5.217,5.736,6.366,6.417,7.187,7.651,7.858,8.23,8.869,9.757,10.917,12.361,13.882,14.587,15.839,17.71,18.529,18.5,19.757,20.98,21.718,23.136,24.068,25.09,23.828,26.325,27.923,29.559,31.287,33.164,35.226,2019.0
3289,268,HND,PPPGDP,Honduras,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",5.113,5.738,6.008,6.186,6.688,7.188,7.386,8.025,8.691,9.422,9.784,10.444,11.283,12.27,12.369,13.143,13.863,14.806,15.407,15.51,17.017,17.875,18.835,20.08,21.904,23.958,26.319,28.703,30.491,29.94,31.431,33.314,34.844,36.446,39.876,43.955,47.719,52.444,55.762,58.265,53.681,58.34,62.554,66.309,70.289,74.502,79.042,2019.0
3290,268,HND,NGDP_D,Honduras,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",11.856,12.705,13.269,14.193,14.671,15.441,16.042,16.496,17.566,18.809,22.796,28.73,31.345,35.61,45.897,57.306,66.615,77.521,86.077,92.598,100.0,108.084,113.631,120.176,127.93,137.242,144.583,154.162,166.171,178.89,187.255,201.875,209.101,211.974,226.493,242.196,251.104,262.436,267.546,278.587,291.497,304.81,316.01,328.65,341.796,355.468,369.687,2019.0
3291,268,HND,NGDPRPC,Honduras,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",16114.13,16009.89,15312.47,14714.68,14892.37,15049.45,14716.7,15149.73,15386.41,15599.61,15174.55,15227.71,15636.15,16149.23,15494.84,15674.89,15777.6,16097.25,16099.09,15539.14,16222.37,16226.32,16404.58,16723.23,17334.59,17949.64,18689.13,19402.86,19787.03,18903.58,19215.94,19569.01,19999.59,20189.11,20441.6,20860.11,21298.04,21943.98,22394.31,22591.57,20211.22,20835.54,21366.53,21740.97,22143.34,22574.92,23059.28,2019.0
3292,268,HND,NGDPRPPPPC,Honduras,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",4081.36,4054.96,3878.31,3726.91,3771.91,3811.7,3727.42,3837.1,3897.04,3951.04,3843.38,3856.85,3960.3,4090.25,3924.51,3970.11,3996.12,4077.08,4077.55,3935.72,4108.77,4109.77,4154.92,4235.63,4390.47,4546.25,4733.55,4914.32,5011.62,4787.86,4866.98,4956.4,5065.46,5113.46,5177.41,5283.41,5394.33,5557.93,5671.99,5721.95,5119.06,5277.19,5411.68,5506.51,5608.43,5717.74,5840.41,2019.0
3293,268,HND,NGDPPC,Honduras,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1910.5,2034.13,2031.75,2088.41,2184.91,2323.84,2360.92,2499.17,2702.74,2934.06,3459.2,4374.85,4901.08,5750.74,7111.6,8982.64,10510.28,12478.77,13857.65,14388.97,16222.38,17538.1,18640.74,20097.3,22176.1,24634.37,27021.21,29911.85,32880.39,33816.69,35982.82,39504.87,41819.4,42795.76,46298.85,50522.27,53480.16,57588.83,59915.06,62937.11,58915.11,63508.88,67520.31,71451.73,75685.08,80246.6,85247.07,2019.0
3294,268,HND,NGDPDPC,Honduras,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",955.25,1017.07,1015.88,1044.2,1092.45,1161.92,1180.46,1249.59,1351.37,1467.03,841.249,822.855,891.443,888.614,845.738,948.437,888.005,948.716,1023.4,1003.07,1093.11,1133.19,1134.07,1158.18,1217.82,1308.09,1430.06,1583.05,1739.36,1789.71,1904.35,2088.31,2144.34,2102.6,2206.06,2302.2,2342.02,2451.94,2506.62,2567.97,2396.69,2602.17,2712.44,2821.8,2935.21,3057.54,3191.61,2019.0
