,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
3330,532,HKG,NGDP_R,Hong Kong SAR,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office. Data retrieved from Haver Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2019 Chain-weighted: Yes, from 1980 Primary domestic currency: Hong Kong dollar Data last updated: 09/2021",545.317,595.447,612.635,649.483,714.446,719.553,799.452,906.541,983.702,1006.1,1044.64,1104.21,1173.05,1245.79,1320.99,1352.35,1409.94,1481.84,1394.67,1429.63,1539.19,1547.82,1573.46,1621.55,1762.63,1892.85,2025.97,2156.95,2202.84,2148.67,2294.09,2404.54,2445.43,2521.27,2590.92,2652.78,2710.34,2813.09,2893.16,2844.56,2671.57,2843.49,2943.51,3035.75,3122.77,3209.55,3300.73,2020.0
3331,532,HKG,NGDP_RPCH,Hong Kong SAR,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",10.34,9.193,2.887,6.015,10.002,0.715,11.104,13.395,8.512,2.277,3.831,5.702,6.235,6.201,6.036,2.374,4.258,5.1,-5.883,2.507,7.663,0.561,1.657,3.056,8.7,7.388,7.033,6.465,2.128,-2.459,6.768,4.815,1.7,3.102,2.762,2.388,2.169,3.791,2.846,-1.68,-6.081,6.435,3.518,3.133,2.867,2.779,2.841,2020.0
3332,532,HKG,NGDP,Hong Kong SAR,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office. Data retrieved from Haver Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2019 Chain-weighted: Yes, from 1980 Primary domestic currency: Hong Kong dollar Data last updated: 09/2021",143.62,173.577,196.005,217.282,261.992,278.127,320.526,394.771,466.077,536.559,599.258,691.323,807.129,931.008,1049.61,1119.01,1235.3,1373.08,1308.07,1285.95,1337.5,1321.14,1297.34,1256.67,1316.95,1412.13,1503.35,1650.76,1707.49,1659.25,1776.33,1934.43,2037.06,2138.31,2260.01,2398.28,2490.44,2659.38,2835.12,2844.56,2688.54,2866.46,3025.32,3184.08,3347.24,3519.99,3704.97,2020.0
3333,532,HKG,NGDPD,Hong Kong SAR,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",28.862,31.055,32.291,29.907,33.511,35.7,41.076,50.623,59.708,68.79,76.929,88.96,104.272,120.354,135.812,144.652,159.718,177.349,168.858,165.734,171.643,169.381,166.336,161.37,169.085,181.556,193.515,211.583,219.279,214.048,228.639,248.514,262.629,275.697,291.46,309.386,320.84,341.242,361.692,363.016,346.584,369.722,389.977,409.945,430.43,452.098,475.283,2020.0
3334,532,HKG,PPPGDP,Hong Kong SAR,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",36.082,43.126,47.112,51.902,59.154,61.461,69.66,80.945,90.932,96.65,104.107,113.765,123.613,134.389,145.545,152.124,161.506,172.67,164.341,170.835,188.093,193.41,199.678,209.842,234.222,259.414,286.226,312.965,325.754,319.779,345.525,369.685,373.483,385.448,396.044,411.294,419.811,442.388,465.849,466.217,443.141,488.654,519.767,548.808,577.409,606.345,636.493,2020.0
3335,532,HKG,NGDP_D,Hong Kong SAR,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",26.337,29.151,31.994,33.455,36.671,38.653,40.093,43.547,47.38,53.331,57.365,62.608,68.806,74.732,79.456,82.745,87.614,92.661,93.791,89.95,86.897,85.355,82.451,77.498,74.715,74.603,74.204,76.532,77.513,77.222,77.431,80.449,83.301,84.811,87.228,90.406,91.887,94.536,97.994,100.0,100.635,100.808,102.779,104.886,107.188,109.672,112.247,2020.0
3336,532,HKG,NGDPRPC,Hong Kong SAR,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",107770.14,114951.14,116470.51,121398.67,131552.05,130818.3,143639.08,161441.24,173443.47,175692.13,181613.35,189879.28,199241.12,207701.57,215872.89,215685.49,218033.74,227391.01,211846.16,215383.27,229335.77,229977.86,233944.22,239725.47,259297.56,276821.93,293435.98,310870.66,316323.18,307111.09,325305.51,338215.06,341015.9,349647.2,357225.11,362912.84,367398.57,379474.85,386455.17,378225.72,359647.43,380583.68,391699.67,401644.0,410775.27,419755.12,429191.41,2020.0
3337,532,HKG,NGDPRPPPPC,Hong Kong SAR,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",16948.01,18077.3,18316.23,19091.24,20687.97,20572.58,22588.78,25388.36,27275.84,27629.47,28560.64,29860.55,31332.8,32663.29,33948.32,33918.85,34288.14,35759.67,33315.07,33871.32,36065.5,36166.48,36790.23,37699.39,40777.31,43533.21,46145.94,48887.74,49745.2,48296.5,51157.77,53187.93,53628.4,54985.76,56177.47,57071.92,57777.35,59676.48,60774.21,59480.04,56558.4,59850.85,61598.96,63162.81,64598.8,66010.98,67494.94,2020.0
3338,532,HKG,NGDPPC,Hong Kong SAR,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",28383.39,33509.07,37263.3,40613.45,48240.99,50564.87,57589.52,70302.74,82177.34,93697.55,104182.55,118880.02,137089.65,155219.74,171524.52,178469.86,191027.9,210702.2,198692.77,193736.59,199284.96,196297.64,192890.07,185782.35,193734.5,206517.45,217741.41,237915.95,245191.34,237156.97,251886.96,272090.86,284069.03,296537.88,311600.19,328095.54,337590.38,358741.15,378702.58,378225.72,361931.53,383657.86,402586.06,421269.61,440302.09,460355.75,481754.64,2020.0
3339,532,HKG,NGDPDPC,Hong Kong SAR,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",5703.96,5995.18,6139.01,5590.16,6170.5,6490.37,7380.12,9015.2,10527.46,12012.63,13374.31,15297.58,17710.51,20065.68,22194.01,23070.54,24698.96,27214.6,25649.09,24969.01,25574.49,25166.9,24731.08,23856.48,24873.9,26551.77,28028.16,30494.55,31487.94,30593.99,32421.36,34955.15,36623.75,38233.35,40185.3,42325.35,43491.31,46032.29,48313.14,48268.22,46657.2,49485.08,51895.03,54237.7,56619.57,59126.85,61800.65,2020.0
