,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
3420,176,ISL,NGDP_R,Iceland,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1990 Primary domestic currency: Icelandic krÛna Data last updated: 09/2021",908.671,947.427,967.839,947.019,986.124,1018.6,1082.47,1174.97,1173.92,1176.95,1190.72,1188.05,1147.97,1163.05,1205.02,1206.42,1261.52,1334.33,1432.58,1490.23,1564.52,1627.31,1636.42,1671.48,1801.9,1912.25,2033.05,2204.94,2253.66,2080.94,2021.99,2059.32,2081.22,2175.97,2212.68,2310.85,2456.52,2559.57,2684.79,2750.15,2571.29,2666.32,2774.85,2876.59,2950.15,3019.81,3087.87,2020.0
3421,176,ISL,NGDP_RPCH,Iceland,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.738,4.265,2.154,-2.151,4.129,3.293,6.27,8.546,-0.09,0.258,1.169,-0.224,-3.374,1.313,3.609,0.117,4.567,5.772,7.363,4.024,4.985,4.013,0.56,2.143,7.802,6.125,6.317,8.455,2.21,-7.664,-2.833,1.846,1.064,4.552,1.687,4.437,6.304,4.195,4.892,2.435,-6.504,3.696,4.07,3.667,2.557,2.361,2.254,2020.0
3422,176,ISL,NGDP,Iceland,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1990 Primary domestic currency: Icelandic krÛna Data last updated: 09/2021",16.477,25.604,40.175,69.428,91.729,125.009,165.121,215.266,264.512,325.429,379.424,410.332,409.276,421.27,447.599,461.342,497.413,536.721,603.407,649.719,709.561,802.277,854.14,876.733,970.421,1061.43,1225.72,1386.95,1589.63,1626.39,1680.97,1765.01,1845.16,1970.15,2086.36,2310.85,2512.06,2641.96,2844.73,3047.73,2941.1,3202.59,3437.69,3615.06,3772.98,3949.69,4153.74,2020.0
3423,176,ISL,NGDPD,Iceland,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",3.434,3.544,3.253,2.795,2.894,3.012,4.017,5.566,6.149,5.705,6.51,6.955,7.112,6.232,6.399,7.131,7.48,7.57,8.504,8.982,9.026,8.235,9.318,11.429,13.825,16.853,17.465,21.653,18.075,13.154,13.751,15.222,14.752,16.125,17.868,17.517,20.793,24.728,26.267,24.858,21.718,25.476,27.172,28.17,29.529,31.047,32.596,2020.0
3424,176,ISL,PPPGDP,Iceland,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2.48,2.83,3.07,3.122,3.368,3.589,3.891,4.327,4.476,4.664,4.895,5.049,4.99,5.175,5.476,5.598,5.961,6.413,6.963,7.345,7.886,8.387,8.566,8.922,9.876,10.81,11.847,13.196,13.747,12.774,12.562,13.059,13.472,14.378,15.059,16.281,17.938,19.267,20.693,21.576,20.415,21.933,23.454,24.892,26.111,27.308,28.502,2020.0
3425,176,ISL,NGDP_D,Iceland,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",1.813,2.702,4.151,7.331,9.302,12.273,15.254,18.321,22.532,27.65,31.865,34.538,35.652,36.221,37.145,38.24,39.43,40.224,42.12,43.599,45.353,49.301,52.196,52.452,53.856,55.507,60.29,62.902,70.535,78.156,83.134,85.709,88.658,90.541,94.291,100.0,102.261,103.219,105.957,110.82,114.382,120.113,123.887,125.672,127.891,130.793,134.518,2020.0
3426,176,ISL,NGDPRPC,Iceland,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",4003875.22,4131335.5,4168449.91,4020681.26,4136147.98,4233457.87,4469249.76,4812369.36,4741937.95,4671951.33,4691832.65,4643257.98,4419904.62,4432578.51,4546138.47,4518814.28,4707916.91,4944285.11,5259463.77,5405027.71,5606613.89,5742893.34,5710257.35,5794273.95,6201242.39,6513633.56,6779293.14,7166524.74,7144059.93,6515815.61,6365875.39,6466644.9,6512458.73,6760660.79,6794212.56,7021722.88,7387376.74,7564866.45,7704936.15,7703706.82,7061375.76,7205092.7,7385212.15,7544576.25,7625198.86,7812853.77,8001621.57,2018.0
3427,176,ISL,NGDPRPPPPC,Iceland,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",30139.32,31098.78,31378.16,30265.82,31135.0,31867.51,33642.44,36225.28,35695.11,35168.28,35317.94,34952.29,33270.99,33366.39,34221.22,34015.54,35439.01,37218.28,39590.8,40686.54,42203.99,43229.84,42984.17,43616.61,46680.08,49031.61,51031.37,53946.27,53777.17,49048.04,47919.36,48677.9,49022.77,50891.12,51143.68,52856.27,55608.74,56944.8,57999.18,57989.93,53154.76,54236.59,55592.45,56792.07,57398.96,58811.54,60232.49,2018.0
3428,176,ISL,NGDPPC,Iceland,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",72603.21,111647.65,173031.16,294766.14,384743.97,519557.75,681747.74,881671.07,1068472.74,1291801.93,1495061.51,1603698.68,1575793.49,1605533.91,1688645.78,1728014.71,1856310.9,1988783.66,2215305.03,2356513.32,2542782.81,2831289.42,2980511.21,3039241.38,3339715.04,3615497.81,4087205.02,4507891.52,5039085.9,5092529.62,5292217.36,5542464.8,5773796.45,6121184.25,6406342.6,7021719.84,7554396.76,7808384.24,8163948.92,8537265.65,8076968.92,8654240.12,9149351.83,9481391.61,9751955.15,10218639.21,10763597.66,2018.0
3429,176,ISL,NGDPDPC,Iceland,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",15133.1,15454.71,14008.88,11865.27,12139.43,12517.15,16585.86,22795.64,24840.13,22646.59,25651.42,27183.02,27383.23,23749.38,24142.7,26711.55,27914.45,28048.85,31219.8,32577.64,32344.36,29061.34,32516.44,39620.41,47579.94,57405.56,58238.89,70375.33,57296.25,41188.91,43293.02,47798.81,46159.8,50100.08,54864.16,53227.63,62530.42,73085.13,75382.6,69631.27,59643.09,68843.65,72317.58,73881.65,76323.21,80325.24,84467.26,2018.0
