,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
3465,534,IND,NGDP_R,India,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office. The original data is in fiscal years, which begins in April and ends in March, to match with authorities' reporting methods. Latest actual data: FY2020/21. Latest quarterly data is as of June 2021 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: April/March Base year: FY2011/12. The base year is by Fiscal Year, which is April to March (e.g. FY2004: April 2004 - March 2005). Growth rates of real GDP calculated from 1998 to 2011 are as per national accounts with base year 2004/05, and thereafter are as per national accounts with base year 2011/12 Chain-weighted: No Primary domestic currency: Indian rupee Data last updated: 09/2021",13436.12,14243.12,14738.17,15812.42,16416.57,17279.15,18104.5,18822.41,20634.59,21861.8,23071.59,23315.39,24593.64,25761.94,27477.4,29558.71,31790.31,33077.72,35123.36,38095.83,39610.14,41568.62,43192.88,46624.11,50283.62,54952.32,60043.16,65928.23,68493.43,74301.57,81924.89,87363.3,92130.2,98013.7,105276.7,113694.9,123081.9,131445.8,140033.2,145692.7,135127.4,147960.04,160571.08,171118.6,181880.03,193129.69,204868.47,2021.0
3466,534,IND,NGDP_RPCH,India,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.281,6.006,3.476,7.289,3.821,5.254,4.777,3.965,9.628,5.947,5.534,1.057,5.482,4.75,6.659,7.575,7.55,4.05,6.184,8.463,3.975,4.944,3.907,7.944,7.849,9.285,9.264,9.801,3.891,8.48,10.26,6.638,5.456,6.386,7.41,7.996,8.256,6.795,6.533,4.042,-7.252,9.497,8.523,6.569,6.289,6.185,6.078,2021.0
3467,534,IND,NGDP,India,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office. The original data is in fiscal years, which begins in April and ends in March, to match with authorities' reporting methods. Latest actual data: FY2020/21. Latest quarterly data is as of June 2021 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: April/March Base year: FY2011/12. The base year is by Fiscal Year, which is April to March (e.g. FY2004: April 2004 - March 2005). Growth rates of real GDP calculated from 1998 to 2011 are as per national accounts with base year 2004/05, and thereafter are as per national accounts with base year 2011/12 Chain-weighted: No Primary domestic currency: Indian rupee Data last updated: 09/2021",1496.42,1758.06,1966.44,2290.21,2566.11,2895.24,3239.49,3682.11,4368.93,5019.28,5862.12,6738.75,7745.45,8913.55,10455.91,12267.25,14192.77,15723.94,18033.78,20231.3,21774.13,23558.45,25363.27,28415.03,32422.1,36933.69,42947.06,49870.9,56300.6,64778.3,77841.2,87363.3,99440.1,112335.2,124679.6,137718.7,153916.7,170900.4,188869.6,203510.1,197456.7,224610.24,256452.46,286110.23,318281.06,353708.97,392839.83,2021.0
3468,534,IND,NGDPD,India,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",189.438,196.535,203.537,222.049,215.556,237.618,252.751,283.75,299.645,301.234,326.608,274.842,293.262,284.194,333.014,366.6,399.791,423.189,428.767,466.841,476.636,493.934,523.768,618.369,721.589,834.218,949.118,1238.7,1224.1,1365.37,1708.46,1823.05,1827.64,1856.72,2039.13,2103.59,2294.12,2651.47,2701.11,2870.5,2660.24,2946.06,3250.08,3515.19,3791.01,4084.69,4393.81,2021.0
3469,534,IND,PPPGDP,India,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",371.871,431.502,474.089,528.563,568.564,617.36,659.873,703.008,797.869,878.47,961.777,1004.81,1084.05,1162.46,1266.36,1390.84,1523.24,1612.25,1731.23,1904.2,2024.75,2172.73,2292.81,2523.8,2794.96,3150.25,3548.31,4001.38,4236.79,4625.52,5161.39,5618.38,6153.15,6477.52,6781.02,7159.8,7735.0,8276.93,9028.31,9561.23,8974.74,10181.17,11353.04,12386.68,13465.75,14609.24,15818.35,2021.0
3470,534,IND,NGDP_D,India,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",11.137,12.343,13.342,14.484,15.631,16.756,17.893,19.562,21.173,22.959,25.408,28.903,31.494,34.6,38.053,41.501,44.645,47.536,51.344,53.106,54.971,56.674,58.721,60.945,64.478,67.21,71.527,75.644,82.199,87.183,95.015,100.0,107.934,114.612,118.43,121.13,125.052,130.016,134.875,139.684,146.126,151.805,159.713,167.2,174.995,183.146,191.752,2021.0
3471,534,IND,NGDPRPC,India,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",19223.21,19909.73,20127.53,21099.29,21408.26,22029.61,22574.88,22963.06,24639.23,25559.35,26419.53,26159.64,27046.58,27778.56,29058.11,30665.03,32360.99,33047.98,34452.11,36699.13,37489.16,38668.48,39506.27,41946.14,44513.62,47884.14,51517.69,55719.83,57046.02,61016.65,66374.58,69874.5,72785.16,76522.62,81256.84,86779.9,92926.39,98192.16,103527.58,106531.51,98018.19,106294.19,114269.58,120658.49,127100.51,133789.31,140723.7,2013.0
3472,534,IND,NGDPRPPPPC,India,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",1210.46,1253.68,1267.4,1328.59,1348.04,1387.17,1421.51,1445.95,1551.49,1609.43,1663.6,1647.23,1703.08,1749.17,1829.74,1930.93,2037.72,2080.98,2169.4,2310.89,2360.63,2434.89,2487.65,2641.28,2802.95,3015.19,3243.99,3508.59,3592.1,3842.12,4179.5,4399.89,4583.17,4818.51,5116.61,5464.39,5851.43,6183.0,6518.97,6708.12,6172.05,6693.18,7195.37,7597.67,8003.32,8424.5,8861.15,2013.0
3473,534,IND,NGDPPC,India,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2140.94,2457.49,2685.51,3055.95,3346.37,3691.21,4039.39,4492.12,5216.82,5868.21,6712.78,7560.81,8517.97,9611.29,11057.41,12726.38,14447.55,15709.8,17689.13,19489.56,20608.21,21914.84,23198.45,25564.04,28701.69,32183.14,36849.05,42148.83,46891.0,53196.11,63066.02,69874.5,78560.16,87703.9,96232.79,105116.55,116206.56,127665.39,139632.69,148807.99,143230.37,161359.54,182503.06,201740.94,222419.61,245029.54,269840.81,2013.0
3474,534,IND,NGDPDPC,India,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",271.031,274.726,277.965,296.291,281.099,302.945,315.161,346.171,357.799,352.182,374.002,308.37,322.512,306.44,352.172,380.321,406.968,422.809,420.573,449.725,451.114,459.473,479.063,556.326,638.787,726.918,814.353,1046.9,1019.51,1121.25,1384.17,1458.11,1443.88,1449.61,1573.88,1605.61,1732.05,1980.69,1996.95,2098.93,1929.68,2116.44,2312.9,2478.62,2649.21,2829.65,3018.1,2013.0
