,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
3645,178,IRL,NGDP_R,Ireland,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office. Central Statistical Office of Ireland (CSO) Latest actual data: 2020 Notes: Prior to 1995 Real GDP is calculated using implied growth rates and excludes services produced by financial intermediaries (FISIM). National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2017. Base year changes every year. Due to chain-linking, the base equals to 100.1 instead of 100. Chain-weighted: Yes, from 1995 Primary domestic currency: Euro Data last updated: 09/2021",57.863,59.317,60.204,59.764,61.679,62.881,63.147,65.446,67.408,71.193,76.682,77.941,80.731,82.599,87.467,95.858,104.573,115.812,125.955,139.209,152.293,160.372,169.828,174.939,186.811,197.526,207.364,218.366,208.569,197.931,201.404,203.556,203.45,206.028,223.98,280.371,286.096,311.673,339.817,356.527,377.444,426.647,441.741,459.116,472.442,486.112,500.005,2020.0
3646,178,IRL,NGDP_RPCH,Ireland,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.898,2.512,1.495,-0.729,3.204,1.947,0.424,3.641,2.998,5.614,7.711,1.642,3.579,2.314,5.894,9.593,9.092,10.747,8.758,10.523,9.399,5.305,5.896,3.01,6.786,5.736,4.981,5.306,-4.487,-5.1,1.755,1.068,-0.052,1.267,8.713,25.177,2.042,8.94,9.03,4.917,5.867,13.036,3.538,3.933,2.903,2.893,2.858,2020.0
3647,178,IRL,NGDP,Ireland,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office. Central Statistical Office of Ireland (CSO) Latest actual data: 2020 Notes: Prior to 1995 Real GDP is calculated using implied growth rates and excludes services produced by financial intermediaries (FISIM). National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2017. Base year changes every year. Due to chain-linking, the base equals to 100.1 instead of 100. Chain-weighted: Yes, from 1995 Primary domestic currency: Euro Data last updated: 09/2021",13.219,16.04,19.028,20.973,23.228,25.232,26.877,28.724,30.684,34.037,36.905,38.399,40.898,44.049,47.345,54.839,60.235,69.4,80.431,92.791,108.496,122.089,135.998,145.577,156.259,170.306,184.916,197.07,187.283,169.519,167.363,171.685,175.513,179.411,194.934,262.801,270.058,296.925,326.042,356.525,372.869,432.248,455.887,481.612,506.402,533.11,562.332,2020.0
3648,178,IRL,NGDPD,Ireland,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",21.425,20.423,21.313,20.618,19.883,21.168,28.516,33.66,36.875,38.03,48.199,48.84,54.911,51.364,55.843,69.26,75.928,82.957,90.305,98.993,100.253,109.347,128.505,164.63,194.283,211.993,232.193,270.112,275.417,236.185,222.057,238.936,225.64,238.282,259.037,291.611,298.846,335.312,385.215,399.165,425.549,516.253,550.518,590.053,628.034,668.344,710.49,2020.0
3649,178,IRL,PPPGDP,Ireland,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",25.259,28.344,30.545,31.509,33.693,35.435,36.302,38.554,41.11,45.121,50.418,52.979,56.126,58.786,63.58,71.141,79.03,89.032,97.92,109.749,122.784,132.21,142.188,149.358,163.775,178.6,193.28,209.036,203.486,194.345,200.132,206.473,213.241,221.16,238.003,324.658,339.965,375.332,419.001,447.468,479.43,561.456,597.32,635.586,668.941,703.249,738.338,2020.0
3650,178,IRL,NGDP_D,Ireland,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",22.845,27.041,31.607,35.094,37.658,40.126,42.562,43.889,45.52,47.81,48.127,49.266,50.66,53.329,54.129,57.209,57.6,59.925,63.857,66.656,71.242,76.129,80.08,83.216,83.646,86.22,89.175,90.248,89.794,85.646,83.098,84.343,86.268,87.081,87.032,93.733,94.394,95.268,95.946,99.999,98.788,101.313,103.202,104.9,107.188,109.668,112.465,2020.0
3651,178,IRL,NGDPRPC,Ireland,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",16885.31,17096.37,17169.39,16927.41,17346.08,17628.94,17700.67,18314.6,18948.09,20132.76,21708.0,21939.8,22541.0,22936.14,24208.03,26416.88,28621.55,31367.13,33756.87,36891.22,39779.39,41241.79,42927.16,43503.85,45566.77,47031.79,47992.48,49128.2,46186.71,43530.31,44090.87,44399.85,44181.97,44493.4,47988.07,59476.87,59960.72,64587.81,69546.56,72019.4,75573.75,84621.49,86790.83,89355.6,91083.89,92837.44,94592.18,2020.0
3652,178,IRL,NGDPRPPPPC,Ireland,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",20334.15,20588.31,20676.25,20384.84,20889.02,21229.66,21316.04,22055.37,22818.25,24244.89,26141.87,26421.01,27145.02,27620.86,29152.53,31812.54,34467.51,37773.89,40651.74,44426.27,47904.35,49665.45,51695.06,52389.54,54873.81,56638.06,57794.98,59162.66,55620.37,52421.4,53096.46,53468.55,53206.16,53581.2,57789.66,71625.06,72207.74,77779.91,83751.48,86729.41,91009.73,101905.47,104517.91,107606.54,109687.83,111799.54,113912.69,2020.0
3653,178,IRL,NGDPPC,Ireland,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",3857.51,4623.09,5426.71,5940.44,6532.27,7073.82,7533.75,8038.1,8625.08,9625.53,10447.32,10808.94,11419.33,12231.57,13103.61,15112.74,16486.13,18796.66,21556.11,24590.17,28339.48,31396.81,34376.0,36202.11,38114.55,40550.59,42797.1,44337.0,41473.01,37281.75,36638.7,37448.11,38115.06,38745.24,41764.92,55749.64,56599.44,61531.59,66727.38,72019.0,74657.72,85732.49,89570.09,93733.84,97631.16,101813.16,106383.2,2020.0
3654,178,IRL,NGDPDPC,Ireland,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",6252.21,5886.37,6078.14,5839.83,5591.81,5934.55,7993.15,9419.51,10365.28,10754.62,13644.79,13748.2,15331.89,14262.8,15455.35,19086.8,20781.39,22468.61,24202.5,26233.64,26186.26,28120.1,32482.08,40940.14,47389.26,50476.48,53738.84,60770.05,60989.98,51943.47,48612.2,52116.93,49000.81,51459.0,55499.03,61861.2,62632.81,69486.55,78837.74,80632.33,85205.5,102394.02,108162.69,114839.26,121081.09,127640.06,134412.12,2020.0
