,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
3555,429,IRN,NGDP_R,Islamic Republic of Iran,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: Central Bank. The accuracy of data before 1990, the time of the Iran-Iraq war, cannot be verified. Latest actual data: FY2020/21. the fiscal year data are mapped to calendar year as follows: FY(t/t+1) = CY(t) Notes: GDP in current prices in U.S. dollars is calculated by using the official exchange rate of the Central Bank of Iran (CBI), except for the years 2011- 2015 when the applicable exchange rate is a weighted average of the CBI official exchange rate and the parallel market exchange rate. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: April/March. Iranian year, starts March 21 and ends March 20 Base year: FY2011/12. 2011/12=100 Chain-weighted: No Primary domestic currency: Iranian rial Data last updated: 08/2021",2723745.7,2490648.77,2816627.29,3204648.58,2887918.16,2828301.1,2572717.48,2649137.16,2397660.61,2522449.09,2978510.9,3299414.46,3368948.34,3411281.61,3360472.35,3394842.32,3605843.71,3586017.96,3654514.95,3665793.41,3917516.69,3949094.24,4354007.12,4755695.64,4963599.29,5121928.38,5378014.31,5816632.98,5831224.38,5889967.29,6231463.96,6396330.92,5920152.42,5908662.97,6180663.48,6099038.85,6916081.0,7175793.0,6743381.71,6285896.23,6498877.0,6658888.45,6791739.01,6927330.37,7065785.94,7206701.64,7350531.49,2021.0
3556,429,IRN,NGDP_RPCH,Islamic Republic of Iran,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-18.844,-8.558,13.088,13.776,-9.883,-2.064,-9.037,2.97,-9.493,5.205,18.08,10.774,2.107,1.257,-1.489,1.023,6.215,-0.55,1.91,0.309,6.867,0.806,10.253,9.226,4.372,3.19,5.0,8.156,0.251,1.007,5.798,2.646,-7.445,-0.194,4.603,-1.321,13.396,3.755,-6.026,-6.784,3.388,2.462,1.995,1.996,1.999,1.994,1.996,2021.0
3557,429,IRN,NGDP,Islamic Republic of Iran,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: Central Bank. The accuracy of data before 1990, the time of the Iran-Iraq war, cannot be verified. Latest actual data: FY2020/21. the fiscal year data are mapped to calendar year as follows: FY(t/t+1) = CY(t) Notes: GDP in current prices in U.S. dollars is calculated by using the official exchange rate of the Central Bank of Iran (CBI), except for the years 2011- 2015 when the applicable exchange rate is a weighted average of the CBI official exchange rate and the parallel market exchange rate. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: April/March. Iranian year, starts March 21 and ends March 20 Base year: FY2011/12. 2011/12=100 Chain-weighted: No Primary domestic currency: Iranian rial Data last updated: 08/2021",7743.43,8997.32,10838.14,14282.04,15934.34,15687.72,16007.83,19772.1,21423.7,26649.52,39241.34,54463.57,73656.9,109043.94,144259.41,206155.83,283941.74,326140.22,361023.29,480206.15,636568.12,717494.55,1028572.56,1259406.34,1637031.79,2029907.4,2442212.16,3247304.0,3887723.3,4107466.17,5035812.31,6396330.92,7341942.7,9933967.85,11517487.62,11414166.95,13151261.0,15316529.6,19128841.0,24412571.0,35084725.0,51048407.75,65913804.86,83632775.85,106229818.6,135041250.71,171803119.51,2021.0
3558,429,IRN,NGDPD,Islamic Republic of Iran,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",107.697,111.884,128.136,163.488,172.871,180.301,210.514,283.81,307.885,369.961,588.399,299.168,50.109,65.37,82.434,117.803,161.829,185.835,205.711,273.622,362.717,316.205,129.15,151.897,187.546,224.764,265.479,350.068,405.568,414.013,486.774,580.113,392.295,400.087,433.088,385.023,418.064,445.528,456.59,581.252,835.351,1081.38,1136.68,1189.1,1244.88,1303.4,1364.21,2021.0
3559,429,IRN,PPPGDP,Islamic Republic of Iran,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",246.32,246.549,296.046,350.02,326.81,330.184,306.394,323.298,302.927,331.19,405.705,464.615,485.218,502.959,506.051,521.946,564.538,571.115,588.575,598.71,654.318,674.452,755.196,841.148,901.487,959.415,1038.47,1153.52,1178.59,1198.09,1282.79,1344.09,1204.87,1168.17,1180.25,1066.59,1114.82,1172.67,1128.33,1070.59,1120.21,1189.15,1246.26,1301.38,1357.65,1414.81,1472.94,2021.0
3560,429,IRN,NGDP_D,Islamic Republic of Iran,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",0.284,0.361,0.385,0.446,0.552,0.555,0.622,0.746,0.894,1.056,1.317,1.651,2.186,3.197,4.293,6.073,7.874,9.095,9.879,13.1,16.249,18.169,23.624,26.482,32.981,39.632,45.411,55.828,66.671,69.737,80.813,100.0,124.016,168.125,186.347,187.147,190.155,213.447,283.668,388.371,539.858,766.621,970.5,1207.29,1503.44,1873.83,2337.29,2021.0
3561,429,IRN,NGDPRPC,Islamic Republic of Iran,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",69322381.77,61006436.45,66398568.88,72705687.37,63057735.18,59434322.48,52031903.8,52290417.96,46189689.91,47426045.68,54655587.56,59090109.69,59463222.51,59339020.41,57610401.76,57357904.97,60042356.41,58719796.25,58846029.1,58047146.64,61002455.51,60475249.14,65671299.01,70648379.17,72625638.84,73813638.55,76288219.36,81504031.03,80690895.38,80467991.47,84030237.85,85114523.66,77857813.4,76793727.36,78764444.9,76740339.35,85956563.49,88130132.66,81877840.24,75492652.73,77239504.42,78357672.41,79129678.65,79910332.87,80700484.55,81494975.74,82298450.91,2019.0
3562,429,IRN,NGDPRPPPPC,Islamic Republic of Iran,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",11328.64,9969.65,10850.83,11881.54,10304.87,9712.74,8503.04,8545.28,7548.3,7750.35,8931.8,9656.48,9717.46,9697.16,9414.67,9373.41,9812.1,9595.97,9616.6,9486.04,9969.0,9882.84,10731.98,11545.33,11868.46,12062.6,12466.99,13319.36,13186.48,13150.05,13732.19,13909.38,12723.5,12549.6,12871.66,12540.88,14046.99,14402.19,13380.45,12336.98,12622.45,12805.18,12931.34,13058.92,13188.04,13317.88,13449.18,2019.0
3563,429,IRN,NGDPPC,Islamic Republic of Iran,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",197079.02,220382.19,255495.93,324024.84,347926.6,329663.99,323750.21,390274.79,412716.42,501053.29,720077.48,975402.79,1300072.4,1896812.17,2473117.3,3483126.94,4728028.34,5340432.57,5813298.74,7603973.66,9912457.67,10987497.11,15513914.89,18709148.6,23952473.29,29253601.42,34643272.82,45501988.29,53797256.56,56115685.63,67907077.51,85114523.67,96556231.09,129109821.09,146775264.94,143617226.82,163450543.89,188111304.99,232261534.99,293191245.49,416983853.01,600706025.13,767953272.7,964747254.82,1213282981.64,1527076324.06,1923552144.04,2019.0
3564,429,IRN,NGDPDPC,Islamic Republic of Iran,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2741.02,2740.5,3020.64,3709.15,3774.63,3788.88,4257.54,5602.03,5931.25,6955.85,10797.11,5357.88,884.443,1137.1,1413.21,1990.36,2694.67,3042.98,3312.42,4332.75,5648.12,4842.26,1947.97,2256.51,2744.11,3239.14,3765.88,4905.24,5612.15,5656.19,6564.06,7719.43,5159.2,5199.85,5519.14,4844.5,5195.91,5471.79,5543.9,6980.74,9928.19,12725.04,13243.34,13716.84,14218.14,14739.1,15274.04,2019.0
