,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
3690,436,ISR,NGDP_R,Israel,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995 Primary domestic currency: Israeli new shekel Data last updated: 09/2021",274.151,287.1,291.19,298.719,305.322,318.912,330.235,354.971,367.621,372.839,397.569,415.927,445.686,462.494,494.919,542.698,575.401,597.983,623.085,645.329,702.712,703.435,702.061,710.131,745.037,776.018,820.848,870.936,901.064,911.363,963.17,1016.55,1045.25,1095.18,1140.36,1166.36,1218.41,1271.74,1322.39,1372.3,1342.75,1437.55,1496.08,1549.43,1599.8,1650.78,1703.69,2020.0
3691,436,ISR,NGDP_RPCH,Israel,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.568,4.723,1.424,2.586,2.21,4.451,3.551,7.49,3.564,1.419,6.633,4.618,7.155,3.771,7.011,9.654,6.026,3.925,4.198,3.57,8.892,0.103,-0.195,1.149,4.915,4.158,5.777,6.102,3.459,1.143,5.685,5.542,2.823,4.777,4.125,2.28,4.463,4.377,3.983,3.774,-2.153,7.06,4.071,3.567,3.251,3.186,3.206,2020.0
3692,436,ISR,NGDP,Israel,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995 Primary domestic currency: Israeli new shekel Data last updated: 09/2021",0.122,0.289,0.659,1.701,8.401,31.391,48.774,62.437,77.553,94.576,117.409,150.554,181.519,209.961,255.0,302.952,351.661,395.831,440.808,485.033,540.061,550.174,573.977,578.583,607.63,640.201,686.842,736.015,777.561,817.735,877.368,938.521,996.437,1062.17,1112.54,1166.35,1225.24,1278.84,1341.58,1418.45,1401.41,1518.36,1615.2,1704.34,1792.43,1883.21,1979.08,2020.0
3693,436,ISR,NGDPD,Israel,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",23.896,25.32,27.136,30.264,28.65,26.628,32.782,39.154,48.503,49.35,58.234,66.058,73.816,74.189,84.688,100.605,110.182,114.755,116.0,117.166,132.454,130.818,121.148,127.046,135.572,142.657,154.145,179.163,216.71,207.951,234.655,262.294,258.417,294.167,310.945,300.078,319.025,355.277,373.641,397.935,407.101,467.532,501.409,529.324,556.716,584.148,611.862,2020.0
3694,436,ISR,PPPGDP,Israel,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",27.613,31.653,34.088,36.339,38.483,41.467,43.803,48.249,51.731,54.522,60.314,65.233,71.494,75.948,83.009,92.931,100.335,106.071,111.768,117.389,130.723,133.806,135.626,139.892,150.708,161.898,176.535,192.369,202.84,206.474,220.833,237.916,251.921,276.637,282.342,297.227,323.49,341.474,363.558,384.027,380.286,421.807,451.062,478.265,505.068,532.481,560.939,2020.0
3695,436,ISR,NGDP_D,Israel,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",0.045,0.101,0.226,0.57,2.751,9.843,14.769,17.589,21.096,25.366,29.532,36.197,40.728,45.398,51.524,55.823,61.116,66.194,70.746,75.161,76.854,78.212,81.756,81.476,81.557,82.498,83.675,84.509,86.294,89.727,91.092,92.324,95.33,96.985,97.56,100.0,100.56,100.559,101.451,103.363,104.369,105.621,107.962,109.998,112.041,114.08,116.164,2020.0
3696,436,ISR,NGDPRPC,Israel,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",69944.74,72727.36,72462.63,72790.37,73451.19,75381.04,76862.73,81294.33,82811.64,82564.92,85358.69,84087.31,86988.14,87943.79,91743.5,97930.02,101270.45,102683.73,104416.57,105490.73,111792.23,109291.41,106914.47,106195.36,109465.4,112029.89,116404.96,121364.51,123323.05,121806.59,126386.72,130947.49,132189.12,135945.55,138863.71,139237.59,142613.57,146013.36,148927.36,151617.61,145723.36,153246.91,156659.11,159370.68,161635.14,163828.85,166083.83,2020.0
3697,436,ISR,NGDPRPPPPC,Israel,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",18780.87,19528.03,19456.95,19544.95,19722.39,20240.57,20638.42,21828.35,22235.76,22169.51,22919.67,22578.29,23357.19,23613.8,24634.05,26295.2,27192.14,27571.62,28036.9,28325.33,30017.34,29345.84,28707.61,28514.52,29392.56,30081.16,31255.91,32587.6,33113.48,32706.3,33936.11,35160.72,35494.11,36502.75,37286.31,37386.7,38293.18,39206.06,39988.5,40710.86,39128.19,41148.34,42064.55,42792.64,43400.67,43989.7,44595.18,2020.0
3698,436,ISR,NGDPPC,Israel,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",31.241,73.315,163.87,414.553,2020.92,7419.86,11352.21,14299.1,17469.83,20943.78,25207.99,30437.34,35428.54,39924.37,47269.51,54667.78,61892.26,67970.84,73870.6,79287.44,85916.6,85479.52,87409.0,86523.23,89276.72,92422.66,97401.49,102563.33,106419.96,109292.91,115127.82,120895.78,126016.15,131847.26,135476.01,139237.47,143412.9,146829.23,151088.3,156716.8,152089.51,161861.66,169133.01,175304.41,181096.93,186896.12,192929.5,2020.0
3699,436,ISR,NGDPDPC,Israel,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",6096.71,6413.92,6752.81,7374.49,6892.4,6294.15,7629.98,8966.97,10925.93,10928.61,12502.88,13354.94,14407.21,14107.14,15698.65,18154.26,19391.93,19705.4,19439.25,19152.87,21071.76,20324.93,18449.18,18998.84,19919.02,20594.66,21859.44,24966.23,29659.79,27793.38,30791.28,33787.43,32681.2,36515.12,37864.41,35822.86,37341.6,40790.93,42079.34,43965.66,44181.17,49840.25,52504.19,54444.87,56247.48,57972.97,59647.13,2020.0
3700,436,ISR,PPPPC,Israel,"Gross domestic product per capita, current prices","Expressed in GDP in PPP dollars per person. Data are derived by dividing GDP in PPP dollars by total population. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",7045.06,8018.37,8482.83,8854.89,9257.77,9801.42,10195.31,11049.85,11653.0,12073.89,12949.57,13188.13,13954.01,14441.65,15387.42,16769.44,17658.99,18214.17,18730.02,19189.33,20796.32,20789.15,20653.98,20919.96,22143.01,23372.43,25034.54,26806.54,27761.48,27595.85,28977.67,30647.16,31859.6,34339.1,34381.4,35482.43,37864.23,39206.06,40943.75,42429.06,41271.02,44965.83,47232.23,49193.09,51029.24,52845.36,54682.87,2020.0
3702,436,ISR,PPPSH,Israel,Gross domestic product based on purchasing-power-parity (PPP) share of world total,"Expressed in percent of world GDP in PPP dollars. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.206,0.212,0.215,0.215,0.211,0.213,0.213,0.22,0.218,0.214,0.219,0.224,0.216,0.219,0.228,0.241,0.246,0.246,0.25,0.25,0.26,0.254,0.246,0.24,0.239,0.237,0.238,0.24,0.241,0.245,0.246,0.25,0.251,0.263,0.259,0.267,0.28,0.281,0.282,0.285,0.288,0.292,0.289,0.289,0.289,0.289,0.289,2020.0
3703,436,ISR,PPPEX,Israel,Implied PPP conversion rate,"Expressed in national currency per current international dollar. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",0.004,0.009,0.019,0.047,0.218,0.757,1.113,1.294,1.499,1.735,1.947,2.308,2.539,2.765,3.072,3.26,3.505,3.732,3.944,4.132,4.131,4.112,4.232,4.136,4.032,3.954,3.891,3.826,3.833,3.96,3.973,3.945,3.955,3.84,3.94,3.924,3.788,3.745,3.69,3.694,3.685,3.6,3.581,3.564,3.549,3.537,3.528,2020.0
3704,436,ISR,NID_NGDP,Israel,Total investment,Expressed as a ratio of total investment in current local currency and GDP in current local currency. Investment or gross capital formation is measured by the total value of the gross fixed capital formation and changes in inventories and acquisitions less disposals of valuables for a unit or sector. [SNA 1993],Percent of GDP,,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995 Primary domestic currency: Israeli new shekel Data last updated: 09/2021",20.899,19.63,22.202,23.099,21.107,17.882,18.334,18.277,18.088,17.447,19.501,25.381,25.369,25.61,24.941,26.097,26.135,25.039,23.311,23.721,22.972,22.601,20.877,19.648,19.869,20.684,20.666,21.507,20.394,18.515,18.919,21.083,21.375,20.134,20.541,19.829,20.973,21.123,21.907,21.313,22.117,22.031,22.002,21.979,22.032,22.093,22.138,2020.0
