,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
3780,343,JAM,NGDP_R,Jamaica,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2007. Base year was changed from 2003 to 2007 for the Spring 2012 WEO round. Chain-weighted: No Primary domestic currency: Jamaican dollar Data last updated: 09/2021,455.278,475.401,490.041,510.392,515.239,510.602,546.344,588.412,564.92,591.471,620.306,625.48,642.854,657.065,669.384,686.261,687.879,676.591,668.405,674.961,680.201,688.912,693.561,718.991,728.51,735.02,756.329,767.252,760.975,735.021,724.471,734.8,731.12,732.757,736.968,743.373,754.511,759.636,773.518,781.023,702.54,734.688,754.422,772.557,788.422,802.66,815.647,2020.0
3781,343,JAM,NGDP_RPCH,Jamaica,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-4.041,4.42,3.08,4.153,0.95,-0.9,7.0,7.7,-3.993,4.7,4.875,0.834,2.778,2.211,1.875,2.521,0.236,-1.641,-1.21,0.981,0.776,1.281,0.675,3.667,1.324,0.894,2.899,1.444,-0.818,-3.411,-1.435,1.426,-0.501,0.224,0.575,0.869,1.498,0.679,1.827,0.97,-10.049,4.576,2.686,2.404,2.054,1.806,1.618,2020.0
3782,343,JAM,NGDP,Jamaica,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2007. Base year was changed from 2003 to 2007 for the Spring 2012 WEO round. Chain-weighted: No Primary domestic currency: Jamaican dollar Data last updated: 09/2021,4.565,5.015,5.758,7.102,9.239,11.261,13.03,14.696,17.514,21.046,33.577,51.847,99.548,135.722,180.403,231.148,274.458,297.398,321.172,346.982,387.089,422.922,470.554,544.51,622.66,700.275,784.336,885.632,997.444,1065.32,1152.78,1240.7,1314.13,1432.1,1541.9,1659.68,1760.98,1895.03,2027.25,2110.43,1978.62,2193.32,2398.62,2592.36,2781.58,2974.54,3175.01,2020.0
3783,343,JAM,NGDPD,Jamaica,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2.565,2.817,3.235,2.875,2.119,1.993,2.369,2.672,3.184,3.692,4.663,4.285,4.328,5.44,5.453,6.549,7.394,8.4,8.787,8.887,9.065,9.195,9.719,9.43,10.175,11.233,11.946,12.881,13.743,12.107,13.193,14.413,14.765,14.213,13.865,14.154,14.108,14.755,15.648,15.808,13.967,14.857,15.63,16.291,16.989,17.706,18.413,2020.0
3784,343,JAM,PPPGDP,Jamaica,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",6.149,7.028,7.692,8.325,8.708,8.902,9.717,10.724,10.659,11.598,12.618,13.154,13.827,14.468,15.054,15.757,16.083,16.092,16.077,16.463,16.967,17.571,17.965,18.992,19.76,20.561,21.81,22.723,22.97,22.328,22.272,23.059,23.269,24.136,24.568,25.418,26.72,28.04,29.235,30.047,27.353,29.636,31.269,32.783,34.219,35.593,36.919,2020.0
3785,343,JAM,NGDP_D,Jamaica,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",1.003,1.055,1.175,1.391,1.793,2.205,2.385,2.498,3.1,3.558,5.413,8.289,15.485,20.656,26.951,33.682,39.899,43.955,48.051,51.408,56.908,61.39,67.846,75.733,85.47,95.273,103.703,115.429,131.074,144.937,159.12,168.849,179.741,195.439,209.223,223.263,233.393,249.465,262.082,270.214,281.639,298.537,317.942,335.556,352.803,370.585,389.262,2020.0
3786,343,JAM,NGDPRPC,Jamaica,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",215563.5,221129.39,224127.43,228854.92,230508.96,225021.5,238627.69,255145.97,243523.0,254471.28,262262.45,262717.71,268005.18,271678.1,274355.83,278735.68,276786.86,269618.43,263761.45,263803.07,263417.24,264463.06,264720.36,273441.64,276068.19,277541.57,284573.85,287661.75,284299.57,273638.22,268766.26,271855.85,269785.58,270053.12,271377.42,273352.16,277224.15,278675.31,283238.04,285660.83,256663.22,268102.92,274990.75,281280.99,286730.82,291576.73,295957.4,2019.0
3787,343,JAM,NGDPRPPPPC,Jamaica,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",7957.1,8162.55,8273.22,8447.72,8508.78,8306.22,8808.47,9418.2,8989.17,9393.3,9680.9,9697.7,9892.88,10028.46,10127.3,10288.97,10217.03,9952.43,9736.23,9737.76,9723.52,9762.13,9771.62,10093.55,10190.51,10244.89,10504.48,10618.46,10494.35,10100.81,9920.97,10035.02,9958.6,9968.47,10017.36,10090.25,10233.18,10286.74,10455.17,10544.6,9474.21,9896.48,10150.74,10382.93,10584.1,10762.97,10924.68,2019.0
3788,343,JAM,NGDPPC,Jamaica,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2161.6,2332.7,2633.53,3184.4,4133.28,4962.73,5691.24,6372.28,7550.03,9054.78,14196.21,21777.26,41501.45,56117.28,73940.54,93884.33,110435.65,118511.75,126738.72,135615.12,149905.57,162353.46,179602.41,207084.24,235956.43,264421.95,295111.67,332045.34,372644.18,396602.52,427661.51,459026.09,484916.26,527790.24,567782.68,610294.29,647021.46,695197.0,742315.77,771895.39,722862.7,800386.17,874310.58,943854.64,1011595.93,1080538.59,1152050.01,2019.0
3789,343,JAM,NGDPDPC,Jamaica,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1214.38,1310.5,1479.51,1289.23,948.0,878.359,1034.77,1158.6,1372.73,1588.56,1971.7,1799.77,1804.41,2249.32,2234.8,2660.15,2975.13,3347.37,3467.54,3473.44,3510.58,3529.71,3709.57,3586.44,3855.67,4241.4,4494.63,4829.3,5134.25,4507.19,4894.37,5332.52,5448.46,5238.15,5105.51,5204.83,5183.46,5413.03,5729.76,5781.79,5102.76,5421.64,5697.35,5931.29,6178.47,6431.85,6681.14,2019.0
