,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
3825,158,JPN,NGDP_R,Japan,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: Cabinet Office of Japan via Haver database. Latest actual data: 2020 Notes: the recent revision didn't go back pre-1994 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1980 Primary domestic currency: Japanese yen Data last updated: 09/2021",273862.7,285390.6,294844.0,305231.2,318973.0,335666.0,346832.1,363239.5,387885.4,406729.0,426629.2,441209.1,444950.7,442646.4,446522.3,458270.2,472631.9,477269.5,471206.6,469633.0,482616.8,484480.3,484683.4,492124.1,502882.4,511953.9,518979.7,526681.2,520233.1,490615.0,510720.0,510841.6,517864.3,528248.1,529812.7,538081.3,542137.5,551220.0,554300.4,554381.7,528960.5,541433.13,558750.93,566401.42,571081.6,574331.23,577164.42,2020.0
3826,158,JPN,NGDP_RPCH,Japan,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.181,4.209,3.312,3.523,4.502,5.233,3.327,4.731,6.785,4.858,4.893,3.417,0.848,-0.518,0.876,2.631,3.134,0.981,-1.27,-0.334,2.765,0.386,0.042,1.535,2.186,1.804,1.372,1.484,-1.224,-5.693,4.098,0.024,1.375,2.005,0.296,1.561,0.754,1.675,0.559,0.015,-4.586,2.358,3.199,1.369,0.826,0.569,0.493,2020.0
3827,158,JPN,NGDP,Japan,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: Cabinet Office of Japan via Haver database. Latest actual data: 2020 Notes: the recent revision didn't go back pre-1994 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1980 Primary domestic currency: Japanese yen Data last updated: 09/2021",255735.5,274300.3,288331.3,301312.0,319516.3,340475.1,357472.7,373792.4,401650.3,430044.5,462837.3,492669.1,505127.8,505367.9,510916.1,521613.7,535562.0,543545.3,536497.3,528069.8,535417.7,531653.9,524478.7,523968.6,529400.8,532515.5,535170.2,539281.6,527823.8,494938.4,505530.6,497448.9,500474.8,508700.6,518811.1,538032.3,544364.6,553073.0,556189.6,559862.3,538688.5,553490.24,574325.95,584847.55,591603.18,597827.85,603342.88,2020.0
3828,158,JPN,NGDPD,Japan,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1127.88,1243.79,1157.6,1268.62,1345.2,1427.35,2121.25,2584.34,3134.18,3117.07,3196.56,3657.35,3988.33,4544.77,4998.8,5545.57,4923.39,4492.45,4098.36,4635.98,4968.36,4374.71,4182.85,4519.56,4893.14,4831.47,4601.66,4579.75,5106.68,5289.49,5759.07,6233.15,6272.36,5212.33,4897.0,4444.93,5003.68,4930.84,5036.89,5135.9,5045.1,5103.11,5383.68,5735.34,5958.65,6161.84,6344.45,2020.0
3829,158,JPN,PPPGDP,Japan,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1068.09,1218.35,1336.49,1437.75,1556.71,1689.97,1781.35,1911.77,2113.47,2303.05,2506.13,2679.43,2763.74,2814.58,2899.88,3038.57,3191.18,3278.06,3272.85,3307.88,3476.34,3568.39,3625.53,3753.84,3938.87,4135.67,4321.79,4504.46,4534.63,4303.87,4534.09,4629.4,4799.61,5021.59,5034.46,5200.91,5159.73,5248.42,5403.83,5501.3,5312.3,5633.51,5973.71,6199.59,6393.29,6569.34,6738.55,2020.0
3830,158,JPN,NGDP_D,Japan,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",93.381,96.114,97.791,98.716,100.17,101.433,103.068,102.905,103.549,105.732,108.487,111.663,113.524,114.17,114.421,113.822,113.315,113.886,113.856,112.443,110.941,109.737,108.211,106.471,105.273,104.016,103.12,102.392,101.459,100.881,98.984,97.378,96.642,96.3,97.923,99.991,100.411,100.336,100.341,100.989,101.839,102.227,102.787,103.257,103.593,104.091,104.536,2020.0
3831,158,JPN,NGDPRPC,Japan,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",2345329.01,2426314.56,2489160.79,2559143.69,2656997.56,2778682.47,2855864.25,2976624.73,3165169.05,3305980.54,3456210.89,3560193.15,3577723.19,3547706.08,3568856.98,3653411.2,3759665.21,3787525.02,3729414.9,3709962.32,3805185.89,3810834.64,3804412.34,3855731.96,3936937.38,4007404.19,4062582.66,4122509.78,4074113.82,3846434.78,4002685.6,3996231.48,4060032.89,4148569.72,4167831.84,4237611.39,4270141.34,4349012.99,4381983.0,4392159.77,4203144.65,4318672.42,4475132.53,4556425.75,4615616.03,4664815.8,4712080.09,2015.0
3832,158,JPN,NGDPRPPPPC,Japan,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",22330.96,23102.06,23700.45,24366.79,25298.5,26457.11,27192.0,28341.81,30137.03,31477.76,32908.17,33898.24,34065.15,33779.34,33980.73,34785.81,35797.5,36062.77,35509.48,35324.26,36230.93,36284.71,36223.56,36712.2,37485.39,38156.34,38681.72,39252.31,38791.51,36623.68,38111.41,38049.96,38657.44,39500.44,39683.85,40348.25,40657.98,41408.95,41722.88,41819.77,40020.07,41120.07,42609.8,43383.83,43947.4,44415.86,44865.88,2015.0
3833,158,JPN,NGDPPC,Japan,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2190089.73,2332027.8,2434178.64,2526284.02,2661523.17,2818492.76,2943480.45,3063102.17,3277491.49,3495493.92,3749540.16,3975432.86,4061590.29,4050404.04,4083528.4,4158396.8,4260257.97,4313477.87,4246165.11,4171595.82,4221493.9,4181893.67,4116776.51,4105229.72,4144543.14,4168353.53,4189322.19,4221137.33,4133559.05,3880330.35,3962014.51,3891462.55,3923699.99,3995054.42,4081286.51,4237225.49,4287683.07,4363632.78,4396917.94,4435580.52,4280443.79,4414844.42,4599875.53,4704816.0,4781476.31,4855659.35,4925805.98,2015.0
3834,158,JPN,NGDPDPC,Japan,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",9659.0,10574.37,9772.81,10636.46,11205.35,11815.8,17466.67,21177.79,25575.1,25336.2,25895.96,29511.78,32069.07,36425.22,39953.2,44210.24,39164.32,35651.27,32436.92,36622.89,39172.96,34410.68,32832.3,35410.22,38307.1,37819.1,36021.9,35847.23,39992.06,41469.77,45135.8,48760.91,49175.05,40934.76,38522.77,35005.66,39411.42,38903.3,39818.8,40689.79,40088.6,40704.3,43118.83,46138.06,48159.22,50047.52,51797.33,2015.0
