,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
3870,439,JOR,NGDP_R,Jordan,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2016 Chain-weighted: No Primary domestic currency: Jordanian dinar Data last updated: 08/2021,6.718,7.748,8.154,8.173,8.63,8.528,8.995,9.24,9.433,8.362,8.451,8.657,9.807,10.115,10.625,11.309,11.384,11.871,12.259,12.606,13.144,13.781,14.746,15.323,16.567,17.961,19.556,21.12,22.586,23.721,24.27,24.934,25.54,26.207,27.094,27.77,28.324,28.915,29.474,30.05,29.584,30.187,31.002,31.964,33.018,34.108,35.233,2019.0
3871,439,JOR,NGDP_RPCH,Jordan,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",11.326,15.327,5.241,0.238,5.587,-1.176,5.468,2.73,2.083,-11.348,1.063,2.437,13.28,3.137,5.047,6.439,0.665,4.274,3.27,2.826,4.267,4.85,7.0,3.915,8.119,8.415,8.878,7.998,6.944,5.024,2.315,2.737,2.429,2.61,3.384,2.497,1.994,2.088,1.934,1.955,-1.551,2.039,2.7,3.1,3.3,3.3,3.3,2019.0
3872,439,JOR,NGDP,Jordan,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2016 Chain-weighted: No Primary domestic currency: Jordanian dinar Data last updated: 08/2021,1.201,1.494,1.702,1.842,1.969,2.032,2.31,2.358,2.423,2.501,2.847,3.05,3.764,4.006,4.494,4.862,5.066,5.298,5.785,5.958,6.186,6.562,7.006,7.454,8.343,9.204,11.009,12.51,16.08,17.422,19.265,20.962,22.461,24.463,26.162,27.397,28.324,29.4,30.482,31.597,31.025,32.149,33.677,35.589,37.683,39.899,42.246,2019.0
3873,439,JOR,NGDPD,Jordan,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",4.03,4.525,4.83,5.075,5.127,5.157,6.604,6.962,6.522,4.385,4.29,4.481,5.537,5.704,6.391,6.857,7.145,7.472,8.159,8.403,8.725,9.255,9.882,10.514,11.768,12.982,15.527,17.645,22.648,24.538,27.134,29.524,31.679,34.503,36.9,38.642,39.949,41.467,42.993,44.566,43.759,45.344,47.5,50.196,53.149,56.276,59.586,2019.0
3874,439,JOR,PPPGDP,Jordan,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",8.355,10.547,11.785,12.276,13.43,13.691,14.731,15.507,16.388,15.098,15.83,16.764,19.423,20.507,22.002,23.91,24.51,25.998,27.151,28.311,30.188,32.365,35.171,37.269,41.376,46.265,51.927,57.595,62.776,66.352,68.704,72.051,74.34,79.417,81.884,87.705,90.249,97.892,102.169,106.03,105.643,111.681,117.854,124.398,131.432,138.719,146.266,2019.0
3875,439,JOR,NGDP_D,Jordan,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",17.881,19.281,20.869,22.541,22.82,23.827,25.686,25.519,25.686,29.91,33.691,35.235,38.376,39.601,42.299,42.99,44.495,44.629,47.188,47.265,47.063,47.616,47.513,48.649,50.361,51.244,56.294,59.234,71.194,73.445,79.378,84.069,87.942,93.345,96.561,98.656,100.0,101.677,103.419,105.147,104.871,106.497,108.627,111.343,114.127,116.98,119.904,2019.0
3876,439,JOR,NGDPRPC,Jordan,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",2829.36,3147.98,3185.45,3064.06,3103.82,2944.93,2987.01,2954.16,2900.03,2463.13,2373.57,2306.48,2471.38,2414.31,2417.01,2473.1,2413.82,2456.63,2487.72,2513.64,2575.59,2653.52,2788.78,2839.26,2992.81,3143.29,3295.42,3410.17,3480.26,3477.57,3379.1,3291.69,3195.48,3114.85,3075.56,3031.88,2995.38,2980.21,2976.04,2984.22,2897.96,2925.03,2979.46,3051.72,3132.99,3216.42,3302.07,2018.0
3877,439,JOR,NGDPRPPPPC,Jordan,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",9578.84,10657.52,10784.38,10373.41,10508.02,9970.11,10112.56,10001.34,9818.09,8338.96,8035.75,7808.63,8366.89,8173.68,8182.83,8372.71,8172.02,8316.96,8422.2,8509.96,8719.69,8983.53,9441.46,9612.37,10132.2,10641.67,11156.68,11545.17,11782.47,11773.38,11440.01,11144.06,10818.34,10545.37,10412.35,10264.49,10140.9,10089.53,10075.43,10103.11,9811.08,9902.75,10087.02,10331.64,10606.77,10889.23,11179.21,2018.0
3878,439,JOR,NGDPPC,Jordan,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",505.918,606.949,664.764,690.68,708.276,701.7,767.256,753.881,744.908,736.729,799.669,812.678,948.421,956.099,1022.36,1063.18,1074.03,1096.37,1173.91,1188.07,1212.15,1263.51,1325.02,1381.26,1507.2,1610.74,1855.11,2019.97,2477.75,2554.11,2682.26,2767.3,2810.18,2907.56,2969.79,2991.14,2995.38,3030.19,3077.79,3137.81,3039.11,3115.09,3236.52,3397.88,3575.57,3762.56,3959.33,2018.0
3879,439,JOR,NGDPDPC,Jordan,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1697.14,1838.68,1886.93,1902.7,1843.99,1780.84,2193.07,2225.63,2005.01,1291.65,1204.99,1193.76,1395.29,1361.59,1453.79,1499.56,1514.85,1546.36,1655.73,1675.7,1709.66,1782.11,1868.86,1948.19,2125.81,2271.86,2616.51,2849.05,3489.79,3597.34,3777.82,3897.61,3963.59,4100.94,4188.72,4218.83,4224.8,4273.91,4341.04,4425.69,4286.49,4393.64,4564.91,4792.51,5043.13,5306.87,5584.39,2018.0
