,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
3915,916,KAZ,NGDP_R,Kazakhstan,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 Notes: Data prior to 1996 cannot be confirmed by national sources at this time. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices. Official GDP is calculated based on production, which does not match the total by expenditure's components. Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: Yes, from 1994 Primary domestic currency: Kazakhstani tenge Data last updated: 08/2021",,,,,,,,,,,,,5625.62,5108.07,4465.48,4099.31,4119.81,4189.85,4110.24,4221.22,4634.9,5260.61,5776.15,6313.33,6919.41,7590.59,8402.78,9150.63,9452.6,9566.03,10264.35,11023.92,11553.06,12246.25,12760.59,12913.72,13055.77,13591.05,14148.29,14784.96,14400.55,14873.87,15447.82,16346.44,17024.53,17547.45,18232.28,2020.0
3916,916,KAZ,NGDP_RPCH,Kazakhstan,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",,,,,,,,,,,,,,-9.2,-12.58,-8.2,0.5,1.7,-1.9,2.7,9.8,13.5,9.8,9.3,9.6,9.7,10.7,8.9,3.3,1.2,7.3,7.4,4.8,6.0,4.2,1.2,1.1,4.1,4.1,4.5,-2.6,3.287,3.859,5.817,4.148,3.072,3.903,2020.0
3917,916,KAZ,NGDP,Kazakhstan,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 Notes: Data prior to 1996 cannot be confirmed by national sources at this time. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices. Official GDP is calculated based on production, which does not match the total by expenditure's components. Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: Yes, from 1994 Primary domestic currency: Kazakhstani tenge Data last updated: 08/2021",,,,,,,,,,,,,2.435,29.881,423.469,1014.19,1415.75,1672.14,1733.26,2016.46,2599.9,3250.59,3776.28,4611.98,5870.13,7590.59,10213.73,12849.79,16052.92,17007.65,21815.52,28243.05,31015.19,35999.03,39675.83,40884.13,46971.15,54378.86,61819.54,69532.63,70714.08,82545.93,89808.62,98343.26,106049.66,113226.13,121863.07,2020.0
3918,916,KAZ,NGDPD,Kazakhstan,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,2.875,5.152,11.881,16.639,21.035,22.166,22.135,16.87,18.292,22.153,24.637,30.834,43.152,57.125,81.003,104.85,133.442,115.309,148.047,192.626,207.999,236.635,221.416,184.388,137.289,166.806,179.34,181.667,171.24,194.024,203.666,218.016,231.869,243.92,258.252,2020.0
3919,916,KAZ,PPPGDP,Kazakhstan,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,120.338,111.856,99.874,93.606,95.797,99.106,98.317,102.394,114.976,133.438,148.798,165.846,186.647,211.173,240.981,269.521,283.754,288.999,313.824,344.049,369.966,417.452,427.478,407.416,423.833,448.473,478.013,508.459,501.207,536.336,572.364,620.071,660.512,695.589,737.713,2020.0
3920,916,KAZ,NGDP_D,Kazakhstan,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",,,,,,,,,,,,,0.043,0.585,9.483,24.74,34.364,39.909,42.169,47.77,56.094,61.791,65.377,73.051,84.836,100.0,121.552,140.425,169.825,177.792,212.537,256.198,268.459,293.96,310.925,316.595,359.773,400.108,436.94,470.293,491.051,554.973,581.368,601.619,622.923,645.257,668.392,2020.0
3921,916,KAZ,NGDPRPC,Kazakhstan,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,,329980.65,302252.44,282625.55,261505.89,266127.32,275862.01,274835.02,283272.72,311786.67,354223.38,388526.54,422262.29,459004.93,498747.64,545745.13,587652.5,591438.19,590375.59,624333.4,661147.99,683200.87,713613.34,732706.09,730831.34,728631.64,748517.34,769112.57,793537.9,762858.23,777688.9,797198.38,832606.06,855871.95,870692.59,892912.58,2019.0
3922,916,KAZ,NGDPRPPPPC,Kazakhstan,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,,10888.58,9973.62,9325.97,8629.08,8781.57,9102.79,9068.91,9347.33,10288.22,11688.53,12820.46,13933.66,15146.08,16457.49,18008.3,19391.14,19516.06,19481.0,20601.53,21816.32,22544.01,23547.55,24177.57,24115.71,24043.12,24699.3,25378.9,26184.87,25172.52,25661.89,26305.66,27474.03,28241.75,28730.8,29464.0,2019.0
3923,916,KAZ,NGDPPC,Kazakhstan,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,142.842,1768.13,26801.84,64697.81,91453.17,110094.68,115896.04,135318.36,174893.71,218878.74,254007.59,308468.89,389400.19,498747.64,663362.76,825212.09,1004412.35,1049641.12,1326937.75,1693847.87,1834111.37,2097735.55,2278164.53,2313772.57,2621421.24,2994875.89,3360561.22,3731953.07,3746024.55,4315962.01,4634652.34,5009114.18,5331419.39,5618203.08,5968154.51,2019.0
3924,916,KAZ,NGDPDPC,Kazakhstan,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,168.645,304.849,751.98,1061.48,1358.8,1459.42,1480.09,1132.13,1230.49,1491.65,1657.16,2062.29,2862.5,3753.44,5261.03,6733.45,8349.29,7116.37,9005.04,11552.57,12300.19,13789.17,12713.56,10435.17,7662.01,9186.71,9749.07,9750.43,9071.3,10144.68,10510.36,11104.66,11656.71,12103.15,12647.7,2019.0
