,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
3960,664,KEN,NGDP_R,Kenya,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2016 Chain-weighted: No Primary domestic currency: Kenyan shilling Data last updated: 09/2021,2112.19,2198.79,2309.88,2346.68,2384.23,2481.34,2654.59,2808.84,2979.92,3115.63,3244.42,3287.88,3252.36,3249.28,3331.52,3474.34,3618.46,3633.33,3741.7,3823.99,3837.26,3989.94,4009.14,4127.37,4318.68,4563.32,4830.47,5161.39,5173.38,5344.46,5793.51,6090.21,6368.45,6610.31,6942.16,7287.02,7594.06,7883.82,8327.6,8742.41,8714.77,9202.67,9758.94,10316.45,10882.45,11482.9,12116.15,2020.0
3961,664,KEN,NGDP_RPCH,Kenya,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.572,4.1,5.052,1.593,1.6,4.073,6.982,5.811,6.091,4.554,4.134,1.339,-1.08,-0.095,2.531,4.287,4.148,0.411,2.983,2.199,0.347,3.979,0.481,2.949,4.635,5.665,5.854,6.851,0.232,3.307,8.402,5.121,4.569,3.798,5.02,4.968,4.214,3.816,5.629,4.981,-0.316,5.599,6.045,5.713,5.486,5.518,5.515,2020.0
3962,664,KEN,NGDP,Kenya,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2016 Chain-weighted: No Primary domestic currency: Kenyan shilling Data last updated: 09/2021,152.259,174.854,203.244,229.076,257.372,291.994,342.434,380.686,425.831,489.909,565.847,642.747,740.399,927.36,1072.98,1248.04,1574.18,1760.47,1840.34,1962.2,2017.11,2071.2,2199.75,2317.76,2451.57,2697.94,3010.76,3394.98,3338.06,3275.64,3597.63,4162.51,4767.19,5311.32,6003.84,6884.32,7594.06,8483.4,9340.31,10255.65,10752.99,11975.61,13328.42,14790.6,16387.61,18163.48,20129.31,2020.0
3963,664,KEN,NGDPD,Kenya,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",20.52,19.327,18.608,17.209,17.856,17.77,21.104,23.136,23.988,23.781,24.746,23.368,23.014,15.989,19.143,24.267,27.562,27.921,30.486,27.901,26.48,26.363,27.934,30.523,30.964,35.709,41.758,50.433,48.255,42.348,45.406,46.554,56.407,61.703,68.395,70.369,74.817,81.964,92.227,100.458,102.427,109.491,116.641,124.675,133.593,143.459,153.99,2020.0
3964,664,KEN,PPPGDP,Kenya,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",17.552,20.001,22.31,23.553,24.793,26.619,29.051,31.499,34.596,37.59,40.609,42.544,43.044,44.022,46.101,49.085,52.057,53.173,55.375,57.39,58.894,62.617,63.899,67.082,72.075,78.546,85.71,94.057,96.083,99.897,109.592,117.598,125.523,141.004,156.802,176.338,192.816,211.109,228.319,243.98,246.14,269.286,293.423,317.567,342.625,369.384,397.83,2020.0
3965,664,KEN,NGDP_D,Kenya,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",7.209,7.952,8.799,9.762,10.795,11.768,12.9,13.553,14.29,15.724,17.441,19.549,22.765,28.541,32.207,35.922,43.504,48.453,49.185,51.313,52.567,51.911,54.868,56.156,56.767,59.122,62.329,65.777,64.524,61.29,62.098,68.348,74.856,80.349,86.484,94.474,100.0,107.605,112.161,117.309,123.388,130.132,136.577,143.369,150.587,158.178,166.136,2020.0
3966,664,KEN,NGDPRPC,Kenya,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",134355.95,134833.1,136679.53,134096.11,131725.51,132691.91,137543.44,140441.91,143957.5,145590.3,147473.77,144840.33,138989.76,134824.83,134335.63,136248.7,137583.88,134567.75,134593.43,133239.98,130076.44,131681.01,128911.38,128980.37,131266.78,135009.37,139206.51,144576.73,140963.94,141762.79,150091.04,154182.44,157634.85,159669.37,163730.13,168291.55,171423.56,173652.33,179088.26,183664.14,178975.13,184790.3,191637.85,198156.04,204497.25,211144.97,218045.44,2019.0
3967,664,KEN,NGDPRPPPPC,Kenya,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",3597.72,3610.49,3659.94,3590.76,3527.28,3553.16,3683.07,3760.68,3854.82,3898.54,3948.98,3878.46,3721.8,3610.27,3597.17,3648.4,3684.15,3603.39,3604.08,3567.83,3483.12,3526.09,3451.92,3453.77,3515.0,3615.21,3727.6,3871.4,3774.66,3796.05,4019.06,4128.62,4221.07,4275.55,4384.28,4506.43,4590.29,4649.98,4795.54,4918.07,4792.51,4948.22,5131.58,5306.12,5475.93,5653.93,5838.71,2019.0
3968,664,KEN,NGDPPC,Kenya,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",9685.18,10722.32,12026.3,13090.03,14219.43,15614.63,17742.71,19034.3,20571.57,22892.95,25720.3,28314.87,31641.0,38479.69,43265.31,48942.64,59854.59,65202.49,66199.32,68369.49,68376.65,68356.42,70731.37,72429.99,74515.7,79820.7,86765.41,95097.6,90955.43,86887.07,93202.85,105380.11,117999.79,128292.8,141599.88,158991.16,171423.56,186858.95,200866.81,215454.92,220834.03,240471.14,261732.36,284094.58,307947.1,333985.82,362252.39,2019.0
3969,664,KEN,NGDPDPC,Kenya,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1305.25,1185.18,1101.08,983.361,986.51,950.251,1093.49,1156.79,1158.82,1111.27,1124.82,1029.42,983.514,663.428,771.897,951.64,1047.97,1034.12,1096.62,972.176,897.619,870.082,898.186,953.835,941.165,1056.47,1203.39,1412.69,1314.84,1123.29,1176.31,1178.58,1396.21,1490.41,1613.09,1625.16,1688.87,1805.38,1983.37,2110.46,2103.55,2198.59,2290.5,2394.73,2510.4,2637.89,2771.25,2019.0
