,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
4005,826,KIR,NGDP_R,Kiribati,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: Australian dollar Data last updated: 08/2021,0.112,0.112,0.113,0.11,0.112,0.107,0.108,0.109,0.119,0.115,0.114,0.114,0.115,0.116,0.118,0.118,0.12,0.122,0.13,0.128,0.136,0.134,0.139,0.142,0.14,0.146,0.146,0.149,0.146,0.147,0.146,0.148,0.155,0.162,0.161,0.178,0.187,0.188,0.195,0.203,0.202,0.206,0.211,0.216,0.22,0.225,0.229,2019.0
4006,826,KIR,NGDP_RPCH,Kiribati,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",0.058,0.242,0.749,-2.715,2.392,-4.519,0.975,0.426,9.149,-3.101,-1.331,0.134,1.307,1.046,1.754,-0.084,1.141,1.965,6.85,-1.771,5.956,-1.418,3.962,2.006,-1.629,4.952,-0.049,2.035,-2.092,0.803,-0.924,1.595,4.713,4.215,-0.698,10.405,5.138,0.89,3.776,3.926,-0.476,1.79,2.498,2.321,2.05,1.954,1.971,2019.0
4007,826,KIR,NGDP,Kiribati,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: Australian dollar Data last updated: 08/2021,0.037,0.038,0.04,0.042,0.048,0.046,0.047,0.051,0.057,0.056,0.055,0.061,0.065,0.069,0.075,0.076,0.085,0.091,0.104,0.107,0.116,0.122,0.133,0.139,0.139,0.147,0.146,0.159,0.168,0.17,0.17,0.176,0.184,0.192,0.199,0.228,0.24,0.244,0.268,0.284,0.287,0.305,0.323,0.337,0.35,0.362,0.374,2019.0
4008,826,KIR,NGDPD,Kiribati,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.042,0.044,0.041,0.038,0.042,0.032,0.031,0.036,0.045,0.044,0.043,0.047,0.048,0.047,0.055,0.056,0.067,0.067,0.066,0.069,0.068,0.063,0.072,0.091,0.103,0.112,0.11,0.133,0.144,0.134,0.157,0.182,0.19,0.186,0.18,0.171,0.178,0.187,0.2,0.198,0.198,0.232,0.245,0.258,0.27,0.279,0.288,2019.0
4009,826,KIR,PPPGDP,Kiribati,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.054,0.059,0.063,0.064,0.067,0.066,0.068,0.07,0.08,0.08,0.082,0.085,0.088,0.091,0.095,0.096,0.099,0.103,0.111,0.111,0.12,0.121,0.128,0.133,0.134,0.145,0.15,0.157,0.157,0.159,0.159,0.165,0.176,0.187,0.189,0.211,0.224,0.23,0.245,0.259,0.261,0.275,0.29,0.303,0.317,0.33,0.343,2019.0
4010,826,KIR,NGDP_D,Kiribati,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",33.098,34.292,35.597,38.711,42.377,42.569,43.221,46.702,48.213,48.766,48.508,53.492,56.85,59.442,63.306,63.827,71.403,74.233,80.139,83.697,85.812,91.068,95.549,98.071,99.745,100.256,100.0,106.149,114.977,115.173,116.53,118.718,118.249,118.409,123.981,128.3,128.52,129.761,137.081,139.912,142.139,148.397,153.294,156.203,158.933,161.432,163.164,2019.0
4011,826,KIR,NGDPRPC,Kiribati,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",1910.32,1877.64,1811.56,1804.47,1811.63,1679.46,1654.22,1620.49,1725.35,1630.81,1569.6,1549.52,1547.64,1541.79,1546.7,1523.6,1515.22,1519.14,1596.05,1541.55,1606.02,1554.73,1587.22,1589.9,1535.82,1582.83,1548.33,1546.17,1481.56,1461.62,1417.25,1420.85,1468.18,1509.87,1479.54,1611.94,1672.39,1665.01,1705.07,1742.37,1705.2,1706.95,1720.74,1731.81,1738.84,1744.81,1751.67,2017.0
4012,826,KIR,NGDPRPPPPC,Kiribati,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",2335.82,2295.85,2215.06,2206.39,2215.15,2053.53,2022.67,1981.43,2109.65,1994.05,1919.2,1894.65,1892.35,1885.2,1891.2,1862.96,1852.71,1857.51,1951.54,1884.91,1963.74,1901.03,1940.75,1944.03,1877.9,1935.39,1893.2,1890.55,1811.55,1787.18,1732.92,1737.32,1795.2,1846.18,1809.09,1970.98,2044.89,2035.86,2084.85,2130.46,2085.0,2087.14,2104.01,2117.54,2126.15,2133.44,2141.83,2017.0
4013,826,KIR,NGDPPC,Kiribati,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",632.272,643.875,644.864,698.522,767.713,714.93,714.965,756.805,831.844,795.277,761.386,828.865,879.827,916.466,979.16,972.475,1081.9,1127.71,1279.05,1290.23,1378.16,1415.86,1516.57,1559.23,1531.91,1586.89,1548.33,1641.24,1703.46,1683.39,1651.52,1686.8,1736.1,1787.83,1834.35,2068.13,2149.36,2160.52,2337.32,2437.79,2423.75,2533.06,2637.78,2705.12,2763.6,2816.68,2858.08,2017.0
4014,826,KIR,NGDPDPC,Kiribati,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",720.463,739.991,656.088,630.233,675.191,500.804,479.561,530.358,652.243,630.112,594.756,645.746,646.914,623.58,716.416,721.087,847.061,839.086,805.03,832.622,802.478,732.872,824.831,1016.38,1128.37,1212.13,1166.44,1376.28,1456.91,1332.07,1518.57,1741.14,1798.26,1731.38,1655.86,1556.5,1598.89,1656.63,1748.65,1695.3,1673.41,1927.08,2001.24,2073.46,2128.71,2169.59,2201.48,2017.0
4015,826,KIR,PPPPC,Kiribati,"Gross domestic product per capita, current prices","Expressed in GDP in PPP dollars per person. Data are derived by dividing GDP in PPP dollars by total population. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",915.846,985.341,1009.41,1044.83,1086.84,1039.4,1044.39,1048.41,1155.61,1135.12,1133.4,1156.74,1181.67,1205.1,1234.76,1241.83,1257.6,1282.61,1362.7,1334.72,1422.04,1407.64,1459.45,1490.78,1478.72,1571.78,1584.96,1625.52,1587.46,1576.14,1546.66,1582.81,1666.12,1743.44,1740.36,1915.08,2006.8,2035.86,2134.66,2220.38,2199.19,2280.78,2362.49,2434.26,2499.86,2562.92,2626.32,2017.0
4018,826,KIR,PPPEX,Kiribati,Implied PPP conversion rate,"Expressed in national currency per current international dollar. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",0.69,0.653,0.639,0.669,0.706,0.688,0.685,0.722,0.72,0.701,0.672,0.717,0.745,0.76,0.793,0.783,0.86,0.879,0.939,0.967,0.969,1.006,1.039,1.046,1.036,1.01,0.977,1.01,1.073,1.068,1.068,1.066,1.042,1.025,1.054,1.08,1.071,1.061,1.095,1.098,1.102,1.111,1.117,1.111,1.106,1.099,1.088,2019.0
4021,826,KIR,PCPI,Kiribati,"Inflation, average consumer prices","Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]",Index,,Source: IMF Staff Estimates Latest actual data: 2019 Harmonized prices: No Frequency of source data: Monthly Base year: 2006. Base year is 2006M10 Primary domestic currency: Australian dollar Data last updated: 08/2021,48.137,51.844,54.688,58.14,61.304,64.057,68.289,61.316,62.012,65.49,68.078,72.215,75.261,79.859,83.053,86.458,85.016,87.188,90.386,91.973,92.319,97.86,100.968,102.616,101.857,101.499,100.487,104.097,118.322,129.937,124.87,126.74,122.88,121.051,123.598,124.305,126.689,127.139,127.856,125.538,127.811,132.038,137.513,141.091,143.962,146.292,148.322,2019.0
4022,826,KIR,PCPIPCH,Kiribati,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, average consumer prices (Index).",16.1,7.7,5.486,6.311,5.442,4.491,6.607,-10.211,1.135,5.609,3.951,6.077,4.217,6.109,4.0,4.1,-1.667,2.554,3.668,1.755,0.377,6.002,3.176,1.633,-0.74,-0.351,-0.997,3.593,13.665,9.816,-3.9,1.497,-3.046,-1.488,2.104,0.572,1.917,0.356,0.564,-1.813,1.811,3.307,4.147,2.602,2.035,1.619,1.387,2019.0
4026,826,KIR,TM_RPCH,Kiribati,Volume of imports of goods and services,"Percent change of volume of imports refers to the aggregate change in the quantities of total imports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,,"Source: National Statistics Office. Data from STA database ID:BOP (submitted to STA by authorities) Latest actual data: 2019 Base year: 2006 Methodology used to derive volumes: Deflation by survey-based price indexes Formula used to derive volumes: Laspeyres-type Excluded items in trade: In transit; Low valued; Re-exports; Re-imports; Other; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Australian dollar Data last updated: 08/2021",403.516,47.845,-6.045,-10.257,-6.678,-18.302,-10.141,138.908,-18.608,4.148,21.598,-12.867,30.114,-15.005,-18.645,26.863,-10.972,2.217,-7.287,15.482,4.282,4.629,16.885,-13.726,-4.356,28.619,-23.212,11.443,-0.929,-2.275,3.571,25.876,10.143,0.808,0.902,-3.945,6.859,-1.265,-17.31,1.936,-1.284,13.702,0.916,3.723,4.796,3.127,4.107,2019.0
4027,826,KIR,TMG_RPCH,Kiribati,Volume of Imports of goods,"Percent change of volume of imports of goods refers to the aggregate change in the quantities of imports of goods whose characteristics are unchanged. The goods and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,,"Source: National Statistics Office. Data from STA database ID:BOP (submitted to STA by authorities) Latest actual data: 2019 Base year: 2006 Methodology used to derive volumes: Deflation by survey-based price indexes Formula used to derive volumes: Laspeyres-type Excluded items in trade: In transit; Low valued; Re-exports; Re-imports; Other; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Australian dollar Data last updated: 08/2021",-5.277,72.252,-5.335,-18.668,-1.727,-21.44,-10.682,161.202,-19.771,0.333,21.025,-12.509,43.047,-22.607,-16.991,30.633,-8.72,3.93,-8.501,17.505,3.874,1.02,13.941,-16.681,-1.629,23.468,-12.832,6.215,-2.503,-7.364,4.194,23.488,17.83,1.071,-4.989,-7.372,6.669,4.952,-16.298,3.91,-0.893,16.312,0.916,3.723,5.784,3.321,4.573,2019.0
4028,826,KIR,TX_RPCH,Kiribati,Volume of exports of goods and services,"Percent change of volume of exports refers to the aggregate change in the quantities of total exports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,,"Source: National Statistics Office. Data from STA database ID:BOP (submitted to STA by authorities) Latest actual data: 2019 Base year: 2006 Methodology used to derive volumes: Deflation by survey-based price indexes Formula used to derive volumes: Laspeyres-type Excluded items in trade: In transit; Low valued; Re-exports; Re-imports; Other; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Australian dollar Data last updated: 08/2021",274.878,-37.117,-7.19,3.392,54.387,-32.926,6.193,-14.257,-19.84,-2.562,-14.627,14.205,-3.277,-1.414,-2.941,6.611,-32.467,47.253,-7.828,6.528,-31.287,31.447,27.844,-10.12,-30.194,22.116,-27.691,75.333,-10.198,-4.651,-4.551,32.355,2.811,-15.657,3.269,7.076,28.174,-15.063,-38.428,66.325,-17.792,22.791,14.571,17.623,11.891,7.0,5.391,2019.0
4029,826,KIR,TXG_RPCH,Kiribati,Volume of exports of goods,"Percent change of volume of exports of goods refers to the aggregate change in the quantities of exports of goods whose characteristics are unchanged. The goods and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,,"Source: National Statistics Office. Data from STA database ID:BOP (submitted to STA by authorities) Latest actual data: 2019 Base year: 2006 Methodology used to derive volumes: Deflation by survey-based price indexes Formula used to derive volumes: Laspeyres-type Excluded items in trade: In transit; Low valued; Re-exports; Re-imports; Other; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Australian dollar Data last updated: 08/2021",-83.637,107.614,-36.81,57.435,188.394,-62.913,-66.207,416.499,-4.67,-3.826,-38.201,83.486,-20.365,-17.85,25.402,34.8,-39.968,17.827,4.364,32.271,-58.827,13.55,-0.702,-28.272,-24.343,61.648,-38.988,224.297,-24.756,-19.344,-11.266,69.199,-10.859,-20.789,35.928,-7.37,4.966,30.182,-47.806,43.824,-30.859,44.414,30.545,31.307,17.663,7.815,4.144,2019.0
