,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
4050,542,KOR,NGDP_R,Korea,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: Central Bank Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from before 1980 Primary domestic currency: South Korean won Data last updated: 09/2021",174901.9,187575.5,203215.8,230398.3,254709.1,274675.4,305788.6,344696.1,386017.5,413320.0,454146.0,503094.0,534279.1,571024.0,623950.2,683940.3,737908.0,783441.1,743254.8,828483.3,903550.9,947394.8,1020582.4,1052703.1,1107416.2,1155129.6,1215939.5,1286458.5,1325219.3,1335724.3,1426618.0,1479198.4,1514736.6,1562673.6,1612717.5,1658020.4,1706880.3,1760811.4,1812005.5,1852666.4,1836881.1,1915471.14,1978578.53,2034380.3,2086639.11,2138270.98,2189113.82,2020.0
4051,542,KOR,NGDP_RPCH,Korea,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-1.646,7.246,8.338,13.376,10.552,7.839,11.327,12.724,11.988,7.073,9.878,10.778,6.199,6.877,9.269,9.615,7.891,6.171,-5.129,11.467,9.061,4.852,7.725,3.147,5.197,4.309,5.264,5.8,3.013,0.793,6.805,3.686,2.403,3.165,3.202,2.809,2.947,3.16,2.907,2.244,-0.852,4.278,3.295,2.82,2.569,2.474,2.378,2020.0
4052,542,KOR,NGDP,Korea,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: Central Bank Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from before 1980 Primary domestic currency: South Korean won Data last updated: 09/2021",39725.1,49669.8,57286.6,68080.1,78591.3,88129.7,102985.9,121697.8,145994.8,165801.8,200556.3,242481.1,277540.7,315181.3,372493.4,436988.7,490850.9,542001.8,537215.4,591453.0,651634.3,707021.3,784741.3,837365.1,908439.3,957447.8,1005601.5,1089660.2,1154216.6,1205347.8,1322611.2,1388937.2,1440111.3,1500819.2,1562929.0,1658020.4,1740779.6,1835698.3,1898192.6,1924498.0,1933152.4,2068876.26,2178124.59,2276691.27,2377036.46,2483709.09,2590428.71,2020.0
4053,542,KOR,NGDPD,Korea,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",65.368,72.934,78.349,87.761,97.511,101.296,116.836,147.949,199.593,246.929,283.365,330.658,355.516,392.731,463.432,566.595,610.164,570.594,382.855,497.254,576.483,547.743,626.989,702.696,792.532,934.708,1052.61,1172.47,1049.17,943.739,1143.57,1253.42,1278.05,1370.63,1484.49,1466.04,1499.36,1623.07,1725.37,1651.42,1638.26,1823.85,1907.66,2012.1,2115.03,2217.59,2316.21,2020.0
4054,542,KOR,PPPGDP,Korea,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",82.705,97.089,111.684,131.582,150.716,167.67,190.42,219.958,255.012,283.756,323.453,370.433,402.36,440.224,491.301,549.83,604.078,652.411,625.913,707.517,789.105,846.037,925.599,973.574,1051.67,1131.38,1227.69,1333.99,1400.53,1420.68,1535.6,1625.28,1684.56,1726.9,1792.6,1933.85,2026.54,2105.89,2218.89,2309.27,2317.18,2503.4,2657.05,2796.99,2934.23,3072.15,3210.37,2020.0
4055,542,KOR,NGDP_D,Korea,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",22.713,26.48,28.19,29.549,30.855,32.085,33.679,35.306,37.821,40.115,44.161,48.198,51.947,55.196,59.699,63.893,66.519,69.182,72.279,71.39,72.119,74.628,76.892,79.544,82.032,82.887,82.702,84.702,87.096,90.239,92.71,93.898,95.073,96.042,96.913,100.0,101.986,104.253,104.756,103.877,105.241,108.009,110.085,111.911,113.917,116.155,118.332,2020.0
4056,542,KOR,NGDPRPC,Korea,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",4587738.23,4844002.24,5167420.56,5772888.34,6303751.36,6731292.54,7419590.89,8281645.94,9184060.14,9736851.99,10593739.11,11619951.95,12212662.62,12920665.38,13976896.85,15167330.55,16208965.86,17048532.45,16057700.45,17772251.33,19221170.15,19999820.98,21420674.89,21980619.86,23031576.2,23973023.23,25102856.64,26424863.73,27015129.72,27089493.99,28789094.23,29621505.56,30174124.22,30987664.16,31779776.87,32500678.67,33325917.94,34282435.48,35111872.15,35828635.03,35474325.23,36963522.15,38159236.28,39220311.47,40212291.01,41191428.83,42162737.78,2020.0
4057,542,KOR,NGDPRPPPPC,Korea,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",5486.84,5793.32,6180.13,6904.25,7539.15,8050.48,8873.67,9904.67,10983.94,11645.07,12669.89,13897.22,14606.09,15452.84,16716.07,18139.81,19385.58,20389.69,19204.67,21255.24,22988.11,23919.36,25618.68,26288.36,27545.28,28671.23,30022.49,31603.58,32309.53,32398.46,34431.15,35426.7,36087.62,37060.59,38007.94,38870.13,39857.09,41001.07,41993.06,42850.29,42426.54,44207.59,45637.64,46906.66,48093.05,49264.08,50425.74,2020.0
4058,542,KOR,NGDPPC,Korea,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1042003.32,1282686.82,1456697.54,1705823.42,1945042.46,2159737.61,2498828.42,2923903.38,3473482.48,3905902.41,4678321.77,5600581.07,6344082.95,7131665.41,8344098.34,9690834.21,10782083.24,11794550.07,11606307.78,12687583.89,13862167.32,14925456.03,16470682.09,17484325.78,18893338.35,19870426.96,20760465.71,22382472.73,23529170.74,24445360.46,26690241.17,27813991.0,28687560.1,29761097.47,30798658.1,32500678.67,33987783.51,35740459.5,36781950.1,37217783.22,37333541.6,39923835.0,42007719.12,43891764.28,45808631.28,47845912.47,49892136.82,2020.0
4059,542,KOR,NGDPDPC,Korea,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1714.62,1883.46,1992.29,2198.94,2413.29,2482.4,2834.89,3554.62,4748.68,5817.07,6609.99,7637.2,8126.45,8886.39,10381.18,12565.03,13402.93,12416.75,8271.41,10666.86,12263.47,11563.04,13159.68,14672.42,16482.75,19398.49,21730.95,24083.34,21387.71,19139.73,23077.16,25100.19,25459.17,27179.52,29252.93,28737.44,29274.23,31600.74,33433.17,31936.8,31638.46,35195.52,36791.51,38790.77,40759.46,42719.39,44610.65,2020.0
