,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
4095,967,UVK,NGDP_R,Kosovo,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2016. Base year changes as new data is released - previous year's prices Chain-weighted: No Primary domestic currency: Euro Data last updated: 09/2021,,,,,,,,,,,,,,,,,,,,,3.371,3.533,3.579,3.775,3.928,4.077,4.224,4.577,4.66,4.827,4.987,5.205,5.352,5.536,5.604,5.833,6.07,6.327,6.568,6.892,6.527,6.919,7.23,7.534,7.835,8.121,8.405,2020.0
4096,967,UVK,NGDP_RPCH,Kosovo,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",,,,,,,,,,,,,,,,,,,,,,4.799,1.313,5.476,4.064,3.793,3.594,8.348,1.815,3.596,3.309,4.376,2.819,3.439,1.223,4.095,4.061,4.226,3.813,4.939,-5.3,6.0,4.5,4.2,4.0,3.65,3.5,2020.0
4097,967,UVK,NGDP,Kosovo,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2016. Base year changes as new data is released - previous year's prices Chain-weighted: No Primary domestic currency: Euro Data last updated: 09/2021,,,,,,,,,,,,,,,,,,,,,2.4,2.802,2.89,2.998,2.984,3.075,3.201,3.552,3.883,4.07,4.402,4.814,5.059,5.327,5.568,5.808,6.07,6.414,6.726,7.104,6.817,7.475,8.01,8.526,9.042,9.563,10.097,2020.0
4098,967,UVK,NGDPD,Kosovo,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,,,,,,,,,2.217,2.509,2.73,3.39,3.71,3.828,4.019,4.868,5.71,5.67,5.841,6.7,6.504,7.074,7.398,6.444,6.717,7.243,7.947,7.953,7.78,8.958,9.752,10.531,11.309,12.088,12.862,2020.0
4099,967,UVK,PPPGDP,Kosovo,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,,,,,,,,,7.579,8.122,8.357,8.989,9.605,10.282,10.98,12.218,12.679,13.219,13.82,14.725,15.32,16.009,16.393,17.125,17.886,18.86,20.047,21.413,20.523,22.538,24.201,25.817,27.462,29.082,30.724,2020.0
4100,967,UVK,NGDP_D,Kosovo,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",,,,,,,,,,,,,,,,,,,,,71.188,79.304,80.737,79.404,75.947,75.413,75.775,77.604,83.328,84.305,88.27,92.486,94.524,96.218,99.354,99.56,100.0,101.379,102.41,103.07,104.449,108.037,110.79,113.175,115.411,117.755,120.133,2020.0
4101,967,UVK,NGDPRPC,Kosovo,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,,,,,,,,,,2289.89,2399.78,2369.19,2456.45,2409.19,2469.94,2522.86,2694.43,2709.78,2762.59,2809.57,2924.25,2947.75,3040.7,3104.64,3292.6,3403.42,3517.72,3657.86,3867.29,3647.73,3851.19,4008.46,4160.17,4309.34,4448.84,4586.2,2020.0
4102,967,UVK,NGDPRPPPPC,Kosovo,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,,,,,,,,,,6826.32,7153.91,7062.7,7322.85,7181.96,7363.06,7520.81,8032.26,8078.03,8235.46,8375.5,8717.37,8787.44,9064.52,9255.14,9815.46,10145.81,10486.55,10904.32,11528.63,10874.11,11480.64,11949.47,12401.74,12846.42,13262.27,13671.76,2020.0
4103,967,UVK,NGDPPC,Kosovo,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,,,,,,,,,1630.14,1903.12,1912.8,1950.53,1829.72,1862.65,1911.68,2090.99,2258.0,2329.0,2480.0,2704.52,2786.34,2925.69,3084.58,3278.1,3403.42,3566.24,3746.0,3986.0,3810.01,4160.69,4440.99,4708.26,4973.46,5238.73,5509.52,2020.0
4104,967,UVK,NGDPDPC,Kosovo,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,,,,,,,,,1506.28,1704.5,1807.42,2205.81,2274.96,2318.59,2400.44,2865.99,3320.6,3244.92,3290.46,3763.91,3582.13,3885.72,4098.93,3637.47,3766.21,4027.29,4425.86,4462.72,4348.29,4986.26,5406.54,5815.64,6220.3,6622.24,7017.83,2020.0
