,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
4185,917,KGZ,NGDP_R,Kyrgyz Republic,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: Kyrgyz som Data last updated: 08/2021,,,,,,,,,,,,,96.667,84.096,67.439,63.781,68.3,75.072,76.665,79.468,83.793,88.252,88.237,94.44,101.077,100.899,104.03,112.917,121.461,124.966,124.377,131.785,131.669,146.042,151.918,157.806,164.649,172.453,178.418,186.627,170.546,174.125,183.932,192.316,200.17,208.337,216.166,2020.0
4186,917,KGZ,NGDP_RPCH,Kyrgyz Republic,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",,,,,,,,,,,,,,-13.005,-19.807,-5.424,7.085,9.915,2.122,3.656,5.443,5.322,-0.017,7.03,7.027,-0.176,3.103,8.543,7.566,2.886,-0.472,5.956,-0.088,10.915,4.024,3.876,4.336,4.74,3.459,4.601,-8.617,2.098,5.633,4.558,4.084,4.08,3.758,2020.0
4187,917,KGZ,NGDP,Kyrgyz Republic,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: Kyrgyz som Data last updated: 08/2021,,,,,,,,,,,,,0.738,5.336,12.019,16.145,23.399,30.686,34.181,48.744,65.358,73.883,75.367,83.872,94.351,100.899,113.8,141.898,187.992,201.223,220.369,285.989,310.471,355.295,400.694,430.489,476.331,530.476,569.386,619.103,598.345,690.3,786.315,872.194,952.807,1041.69,1134.41,2020.0
4188,917,KGZ,NGDPD,Kyrgyz Republic,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,0.917,0.665,1.108,1.493,1.822,1.767,1.63,1.242,1.368,1.525,1.606,1.92,2.214,2.459,2.837,3.807,5.139,4.69,4.794,6.198,6.604,7.335,7.467,6.678,6.813,7.703,8.271,8.872,7.747,8.15,8.928,9.614,10.196,10.823,11.443,2020.0
4189,917,KGZ,PPPGDP,Kyrgyz Republic,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,9.142,8.142,6.668,6.439,7.021,7.851,8.107,8.522,9.19,9.897,10.049,10.968,12.054,12.41,13.19,14.704,16.12,16.691,16.812,18.184,20.288,23.124,24.987,25.107,28.459,31.28,33.136,35.28,32.629,34.514,37.461,40.101,42.69,45.397,48.079,2020.0
4190,917,KGZ,NGDP_D,Kyrgyz Republic,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",,,,,,,,,,,,,0.764,6.345,17.822,25.313,34.26,40.875,44.586,61.338,77.999,83.718,85.414,88.809,93.346,100.0,109.392,125.665,154.776,161.022,177.178,217.011,235.796,243.283,263.756,272.796,289.302,307.606,319.129,331.733,350.841,396.44,427.502,453.522,476.0,500.004,524.785,2020.0
4191,917,KGZ,NGDPRPC,Kyrgyz Republic,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,,21916.77,18748.81,14969.33,14095.33,14860.98,16106.54,16201.76,16534.56,17189.42,17930.09,17760.66,18838.02,19923.15,19645.11,20047.48,21518.01,22963.89,23365.84,22955.02,24058.88,23716.11,25788.11,26299.05,26769.25,27352.63,28085.87,28516.24,29211.64,26169.77,26166.63,27069.19,27746.54,28282.73,28828.24,29323.51,2019.0
4192,917,KGZ,NGDPRPPPPC,Kyrgyz Republic,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,,3975.38,3400.76,2715.22,2556.69,2695.56,2921.49,2938.76,2999.13,3117.91,3252.26,3221.52,3416.94,3613.77,3563.33,3636.32,3903.05,4165.31,4238.22,4163.7,4363.93,4301.76,4677.59,4770.26,4855.55,4961.37,5094.37,5172.43,5298.56,4746.81,4746.24,4909.95,5032.82,5130.07,5229.02,5318.85,2019.0
4193,917,KGZ,NGDPPC,Kyrgyz Republic,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,167.421,1189.68,2667.88,3567.98,5091.33,6583.56,7223.64,10142.01,13407.58,15010.75,15170.06,16729.86,18597.41,19645.11,21930.26,27040.68,35542.57,37624.04,40671.31,52210.47,55921.75,62738.21,69365.39,73025.42,79131.62,86393.93,91003.7,96904.67,91814.18,103735.08,115721.37,125836.56,134625.71,144142.39,153885.46,2019.0
4194,917,KGZ,NGDPDPC,Kyrgyz Republic,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,207.976,148.155,245.851,329.934,396.495,379.056,344.404,258.467,280.635,309.913,323.343,382.888,436.496,478.77,546.621,725.487,971.678,876.933,884.846,1131.47,1189.52,1295.23,1292.62,1132.84,1131.84,1254.51,1321.95,1388.65,1188.82,1224.75,1313.86,1387.09,1440.64,1497.56,1552.21,2019.0
