,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
4230,544,LAO,NGDP_R,Lao P.D.R.,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2012 Chain-weighted: No Primary domestic currency: Lao kip Data last updated: 07/2021,11305.05,13038.33,13653.04,14062.67,14968.08,16333.4,17122.14,16957.82,16601.71,18244.09,19463.96,20242.26,21659.1,22929.8,24800.9,26548.12,28377.93,30337.98,31636.24,32910.54,35026.27,36697.76,39196.34,41618.35,44609.38,47705.2,51976.5,56057.41,60442.39,64898.8,70102.55,75701.26,81609.86,88160.11,94870.83,101767.55,108914.78,116376.66,123695.63,129449.95,128886.89,131543.74,137112.64,143340.17,151549.23,160703.71,170086.91,2020.0
4231,544,LAO,NGDP_RPCH,Lao P.D.R.,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",10.004,15.332,4.715,3.0,6.438,9.122,4.829,-0.96,-2.1,9.893,6.686,3.999,6.999,5.867,8.16,7.045,6.892,6.907,4.279,4.028,6.429,4.772,6.809,6.179,7.187,6.94,8.954,7.851,7.822,7.373,8.018,7.986,7.805,8.026,7.612,7.27,7.023,6.851,6.289,4.652,-0.435,2.061,4.233,4.542,5.727,6.041,5.839,2020.0
4232,544,LAO,NGDP,Lao P.D.R.,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2012 Chain-weighted: No Primary domestic currency: Lao kip Data last updated: 07/2021,19.794,22.643,39.652,72.541,103.866,167.925,247.89,321.857,469.356,852.82,1224.85,1443.36,1687.85,1901.15,2215.01,2836.74,3450.46,4399.45,4399.45,9920.03,14132.2,16671.69,19693.98,23650.99,28059.24,32483.36,39704.19,45647.65,51950.01,54789.54,61996.76,71961.76,81609.86,93867.57,106797.29,117251.58,129279.12,140697.75,152414.0,163086.36,170472.63,182532.4,198886.91,213989.43,232683.96,253762.19,276223.23,2020.0
4233,544,LAO,NGDPD,Lao P.D.R.,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.913,1.118,1.119,2.047,2.93,3.685,2.577,1.815,1.182,1.46,1.742,2.053,2.354,2.652,3.081,3.579,3.726,3.515,1.334,1.415,1.72,1.757,1.844,2.259,2.649,3.049,3.915,4.757,5.948,6.431,7.504,8.963,10.195,11.974,13.266,14.363,15.905,17.055,18.131,18.771,18.82,19.375,20.631,21.818,23.317,24.994,26.74,2020.0
4234,544,LAO,PPPGDP,Lao P.D.R.,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.734,2.19,2.435,2.606,2.874,3.235,3.459,3.511,3.558,4.064,4.498,4.836,5.292,5.735,6.336,6.925,7.537,8.197,8.644,9.119,9.925,10.633,11.534,12.488,13.745,15.16,17.027,18.86,20.725,22.396,24.482,26.987,31.202,34.6,39.0,41.583,46.85,50.445,54.899,58.48,58.928,62.31,66.735,71.426,77.238,83.683,90.405,2020.0
4235,544,LAO,NGDP_D,Lao P.D.R.,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",0.175,0.174,0.29,0.516,0.694,1.028,1.448,1.898,2.827,4.675,6.293,7.13,7.793,8.291,8.931,10.685,12.159,14.501,13.906,30.142,40.347,45.43,50.244,56.828,62.9,68.092,76.389,81.43,85.95,84.423,88.437,95.06,100.0,106.474,112.571,115.215,118.697,120.899,123.217,125.984,132.265,138.762,145.054,149.288,153.537,157.907,162.401,2020.0
4236,544,LAO,NGDPRPC,Lao P.D.R.,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",3523456.43,3987320.18,4081316.21,4098156.11,4246736.66,4509854.81,4598059.09,4427858.97,4213854.97,4501653.61,4627813.73,4674733.61,4859715.26,5002428.31,5267963.33,5499798.34,5743148.85,6007154.89,6149404.9,6286228.83,6579307.45,6783841.14,7135368.09,7462979.81,7878454.32,8294139.5,8890837.25,9429415.74,9996046.39,10555017.84,11217901.82,11926033.15,12663436.8,13477456.44,14288285.34,15096444.86,15909611.02,16737543.43,17516910.0,18055755.61,17715056.53,17825906.16,18328059.56,18908783.08,19737089.55,20670528.76,21615055.8,2020.0
4237,544,LAO,NGDPRPPPPC,Lao P.D.R.,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",1527.3,1728.37,1769.12,1776.42,1840.82,1954.87,1993.11,1919.33,1826.57,1951.32,2006.0,2026.34,2106.53,2168.39,2283.49,2383.98,2489.46,2603.9,2665.56,2724.87,2851.91,2940.57,3092.95,3234.95,3415.05,3595.23,3853.88,4087.34,4332.95,4575.25,4862.59,5169.54,5489.18,5842.03,6193.5,6543.81,6896.29,7255.17,7593.0,7826.57,7678.89,7726.94,7944.61,8196.33,8555.37,8959.99,9369.41,2020.0
4238,544,LAO,NGDPPC,Lao P.D.R.,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",6169.15,6924.46,11853.09,21140.03,29468.94,46366.21,66569.4,84040.01,119132.22,210429.8,291225.23,333327.72,378707.36,414760.74,470491.14,587667.79,698307.42,871125.83,855159.37,1894821.5,2654582.67,3081880.53,3585124.83,4241082.98,4955536.82,5647635.51,6791598.37,7678390.8,8591564.91,8910865.89,9920802.88,11336909.68,12663436.8,14349983.21,16084503.85,17393383.94,18884310.53,20235455.53,21583805.59,22747383.09,23430872.98,24735539.37,26585523.71,28228512.08,30303711.49,32640184.18,35103116.79,2020.0
4239,544,LAO,NGDPDPC,Lao P.D.R.,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",596.196,341.873,334.404,596.412,831.39,1017.41,691.926,473.879,300.081,360.325,414.261,474.15,528.183,578.467,654.369,741.537,753.99,696.054,259.296,270.226,323.04,324.75,335.686,405.111,467.759,530.059,669.723,800.103,983.762,1045.89,1200.87,1412.04,1581.9,1830.51,1997.98,2130.63,2323.28,2452.86,2567.55,2618.18,2586.78,2625.61,2757.81,2878.08,3036.72,3214.82,3398.17,2020.0
