,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
4275,941,LVA,NGDP_R,Latvia,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995 Primary domestic currency: Euro Data last updated: 09/2021",,,,,,,,,,,,,12.431,11.014,11.256,11.021,11.305,12.307,13.087,13.446,14.208,15.107,16.177,17.541,19.032,21.074,23.6,25.966,25.102,21.522,20.574,21.905,22.836,23.364,23.615,24.561,25.144,25.961,27.006,27.553,26.555,27.76,29.204,30.372,31.357,32.347,33.316,2020.0
4276,941,LVA,NGDP_RPCH,Latvia,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",,,,,,,,,,,,,,-11.4,2.2,-2.084,2.569,8.864,6.341,2.741,5.672,6.323,7.083,8.434,8.501,10.725,11.986,10.027,-3.327,-14.26,-4.407,6.469,4.252,2.31,1.074,4.007,2.373,3.251,4.024,2.027,-3.624,4.54,5.2,4.0,3.243,3.156,2.996,2020.0
4277,941,LVA,NGDP,Latvia,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995 Primary domestic currency: Euro Data last updated: 09/2021",,,,,,,,,,,,,1.773,2.59,3.606,4.057,4.677,5.391,6.009,6.266,6.86,7.461,8.396,9.553,11.071,13.627,17.158,22.668,24.461,18.933,18.023,20.412,22.045,22.924,23.614,24.561,25.36,26.962,29.143,30.421,29.334,31.146,33.812,35.807,37.727,39.747,41.786,2020.0
4278,941,LVA,NGDPD,Latvia,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,1.693,2.727,4.53,5.407,5.969,6.523,7.162,7.527,7.953,8.352,9.552,11.754,14.406,16.986,21.536,31.05,35.924,26.386,23.911,28.649,28.346,30.442,31.379,27.253,28.064,30.448,34.432,34.059,33.478,37.199,40.83,43.87,46.789,49.829,52.796,2020.0
4279,941,LVA,PPPGDP,Latvia,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,15.926,14.445,15.078,15.074,15.744,17.435,18.749,19.534,21.11,22.951,24.959,27.598,30.749,35.114,40.536,45.806,45.131,38.944,37.675,40.946,43.55,45.914,47.459,49.375,52.334,55.672,59.296,61.58,60.064,65.053,70.32,74.873,79.063,83.33,87.605,2020.0
4280,941,LVA,NGDP_D,Latvia,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",,,,,,,,,,,,,14.265,23.513,32.032,36.81,41.376,43.804,45.913,46.6,48.283,49.39,51.901,54.463,58.168,64.663,72.705,87.298,97.446,87.967,87.599,93.182,96.535,98.116,99.997,100.0,100.861,103.857,107.912,110.408,110.466,112.197,115.779,117.896,120.315,122.878,125.424,2020.0
4281,941,LVA,NGDPRPC,Latvia,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,,4644.27,4127.2,4284.17,4407.58,4577.66,5033.59,5406.1,5604.15,5965.61,6419.16,6969.86,7628.61,8360.29,9367.2,10592.87,11755.46,11452.62,9951.06,9702.43,10558.6,11167.9,11544.39,11798.68,12366.41,12770.06,13312.56,13960.96,14350.88,13919.98,14581.1,15370.06,16016.9,16569.5,17126.65,17675.19,2019.0
4282,941,LVA,NGDPRPPPPC,Latvia,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,,9959.35,8850.54,9187.14,9451.78,9816.53,10794.23,11593.05,12017.76,12792.89,13765.51,14946.44,16359.1,17928.15,20087.4,22715.77,25208.87,24559.45,21339.45,20806.27,22642.3,23948.9,24756.26,25301.55,26519.03,27384.62,28547.99,29938.45,30774.61,29850.56,31268.31,32960.18,34347.28,35532.3,36727.08,37903.39,2019.0
4283,941,LVA,NGDPPC,Latvia,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,662.506,970.412,1372.32,1622.42,1894.05,2204.89,2482.12,2611.51,2880.36,3170.4,3617.45,4154.79,4863.01,6057.1,7701.52,10262.25,11160.11,8753.63,8499.27,9838.75,10780.94,11326.92,11798.29,12366.41,12880.06,13825.98,15065.58,15844.5,15376.84,16359.54,17795.26,18883.28,19935.57,21044.87,22168.97,2019.0
4284,941,LVA,NGDPDPC,Latvia,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,632.625,1021.78,1724.21,2162.49,2417.08,2667.91,2958.62,3137.09,3339.15,3549.0,4115.58,5111.94,6327.98,7550.18,9666.81,14057.16,16390.27,12199.67,11276.11,13809.19,13862.39,15041.85,15678.08,13722.08,14253.04,15613.44,17799.83,17739.47,17549.3,19538.9,21489.13,23135.1,24723.87,26383.31,28009.86,2019.0
